,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
264,Antigua and Barbuda,1985,female,15-24 years,0,7709,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
265,Antigua and Barbuda,1985,female,25-34 years,0,6344,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Boomers
266,Antigua and Barbuda,1985,female,35-54 years,0,6173,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Silent
267,Antigua and Barbuda,1985,female,5-14 years,0,7339,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
268,Antigua and Barbuda,1985,female,55-74 years,0,3778,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
269,Antigua and Barbuda,1985,female,75+ years,0,949,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
270,Antigua and Barbuda,1985,male,15-24 years,0,7667,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
271,Antigua and Barbuda,1985,male,25-34 years,0,6194,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Boomers
272,Antigua and Barbuda,1985,male,35-54 years,0,5970,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Silent
273,Antigua and Barbuda,1985,male,5-14 years,0,7304,0.0,Antigua and Barbuda1985,,"240,923,926",3850,Generation X
274,Antigua and Barbuda,1985,male,55-74 years,0,2723,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
275,Antigua and Barbuda,1985,male,75+ years,0,424,0.0,Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
276,Antigua and Barbuda,1986,female,15-24 years,0,7668,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
277,Antigua and Barbuda,1986,female,25-34 years,0,6209,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Boomers
278,Antigua and Barbuda,1986,female,35-54 years,0,6101,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Silent
279,Antigua and Barbuda,1986,female,5-14 years,0,6907,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
280,Antigua and Barbuda,1986,female,55-74 years,0,3764,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
281,Antigua and Barbuda,1986,female,75+ years,0,1014,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
282,Antigua and Barbuda,1986,male,15-24 years,0,7563,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
283,Antigua and Barbuda,1986,male,25-34 years,0,6023,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Boomers
284,Antigua and Barbuda,1986,male,35-54 years,0,5947,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Silent
285,Antigua and Barbuda,1986,male,5-14 years,0,6827,0.0,Antigua and Barbuda1986,,"290,440,148",4740,Generation X
286,Antigua and Barbuda,1986,male,55-74 years,0,2771,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
287,Antigua and Barbuda,1986,male,75+ years,0,476,0.0,Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
288,Antigua and Barbuda,1987,female,15-24 years,0,7583,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
289,Antigua and Barbuda,1987,female,25-34 years,0,6101,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Boomers
290,Antigua and Barbuda,1987,female,35-54 years,0,6059,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Silent
291,Antigua and Barbuda,1987,female,5-14 years,0,6623,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
292,Antigua and Barbuda,1987,female,55-74 years,0,3738,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
293,Antigua and Barbuda,1987,female,75+ years,0,1081,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
294,Antigua and Barbuda,1987,male,15-24 years,0,7421,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
295,Antigua and Barbuda,1987,male,25-34 years,0,5893,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Boomers
296,Antigua and Barbuda,1987,male,35-54 years,0,5927,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Silent
297,Antigua and Barbuda,1987,male,5-14 years,0,6499,0.0,Antigua and Barbuda1987,,"337,174,852",5595,Generation X
298,Antigua and Barbuda,1987,male,55-74 years,0,2798,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
299,Antigua and Barbuda,1987,male,75+ years,0,538,0.0,Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
300,Antigua and Barbuda,1988,female,15-24 years,0,7413,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
301,Antigua and Barbuda,1988,female,25-34 years,0,6041,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Boomers
302,Antigua and Barbuda,1988,female,35-54 years,0,6021,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Silent
303,Antigua and Barbuda,1988,female,5-14 years,0,6527,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
304,Antigua and Barbuda,1988,female,55-74 years,0,3708,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
305,Antigua and Barbuda,1988,female,75+ years,0,1141,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
306,Antigua and Barbuda,1988,male,15-24 years,0,7209,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
307,Antigua and Barbuda,1988,male,25-34 years,0,5826,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Boomers
308,Antigua and Barbuda,1988,male,35-54 years,0,5907,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Silent
309,Antigua and Barbuda,1988,male,5-14 years,0,6355,0.0,Antigua and Barbuda1988,,"398,637,741",6693,Generation X
310,Antigua and Barbuda,1988,male,55-74 years,0,2813,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
311,Antigua and Barbuda,1988,male,75+ years,0,603,0.0,Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
312,Antigua and Barbuda,1989,female,15-24 years,0,7152,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
313,Antigua and Barbuda,1989,female,25-34 years,0,6059,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Boomers
314,Antigua and Barbuda,1989,female,35-54 years,0,5969,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Silent
315,Antigua and Barbuda,1989,female,5-14 years,0,6621,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
316,Antigua and Barbuda,1989,female,55-74 years,0,3696,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
317,Antigua and Barbuda,1989,female,75+ years,0,1195,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
318,Antigua and Barbuda,1989,male,15-24 years,0,6927,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
319,Antigua and Barbuda,1989,male,25-34 years,0,5835,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Boomers
320,Antigua and Barbuda,1989,male,35-54 years,0,5862,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Silent
321,Antigua and Barbuda,1989,male,5-14 years,0,6403,0.0,Antigua and Barbuda1989,,"438,794,778",7407,Generation X
322,Antigua and Barbuda,1989,male,55-74 years,0,2843,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
323,Antigua and Barbuda,1989,male,75+ years,0,676,0.0,Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
324,Antigua and Barbuda,1990,male,35-54 years,1,5799,17.24,Antigua and Barbuda1990,,"459,469,074",7744,Silent
325,Antigua and Barbuda,1990,female,15-24 years,0,6827,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Generation X
326,Antigua and Barbuda,1990,female,25-34 years,0,6172,0.0,Antigua and Barbuda1990,,"459,469,074",7744,Boomers
