,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
1258,Aruba,1995,male,75+ years,2,889,224.97,Aruba1995,,"1,320,670,391",17949,G.I. Generation
1259,Aruba,1995,male,25-34 years,4,7520,53.19,Aruba1995,,"1,320,670,391",17949,Generation X
1260,Aruba,1995,male,55-74 years,1,4558,21.94,Aruba1995,,"1,320,670,391",17949,Silent
1261,Aruba,1995,male,35-54 years,1,11895,8.41,Aruba1995,,"1,320,670,391",17949,Boomers
1262,Aruba,1995,female,15-24 years,0,5138,0.0,Aruba1995,,"1,320,670,391",17949,Generation X
1263,Aruba,1995,female,25-34 years,0,7439,0.0,Aruba1995,,"1,320,670,391",17949,Generation X
1264,Aruba,1995,female,35-54 years,0,12391,0.0,Aruba1995,,"1,320,670,391",17949,Boomers
1265,Aruba,1995,female,5-14 years,0,5906,0.0,Aruba1995,,"1,320,670,391",17949,Millenials
1266,Aruba,1995,female,55-74 years,0,5160,0.0,Aruba1995,,"1,320,670,391",17949,Silent
1267,Aruba,1995,female,75+ years,0,1295,0.0,Aruba1995,,"1,320,670,391",17949,G.I. Generation
1268,Aruba,1995,male,15-24 years,0,5227,0.0,Aruba1995,,"1,320,670,391",17949,Generation X
1269,Aruba,1995,male,5-14 years,0,6163,0.0,Aruba1995,,"1,320,670,391",17949,Millenials
1270,Aruba,1999,male,25-34 years,4,7031,56.89,Aruba1999,,"1,722,798,883",21027,Generation X
1271,Aruba,1999,male,15-24 years,2,5428,36.85,Aruba1999,,"1,722,798,883",21027,Generation X
1272,Aruba,1999,male,35-54 years,3,13807,21.73,Aruba1999,,"1,722,798,883",21027,Boomers
1273,Aruba,1999,female,15-24 years,0,5563,0.0,Aruba1999,,"1,722,798,883",21027,Generation X
1274,Aruba,1999,female,25-34 years,0,7411,0.0,Aruba1999,,"1,722,798,883",21027,Generation X
1275,Aruba,1999,female,35-54 years,0,14951,0.0,Aruba1999,,"1,722,798,883",21027,Boomers
1276,Aruba,1999,female,5-14 years,0,6784,0.0,Aruba1999,,"1,722,798,883",21027,Millenials
1277,Aruba,1999,female,55-74 years,0,6192,0.0,Aruba1999,,"1,722,798,883",21027,Silent
1278,Aruba,1999,female,75+ years,0,1475,0.0,Aruba1999,,"1,722,798,883",21027,G.I. Generation
1279,Aruba,1999,male,5-14 years,0,6923,0.0,Aruba1999,,"1,722,798,883",21027,Millenials
1280,Aruba,1999,male,55-74 years,0,5395,0.0,Aruba1999,,"1,722,798,883",21027,Silent
1281,Aruba,1999,male,75+ years,0,974,0.0,Aruba1999,,"1,722,798,883",21027,G.I. Generation
1282,Aruba,2000,female,75+ years,2,1499,133.42,Aruba2000,,"1,873,452,514",22333,G.I. Generation
1283,Aruba,2000,male,75+ years,1,989,101.11,Aruba2000,,"1,873,452,514",22333,G.I. Generation
1284,Aruba,2000,male,25-34 years,3,6828,43.94,Aruba2000,,"1,873,452,514",22333,Generation X
1285,Aruba,2000,male,35-54 years,2,14228,14.06,Aruba2000,,"1,873,452,514",22333,Boomers
1286,Aruba,2000,female,35-54 years,2,15624,12.8,Aruba2000,,"1,873,452,514",22333,Boomers
