,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
1426,Australia,1985,male,75+ years,67,219000,30.59,Australia1985,,"180,190,994,861",12374,G.I. Generation
1427,Australia,1985,male,25-34 years,357,1299100,27.48,Australia1985,,"180,190,994,861",12374,Boomers
1428,Australia,1985,male,55-74 years,282,1177400,23.95,Australia1985,,"180,190,994,861",12374,G.I. Generation
1429,Australia,1985,male,15-24 years,315,1355800,23.23,Australia1985,,"180,190,994,861",12374,Generation X
1430,Australia,1985,male,35-54 years,411,1906800,21.55,Australia1985,,"180,190,994,861",12374,Silent
1431,Australia,1985,female,75+ years,36,382900,9.4,Australia1985,,"180,190,994,861",12374,G.I. Generation
1432,Australia,1985,female,55-74 years,109,1286900,8.47,Australia1985,,"180,190,994,861",12374,G.I. Generation
1433,Australia,1985,female,35-54 years,143,1832700,7.8,Australia1985,,"180,190,994,861",12374,Silent
1434,Australia,1985,female,15-24 years,69,1304000,5.29,Australia1985,,"180,190,994,861",12374,Generation X
1435,Australia,1985,female,25-34 years,64,1275900,5.02,Australia1985,,"180,190,994,861",12374,Boomers
1436,Australia,1985,female,5-14 years,4,1231400,0.32,Australia1985,,"180,190,994,861",12374,Generation X
1437,Australia,1985,male,5-14 years,4,1290600,0.31,Australia1985,,"180,190,994,861",12374,Generation X
1438,Australia,1986,male,75+ years,89,233700,38.08,Australia1986,,"181,977,476,217",12288,G.I. Generation
1439,Australia,1986,male,25-34 years,367,1317500,27.86,Australia1986,,"181,977,476,217",12288,Boomers
1440,Australia,1986,male,55-74 years,324,1211800,26.74,Australia1986,,"181,977,476,217",12288,G.I. Generation
1441,Australia,1986,male,35-54 years,487,1972000,24.7,Australia1986,,"181,977,476,217",12288,Silent
1442,Australia,1986,male,15-24 years,296,1369000,21.62,Australia1986,,"181,977,476,217",12288,Generation X
1443,Australia,1986,female,35-54 years,169,1888100,8.95,Australia1986,,"181,977,476,217",12288,Silent
1444,Australia,1986,female,55-74 years,105,1306500,8.04,Australia1986,,"181,977,476,217",12288,G.I. Generation
1445,Australia,1986,female,25-34 years,88,1300200,6.77,Australia1986,,"181,977,476,217",12288,Boomers
1446,Australia,1986,female,15-24 years,77,1315000,5.86,Australia1986,,"181,977,476,217",12288,Generation X
