,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
1786,Austria,1985,male,75+ years,152,156535,97.1,Austria1985,0.764,"69,386,774,475",9759,G.I. Generation
1787,Austria,1985,male,55-74 years,355,584253,60.76,Austria1985,0.764,"69,386,774,475",9759,G.I. Generation
1788,Austria,1985,male,35-54 years,515,940526,54.76,Austria1985,0.764,"69,386,774,475",9759,Silent
1789,Austria,1985,male,25-34 years,232,548783,42.28,Austria1985,0.764,"69,386,774,475",9759,Boomers
1790,Austria,1985,female,75+ years,110,339223,32.43,Austria1985,0.764,"69,386,774,475",9759,G.I. Generation
1791,Austria,1985,male,15-24 years,207,653728,31.66,Austria1985,0.764,"69,386,774,475",9759,Generation X
1792,Austria,1985,female,55-74 years,220,842978,26.1,Austria1985,0.764,"69,386,774,475",9759,G.I. Generation
1793,Austria,1985,female,35-54 years,186,936799,19.85,Austria1985,0.764,"69,386,774,475",9759,Silent
1794,Austria,1985,female,25-34 years,56,544765,10.28,Austria1985,0.764,"69,386,774,475",9759,Boomers
1795,Austria,1985,female,15-24 years,50,633592,7.89,Austria1985,0.764,"69,386,774,475",9759,Generation X
1796,Austria,1985,male,5-14 years,6,475074,1.26,Austria1985,0.764,"69,386,774,475",9759,Generation X
1797,Austria,1985,female,5-14 years,2,453859,0.44,Austria1985,0.764,"69,386,774,475",9759,Generation X
1798,Austria,1986,male,75+ years,173,158694,109.01,Austria1986,,"99,036,165,210",13911,G.I. Generation
1799,Austria,1986,male,55-74 years,355,588309,60.34,Austria1986,,"99,036,165,210",13911,G.I. Generation
1800,Austria,1986,male,35-54 years,507,944245,53.69,Austria1986,,"99,036,165,210",13911,Silent
1801,Austria,1986,male,25-34 years,272,564104,48.22,Austria1986,,"99,036,165,210",13911,Boomers
1802,Austria,1986,female,75+ years,110,345431,31.84,Austria1986,,"99,036,165,210",13911,G.I. Generation
1803,Austria,1986,male,15-24 years,199,645787,30.82,Austria1986,,"99,036,165,210",13911,Generation X
1804,Austria,1986,female,55-74 years,195,835145,23.35,Austria1986,,"99,036,165,210",13911,G.I. Generation
1805,Austria,1986,female,35-54 years,182,941348,19.33,Austria1986,,"99,036,165,210",13911,Silent
1806,Austria,1986,female,25-34 years,80,558561,14.32,Austria1986,,"99,036,165,210",13911,Boomers
1807,Austria,1986,female,15-24 years,60,625356,9.59,Austria1986,,"99,036,165,210",13911,Generation X
1808,Austria,1986,male,5-14 years,5,466847,1.07,Austria1986,,"99,036,165,210",13911,Generation X
1809,Austria,1986,female,5-14 years,1,445322,0.22,Austria1986,,"99,036,165,210",13911,Generation X
1810,Austria,1987,male,75+ years,208,161591,128.72,Austria1987,,"124,168,442,860",17415,G.I. Generation
