,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
2168,Azerbaijan,1990,male,35-54 years,41,587300,6.98,Azerbaijan1990,,"8,858,006,036",1439,Silent
2169,Azerbaijan,1990,male,55-74 years,11,306200,3.59,Azerbaijan1990,,"8,858,006,036",1439,G.I. Generation
2170,Azerbaijan,1990,male,25-34 years,19,613200,3.1,Azerbaijan1990,,"8,858,006,036",1439,Boomers
2171,Azerbaijan,1990,male,15-24 years,16,682700,2.34,Azerbaijan1990,,"8,858,006,036",1439,Generation X
2172,Azerbaijan,1990,male,75+ years,1,42900,2.33,Azerbaijan1990,,"8,858,006,036",1439,G.I. Generation
2173,Azerbaijan,1990,female,75+ years,2,99200,2.02,Azerbaijan1990,,"8,858,006,036",1439,G.I. Generation
2174,Azerbaijan,1990,female,55-74 years,6,389200,1.54,Azerbaijan1990,,"8,858,006,036",1439,G.I. Generation
2175,Azerbaijan,1990,female,25-34 years,7,677800,1.03,Azerbaijan1990,,"8,858,006,036",1439,Boomers
2176,Azerbaijan,1990,female,35-54 years,6,637700,0.94,Azerbaijan1990,,"8,858,006,036",1439,Silent
2177,Azerbaijan,1990,female,15-24 years,4,656800,0.61,Azerbaijan1990,,"8,858,006,036",1439,Generation X
2178,Azerbaijan,1990,male,5-14 years,1,750400,0.13,Azerbaijan1990,,"8,858,006,036",1439,Generation X
2179,Azerbaijan,1990,female,5-14 years,0,713400,0.0,Azerbaijan1990,,"8,858,006,036",1439,Generation X
2180,Azerbaijan,1991,male,75+ years,3,42200,7.11,Azerbaijan1991,,"8,792,365,811",1398,G.I. Generation
2181,Azerbaijan,1991,male,55-74 years,22,323700,6.8,Azerbaijan1991,,"8,792,365,811",1398,Silent
2182,Azerbaijan,1991,male,25-34 years,29,627800,4.62,Azerbaijan1991,,"8,792,365,811",1398,Boomers
2183,Azerbaijan,1991,male,35-54 years,26,597700,4.35,Azerbaijan1991,,"8,792,365,811",1398,Boomers
2184,Azerbaijan,1991,male,15-24 years,22,687100,3.2,Azerbaijan1991,,"8,792,365,811",1398,Generation X
2185,Azerbaijan,1991,female,35-54 years,11,650100,1.69,Azerbaijan1991,,"8,792,365,811",1398,Boomers
2186,Azerbaijan,1991,female,55-74 years,5,406400,1.23,Azerbaijan1991,,"8,792,365,811",1398,Silent
2187,Azerbaijan,1991,female,15-24 years,8,653100,1.22,Azerbaijan1991,,"8,792,365,811",1398,Generation X
2188,Azerbaijan,1991,female,75+ years,1,99300,1.01,Azerbaijan1991,,"8,792,365,811",1398,G.I. Generation
2189,Azerbaijan,1991,female,25-34 years,6,697500,0.86,Azerbaijan1991,,"8,792,365,811",1398,Boomers
2190,Azerbaijan,1991,female,5-14 years,1,734600,0.14,Azerbaijan1991,,"8,792,365,811",1398,Millenials
2191,Azerbaijan,1991,male,5-14 years,0,771100,0.0,Azerbaijan1991,,"8,792,365,811",1398,Millenials
2192,Azerbaijan,1992,male,35-54 years,39,610500,6.39,Azerbaijan1992,,"4,991,350,458",784,Boomers
2193,Azerbaijan,1992,male,55-74 years,18,340500,5.29,Azerbaijan1992,,"4,991,350,458",784,Silent
2194,Azerbaijan,1992,female,75+ years,5,97200,5.14,Azerbaijan1992,,"4,991,350,458",784,G.I. Generation
2195,Azerbaijan,1992,male,75+ years,2,40300,4.96,Azerbaijan1992,,"4,991,350,458",784,G.I. Generation
2196,Azerbaijan,1992,male,25-34 years,24,634300,3.78,Azerbaijan1992,,"4,991,350,458",784,Boomers
2197,Azerbaijan,1992,male,15-24 years,23,683300,3.37,Azerbaijan1992,,"4,991,350,458",784,Generation X
2198,Azerbaijan,1992,female,55-74 years,11,424500,2.59,Azerbaijan1992,,"4,991,350,458",784,Silent
2199,Azerbaijan,1992,female,25-34 years,10,702900,1.42,Azerbaijan1992,,"4,991,350,458",784,Boomers
2200,Azerbaijan,1992,female,15-24 years,8,643000,1.24,Azerbaijan1992,,"4,991,350,458",784,Generation X
2201,Azerbaijan,1992,female,35-54 years,4,662800,0.6,Azerbaijan1992,,"4,991,350,458",784,Boomers
2202,Azerbaijan,1992,female,5-14 years,0,746700,0.0,Azerbaijan1992,,"4,991,350,458",784,Millenials
2203,Azerbaijan,1992,male,5-14 years,0,784400,0.0,Azerbaijan1992,,"4,991,350,458",784,Millenials
2204,Azerbaijan,1993,male,75+ years,3,38900,7.71,Azerbaijan1993,,"3,973,027,397",617,G.I. Generation
2205,Azerbaijan,1993,male,55-74 years,17,356800,4.76,Azerbaijan1993,,"3,973,027,397",617,Silent
2206,Azerbaijan,1993,female,75+ years,4,96100,4.16,Azerbaijan1993,,"3,973,027,397",617,G.I. Generation
2207,Azerbaijan,1993,male,15-24 years,22,677400,3.25,Azerbaijan1993,,"3,973,027,397",617,Generation X
2208,Azerbaijan,1993,male,35-54 years,20,628400,3.18,Azerbaijan1993,,"3,973,027,397",617,Boomers
2209,Azerbaijan,1993,male,25-34 years,20,636000,3.14,Azerbaijan1993,,"3,973,027,397",617,Boomers
2210,Azerbaijan,1993,female,35-54 years,10,681600,1.47,Azerbaijan1993,,"3,973,027,397",617,Boomers
2211,Azerbaijan,1993,female,55-74 years,6,443000,1.35,Azerbaijan1993,,"3,973,027,397",617,Silent
2212,Azerbaijan,1993,female,25-34 years,9,697000,1.29,Azerbaijan1993,,"3,973,027,397",617,Boomers
2213,Azerbaijan,1993,female,15-24 years,6,630200,0.95,Azerbaijan1993,,"3,973,027,397",617,Generation X
2214,Azerbaijan,1993,female,5-14 years,1,759300,0.13,Azerbaijan1993,,"3,973,027,397",617,Millenials
2215,Azerbaijan,1993,male,5-14 years,1,797900,0.13,Azerbaijan1993,,"3,973,027,397",617,Millenials
2216,Azerbaijan,1994,male,55-74 years,10,369000,2.71,Azerbaijan1994,,"3,313,739,674",508,Silent
2217,Azerbaijan,1994,male,75+ years,1,37400,2.67,Azerbaijan1994,,"3,313,739,674",508,G.I. Generation
2218,Azerbaijan,1994,male,35-54 years,11,651400,1.69,Azerbaijan1994,,"3,313,739,674",508,Boomers
2219,Azerbaijan,1994,female,55-74 years,5,456200,1.1,Azerbaijan1994,,"3,313,739,674",508,Silent
2220,Azerbaijan,1994,female,75+ years,1,95800,1.04,Azerbaijan1994,,"3,313,739,674",508,G.I. Generation
2221,Azerbaijan,1994,female,35-54 years,6,705400,0.85,Azerbaijan1994,,"3,313,739,674",508,Boomers
2222,Azerbaijan,1994,female,25-34 years,4,686900,0.58,Azerbaijan1994,,"3,313,739,674",508,Boomers
2223,Azerbaijan,1994,female,15-24 years,3,622200,0.48,Azerbaijan1994,,"3,313,739,674",508,Generation X
2224,Azerbaijan,1994,male,25-34 years,3,638600,0.47,Azerbaijan1994,,"3,313,739,674",508,Boomers
2225,Azerbaijan,1994,male,15-24 years,3,669100,0.45,Azerbaijan1994,,"3,313,739,674",508,Generation X
2226,Azerbaijan,1994,female,5-14 years,0,774700,0.0,Azerbaijan1994,,"3,313,739,674",508,Millenials
2227,Azerbaijan,1994,male,5-14 years,0,814500,0.0,Azerbaijan1994,,"3,313,739,674",508,Millenials
2228,Azerbaijan,1995,male,75+ years,2,36600,5.46,Azerbaijan1995,0.609,"3,052,467,522",462,G.I. Generation
2229,Azerbaijan,1995,male,35-54 years,18,677600,2.66,Azerbaijan1995,0.609,"3,052,467,522",462,Boomers
2230,Azerbaijan,1995,male,55-74 years,8,377400,2.12,Azerbaijan1995,0.609,"3,052,467,522",462,Silent
2231,Azerbaijan,1995,male,15-24 years,9,663600,1.36,Azerbaijan1995,0.609,"3,052,467,522",462,Generation X
2232,Azerbaijan,1995,female,75+ years,1,95000,1.05,Azerbaijan1995,0.609,"3,052,467,522",462,G.I. Generation
