,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
2360,Bahamas,1985,male,35-54 years,1,21000,4.76,Bahamas1985,,"2,320,699,900",11393,Silent
2361,Bahamas,1985,female,15-24 years,0,23300,0.0,Bahamas1985,,"2,320,699,900",11393,Generation X
2362,Bahamas,1985,female,25-34 years,0,19500,0.0,Bahamas1985,,"2,320,699,900",11393,Boomers
2363,Bahamas,1985,female,35-54 years,0,22500,0.0,Bahamas1985,,"2,320,699,900",11393,Silent
2364,Bahamas,1985,female,5-14 years,0,24500,0.0,Bahamas1985,,"2,320,699,900",11393,Generation X
2365,Bahamas,1985,female,55-74 years,0,11200,0.0,Bahamas1985,,"2,320,699,900",11393,G.I. Generation
2366,Bahamas,1985,female,75+ years,0,2700,0.0,Bahamas1985,,"2,320,699,900",11393,G.I. Generation
2367,Bahamas,1985,male,15-24 years,0,23900,0.0,Bahamas1985,,"2,320,699,900",11393,Generation X
2368,Bahamas,1985,male,25-34 years,0,19100,0.0,Bahamas1985,,"2,320,699,900",11393,Boomers
2369,Bahamas,1985,male,5-14 years,0,25100,0.0,Bahamas1985,,"2,320,699,900",11393,Generation X
2370,Bahamas,1985,male,55-74 years,0,9400,0.0,Bahamas1985,,"2,320,699,900",11393,G.I. Generation
2371,Bahamas,1985,male,75+ years,0,1500,0.0,Bahamas1985,,"2,320,699,900",11393,G.I. Generation
2372,Bahamas,1987,male,35-54 years,2,22700,8.81,Bahamas1987,,"2,713,999,900",12286,Silent
2373,Bahamas,1987,male,25-34 years,1,20900,4.78,Bahamas1987,,"2,713,999,900",12286,Boomers
2374,Bahamas,1987,female,15-24 years,0,25100,0.0,Bahamas1987,,"2,713,999,900",12286,Generation X
2375,Bahamas,1987,female,25-34 years,0,21100,0.0,Bahamas1987,,"2,713,999,900",12286,Boomers
2376,Bahamas,1987,female,35-54 years,0,24200,0.0,Bahamas1987,,"2,713,999,900",12286,Silent
2377,Bahamas,1987,female,5-14 years,0,26400,0.0,Bahamas1987,,"2,713,999,900",12286,Generation X
2378,Bahamas,1987,female,55-74 years,0,12100,0.0,Bahamas1987,,"2,713,999,900",12286,G.I. Generation
2379,Bahamas,1987,female,75+ years,0,2900,0.0,Bahamas1987,,"2,713,999,900",12286,G.I. Generation
2380,Bahamas,1987,male,15-24 years,0,26200,0.0,Bahamas1987,,"2,713,999,900",12286,Generation X
2381,Bahamas,1987,male,5-14 years,0,27500,0.0,Bahamas1987,,"2,713,999,900",12286,Generation X
2382,Bahamas,1987,male,55-74 years,0,10200,0.0,Bahamas1987,,"2,713,999,900",12286,G.I. Generation
2383,Bahamas,1987,male,75+ years,0,1600,0.0,Bahamas1987,,"2,713,999,900",12286,G.I. Generation
2384,Bahamas,1993,male,55-74 years,1,9900,10.1,Bahamas1993,,"3,092,000,000",12698,Silent
2385,Bahamas,1993,female,55-74 years,1,11900,8.4,Bahamas1993,,"3,092,000,000",12698,Silent
2386,Bahamas,1993,male,25-34 years,2,25400,7.87,Bahamas1993,,"3,092,000,000",12698,Boomers
2387,Bahamas,1993,male,35-54 years,2,27000,7.41,Bahamas1993,,"3,092,000,000",12698,Boomers
2388,Bahamas,1993,male,15-24 years,1,26800,3.73,Bahamas1993,,"3,092,000,000",12698,Generation X
2389,Bahamas,1993,female,15-24 years,0,26800,0.0,Bahamas1993,,"3,092,000,000",12698,Generation X
2390,Bahamas,1993,female,25-34 years,0,26300,0.0,Bahamas1993,,"3,092,000,000",12698,Boomers
2391,Bahamas,1993,female,35-54 years,0,29300,0.0,Bahamas1993,,"3,092,000,000",12698,Boomers
2392,Bahamas,1993,female,5-14 years,0,27200,0.0,Bahamas1993,,"3,092,000,000",12698,Millenials
2393,Bahamas,1993,female,75+ years,0,2800,0.0,Bahamas1993,,"3,092,000,000",12698,G.I. Generation
2394,Bahamas,1993,male,5-14 years,0,28100,0.0,Bahamas1993,,"3,092,000,000",12698,Millenials
2395,Bahamas,1993,male,75+ years,0,2000,0.0,Bahamas1993,,"3,092,000,000",12698,G.I. Generation
2396,Bahamas,1994,male,35-54 years,3,28300,10.6,Bahamas1994,,"3,259,000,000",13073,Boomers
2397,Bahamas,1994,female,15-24 years,0,26900,0.0,Bahamas1994,,"3,259,000,000",13073,Generation X
2398,Bahamas,1994,female,25-34 years,0,26800,0.0,Bahamas1994,,"3,259,000,000",13073,Boomers
2399,Bahamas,1994,female,35-54 years,0,30800,0.0,Bahamas1994,,"3,259,000,000",13073,Boomers
2400,Bahamas,1994,female,5-14 years,0,27600,0.0,Bahamas1994,,"3,259,000,000",13073,Millenials
2401,Bahamas,1994,female,55-74 years,0,12300,0.0,Bahamas1994,,"3,259,000,000",13073,Silent
2402,Bahamas,1994,female,75+ years,0,3000,0.0,Bahamas1994,,"3,259,000,000",13073,G.I. Generation
2403,Bahamas,1994,male,15-24 years,0,26900,0.0,Bahamas1994,,"3,259,000,000",13073,Generation X
2404,Bahamas,1994,male,25-34 years,0,26000,0.0,Bahamas1994,,"3,259,000,000",13073,Boomers
2405,Bahamas,1994,male,5-14 years,0,28300,0.0,Bahamas1994,,"3,259,000,000",13073,Millenials
2406,Bahamas,1994,male,55-74 years,0,10300,0.0,Bahamas1994,,"3,259,000,000",13073,Silent
