,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
2636,Bahrain,1985,male,25-34 years,7,67600,10.36,Bahrain1985,0.727,"3,651,861,702",9980,Boomers
2637,Bahrain,1985,male,35-54 years,3,49700,6.04,Bahrain1985,0.727,"3,651,861,702",9980,Silent
2638,Bahrain,1985,female,35-54 years,1,26900,3.72,Bahrain1985,0.727,"3,651,861,702",9980,Silent
2639,Bahrain,1985,female,15-24 years,0,37800,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
2640,Bahrain,1985,female,25-34 years,0,27600,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Boomers
2641,Bahrain,1985,female,5-14 years,0,41400,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
2642,Bahrain,1985,female,55-74 years,0,8700,0.0,Bahrain1985,0.727,"3,651,861,702",9980,G.I. Generation
2643,Bahrain,1985,female,75+ years,0,1500,0.0,Bahrain1985,0.727,"3,651,861,702",9980,G.I. Generation
2644,Bahrain,1985,male,15-24 years,0,49700,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
2645,Bahrain,1985,male,5-14 years,0,42000,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
2646,Bahrain,1985,male,55-74 years,0,11600,0.0,Bahrain1985,0.727,"3,651,861,702",9980,G.I. Generation
2647,Bahrain,1985,male,75+ years,0,1400,0.0,Bahrain1985,0.727,"3,651,861,702",9980,G.I. Generation
2648,Bahrain,1987,male,55-74 years,1,11800,8.47,Bahrain1987,,"3,392,021,011",9321,G.I. Generation
2649,Bahrain,1987,male,35-54 years,3,47700,6.29,Bahrain1987,,"3,392,021,011",9321,Silent
2650,Bahrain,1987,male,25-34 years,3,63900,4.69,Bahrain1987,,"3,392,021,011",9321,Boomers
2651,Bahrain,1987,female,25-34 years,1,27500,3.64,Bahrain1987,,"3,392,021,011",9321,Boomers
2652,Bahrain,1987,female,15-24 years,1,38600,2.59,Bahrain1987,,"3,392,021,011",9321,Generation X
2653,Bahrain,1987,female,35-54 years,0,27300,0.0,Bahrain1987,,"3,392,021,011",9321,Silent
2654,Bahrain,1987,female,5-14 years,0,42500,0.0,Bahrain1987,,"3,392,021,011",9321,Generation X
2655,Bahrain,1987,female,55-74 years,0,8900,0.0,Bahrain1987,,"3,392,021,011",9321,G.I. Generation
2656,Bahrain,1987,female,75+ years,0,1500,0.0,Bahrain1987,,"3,392,021,011",9321,G.I. Generation
