,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
2888,Barbados,1985,male,75+ years,1,4000,25.0,Barbados1985,0.7,"1,417,575,550",6137,G.I. Generation
2889,Barbados,1985,male,55-74 years,3,13000,23.08,Barbados1985,0.7,"1,417,575,550",6137,G.I. Generation
2890,Barbados,1985,female,25-34 years,2,22000,9.09,Barbados1985,0.7,"1,417,575,550",6137,Boomers
2891,Barbados,1985,male,25-34 years,1,22000,4.55,Barbados1985,0.7,"1,417,575,550",6137,Boomers
2892,Barbados,1985,female,15-24 years,0,26000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Generation X
2893,Barbados,1985,female,35-54 years,0,24000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Silent
2894,Barbados,1985,female,5-14 years,0,24000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Generation X
2895,Barbados,1985,female,55-74 years,0,19000,0.0,Barbados1985,0.7,"1,417,575,550",6137,G.I. Generation
2896,Barbados,1985,female,75+ years,0,7000,0.0,Barbados1985,0.7,"1,417,575,550",6137,G.I. Generation
2897,Barbados,1985,male,15-24 years,0,26000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Generation X
2898,Barbados,1985,male,35-54 years,0,20000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Silent
2899,Barbados,1985,male,5-14 years,0,24000,0.0,Barbados1985,0.7,"1,417,575,550",6137,Generation X
2900,Barbados,1986,male,35-54 years,4,20000,20.0,Barbados1986,,"1,556,321,742",6720,Silent
2901,Barbados,1986,male,15-24 years,2,26200,7.63,Barbados1986,,"1,556,321,742",6720,Generation X
2902,Barbados,1986,female,25-34 years,1,22000,4.55,Barbados1986,,"1,556,321,742",6720,Boomers
2903,Barbados,1986,male,25-34 years,1,22000,4.55,Barbados1986,,"1,556,321,742",6720,Boomers
2904,Barbados,1986,female,15-24 years,0,26200,0.0,Barbados1986,,"1,556,321,742",6720,Generation X
2905,Barbados,1986,female,35-54 years,0,24000,0.0,Barbados1986,,"1,556,321,742",6720,Silent
2906,Barbados,1986,female,5-14 years,0,24100,0.0,Barbados1986,,"1,556,321,742",6720,Generation X
