,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
3188,Belarus,1990,male,35-54 years,729,1199400,60.78,Belarus1990,,"21,650,000,000",2301,Silent
3189,Belarus,1990,male,55-74 years,363,714100,50.83,Belarus1990,,"21,650,000,000",2301,G.I. Generation
3190,Belarus,1990,male,75+ years,59,123400,47.81,Belarus1990,,"21,650,000,000",2301,G.I. Generation
3191,Belarus,1990,male,25-34 years,359,844900,42.49,Belarus1990,,"21,650,000,000",2301,Boomers
3192,Belarus,1990,male,15-24 years,132,702900,18.78,Belarus1990,,"21,650,000,000",2301,Generation X
3193,Belarus,1990,female,75+ years,61,339400,17.97,Belarus1990,,"21,650,000,000",2301,G.I. Generation
3194,Belarus,1990,female,55-74 years,158,1101700,14.34,Belarus1990,,"21,650,000,000",2301,G.I. Generation
3195,Belarus,1990,female,35-54 years,144,1284200,11.21,Belarus1990,,"21,650,000,000",2301,Silent
3196,Belarus,1990,female,25-34 years,45,839200,5.36,Belarus1990,,"21,650,000,000",2301,Boomers
3197,Belarus,1990,female,15-24 years,24,706500,3.4,Belarus1990,,"21,650,000,000",2301,Generation X
3198,Belarus,1990,male,5-14 years,8,789500,1.01,Belarus1990,,"21,650,000,000",2301,Generation X
3199,Belarus,1990,female,5-14 years,3,763600,0.39,Belarus1990,,"21,650,000,000",2301,Generation X
3200,Belarus,1991,male,35-54 years,756,1217200,62.11,Belarus1991,,"18,000,000,000",1899,Boomers
3201,Belarus,1991,male,75+ years,71,114800,61.85,Belarus1991,,"18,000,000,000",1899,G.I. Generation
3202,Belarus,1991,male,55-74 years,401,747600,53.64,Belarus1991,,"18,000,000,000",1899,Silent
3203,Belarus,1991,male,25-34 years,342,826400,41.38,Belarus1991,,"18,000,000,000",1899,Boomers
3204,Belarus,1991,female,75+ years,72,325800,22.1,Belarus1991,,"18,000,000,000",1899,G.I. Generation
3205,Belarus,1991,male,15-24 years,143,699100,20.45,Belarus1991,,"18,000,000,000",1899,Generation X
3206,Belarus,1991,female,55-74 years,175,1136700,15.4,Belarus1991,,"18,000,000,000",1899,Silent
3207,Belarus,1991,female,35-54 years,121,1294600,9.35,Belarus1991,,"18,000,000,000",1899,Boomers
3208,Belarus,1991,female,25-34 years,42,823200,5.1,Belarus1991,,"18,000,000,000",1899,Boomers
3209,Belarus,1991,female,15-24 years,30,702100,4.27,Belarus1991,,"18,000,000,000",1899,Generation X
3210,Belarus,1991,male,5-14 years,14,807600,1.73,Belarus1991,,"18,000,000,000",1899,Millenials
3211,Belarus,1991,female,5-14 years,2,781100,0.26,Belarus1991,,"18,000,000,000",1899,Millenials
3212,Belarus,1992,male,35-54 years,845,1236700,68.33,Belarus1992,,"17,037,037,037",1780,Boomers
3213,Belarus,1992,male,55-74 years,459,774900,59.23,Belarus1992,,"17,037,037,037",1780,Silent
3214,Belarus,1992,male,75+ years,57,108800,52.39,Belarus1992,,"17,037,037,037",1780,G.I. Generation
3215,Belarus,1992,male,25-34 years,397,812400,48.87,Belarus1992,,"17,037,037,037",1780,Boomers
3216,Belarus,1992,male,15-24 years,166,708800,23.42,Belarus1992,,"17,037,037,037",1780,Generation X
3217,Belarus,1992,female,75+ years,68,314000,21.66,Belarus1992,,"17,037,037,037",1780,G.I. Generation
3218,Belarus,1992,female,55-74 years,160,1171400,13.66,Belarus1992,,"17,037,037,037",1780,Silent
3219,Belarus,1992,female,35-54 years,157,1309400,11.99,Belarus1992,,"17,037,037,037",1780,Boomers
3220,Belarus,1992,female,25-34 years,50,811300,6.16,Belarus1992,,"17,037,037,037",1780,Boomers
3221,Belarus,1992,female,15-24 years,31,708000,4.38,Belarus1992,,"17,037,037,037",1780,Generation X
3222,Belarus,1992,male,5-14 years,30,821500,3.65,Belarus1992,,"17,037,037,037",1780,Millenials
3223,Belarus,1992,female,5-14 years,4,793700,0.5,Belarus1992,,"17,037,037,037",1780,Millenials
3224,Belarus,1993,male,35-54 years,1072,1254600,85.45,Belarus1993,,"16,280,991,736",1689,Boomers
3225,Belarus,1993,male,55-74 years,577,792900,72.77,Belarus1993,,"16,280,991,736",1689,Silent
3226,Belarus,1993,male,75+ years,64,105900,60.43,Belarus1993,,"16,280,991,736",1689,G.I. Generation
3227,Belarus,1993,male,25-34 years,454,789200,57.53,Belarus1993,,"16,280,991,736",1689,Boomers
3228,Belarus,1993,male,15-24 years,175,723100,24.2,Belarus1993,,"16,280,991,736",1689,Generation X
3229,Belarus,1993,female,75+ years,64,310600,20.61,Belarus1993,,"16,280,991,736",1689,G.I. Generation
3230,Belarus,1993,female,55-74 years,198,1193700,16.59,Belarus1993,,"16,280,991,736",1689,Silent
3231,Belarus,1993,female,35-54 years,164,1323600,12.39,Belarus1993,,"16,280,991,736",1689,Boomers
3232,Belarus,1993,female,25-34 years,58,794600,7.3,Belarus1993,,"16,280,991,736",1689,Boomers
3233,Belarus,1993,female,15-24 years,37,713800,5.18,Belarus1993,,"16,280,991,736",1689,Generation X
3234,Belarus,1993,male,5-14 years,18,834500,2.16,Belarus1993,,"16,280,991,736",1689,Millenials
3235,Belarus,1993,female,5-14 years,4,804600,0.5,Belarus1993,,"16,280,991,736",1689,Millenials
3236,Belarus,1994,male,35-54 years,1156,1258800,91.83,Belarus1994,,"14,932,024,169",1547,Boomers
3237,Belarus,1994,male,55-74 years,671,797700,84.12,Belarus1994,,"14,932,024,169",1547,Silent
3238,Belarus,1994,male,75+ years,73,103700,70.4,Belarus1994,,"14,932,024,169",1547,G.I. Generation
3239,Belarus,1994,male,25-34 years,458,773000,59.25,Belarus1994,,"14,932,024,169",1547,Boomers
3240,Belarus,1994,male,15-24 years,208,726000,28.65,Belarus1994,,"14,932,024,169",1547,Generation X
3241,Belarus,1994,female,75+ years,69,307500,22.44,Belarus1994,,"14,932,024,169",1547,G.I. Generation
3242,Belarus,1994,female,55-74 years,227,1206100,18.82,Belarus1994,,"14,932,024,169",1547,Silent
3243,Belarus,1994,female,35-54 years,177,1336000,13.25,Belarus1994,,"14,932,024,169",1547,Boomers
3244,Belarus,1994,female,25-34 years,60,784400,7.65,Belarus1994,,"14,932,024,169",1547,Boomers
3245,Belarus,1994,female,15-24 years,36,719700,5.0,Belarus1994,,"14,932,024,169",1547,Generation X
3246,Belarus,1994,male,5-14 years,16,833400,1.92,Belarus1994,,"14,932,024,169",1547,Millenials
3247,Belarus,1994,female,5-14 years,2,807600,0.25,Belarus1994,,"14,932,024,169",1547,Millenials
3248,Belarus,1995,male,35-54 years,1222,1274300,95.9,Belarus1995,,"13,972,676,841",1444,Boomers
3249,Belarus,1995,male,55-74 years,699,805300,86.8,Belarus1995,,"13,972,676,841",1444,Silent
3250,Belarus,1995,male,75+ years,71,101000,70.3,Belarus1995,,"13,972,676,841",1444,G.I. Generation
3251,Belarus,1995,male,25-34 years,475,743800,63.86,Belarus1995,,"13,972,676,841",1444,Generation X
3252,Belarus,1995,male,15-24 years,210,734800,28.58,Belarus1995,,"13,972,676,841",1444,Generation X
3253,Belarus,1995,female,55-74 years,197,1220800,16.14,Belarus1995,,"13,972,676,841",1444,Silent
3254,Belarus,1995,female,75+ years,49,304600,16.09,Belarus1995,,"13,972,676,841",1444,G.I. Generation
3255,Belarus,1995,female,35-54 years,181,1360000,13.31,Belarus1995,,"13,972,676,841",1444,Boomers
3256,Belarus,1995,female,25-34 years,51,762300,6.69,Belarus1995,,"13,972,676,841",1444,Generation X
3257,Belarus,1995,female,15-24 years,33,729900,4.52,Belarus1995,,"13,972,676,841",1444,Generation X
3258,Belarus,1995,male,5-14 years,12,829500,1.45,Belarus1995,,"13,972,676,841",1444,Millenials
3259,Belarus,1995,female,5-14 years,3,807300,0.37,Belarus1995,,"13,972,676,841",1444,Millenials
3260,Belarus,1996,male,35-54 years,1391,1298200,107.15,Belarus1996,,"14,756,846,154",1524,Boomers
3261,Belarus,1996,male,55-74 years,859,809000,106.18,Belarus1996,,"14,756,846,154",1524,Silent
