,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
3440,Belgium,1985,male,75+ years,214,210800,101.52,Belgium1985,0.774,"86,730,038,793",9356,G.I. Generation
3441,Belgium,1985,male,55-74 years,449,876400,51.23,Belgium1985,0.774,"86,730,038,793",9356,G.I. Generation
3442,Belgium,1985,male,35-54 years,493,1228000,40.15,Belgium1985,0.774,"86,730,038,793",9356,Silent
3443,Belgium,1985,male,25-34 years,245,775300,31.6,Belgium1985,0.774,"86,730,038,793",9356,Boomers
3444,Belgium,1985,female,75+ years,119,409900,29.03,Belgium1985,0.774,"86,730,038,793",9356,G.I. Generation
3445,Belgium,1985,female,55-74 years,276,1029700,26.8,Belgium1985,0.774,"86,730,038,793",9356,G.I. Generation
3446,Belgium,1985,female,35-54 years,252,1216200,20.72,Belgium1985,0.774,"86,730,038,793",9356,Silent
3447,Belgium,1985,male,15-24 years,109,775300,14.06,Belgium1985,0.774,"86,730,038,793",9356,Generation X
3448,Belgium,1985,female,25-34 years,78,744000,10.48,Belgium1985,0.774,"86,730,038,793",9356,Boomers
3449,Belgium,1985,female,15-24 years,33,744100,4.43,Belgium1985,0.774,"86,730,038,793",9356,Generation X
3450,Belgium,1985,male,5-14 years,12,644100,1.86,Belgium1985,0.774,"86,730,038,793",9356,Generation X
3451,Belgium,1985,female,5-14 years,1,615800,0.16,Belgium1985,0.774,"86,730,038,793",9356,Generation X
3452,Belgium,1986,male,75+ years,211,215400,97.96,Belgium1986,,"120,661,220,336",12992,G.I. Generation
3453,Belgium,1986,male,55-74 years,444,889900,49.89,Belgium1986,,"120,661,220,336",12992,G.I. Generation
3454,Belgium,1986,male,35-54 years,476,1237100,38.48,Belgium1986,,"120,661,220,336",12992,Silent
3455,Belgium,1986,male,25-34 years,236,786200,30.02,Belgium1986,,"120,661,220,336",12992,Boomers
3456,Belgium,1986,female,55-74 years,255,1039500,24.53,Belgium1986,,"120,661,220,336",12992,G.I. Generation
3457,Belgium,1986,female,75+ years,90,419600,21.45,Belgium1986,,"120,661,220,336",12992,G.I. Generation
3458,Belgium,1986,female,35-54 years,252,1221200,20.64,Belgium1986,,"120,661,220,336",12992,Silent
3459,Belgium,1986,male,15-24 years,118,760500,15.52,Belgium1986,,"120,661,220,336",12992,Generation X
3460,Belgium,1986,female,25-34 years,76,755700,10.06,Belgium1986,,"120,661,220,336",12992,Boomers
3461,Belgium,1986,female,15-24 years,40,729100,5.49,Belgium1986,,"120,661,220,336",12992,Generation X
3462,Belgium,1986,male,5-14 years,3,630300,0.48,Belgium1986,,"120,661,220,336",12992,Generation X
3463,Belgium,1986,female,5-14 years,1,602600,0.17,Belgium1986,,"120,661,220,336",12992,Generation X
3464,Belgium,1987,male,75+ years,222,214800,103.35,Belgium1987,,"150,194,077,688",16165,G.I. Generation
3465,Belgium,1987,male,55-74 years,433,893500,48.46,Belgium1987,,"150,194,077,688",16165,G.I. Generation
3466,Belgium,1987,male,35-54 years,483,1239800,38.96,Belgium1987,,"150,194,077,688",16165,Silent
3467,Belgium,1987,male,25-34 years,273,789200,34.59,Belgium1987,,"150,194,077,688",16165,Boomers
3468,Belgium,1987,female,75+ years,113,422000,26.78,Belgium1987,,"150,194,077,688",16165,G.I. Generation
3469,Belgium,1987,female,55-74 years,232,1040900,22.29,Belgium1987,,"150,194,077,688",16165,G.I. Generation
3470,Belgium,1987,female,35-54 years,215,1222000,17.59,Belgium1987,,"150,194,077,688",16165,Silent
3471,Belgium,1987,male,15-24 years,121,756300,16.0,Belgium1987,,"150,194,077,688",16165,Generation X
3472,Belgium,1987,female,25-34 years,100,759300,13.17,Belgium1987,,"150,194,077,688",16165,Boomers
3473,Belgium,1987,female,15-24 years,35,725700,4.82,Belgium1987,,"150,194,077,688",16165,Generation X
3474,Belgium,1987,male,5-14 years,11,628100,1.75,Belgium1987,,"150,194,077,688",16165,Generation X
3475,Belgium,1987,female,5-14 years,0,599700,0.0,Belgium1987,,"150,194,077,688",16165,Generation X
3476,Belgium,1988,male,75+ years,181,217000,83.41,Belgium1988,,"163,167,853,538",17509,G.I. Generation
3477,Belgium,1988,male,55-74 years,390,901500,43.26,Belgium1988,,"163,167,853,538",17509,G.I. Generation
3478,Belgium,1988,male,35-54 years,423,1251300,33.8,Belgium1988,,"163,167,853,538",17509,Silent
3479,Belgium,1988,male,25-34 years,238,796900,29.87,Belgium1988,,"163,167,853,538",17509,Boomers
3480,Belgium,1988,female,75+ years,104,429200,24.23,Belgium1988,,"163,167,853,538",17509,G.I. Generation
3481,Belgium,1988,female,55-74 years,211,1044800,20.2,Belgium1988,,"163,167,853,538",17509,G.I. Generation
3482,Belgium,1988,female,35-54 years,213,1229900,17.32,Belgium1988,,"163,167,853,538",17509,Silent
3483,Belgium,1988,male,15-24 years,113,745800,15.15,Belgium1988,,"163,167,853,538",17509,Generation X
3484,Belgium,1988,female,25-34 years,86,767800,11.2,Belgium1988,,"163,167,853,538",17509,Boomers
3485,Belgium,1988,female,15-24 years,28,715900,3.91,Belgium1988,,"163,167,853,538",17509,Generation X
3486,Belgium,1988,male,5-14 years,8,624200,1.28,Belgium1988,,"163,167,853,538",17509,Generation X
3487,Belgium,1988,female,5-14 years,1,595000,0.17,Belgium1988,,"163,167,853,538",17509,Generation X
3488,Belgium,1989,male,75+ years,220,220800,99.64,Belgium1989,,"165,100,094,595",17659,G.I. Generation
3489,Belgium,1989,male,55-74 years,351,908400,38.64,Belgium1989,,"165,100,094,595",17659,G.I. Generation
3490,Belgium,1989,male,35-54 years,422,1267600,33.29,Belgium1989,,"165,100,094,595",17659,Silent
3491,Belgium,1989,male,25-34 years,215,805000,26.71,Belgium1989,,"165,100,094,595",17659,Boomers
3492,Belgium,1989,female,75+ years,91,436800,20.83,Belgium1989,,"165,100,094,595",17659,G.I. Generation
