,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
3812,Belize,1986,male,25-34 years,1,12100,8.26,Belize1986,,"227,850,000",1552,Boomers
3813,Belize,1986,female,15-24 years,1,17800,5.62,Belize1986,,"227,850,000",1552,Generation X
3814,Belize,1986,male,15-24 years,1,18200,5.49,Belize1986,,"227,850,000",1552,Generation X
3815,Belize,1986,female,25-34 years,0,12200,0.0,Belize1986,,"227,850,000",1552,Boomers
3816,Belize,1986,female,35-54 years,0,15500,0.0,Belize1986,,"227,850,000",1552,Silent
3817,Belize,1986,female,5-14 years,0,18300,0.0,Belize1986,,"227,850,000",1552,Generation X
3818,Belize,1986,female,55-74 years,0,8100,0.0,Belize1986,,"227,850,000",1552,G.I. Generation
3819,Belize,1986,female,75+ years,0,1700,0.0,Belize1986,,"227,850,000",1552,G.I. Generation
3820,Belize,1986,male,35-54 years,0,14800,0.0,Belize1986,,"227,850,000",1552,Silent
3821,Belize,1986,male,5-14 years,0,18900,0.0,Belize1986,,"227,850,000",1552,Generation X
3822,Belize,1986,male,55-74 years,0,7600,0.0,Belize1986,,"227,850,000",1552,G.I. Generation
3823,Belize,1986,male,75+ years,0,1600,0.0,Belize1986,,"227,850,000",1552,G.I. Generation
3824,Belize,1987,male,25-34 years,2,11815,16.93,Belize1987,,"276,550,000",1920,Boomers
3825,Belize,1987,male,35-54 years,1,10860,9.21,Belize1987,,"276,550,000",1920,Silent
3826,Belize,1987,male,15-24 years,1,18966,5.27,Belize1987,,"276,550,000",1920,Generation X
3827,Belize,1987,female,15-24 years,0,18791,0.0,Belize1987,,"276,550,000",1920,Generation X
3828,Belize,1987,female,25-34 years,0,11413,0.0,Belize1987,,"276,550,000",1920,Boomers
3829,Belize,1987,female,35-54 years,0,10635,0.0,Belize1987,,"276,550,000",1920,Silent
3830,Belize,1987,female,5-14 years,0,23345,0.0,Belize1987,,"276,550,000",1920,Generation X
3831,Belize,1987,female,55-74 years,0,5789,0.0,Belize1987,,"276,550,000",1920,G.I. Generation
3832,Belize,1987,female,75+ years,0,1535,0.0,Belize1987,,"276,550,000",1920,G.I. Generation
3833,Belize,1987,male,5-14 years,0,23793,0.0,Belize1987,,"276,550,000",1920,Generation X
3834,Belize,1987,male,55-74 years,0,5866,0.0,Belize1987,,"276,550,000",1920,G.I. Generation
3835,Belize,1987,male,75+ years,0,1261,0.0,Belize1987,,"276,550,000",1920,G.I. Generation
3836,Belize,1989,male,15-24 years,1,19396,5.16,Belize1989,,"363,150,000",2372,Generation X
3837,Belize,1989,female,15-24 years,0,19271,0.0,Belize1989,,"363,150,000",2372,Generation X
3838,Belize,1989,female,25-34 years,0,12799,0.0,Belize1989,,"363,150,000",2372,Boomers
3839,Belize,1989,female,35-54 years,0,11526,0.0,Belize1989,,"363,150,000",2372,Silent
