,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
4172,Brazil,1985,male,75+ years,129,840300,15.35,Brazil1985,0.5760000000000001,"222,942,790,435",1898,G.I. Generation
4173,Brazil,1985,male,55-74 years,535,5364900,9.97,Brazil1985,0.5760000000000001,"222,942,790,435",1898,G.I. Generation
4174,Brazil,1985,male,35-54 years,1011,11986300,8.43,Brazil1985,0.5760000000000001,"222,942,790,435",1898,Silent
4175,Brazil,1985,male,25-34 years,791,10762900,7.35,Brazil1985,0.5760000000000001,"222,942,790,435",1898,Boomers
4176,Brazil,1985,male,15-24 years,661,13834000,4.78,Brazil1985,0.5760000000000001,"222,942,790,435",1898,Generation X
4177,Brazil,1985,female,75+ years,32,988100,3.24,Brazil1985,0.5760000000000001,"222,942,790,435",1898,G.I. Generation
4178,Brazil,1985,female,55-74 years,148,5650100,2.62,Brazil1985,0.5760000000000001,"222,942,790,435",1898,G.I. Generation
4179,Brazil,1985,female,25-34 years,269,10798700,2.49,Brazil1985,0.5760000000000001,"222,942,790,435",1898,Boomers
4180,Brazil,1985,female,35-54 years,296,12185200,2.43,Brazil1985,0.5760000000000001,"222,942,790,435",1898,Silent
4181,Brazil,1985,female,15-24 years,280,13751800,2.04,Brazil1985,0.5760000000000001,"222,942,790,435",1898,Generation X
4182,Brazil,1985,female,5-14 years,41,15622900,0.26,Brazil1985,0.5760000000000001,"222,942,790,435",1898,Generation X
4183,Brazil,1985,male,5-14 years,35,15693700,0.22,Brazil1985,0.5760000000000001,"222,942,790,435",1898,Generation X
4184,Brazil,1986,male,75+ years,103,823700,12.5,Brazil1986,,"268,137,224,730",2257,G.I. Generation
4185,Brazil,1986,male,55-74 years,581,5492100,10.58,Brazil1986,,"268,137,224,730",2257,G.I. Generation
4186,Brazil,1986,male,35-54 years,967,12396000,7.8,Brazil1986,,"268,137,224,730",2257,Silent
4187,Brazil,1986,male,25-34 years,754,9895200,7.62,Brazil1986,,"268,137,224,730",2257,Boomers
4188,Brazil,1986,male,15-24 years,685,13347500,5.13,Brazil1986,,"268,137,224,730",2257,Generation X
4189,Brazil,1986,female,75+ years,33,1079400,3.06,Brazil1986,,"268,137,224,730",2257,G.I. Generation
4190,Brazil,1986,female,55-74 years,163,6093600,2.67,Brazil1986,,"268,137,224,730",2257,G.I. Generation
4191,Brazil,1986,female,35-54 years,335,13195700,2.54,Brazil1986,,"268,137,224,730",2257,Silent
