,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
4544,Bulgaria,1985,male,75+ years,218,166200,131.17,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,G.I. Generation
4545,Bulgaria,1985,female,75+ years,94,222700,42.21,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,G.I. Generation
4546,Bulgaria,1985,male,55-74 years,345,881600,39.13,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,G.I. Generation
4547,Bulgaria,1985,male,35-54 years,278,1217500,22.83,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,Silent
4548,Bulgaria,1985,female,55-74 years,168,952200,17.64,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,G.I. Generation
4549,Bulgaria,1985,male,25-34 years,105,624800,16.81,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,Boomers
4550,Bulgaria,1985,male,15-24 years,77,603600,12.76,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,Generation X
4551,Bulgaria,1985,female,35-54 years,91,1228400,7.41,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,Silent
4552,Bulgaria,1985,female,25-34 years,36,619200,5.81,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,Boomers
4553,Bulgaria,1985,female,15-24 years,31,575700,5.38,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,Generation X
4554,Bulgaria,1985,male,5-14 years,11,667800,1.65,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,Generation X
4555,Bulgaria,1985,female,5-14 years,2,632800,0.32,Bulgaria1985,0.6859999999999999,"17,155,421,053",2044,Generation X
4556,Bulgaria,1986,male,75+ years,172,165700,103.8,Bulgaria1986,,"20,249,294,118",2413,G.I. Generation
4557,Bulgaria,1986,female,75+ years,96,223100,43.03,Bulgaria1986,,"20,249,294,118",2413,G.I. Generation
4558,Bulgaria,1986,male,55-74 years,314,881400,35.63,Bulgaria1986,,"20,249,294,118",2413,G.I. Generation
4559,Bulgaria,1986,male,35-54 years,290,1217600,23.82,Bulgaria1986,,"20,249,294,118",2413,Silent
4560,Bulgaria,1986,male,25-34 years,123,624900,19.68,Bulgaria1986,,"20,249,294,118",2413,Boomers
4561,Bulgaria,1986,female,55-74 years,184,951900,19.33,Bulgaria1986,,"20,249,294,118",2413,G.I. Generation
4562,Bulgaria,1986,male,15-24 years,64,603700,10.6,Bulgaria1986,,"20,249,294,118",2413,Generation X
4563,Bulgaria,1986,female,35-54 years,92,1228100,7.49,Bulgaria1986,,"20,249,294,118",2413,Silent
4564,Bulgaria,1986,female,15-24 years,38,575900,6.6,Bulgaria1986,,"20,249,294,118",2413,Generation X
4565,Bulgaria,1986,female,25-34 years,20,618800,3.23,Bulgaria1986,,"20,249,294,118",2413,Boomers
4566,Bulgaria,1986,male,5-14 years,12,667500,1.8,Bulgaria1986,,"20,249,294,118",2413,Generation X
4567,Bulgaria,1986,female,5-14 years,3,632900,0.47,Bulgaria1986,,"20,249,294,118",2413,Generation X
4568,Bulgaria,1987,male,75+ years,228,172900,131.87,Bulgaria1987,,"28,101,000,000",3355,G.I. Generation
4569,Bulgaria,1987,female,75+ years,101,238800,42.29,Bulgaria1987,,"28,101,000,000",3355,G.I. Generation
4570,Bulgaria,1987,male,55-74 years,346,849500,40.73,Bulgaria1987,,"28,101,000,000",3355,G.I. Generation
4571,Bulgaria,1987,male,35-54 years,283,1181700,23.95,Bulgaria1987,,"28,101,000,000",3355,Silent
4572,Bulgaria,1987,female,55-74 years,177,946200,18.71,Bulgaria1987,,"28,101,000,000",3355,G.I. Generation
4573,Bulgaria,1987,male,25-34 years,110,634200,17.34,Bulgaria1987,,"28,101,000,000",3355,Boomers
4574,Bulgaria,1987,male,15-24 years,81,619800,13.07,Bulgaria1987,,"28,101,000,000",3355,Generation X
4575,Bulgaria,1987,female,35-54 years,81,1197400,6.76,Bulgaria1987,,"28,101,000,000",3355,Silent
4576,Bulgaria,1987,female,15-24 years,35,595300,5.88,Bulgaria1987,,"28,101,000,000",3355,Generation X
4577,Bulgaria,1987,female,25-34 years,28,625200,4.48,Bulgaria1987,,"28,101,000,000",3355,Boomers
4578,Bulgaria,1987,male,5-14 years,15,674100,2.23,Bulgaria1987,,"28,101,000,000",3355,Generation X
4579,Bulgaria,1987,female,5-14 years,7,640300,1.09,Bulgaria1987,,"28,101,000,000",3355,Generation X
4580,Bulgaria,1988,male,75+ years,204,172700,118.12,Bulgaria1988,,"22,555,941,176",2688,G.I. Generation
4581,Bulgaria,1988,female,75+ years,102,241000,42.32,Bulgaria1988,,"22,555,941,176",2688,G.I. Generation
4582,Bulgaria,1988,male,55-74 years,345,860200,40.11,Bulgaria1988,,"22,555,941,176",2688,G.I. Generation
4583,Bulgaria,1988,male,35-54 years,278,1180000,23.56,Bulgaria1988,,"22,555,941,176",2688,Silent
4584,Bulgaria,1988,female,55-74 years,165,962400,17.14,Bulgaria1988,,"22,555,941,176",2688,G.I. Generation
4585,Bulgaria,1988,male,25-34 years,99,629400,15.73,Bulgaria1988,,"22,555,941,176",2688,Boomers
4586,Bulgaria,1988,male,15-24 years,78,624000,12.5,Bulgaria1988,,"22,555,941,176",2688,Generation X
4587,Bulgaria,1988,female,35-54 years,79,1197300,6.6,Bulgaria1988,,"22,555,941,176",2688,Silent
4588,Bulgaria,1988,female,25-34 years,39,620000,6.29,Bulgaria1988,,"22,555,941,176",2688,Boomers
4589,Bulgaria,1988,female,15-24 years,37,598100,6.19,Bulgaria1988,,"22,555,941,176",2688,Generation X
4590,Bulgaria,1988,male,5-14 years,21,669200,3.14,Bulgaria1988,,"22,555,941,176",2688,Generation X
4591,Bulgaria,1988,female,5-14 years,5,635500,0.79,Bulgaria1988,,"22,555,941,176",2688,Generation X
4592,Bulgaria,1989,male,75+ years,213,174000,122.41,Bulgaria1989,,"21,988,444,444",2617,G.I. Generation
4593,Bulgaria,1989,male,55-74 years,345,869600,39.67,Bulgaria1989,,"21,988,444,444",2617,G.I. Generation
4594,Bulgaria,1989,female,75+ years,95,244200,38.9,Bulgaria1989,,"21,988,444,444",2617,G.I. Generation
4595,Bulgaria,1989,male,35-54 years,289,1177800,24.54,Bulgaria1989,,"21,988,444,444",2617,Silent
4596,Bulgaria,1989,female,55-74 years,171,977600,17.49,Bulgaria1989,,"21,988,444,444",2617,G.I. Generation
4597,Bulgaria,1989,male,25-34 years,107,623900,17.15,Bulgaria1989,,"21,988,444,444",2617,Boomers
4598,Bulgaria,1989,male,15-24 years,69,633700,10.89,Bulgaria1989,,"21,988,444,444",2617,Generation X
4599,Bulgaria,1989,female,35-54 years,83,1196400,6.94,Bulgaria1989,,"21,988,444,444",2617,Silent
4600,Bulgaria,1989,female,15-24 years,39,606700,6.43,Bulgaria1989,,"21,988,444,444",2617,Generation X
4601,Bulgaria,1989,female,25-34 years,28,614200,4.56,Bulgaria1989,,"21,988,444,444",2617,Boomers
4602,Bulgaria,1989,male,5-14 years,18,659300,2.73,Bulgaria1989,,"21,988,444,444",2617,Generation X
4603,Bulgaria,1989,female,5-14 years,3,625800,0.48,Bulgaria1989,,"21,988,444,444",2617,Generation X
4604,Bulgaria,1990,male,75+ years,174,179200,97.1,Bulgaria1990,0.695,"20,632,090,909",2451,G.I. Generation
4605,Bulgaria,1990,female,75+ years,98,252100,38.87,Bulgaria1990,0.695,"20,632,090,909",2451,G.I. Generation
4606,Bulgaria,1990,male,55-74 years,294,873400,33.66,Bulgaria1990,0.695,"20,632,090,909",2451,G.I. Generation
4607,Bulgaria,1990,male,35-54 years,242,1177100,20.56,Bulgaria1990,0.695,"20,632,090,909",2451,Silent
4608,Bulgaria,1990,male,25-34 years,106,617000,17.18,Bulgaria1990,0.695,"20,632,090,909",2451,Boomers
4609,Bulgaria,1990,female,55-74 years,161,986100,16.33,Bulgaria1990,0.695,"20,632,090,909",2451,G.I. Generation
4610,Bulgaria,1990,male,15-24 years,90,646500,13.92,Bulgaria1990,0.695,"20,632,090,909",2451,Generation X
4611,Bulgaria,1990,female,35-54 years,86,1197400,7.18,Bulgaria1990,0.695,"20,632,090,909",2451,Silent
4612,Bulgaria,1990,female,25-34 years,30,606700,4.94,Bulgaria1990,0.695,"20,632,090,909",2451,Boomers
4613,Bulgaria,1990,female,15-24 years,26,618000,4.21,Bulgaria1990,0.695,"20,632,090,909",2451,Generation X
