,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
4916,Canada,1985,male,75+ years,111,390200,28.45,Canada1985,0.8270000000000001,"364,756,499,451",15522,G.I. Generation
4917,Canada,1985,male,55-74 years,502,1841000,27.27,Canada1985,0.8270000000000001,"364,756,499,451",15522,G.I. Generation
4918,Canada,1985,male,25-34 years,605,2240500,27.0,Canada1985,0.8270000000000001,"364,756,499,451",15522,Boomers
4919,Canada,1985,male,35-54 years,774,3046800,25.4,Canada1985,0.8270000000000001,"364,756,499,451",15522,Silent
4920,Canada,1985,male,15-24 years,560,2224600,25.17,Canada1985,0.8270000000000001,"364,756,499,451",15522,Generation X
4921,Canada,1985,female,35-54 years,255,3025600,8.43,Canada1985,0.8270000000000001,"364,756,499,451",15522,Silent
4922,Canada,1985,female,55-74 years,166,2092200,7.93,Canada1985,0.8270000000000001,"364,756,499,451",15522,G.I. Generation
4923,Canada,1985,female,25-34 years,148,2257500,6.56,Canada1985,0.8270000000000001,"364,756,499,451",15522,Boomers
4924,Canada,1985,female,75+ years,34,642900,5.29,Canada1985,0.8270000000000001,"364,756,499,451",15522,G.I. Generation
4925,Canada,1985,female,15-24 years,85,2143200,3.97,Canada1985,0.8270000000000001,"364,756,499,451",15522,Generation X
4926,Canada,1985,male,5-14 years,13,1844400,0.7,Canada1985,0.8270000000000001,"364,756,499,451",15522,Generation X
4927,Canada,1985,female,5-14 years,5,1751000,0.29,Canada1985,0.8270000000000001,"364,756,499,451",15522,Generation X
4928,Canada,1986,male,75+ years,143,394400,36.26,Canada1986,,"377,437,927,312",16062,G.I. Generation
4929,Canada,1986,male,25-34 years,719,2248800,31.97,Canada1986,,"377,437,927,312",16062,Boomers
4930,Canada,1986,male,35-54 years,878,3098100,28.34,Canada1986,,"377,437,927,312",16062,Silent
4931,Canada,1986,male,55-74 years,520,1862900,27.91,Canada1986,,"377,437,927,312",16062,G.I. Generation
4932,Canada,1986,male,15-24 years,570,2116700,26.93,Canada1986,,"377,437,927,312",16062,Generation X
4933,Canada,1986,female,35-54 years,307,3087900,9.94,Canada1986,,"377,437,927,312",16062,Silent
