,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
5264,Chile,1985,male,75+ years,34,87600,38.81,Chile1985,0.654,"17,702,885,394",1658,G.I. Generation
5265,Chile,1985,male,55-74 years,100,538000,18.59,Chile1985,0.654,"17,702,885,394",1658,G.I. Generation
5266,Chile,1985,male,35-54 years,174,1201800,14.48,Chile1985,0.654,"17,702,885,394",1658,Silent
5267,Chile,1985,male,25-34 years,122,962600,12.67,Chile1985,0.654,"17,702,885,394",1658,Boomers
5268,Chile,1985,male,15-24 years,133,1239900,10.73,Chile1985,0.654,"17,702,885,394",1658,Generation X
5269,Chile,1985,female,55-74 years,21,633700,3.31,Chile1985,0.654,"17,702,885,394",1658,G.I. Generation
5270,Chile,1985,female,35-54 years,40,1252200,3.19,Chile1985,0.654,"17,702,885,394",1658,Silent
5271,Chile,1985,female,15-24 years,27,1216200,2.22,Chile1985,0.654,"17,702,885,394",1658,Generation X
5272,Chile,1985,female,75+ years,3,141200,2.12,Chile1985,0.654,"17,702,885,394",1658,G.I. Generation
5273,Chile,1985,female,25-34 years,19,957500,1.98,Chile1985,0.654,"17,702,885,394",1658,Boomers
5274,Chile,1985,male,5-14 years,9,1240900,0.73,Chile1985,0.654,"17,702,885,394",1658,Generation X
5275,Chile,1985,female,5-14 years,1,1203800,0.08,Chile1985,0.654,"17,702,885,394",1658,Generation X
5276,Chile,1986,male,75+ years,21,91400,22.98,Chile1986,,"18,891,048,819",1728,G.I. Generation
5277,Chile,1986,male,55-74 years,116,550000,21.09,Chile1986,,"18,891,048,819",1728,G.I. Generation
5278,Chile,1986,male,35-54 years,156,1237100,12.61,Chile1986,,"18,891,048,819",1728,Silent
5279,Chile,1986,male,25-34 years,124,1024700,12.1,Chile1986,,"18,891,048,819",1728,Boomers
5280,Chile,1986,male,15-24 years,108,1261700,8.56,Chile1986,,"18,891,048,819",1728,Generation X
5281,Chile,1986,female,15-24 years,37,1234200,3.0,Chile1986,,"18,891,048,819",1728,Generation X
5282,Chile,1986,female,35-54 years,37,1305400,2.83,Chile1986,,"18,891,048,819",1728,Silent
5283,Chile,1986,female,25-34 years,26,1018700,2.55,Chile1986,,"18,891,048,819",1728,Boomers
5284,Chile,1986,female,55-74 years,15,657700,2.28,Chile1986,,"18,891,048,819",1728,G.I. Generation
5285,Chile,1986,female,75+ years,3,147500,2.03,Chile1986,,"18,891,048,819",1728,G.I. Generation
5286,Chile,1986,male,5-14 years,7,1224000,0.57,Chile1986,,"18,891,048,819",1728,Generation X
5287,Chile,1986,female,5-14 years,4,1179300,0.34,Chile1986,,"18,891,048,819",1728,Generation X
5288,Chile,1987,male,55-74 years,120,563900,21.28,Chile1987,,"22,255,407,685",1985,G.I. Generation
5289,Chile,1987,male,75+ years,19,93700,20.28,Chile1987,,"22,255,407,685",1985,G.I. Generation
5290,Chile,1987,male,25-34 years,147,1050700,13.99,Chile1987,,"22,255,407,685",1985,Boomers
5291,Chile,1987,male,35-54 years,160,1268600,12.61,Chile1987,,"22,255,407,685",1985,Silent
5292,Chile,1987,male,15-24 years,116,1293700,8.97,Chile1987,,"22,255,407,685",1985,Generation X
5293,Chile,1987,female,55-74 years,23,674400,3.41,Chile1987,,"22,255,407,685",1985,G.I. Generation
5294,Chile,1987,female,15-24 years,38,1265500,3.0,Chile1987,,"22,255,407,685",1985,Generation X
5295,Chile,1987,female,25-34 years,29,1044400,2.78,Chile1987,,"22,255,407,685",1985,Boomers
5296,Chile,1987,female,35-54 years,34,1338500,2.54,Chile1987,,"22,255,407,685",1985,Silent
5297,Chile,1987,male,5-14 years,6,1255100,0.48,Chile1987,,"22,255,407,685",1985,Generation X
5298,Chile,1987,female,5-14 years,1,1209200,0.08,Chile1987,,"22,255,407,685",1985,Generation X
5299,Chile,1987,female,75+ years,0,151300,0.0,Chile1987,,"22,255,407,685",1985,G.I. Generation
5300,Chile,1988,male,75+ years,29,106000,27.36,Chile1988,,"26,040,229,793",2303,G.I. Generation
5301,Chile,1988,male,55-74 years,101,566000,17.84,Chile1988,,"26,040,229,793",2303,G.I. Generation
5302,Chile,1988,male,25-34 years,160,1095000,14.61,Chile1988,,"26,040,229,793",2303,Boomers
5303,Chile,1988,male,35-54 years,173,1272000,13.6,Chile1988,,"26,040,229,793",2303,Silent
5304,Chile,1988,male,15-24 years,112,1259000,8.9,Chile1988,,"26,040,229,793",2303,Generation X
5305,Chile,1988,female,15-24 years,38,1233000,3.08,Chile1988,,"26,040,229,793",2303,Generation X
5306,Chile,1988,female,55-74 years,19,697000,2.73,Chile1988,,"26,040,229,793",2303,G.I. Generation
5307,Chile,1988,female,35-54 years,32,1329000,2.41,Chile1988,,"26,040,229,793",2303,Silent
5308,Chile,1988,female,75+ years,3,172000,1.74,Chile1988,,"26,040,229,793",2303,G.I. Generation
5309,Chile,1988,female,25-34 years,19,1090000,1.74,Chile1988,,"26,040,229,793",2303,Boomers
5310,Chile,1988,female,5-14 years,6,1224000,0.49,Chile1988,,"26,040,229,793",2303,Generation X
5311,Chile,1988,male,5-14 years,5,1263000,0.4,Chile1988,,"26,040,229,793",2303,Generation X
5312,Chile,1989,male,75+ years,34,106000,32.08,Chile1989,,"29,885,685,143",2599,G.I. Generation
5313,Chile,1989,male,55-74 years,109,579000,18.83,Chile1989,,"29,885,685,143",2599,G.I. Generation
5314,Chile,1989,male,25-34 years,162,1123000,14.43,Chile1989,,"29,885,685,143",2599,Boomers
5315,Chile,1989,male,35-54 years,170,1314000,12.94,Chile1989,,"29,885,685,143",2599,Silent
5316,Chile,1989,male,15-24 years,140,1255000,11.16,Chile1989,,"29,885,685,143",2599,Generation X
5317,Chile,1989,female,35-54 years,33,1370000,2.41,Chile1989,,"29,885,685,143",2599,Silent
5318,Chile,1989,female,15-24 years,26,1228000,2.12,Chile1989,,"29,885,685,143",2599,Generation X
5319,Chile,1989,female,25-34 years,23,1117000,2.06,Chile1989,,"29,885,685,143",2599,Boomers
5320,Chile,1989,female,75+ years,3,175000,1.71,Chile1989,,"29,885,685,143",2599,G.I. Generation
5321,Chile,1989,female,55-74 years,12,715000,1.68,Chile1989,,"29,885,685,143",2599,G.I. Generation
5322,Chile,1989,male,5-14 years,11,1280000,0.86,Chile1989,,"29,885,685,143",2599,Generation X
5323,Chile,1989,female,5-14 years,2,1239000,0.16,Chile1989,,"29,885,685,143",2599,Generation X
5324,Chile,1990,male,55-74 years,145,608000,23.85,Chile1990,0.6990000000000001,"33,113,887,818",2828,G.I. Generation
5325,Chile,1990,male,75+ years,22,112000,19.64,Chile1990,0.6990000000000001,"33,113,887,818",2828,G.I. Generation
5326,Chile,1990,male,35-54 years,176,1340000,13.13,Chile1990,0.6990000000000001,"33,113,887,818",2828,Silent
5327,Chile,1990,male,25-34 years,148,1167000,12.68,Chile1990,0.6990000000000001,"33,113,887,818",2828,Boomers
5328,Chile,1990,male,15-24 years,134,1256000,10.67,Chile1990,0.6990000000000001,"33,113,887,818",2828,Generation X
5329,Chile,1990,female,55-74 years,19,732000,2.6,Chile1990,0.6990000000000001,"33,113,887,818",2828,G.I. Generation
5330,Chile,1990,female,35-54 years,34,1419000,2.4,Chile1990,0.6990000000000001,"33,113,887,818",2828,Silent
5331,Chile,1990,female,25-34 years,27,1162000,2.32,Chile1990,0.6990000000000001,"33,113,887,818",2828,Boomers
5332,Chile,1990,female,15-24 years,23,1230000,1.87,Chile1990,0.6990000000000001,"33,113,887,818",2828,Generation X
5333,Chile,1990,female,75+ years,3,171000,1.75,Chile1990,0.6990000000000001,"33,113,887,818",2828,G.I. Generation
5334,Chile,1990,male,5-14 years,9,1276000,0.71,Chile1990,0.6990000000000001,"33,113,887,818",2828,Generation X
5335,Chile,1990,female,5-14 years,3,1236000,0.24,Chile1990,0.6990000000000001,"33,113,887,818",2828,Generation X
5336,Chile,1991,male,75+ years,31,112500,27.56,Chile1991,,"37,834,793,730",3187,G.I. Generation
5337,Chile,1991,male,55-74 years,111,617200,17.98,Chile1991,,"37,834,793,730",3187,Silent
5338,Chile,1991,male,35-54 years,222,1404000,15.81,Chile1991,,"37,834,793,730",3187,Boomers
5339,Chile,1991,male,25-34 years,143,1178100,12.14,Chile1991,,"37,834,793,730",3187,Boomers
5340,Chile,1991,male,15-24 years,142,1243900,11.42,Chile1991,,"37,834,793,730",3187,Generation X
5341,Chile,1991,female,35-54 years,42,1453200,2.89,Chile1991,,"37,834,793,730",3187,Boomers
5342,Chile,1991,female,15-24 years,34,1217200,2.79,Chile1991,,"37,834,793,730",3187,Generation X
5343,Chile,1991,female,75+ years,5,186300,2.68,Chile1991,,"37,834,793,730",3187,G.I. Generation
5344,Chile,1991,female,25-34 years,29,1171500,2.48,Chile1991,,"37,834,793,730",3187,Boomers
5345,Chile,1991,female,55-74 years,16,750400,2.13,Chile1991,,"37,834,793,730",3187,Silent
5346,Chile,1991,female,5-14 years,7,1247600,0.56,Chile1991,,"37,834,793,730",3187,Millenials
5347,Chile,1991,male,5-14 years,5,1289100,0.39,Chile1991,,"37,834,793,730",3187,Millenials
5348,Chile,1992,male,75+ years,25,118000,21.19,Chile1992,,"45,964,327,559",3791,G.I. Generation
5349,Chile,1992,male,55-74 years,105,640000,16.41,Chile1992,,"45,964,327,559",3791,Silent
5350,Chile,1992,male,25-34 years,162,1211000,13.38,Chile1992,,"45,964,327,559",3791,Boomers
5351,Chile,1992,male,35-54 years,170,1435000,11.85,Chile1992,,"45,964,327,559",3791,Boomers
5352,Chile,1992,male,15-24 years,94,1245000,7.55,Chile1992,,"45,964,327,559",3791,Generation X
5353,Chile,1992,female,15-24 years,29,1218000,2.38,Chile1992,,"45,964,327,559",3791,Generation X
5354,Chile,1992,female,25-34 years,25,1205000,2.07,Chile1992,,"45,964,327,559",3791,Boomers
5355,Chile,1992,female,35-54 years,27,1512000,1.79,Chile1992,,"45,964,327,559",3791,Boomers
5356,Chile,1992,female,55-74 years,12,769000,1.56,Chile1992,,"45,964,327,559",3791,Silent
5357,Chile,1992,male,5-14 years,6,1316000,0.46,Chile1992,,"45,964,327,559",3791,Millenials
5358,Chile,1992,female,5-14 years,3,1273000,0.24,Chile1992,,"45,964,327,559",3791,Millenials
5359,Chile,1992,female,75+ years,0,183000,0.0,Chile1992,,"45,964,327,559",3791,G.I. Generation
5360,Chile,1993,male,75+ years,50,119900,41.7,Chile1993,,"49,297,773,130",4006,G.I. Generation
5361,Chile,1993,male,55-74 years,110,649000,16.95,Chile1993,,"49,297,773,130",4006,Silent
5362,Chile,1993,male,35-54 years,187,1509600,12.39,Chile1993,,"49,297,773,130",4006,Boomers
5363,Chile,1993,male,25-34 years,150,1213100,12.37,Chile1993,,"49,297,773,130",4006,Boomers
5364,Chile,1993,male,15-24 years,118,1237400,9.54,Chile1993,,"49,297,773,130",4006,Generation X
5365,Chile,1993,female,35-54 years,45,1555600,2.89,Chile1993,,"49,297,773,130",4006,Boomers
5366,Chile,1993,female,55-74 years,18,782200,2.3,Chile1993,,"49,297,773,130",4006,Silent
5367,Chile,1993,female,15-24 years,26,1209600,2.15,Chile1993,,"49,297,773,130",4006,Generation X
5368,Chile,1993,female,25-34 years,24,1205200,1.99,Chile1993,,"49,297,773,130",4006,Boomers
5369,Chile,1993,male,5-14 years,9,1334500,0.67,Chile1993,,"49,297,773,130",4006,Millenials
5370,Chile,1993,female,5-14 years,3,1290200,0.23,Chile1993,,"49,297,773,130",4006,Millenials
5371,Chile,1993,female,75+ years,0,200100,0.0,Chile1993,,"49,297,773,130",4006,G.I. Generation
5372,Chile,1994,male,75+ years,33,123700,26.68,Chile1994,,"57,008,425,296",4551,G.I. Generation
5373,Chile,1994,male,55-74 years,127,666400,19.06,Chile1994,,"57,008,425,296",4551,Silent
5374,Chile,1994,male,25-34 years,184,1224400,15.03,Chile1994,,"57,008,425,296",4551,Boomers
5375,Chile,1994,male,35-54 years,223,1564900,14.25,Chile1994,,"57,008,425,296",4551,Boomers
5376,Chile,1994,male,15-24 years,135,1235400,10.93,Chile1994,,"57,008,425,296",4551,Generation X
5377,Chile,1994,female,25-34 years,26,1215800,2.14,Chile1994,,"57,008,425,296",4551,Boomers
