,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
6008,Costa Rica,1985,male,35-54 years,32,218000,14.68,Costa Rica1985,0.623,"4,796,628,461",2145,Silent
6009,Costa Rica,1985,male,25-34 years,32,219000,14.61,Costa Rica1985,0.623,"4,796,628,461",2145,Boomers
6010,Costa Rica,1985,male,55-74 years,12,91000,13.19,Costa Rica1985,0.623,"4,796,628,461",2145,G.I. Generation
6011,Costa Rica,1985,male,15-24 years,33,285800,11.55,Costa Rica1985,0.623,"4,796,628,461",2145,Generation X
6012,Costa Rica,1985,male,75+ years,1,13000,7.69,Costa Rica1985,0.623,"4,796,628,461",2145,G.I. Generation
6013,Costa Rica,1985,female,15-24 years,8,274800,2.91,Costa Rica1985,0.623,"4,796,628,461",2145,Generation X
6014,Costa Rica,1985,female,25-34 years,3,214000,1.4,Costa Rica1985,0.623,"4,796,628,461",2145,Boomers
6015,Costa Rica,1985,female,35-54 years,3,216000,1.39,Costa Rica1985,0.623,"4,796,628,461",2145,Silent
6016,Costa Rica,1985,female,55-74 years,1,97000,1.03,Costa Rica1985,0.623,"4,796,628,461",2145,G.I. Generation
6017,Costa Rica,1985,male,5-14 years,2,300800,0.66,Costa Rica1985,0.623,"4,796,628,461",2145,Generation X
6018,Costa Rica,1985,female,5-14 years,1,288800,0.35,Costa Rica1985,0.623,"4,796,628,461",2145,Generation X
6019,Costa Rica,1985,female,75+ years,0,18000,0.0,Costa Rica1985,0.623,"4,796,628,461",2145,G.I. Generation
6020,Costa Rica,1986,male,75+ years,3,13300,22.56,Costa Rica1986,,"5,477,895,475",2389,G.I. Generation
6021,Costa Rica,1986,male,35-54 years,48,223500,21.48,Costa Rica1986,,"5,477,895,475",2389,Silent
6022,Costa Rica,1986,male,55-74 years,20,93300,21.44,Costa Rica1986,,"5,477,895,475",2389,G.I. Generation
6023,Costa Rica,1986,male,25-34 years,26,224600,11.58,Costa Rica1986,,"5,477,895,475",2389,Boomers
6024,Costa Rica,1986,male,15-24 years,20,293100,6.82,Costa Rica1986,,"5,477,895,475",2389,Generation X
6025,Costa Rica,1986,female,15-24 years,7,281700,2.48,Costa Rica1986,,"5,477,895,475",2389,Generation X
6026,Costa Rica,1986,female,55-74 years,1,99500,1.01,Costa Rica1986,,"5,477,895,475",2389,G.I. Generation
6027,Costa Rica,1986,female,25-34 years,2,219400,0.91,Costa Rica1986,,"5,477,895,475",2389,Boomers
6028,Costa Rica,1986,female,35-54 years,2,221500,0.9,Costa Rica1986,,"5,477,895,475",2389,Silent
6029,Costa Rica,1986,female,5-14 years,1,296100,0.34,Costa Rica1986,,"5,477,895,475",2389,Generation X
6030,Costa Rica,1986,male,5-14 years,1,308400,0.32,Costa Rica1986,,"5,477,895,475",2389,Generation X
6031,Costa Rica,1986,female,75+ years,0,18500,0.0,Costa Rica1986,,"5,477,895,475",2389,G.I. Generation
6032,Costa Rica,1987,male,75+ years,5,14000,35.71,Costa Rica1987,,"5,841,132,962",2433,G.I. Generation
6033,Costa Rica,1987,male,35-54 years,34,234100,14.52,Costa Rica1987,,"5,841,132,962",2433,Silent
6034,Costa Rica,1987,male,25-34 years,29,235100,12.34,Costa Rica1987,,"5,841,132,962",2433,Boomers
6035,Costa Rica,1987,male,15-24 years,22,306700,7.17,Costa Rica1987,,"5,841,132,962",2433,Generation X
6036,Costa Rica,1987,male,55-74 years,7,97700,7.16,Costa Rica1987,,"5,841,132,962",2433,G.I. Generation
6037,Costa Rica,1987,female,25-34 years,8,229800,3.48,Costa Rica1987,,"5,841,132,962",2433,Boomers
6038,Costa Rica,1987,female,15-24 years,7,295000,2.37,Costa Rica1987,,"5,841,132,962",2433,Generation X
6039,Costa Rica,1987,female,35-54 years,5,231900,2.16,Costa Rica1987,,"5,841,132,962",2433,Silent
6040,Costa Rica,1987,female,5-14 years,2,310000,0.65,Costa Rica1987,,"5,841,132,962",2433,Generation X
6041,Costa Rica,1987,female,55-74 years,0,104200,0.0,Costa Rica1987,,"5,841,132,962",2433,G.I. Generation
6042,Costa Rica,1987,female,75+ years,0,19300,0.0,Costa Rica1987,,"5,841,132,962",2433,G.I. Generation
6043,Costa Rica,1987,male,5-14 years,0,322900,0.0,Costa Rica1987,,"5,841,132,962",2433,Generation X
6044,Costa Rica,1988,male,75+ years,4,14300,27.97,Costa Rica1988,,"6,063,759,371",2460,G.I. Generation
6045,Costa Rica,1988,male,35-54 years,49,240300,20.39,Costa Rica1988,,"6,063,759,371",2460,Silent
6046,Costa Rica,1988,male,55-74 years,14,100400,13.94,Costa Rica1988,,"6,063,759,371",2460,G.I. Generation
6047,Costa Rica,1988,male,25-34 years,32,241400,13.26,Costa Rica1988,,"6,063,759,371",2460,Boomers
