,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
6368,Croatia,1995,male,75+ years,77,73500,104.76,Croatia1995,0.6940000000000001,"22,387,561,845",4978,G.I. Generation
6369,Croatia,1995,male,55-74 years,216,418200,51.65,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Silent
6370,Croatia,1995,male,35-54 years,226,659600,34.26,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Boomers
6371,Croatia,1995,female,75+ years,39,147800,26.39,Croatia1995,0.6940000000000001,"22,387,561,845",4978,G.I. Generation
6372,Croatia,1995,male,25-34 years,89,356100,24.99,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Generation X
6373,Croatia,1995,male,15-24 years,73,334000,21.86,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Generation X
6374,Croatia,1995,female,55-74 years,99,544100,18.2,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Silent
6375,Croatia,1995,female,35-54 years,65,649700,10.0,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Boomers
6376,Croatia,1995,female,25-34 years,21,349900,6.0,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Generation X
6377,Croatia,1995,female,15-24 years,17,322000,5.28,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Generation X
6378,Croatia,1995,male,5-14 years,6,328700,1.83,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Millenials
6379,Croatia,1995,female,5-14 years,1,313800,0.32,Croatia1995,0.6940000000000001,"22,387,561,845",4978,Millenials
6380,Croatia,1996,male,75+ years,72,72100,99.86,Croatia1996,,"23,678,012,697",5610,G.I. Generation
6381,Croatia,1996,male,55-74 years,270,388400,69.52,Croatia1996,,"23,678,012,697",5610,Silent
6382,Croatia,1996,male,35-54 years,221,587800,37.6,Croatia1996,,"23,678,012,697",5610,Boomers
6383,Croatia,1996,female,75+ years,40,144500,27.68,Croatia1996,,"23,678,012,697",5610,G.I. Generation
