,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
6630,Cuba,1992,male,75+ years,227,188700,120.3,Cuba1992,,"22,085,858,243",2227,G.I. Generation
6631,Cuba,1992,male,55-74 years,347,652400,53.19,Cuba1992,,"22,085,858,243",2227,Silent
6632,Cuba,1992,female,75+ years,70,202100,34.64,Cuba1992,,"22,085,858,243",2227,G.I. Generation
6633,Cuba,1992,female,55-74 years,210,669000,31.39,Cuba1992,,"22,085,858,243",2227,Silent
6634,Cuba,1992,male,35-54 years,376,1246800,30.16,Cuba1992,,"22,085,858,243",2227,Boomers
6635,Cuba,1992,female,15-24 years,231,1040500,22.2,Cuba1992,,"22,085,858,243",2227,Generation X
6636,Cuba,1992,male,25-34 years,214,995700,21.49,Cuba1992,,"22,085,858,243",2227,Boomers
6637,Cuba,1992,female,35-54 years,256,1278000,20.03,Cuba1992,,"22,085,858,243",2227,Boomers
6638,Cuba,1992,female,25-34 years,183,989700,18.49,Cuba1992,,"22,085,858,243",2227,Boomers
6639,Cuba,1992,male,15-24 years,164,1085500,15.11,Cuba1992,,"22,085,858,243",2227,Generation X
6640,Cuba,1992,female,5-14 years,16,765100,2.09,Cuba1992,,"22,085,858,243",2227,Millenials
6641,Cuba,1992,male,5-14 years,5,802100,0.62,Cuba1992,,"22,085,858,243",2227,Millenials
6642,Cuba,1993,male,75+ years,257,192900,133.23,Cuba1993,,"22,367,254,865",2236,G.I. Generation
6643,Cuba,1993,male,55-74 years,382,666000,57.36,Cuba1993,,"22,367,254,865",2236,Silent
6644,Cuba,1993,female,75+ years,84,208800,40.23,Cuba1993,,"22,367,254,865",2236,G.I. Generation
6645,Cuba,1993,female,55-74 years,262,685000,38.25,Cuba1993,,"22,367,254,865",2236,Silent
6646,Cuba,1993,male,35-54 years,371,1255300,29.55,Cuba1993,,"22,367,254,865",2236,Boomers
6647,Cuba,1993,male,25-34 years,245,1042700,23.5,Cuba1993,,"22,367,254,865",2236,Boomers
6648,Cuba,1993,female,35-54 years,254,1289600,19.7,Cuba1993,,"22,367,254,865",2236,Boomers
6649,Cuba,1993,female,15-24 years,178,997100,17.85,Cuba1993,,"22,367,254,865",2236,Generation X
6650,Cuba,1993,female,25-34 years,179,1030700,17.37,Cuba1993,,"22,367,254,865",2236,Boomers
6651,Cuba,1993,male,15-24 years,152,1039900,14.62,Cuba1993,,"22,367,254,865",2236,Generation X
6652,Cuba,1993,female,5-14 years,7,779200,0.9,Cuba1993,,"22,367,254,865",2236,Millenials
6653,Cuba,1993,male,5-14 years,3,817000,0.37,Cuba1993,,"22,367,254,865",2236,Millenials
6654,Cuba,1994,male,75+ years,246,196500,125.19,Cuba1994,,"28,448,326,757",2820,G.I. Generation
6655,Cuba,1994,male,55-74 years,401,681200,58.87,Cuba1994,,"28,448,326,757",2820,Silent
6656,Cuba,1994,female,55-74 years,229,702600,32.59,Cuba1994,,"28,448,326,757",2820,Silent
6657,Cuba,1994,male,35-54 years,399,1269100,31.44,Cuba1994,,"28,448,326,757",2820,Boomers
6658,Cuba,1994,female,75+ years,61,214900,28.39,Cuba1994,,"28,448,326,757",2820,G.I. Generation
6659,Cuba,1994,male,25-34 years,252,1083200,23.26,Cuba1994,,"28,448,326,757",2820,Boomers
6660,Cuba,1994,female,35-54 years,235,1305600,18.0,Cuba1994,,"28,448,326,757",2820,Boomers
6661,Cuba,1994,female,15-24 years,152,951400,15.98,Cuba1994,,"28,448,326,757",2820,Generation X
6662,Cuba,1994,female,25-34 years,156,1065200,14.65,Cuba1994,,"28,448,326,757",2820,Boomers
6663,Cuba,1994,male,15-24 years,142,991900,14.32,Cuba1994,,"28,448,326,757",2820,Generation X
6664,Cuba,1994,female,5-14 years,4,794500,0.5,Cuba1994,,"28,448,326,757",2820,Millenials
6665,Cuba,1994,male,5-14 years,1,833200,0.12,Cuba1994,,"28,448,326,757",2820,Millenials
6666,Cuba,1995,male,75+ years,248,199400,124.37,Cuba1995,0.653,"30,429,803,651",2993,G.I. Generation
6667,Cuba,1995,male,55-74 years,372,697500,53.33,Cuba1995,0.653,"30,429,803,651",2993,Silent
6668,Cuba,1995,female,75+ years,68,219900,30.92,Cuba1995,0.653,"30,429,803,651",2993,G.I. Generation
