,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
6918,Cyprus,1999,male,55-74 years,1,63504,1.57,Cyprus1999,,"10,614,455,232",12389,Silent
6919,Cyprus,1999,female,15-24 years,0,73855,0.0,Cyprus1999,,"10,614,455,232",12389,Generation X
6920,Cyprus,1999,female,25-34 years,0,70201,0.0,Cyprus1999,,"10,614,455,232",12389,Generation X
6921,Cyprus,1999,female,35-54 years,0,119889,0.0,Cyprus1999,,"10,614,455,232",12389,Boomers
6922,Cyprus,1999,female,5-14 years,0,69281,0.0,Cyprus1999,,"10,614,455,232",12389,Millenials
6923,Cyprus,1999,female,55-74 years,0,69881,0.0,Cyprus1999,,"10,614,455,232",12389,Silent
6924,Cyprus,1999,female,75+ years,0,22730,0.0,Cyprus1999,,"10,614,455,232",12389,G.I. Generation
6925,Cyprus,1999,male,15-24 years,0,81348,0.0,Cyprus1999,,"10,614,455,232",12389,Generation X
6926,Cyprus,1999,male,25-34 years,0,72963,0.0,Cyprus1999,,"10,614,455,232",12389,Generation X
6927,Cyprus,1999,male,35-54 years,0,122486,0.0,Cyprus1999,,"10,614,455,232",12389,Boomers
6928,Cyprus,1999,male,5-14 years,0,73496,0.0,Cyprus1999,,"10,614,455,232",12389,Millenials
6929,Cyprus,1999,male,75+ years,0,17099,0.0,Cyprus1999,,"10,614,455,232",12389,G.I. Generation
6930,Cyprus,2000,male,25-34 years,5,73992,6.76,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
6931,Cyprus,2000,male,35-54 years,2,125288,1.6,Cyprus2000,0.8,"10,183,317,625",11635,Boomers
6932,Cyprus,2000,female,15-24 years,0,75880,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
6933,Cyprus,2000,female,25-34 years,0,71455,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
6934,Cyprus,2000,female,35-54 years,0,122632,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Boomers
6935,Cyprus,2000,female,5-14 years,0,69500,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Millenials
6936,Cyprus,2000,female,55-74 years,0,72098,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Silent
6937,Cyprus,2000,female,75+ years,0,23228,0.0,Cyprus2000,0.8,"10,183,317,625",11635,G.I. Generation
6938,Cyprus,2000,male,15-24 years,0,84119,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Generation X
6939,Cyprus,2000,male,5-14 years,0,73737,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Millenials
6940,Cyprus,2000,male,55-74 years,0,66009,0.0,Cyprus2000,0.8,"10,183,317,625",11635,Silent
6941,Cyprus,2000,male,75+ years,0,17291,0.0,Cyprus2000,0.8,"10,183,317,625",11635,G.I. Generation
6942,Cyprus,2004,male,55-74 years,2,60428,3.31,Cyprus2004,,"17,422,375,000",25227,Silent
6943,Cyprus,2004,male,35-54 years,3,98485,3.05,Cyprus2004,,"17,422,375,000",25227,Boomers
6944,Cyprus,2004,female,25-34 years,1,54147,1.85,Cyprus2004,,"17,422,375,000",25227,Generation X
6945,Cyprus,2004,female,35-54 years,1,104038,0.96,Cyprus2004,,"17,422,375,000",25227,Boomers
6946,Cyprus,2004,female,15-24 years,0,56410,0.0,Cyprus2004,,"17,422,375,000",25227,Millenials
6947,Cyprus,2004,female,5-14 years,0,50624,0.0,Cyprus2004,,"17,422,375,000",25227,Millenials
6948,Cyprus,2004,female,55-74 years,0,65412,0.0,Cyprus2004,,"17,422,375,000",25227,Silent
6949,Cyprus,2004,female,75+ years,0,22299,0.0,Cyprus2004,,"17,422,375,000",25227,Silent
6950,Cyprus,2004,male,15-24 years,0,59250,0.0,Cyprus2004,,"17,422,375,000",25227,Millenials
6951,Cyprus,2004,male,25-34 years,0,49934,0.0,Cyprus2004,,"17,422,375,000",25227,Generation X
6952,Cyprus,2004,male,5-14 years,0,53202,0.0,Cyprus2004,,"17,422,375,000",25227,Millenials
6953,Cyprus,2004,male,75+ years,0,16387,0.0,Cyprus2004,,"17,422,375,000",25227,Silent
6954,Cyprus,2005,male,55-74 years,4,62661,6.38,Cyprus2005,0.83,"18,703,146,375",26671,Silent
6955,Cyprus,2005,female,55-74 years,3,67452,4.45,Cyprus2005,0.83,"18,703,146,375",26671,Silent
6956,Cyprus,2005,male,35-54 years,4,99191,4.03,Cyprus2005,0.83,"18,703,146,375",26671,Boomers
6957,Cyprus,2005,male,25-34 years,2,51837,3.86,Cyprus2005,0.83,"18,703,146,375",26671,Generation X
6958,Cyprus,2005,male,15-24 years,2,60126,3.33,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
6959,Cyprus,2005,female,15-24 years,1,57341,1.74,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
6960,Cyprus,2005,female,35-54 years,1,105435,0.95,Cyprus2005,0.83,"18,703,146,375",26671,Boomers
6961,Cyprus,2005,female,25-34 years,0,55734,0.0,Cyprus2005,0.83,"18,703,146,375",26671,Generation X
6962,Cyprus,2005,female,5-14 years,0,49682,0.0,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
6963,Cyprus,2005,female,75+ years,0,22842,0.0,Cyprus2005,0.83,"18,703,146,375",26671,Silent
6964,Cyprus,2005,male,5-14 years,0,52329,0.0,Cyprus2005,0.83,"18,703,146,375",26671,Millenials
6965,Cyprus,2005,male,75+ years,0,16633,0.0,Cyprus2005,0.83,"18,703,146,375",26671,Silent
6966,Cyprus,2006,male,55-74 years,5,64866,7.71,Cyprus2006,,"20,403,713,461",28600,Silent
