,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
7096,Czech Republic,1990,male,75+ years,198,179200,110.49,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,G.I. Generation
7097,Czech Republic,1990,male,55-74 years,385,800800,48.08,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,G.I. Generation
7098,Czech Republic,1990,male,35-54 years,571,1421800,40.16,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,Silent
7099,Czech Republic,1990,female,75+ years,129,364700,35.37,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,G.I. Generation
7100,Czech Republic,1990,male,25-34 years,176,713900,24.65,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,Boomers
7101,Czech Republic,1990,female,55-74 years,196,1017200,19.27,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,G.I. Generation
7102,Czech Republic,1990,male,15-24 years,99,783000,12.64,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,Generation X
7103,Czech Republic,1990,female,35-54 years,150,1426600,10.51,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,Silent
7104,Czech Republic,1990,female,25-34 years,53,684200,7.75,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,Boomers
7105,Czech Republic,1990,female,15-24 years,34,747900,4.55,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,Generation X
7106,Czech Republic,1990,male,5-14 years,5,804100,0.62,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,Generation X
7107,Czech Republic,1990,female,5-14 years,1,767500,0.13,Czech Republic1990,0.7609999999999999,"40,477,403,220",4168,Generation X
7108,Czech Republic,1991,male,75+ years,168,171200,98.13,Czech Republic1991,,"29,675,502,270",3070,G.I. Generation
7109,Czech Republic,1991,male,55-74 years,365,805100,45.34,Czech Republic1991,,"29,675,502,270",3070,Silent
