,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
7418,Denmark,1994,male,75+ years,89,131700,67.58,Denmark1994,,"156,162,311,732",32034,G.I. Generation
7419,Denmark,1994,male,55-74 years,189,448200,42.17,Denmark1994,,"156,162,311,732",32034,Silent
7420,Denmark,1994,male,35-54 years,279,755600,36.92,Denmark1994,,"156,162,311,732",32034,Boomers
7421,Denmark,1994,female,75+ years,70,230600,30.36,Denmark1994,,"156,162,311,732",32034,G.I. Generation
7422,Denmark,1994,male,25-34 years,85,414100,20.53,Denmark1994,,"156,162,311,732",32034,Boomers
7423,Denmark,1994,female,55-74 years,100,500000,20.0,Denmark1994,,"156,162,311,732",32034,Silent
7424,Denmark,1994,female,35-54 years,113,732100,15.44,Denmark1994,,"156,162,311,732",32034,Boomers
7425,Denmark,1994,male,15-24 years,37,360900,10.25,Denmark1994,,"156,162,311,732",32034,Generation X
7426,Denmark,1994,female,25-34 years,23,392600,5.86,Denmark1994,,"156,162,311,732",32034,Boomers
7427,Denmark,1994,female,15-24 years,13,346100,3.76,Denmark1994,,"156,162,311,732",32034,Generation X
7428,Denmark,1994,male,5-14 years,1,288100,0.35,Denmark1994,,"156,162,311,732",32034,Millenials
7429,Denmark,1994,female,5-14 years,0,274900,0.0,Denmark1994,,"156,162,311,732",32034,Millenials
7430,Denmark,1995,male,75+ years,85,133500,63.67,Denmark1995,0.83,"185,006,961,302",37841,G.I. Generation
7431,Denmark,1995,male,55-74 years,180,449600,40.04,Denmark1995,0.83,"185,006,961,302",37841,Silent
7432,Denmark,1995,female,75+ years,63,233200,27.02,Denmark1995,0.83,"185,006,961,302",37841,G.I. Generation
7433,Denmark,1995,male,35-54 years,204,762400,26.76,Denmark1995,0.83,"185,006,961,302",37841,Boomers
7434,Denmark,1995,male,25-34 years,108,413900,26.09,Denmark1995,0.83,"185,006,961,302",37841,Generation X
7435,Denmark,1995,female,55-74 years,102,498300,20.47,Denmark1995,0.83,"185,006,961,302",37841,Silent
7436,Denmark,1995,female,35-54 years,108,739000,14.61,Denmark1995,0.83,"185,006,961,302",37841,Boomers
7437,Denmark,1995,male,15-24 years,47,355700,13.21,Denmark1995,0.83,"185,006,961,302",37841,Generation X
7438,Denmark,1995,female,25-34 years,18,393200,4.58,Denmark1995,0.83,"185,006,961,302",37841,Generation X
7439,Denmark,1995,female,15-24 years,8,341800,2.34,Denmark1995,0.83,"185,006,961,302",37841,Generation X
7440,Denmark,1995,male,5-14 years,1,291000,0.34,Denmark1995,0.83,"185,006,961,302",37841,Millenials
7441,Denmark,1995,female,5-14 years,0,277500,0.0,Denmark1995,0.83,"185,006,961,302",37841,Millenials
7442,Denmark,1996,male,75+ years,95,134200,70.79,Denmark1996,,"187,632,400,366",38158,G.I. Generation
7443,Denmark,1996,male,55-74 years,170,452400,37.58,Denmark1996,,"187,632,400,366",38158,Silent
7444,Denmark,1996,male,35-54 years,236,771800,30.58,Denmark1996,,"187,632,400,366",38158,Boomers
7445,Denmark,1996,female,75+ years,47,234200,20.07,Denmark1996,,"187,632,400,366",38158,G.I. Generation
7446,Denmark,1996,male,25-34 years,83,416000,19.95,Denmark1996,,"187,632,400,366",38158,Generation X
7447,Denmark,1996,female,35-54 years,115,747600,15.38,Denmark1996,,"187,632,400,366",38158,Boomers
7448,Denmark,1996,female,55-74 years,71,498500,14.24,Denmark1996,,"187,632,400,366",38158,Silent
7449,Denmark,1996,male,15-24 years,46,348400,13.2,Denmark1996,,"187,632,400,366",38158,Generation X
7450,Denmark,1996,female,25-34 years,20,395400,5.06,Denmark1996,,"187,632,400,366",38158,Generation X
7451,Denmark,1996,female,15-24 years,8,335700,2.38,Denmark1996,,"187,632,400,366",38158,Generation X
7452,Denmark,1996,male,5-14 years,1,298600,0.33,Denmark1996,,"187,632,400,366",38158,Millenials
7453,Denmark,1996,female,5-14 years,0,284500,0.0,Denmark1996,,"187,632,400,366",38158,Millenials
7454,Denmark,1997,male,75+ years,94,135400,69.42,Denmark1997,,"173,537,588,008",35148,G.I. Generation
7455,Denmark,1997,male,55-74 years,148,458400,32.29,Denmark1997,,"173,537,588,008",35148,Silent
7456,Denmark,1997,male,35-54 years,191,777200,24.58,Denmark1997,,"173,537,588,008",35148,Boomers
7457,Denmark,1997,female,75+ years,46,236400,19.46,Denmark1997,,"173,537,588,008",35148,G.I. Generation
7458,Denmark,1997,male,25-34 years,79,417200,18.94,Denmark1997,,"173,537,588,008",35148,Generation X
7459,Denmark,1997,female,55-74 years,88,501000,17.56,Denmark1997,,"173,537,588,008",35148,Silent
7460,Denmark,1997,male,15-24 years,45,337600,13.33,Denmark1997,,"173,537,588,008",35148,Generation X
7461,Denmark,1997,female,35-54 years,84,753500,11.15,Denmark1997,,"173,537,588,008",35148,Boomers
7462,Denmark,1997,female,25-34 years,22,397100,5.54,Denmark1997,,"173,537,588,008",35148,Generation X
7463,Denmark,1997,female,15-24 years,17,326300,5.21,Denmark1997,,"173,537,588,008",35148,Generation X
7464,Denmark,1997,male,5-14 years,3,306200,0.98,Denmark1997,,"173,537,588,008",35148,Millenials
7465,Denmark,1997,female,5-14 years,0,291000,0.0,Denmark1997,,"173,537,588,008",35148,Millenials
7466,Denmark,1998,male,75+ years,74,136600,54.17,Denmark1998,,"176,992,000,955",35710,G.I. Generation
7467,Denmark,1998,male,35-54 years,235,780300,30.12,Denmark1998,,"176,992,000,955",35710,Boomers
7468,Denmark,1998,male,55-74 years,118,467900,25.22,Denmark1998,,"176,992,000,955",35710,Silent
7469,Denmark,1998,male,25-34 years,84,414200,20.28,Denmark1998,,"176,992,000,955",35710,Generation X
7470,Denmark,1998,female,75+ years,38,237600,15.99,Denmark1998,,"176,992,000,955",35710,G.I. Generation
7471,Denmark,1998,female,55-74 years,74,507800,14.57,Denmark1998,,"176,992,000,955",35710,Silent
7472,Denmark,1998,female,35-54 years,79,756900,10.44,Denmark1998,,"176,992,000,955",35710,Boomers
7473,Denmark,1998,male,15-24 years,34,327800,10.37,Denmark1998,,"176,992,000,955",35710,Generation X
7474,Denmark,1998,female,25-34 years,16,396400,4.04,Denmark1998,,"176,992,000,955",35710,Generation X
7475,Denmark,1998,female,15-24 years,9,316600,2.84,Denmark1998,,"176,992,000,955",35710,Generation X
7476,Denmark,1998,male,5-14 years,2,314900,0.64,Denmark1998,,"176,992,000,955",35710,Millenials
7477,Denmark,1998,female,5-14 years,0,299400,0.0,Denmark1998,,"176,992,000,955",35710,Millenials
7478,Denmark,1999,male,75+ years,64,137353,46.6,Denmark1999,,"177,965,224,621",35763,G.I. Generation
7479,Denmark,1999,male,55-74 years,151,480316,31.44,Denmark1999,,"177,965,224,621",35763,Silent
7480,Denmark,1999,male,35-54 years,214,783204,27.32,Denmark1999,,"177,965,224,621",35763,Boomers
7481,Denmark,1999,male,25-34 years,91,408827,22.26,Denmark1999,,"177,965,224,621",35763,Generation X
7482,Denmark,1999,female,55-74 years,71,516749,13.74,Denmark1999,,"177,965,224,621",35763,Silent
7483,Denmark,1999,male,15-24 years,40,319101,12.54,Denmark1999,,"177,965,224,621",35763,Generation X
7484,Denmark,1999,female,75+ years,26,238400,10.91,Denmark1999,,"177,965,224,621",35763,G.I. Generation
7485,Denmark,1999,female,35-54 years,74,759458,9.74,Denmark1999,,"177,965,224,621",35763,Boomers
7486,Denmark,1999,female,25-34 years,21,392951,5.34,Denmark1999,,"177,965,224,621",35763,Generation X
7487,Denmark,1999,female,15-24 years,7,308800,2.27,Denmark1999,,"177,965,224,621",35763,Generation X
7488,Denmark,1999,male,5-14 years,3,323638,0.93,Denmark1999,,"177,965,224,621",35763,Millenials
7489,Denmark,1999,female,5-14 years,0,307403,0.0,Denmark1999,,"177,965,224,621",35763,Millenials
7490,Denmark,2000,male,75+ years,72,138454,52.0,Denmark2000,0.862,"164,158,800,460",32841,G.I. Generation
7491,Denmark,2000,male,55-74 years,142,495321,28.67,Denmark2000,0.862,"164,158,800,460",32841,Silent
7492,Denmark,2000,male,35-54 years,218,783883,27.81,Denmark2000,0.862,"164,158,800,460",32841,Boomers
7493,Denmark,2000,female,75+ years,42,239483,17.54,Denmark2000,0.862,"164,158,800,460",32841,G.I. Generation
7494,Denmark,2000,male,25-34 years,61,403105,15.13,Denmark2000,0.862,"164,158,800,460",32841,Generation X
7495,Denmark,2000,male,15-24 years,39,310470,12.56,Denmark2000,0.862,"164,158,800,460",32841,Generation X
7496,Denmark,2000,female,55-74 years,54,528095,10.23,Denmark2000,0.862,"164,158,800,460",32841,Silent
7497,Denmark,2000,female,35-54 years,74,760859,9.73,Denmark2000,0.862,"164,158,800,460",32841,Boomers
7498,Denmark,2000,female,25-34 years,16,389550,4.11,Denmark2000,0.862,"164,158,800,460",32841,Generation X
7499,Denmark,2000,female,15-24 years,9,300690,2.99,Denmark2000,0.862,"164,158,800,460",32841,Generation X
7500,Denmark,2000,male,5-14 years,1,332762,0.3,Denmark2000,0.862,"164,158,800,460",32841,Millenials
7501,Denmark,2000,female,5-14 years,0,315938,0.0,Denmark2000,0.862,"164,158,800,460",32841,Millenials
7502,Denmark,2001,male,75+ years,82,139637,58.72,Denmark2001,,"164,791,416,350",32837,Silent
7503,Denmark,2001,male,35-54 years,204,783604,26.03,Denmark2001,,"164,791,416,350",32837,Boomers
7504,Denmark,2001,male,55-74 years,123,512361,24.01,Denmark2001,,"164,791,416,350",32837,Silent
7505,Denmark,2001,female,75+ years,48,239716,20.02,Denmark2001,,"164,791,416,350",32837,Silent
7506,Denmark,2001,female,55-74 years,83,541963,15.31,Denmark2001,,"164,791,416,350",32837,Silent
7507,Denmark,2001,male,25-34 years,58,394591,14.7,Denmark2001,,"164,791,416,350",32837,Generation X
7508,Denmark,2001,male,15-24 years,38,304335,12.49,Denmark2001,,"164,791,416,350",32837,Millenials
7509,Denmark,2001,female,35-54 years,73,761705,9.58,Denmark2001,,"164,791,416,350",32837,Boomers
7510,Denmark,2001,female,15-24 years,7,294773,2.37,Denmark2001,,"164,791,416,350",32837,Millenials
7511,Denmark,2001,female,25-34 years,9,383262,2.35,Denmark2001,,"164,791,416,350",32837,Generation X
