,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
8066,El Salvador,1990,male,75+ years,13,29955,43.4,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
8067,El Salvador,1990,male,25-34 years,119,339719,35.03,El Salvador1990,0.522,"4,817,542,204",1068,Boomers
8068,El Salvador,1990,male,15-24 years,127,504932,25.15,El Salvador1990,0.522,"4,817,542,204",1068,Generation X
8069,El Salvador,1990,female,15-24 years,112,528567,21.19,El Salvador1990,0.522,"4,817,542,204",1068,Generation X
8070,El Salvador,1990,male,35-54 years,81,427335,18.95,El Salvador1990,0.522,"4,817,542,204",1068,Silent
8071,El Salvador,1990,male,55-74 years,34,201577,16.87,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
8072,El Salvador,1990,female,25-34 years,43,383005,11.23,El Salvador1990,0.522,"4,817,542,204",1068,Boomers
8073,El Salvador,1990,female,35-54 years,24,477092,5.03,El Salvador1990,0.522,"4,817,542,204",1068,Silent
8074,El Salvador,1990,female,55-74 years,9,221802,4.06,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
8075,El Salvador,1990,female,75+ years,1,42375,2.36,El Salvador1990,0.522,"4,817,542,204",1068,G.I. Generation
8076,El Salvador,1990,female,5-14 years,7,671315,1.04,El Salvador1990,0.522,"4,817,542,204",1068,Generation X
8077,El Salvador,1990,male,5-14 years,1,682878,0.15,El Salvador1990,0.522,"4,817,542,204",1068,Generation X
8078,El Salvador,1991,male,75+ years,18,31546,57.06,El Salvador1991,,"5,252,342,400",1148,G.I. Generation
8079,El Salvador,1991,male,25-34 years,88,347533,25.32,El Salvador1991,,"5,252,342,400",1148,Boomers
8080,El Salvador,1991,male,15-24 years,98,513452,19.09,El Salvador1991,,"5,252,342,400",1148,Generation X
8081,El Salvador,1991,male,55-74 years,39,207938,18.76,El Salvador1991,,"5,252,342,400",1148,Silent
8082,El Salvador,1991,female,15-24 years,97,536557,18.08,El Salvador1991,,"5,252,342,400",1148,Generation X
8083,El Salvador,1991,male,35-54 years,76,434946,17.47,El Salvador1991,,"5,252,342,400",1148,Boomers
8084,El Salvador,1991,female,25-34 years,28,392748,7.13,El Salvador1991,,"5,252,342,400",1148,Boomers
8085,El Salvador,1991,female,35-54 years,17,490048,3.47,El Salvador1991,,"5,252,342,400",1148,Boomers
8086,El Salvador,1991,female,75+ years,1,44305,2.26,El Salvador1991,,"5,252,342,400",1148,G.I. Generation
8087,El Salvador,1991,female,55-74 years,3,228668,1.31,El Salvador1991,,"5,252,342,400",1148,Silent
8088,El Salvador,1991,female,5-14 years,8,668713,1.2,El Salvador1991,,"5,252,342,400",1148,Millenials
8089,El Salvador,1991,male,5-14 years,1,680531,0.15,El Salvador1991,,"5,252,342,400",1148,Millenials
8090,El Salvador,1992,male,25-34 years,72,327300,22.0,El Salvador1992,,"5,813,399,300",1266,Boomers
8091,El Salvador,1992,male,55-74 years,36,198300,18.15,El Salvador1992,,"5,813,399,300",1266,Silent
8092,El Salvador,1992,male,35-54 years,71,415900,17.07,El Salvador1992,,"5,813,399,300",1266,Boomers
8093,El Salvador,1992,female,15-24 years,87,582300,14.94,El Salvador1992,,"5,813,399,300",1266,Generation X
8094,El Salvador,1992,male,15-24 years,83,568700,14.59,El Salvador1992,,"5,813,399,300",1266,Generation X
8095,El Salvador,1992,male,75+ years,4,28500,14.04,El Salvador1992,,"5,813,399,300",1266,G.I. Generation
8096,El Salvador,1992,female,25-34 years,34,378700,8.98,El Salvador1992,,"5,813,399,300",1266,Boomers
8097,El Salvador,1992,female,75+ years,2,42600,4.69,El Salvador1992,,"5,813,399,300",1266,G.I. Generation
8098,El Salvador,1992,female,35-54 years,16,453500,3.53,El Salvador1992,,"5,813,399,300",1266,Boomers
8099,El Salvador,1992,female,5-14 years,6,673800,0.89,El Salvador1992,,"5,813,399,300",1266,Millenials
8100,El Salvador,1992,female,55-74 years,2,227500,0.88,El Salvador1992,,"5,813,399,300",1266,Silent
8101,El Salvador,1992,male,5-14 years,6,694500,0.86,El Salvador1992,,"5,813,399,300",1266,Millenials
8102,El Salvador,1993,male,25-34 years,83,339200,24.47,El Salvador1993,,"6,680,269,200",1423,Boomers
8103,El Salvador,1993,male,75+ years,6,30100,19.93,El Salvador1993,,"6,680,269,200",1423,G.I. Generation
8104,El Salvador,1993,male,15-24 years,113,594200,19.02,El Salvador1993,,"6,680,269,200",1423,Generation X
8105,El Salvador,1993,female,15-24 years,81,602300,13.45,El Salvador1993,,"6,680,269,200",1423,Generation X
8106,El Salvador,1993,male,55-74 years,23,202600,11.35,El Salvador1993,,"6,680,269,200",1423,Silent
8107,El Salvador,1993,male,35-54 years,43,425700,10.1,El Salvador1993,,"6,680,269,200",1423,Boomers
8108,El Salvador,1993,female,75+ years,4,45400,8.81,El Salvador1993,,"6,680,269,200",1423,G.I. Generation
8109,El Salvador,1993,female,25-34 years,29,392000,7.4,El Salvador1993,,"6,680,269,200",1423,Boomers
8110,El Salvador,1993,female,35-54 years,19,468000,4.06,El Salvador1993,,"6,680,269,200",1423,Boomers
8111,El Salvador,1993,female,55-74 years,6,233000,2.58,El Salvador1993,,"6,680,269,200",1423,Silent
8112,El Salvador,1993,female,5-14 years,13,670500,1.94,El Salvador1993,,"6,680,269,200",1423,Millenials
8113,El Salvador,1993,male,5-14 years,4,691300,0.58,El Salvador1993,,"6,680,269,200",1423,Millenials
8114,El Salvador,1995,male,25-34 years,124,374095,33.15,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Generation X
8115,El Salvador,1995,male,15-24 years,171,534966,31.96,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Generation X
8116,El Salvador,1995,male,75+ years,9,36691,24.53,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,G.I. Generation
8117,El Salvador,1995,female,15-24 years,114,556096,20.5,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Generation X
8118,El Salvador,1995,male,35-54 years,90,466571,19.29,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Boomers
8119,El Salvador,1995,female,25-34 years,42,427927,9.81,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Generation X
8120,El Salvador,1995,male,55-74 years,20,235530,8.49,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Silent
8121,El Salvador,1995,female,35-54 years,23,546262,4.21,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Boomers
8122,El Salvador,1995,female,5-14 years,16,664854,2.41,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Millenials
8123,El Salvador,1995,female,55-74 years,6,260709,2.3,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Silent
8124,El Salvador,1995,female,75+ years,1,51334,1.95,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,G.I. Generation
8125,El Salvador,1995,male,5-14 years,4,681362,0.59,El Salvador1995,0.5660000000000001,"8,921,947,100",1845,Millenials
