,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
8354,Estonia,1995,male,35-54 years,227,180939,125.46,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Boomers
8355,Estonia,1995,male,75+ years,20,17701,112.99,Estonia1995,0.7190000000000001,"4,373,665,146",3224,G.I. Generation
8356,Estonia,1995,male,55-74 years,119,117994,100.85,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Silent
8357,Estonia,1995,male,25-34 years,66,95952,68.78,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Generation X
8358,Estonia,1995,female,75+ years,18,50860,35.39,Estonia1995,0.7190000000000001,"4,373,665,146",3224,G.I. Generation
8359,Estonia,1995,female,55-74 years,53,178879,29.63,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Silent
8360,Estonia,1995,male,15-24 years,29,100625,28.82,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Generation X
8361,Estonia,1995,female,35-54 years,41,200427,20.46,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Boomers
8362,Estonia,1995,female,25-34 years,9,98531,9.13,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Generation X
8363,Estonia,1995,female,15-24 years,7,97494,7.18,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Generation X
8364,Estonia,1995,male,5-14 years,5,111035,4.5,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Millenials
8365,Estonia,1995,female,5-14 years,0,106214,0.0,Estonia1995,0.7190000000000001,"4,373,665,146",3224,Millenials
8366,Estonia,1996,male,75+ years,22,17605,124.96,Estonia1996,,"4,746,109,767",3536,G.I. Generation
8367,Estonia,1996,male,35-54 years,217,178056,121.87,Estonia1996,,"4,746,109,767",3536,Boomers
8368,Estonia,1996,male,55-74 years,100,118715,84.24,Estonia1996,,"4,746,109,767",3536,Silent
8369,Estonia,1996,male,25-34 years,53,93866,56.46,Estonia1996,,"4,746,109,767",3536,Generation X
8370,Estonia,1996,female,75+ years,25,50849,49.17,Estonia1996,,"4,746,109,767",3536,G.I. Generation
8371,Estonia,1996,male,15-24 years,37,99540,37.17,Estonia1996,,"4,746,109,767",3536,Generation X
8372,Estonia,1996,female,55-74 years,37,179534,20.61,Estonia1996,,"4,746,109,767",3536,Silent
8373,Estonia,1996,female,35-54 years,40,198315,20.17,Estonia1996,,"4,746,109,767",3536,Boomers
8374,Estonia,1996,female,15-24 years,8,96173,8.32,Estonia1996,,"4,746,109,767",3536,Generation X
8375,Estonia,1996,male,5-14 years,4,109002,3.67,Estonia1996,,"4,746,109,767",3536,Millenials
8376,Estonia,1996,female,25-34 years,2,96311,2.08,Estonia1996,,"4,746,109,767",3536,Generation X
8377,Estonia,1996,female,5-14 years,0,104236,0.0,Estonia1996,,"4,746,109,767",3536,Millenials
8378,Estonia,1997,male,75+ years,20,17817,112.25,Estonia1997,,"5,066,240,419",3806,G.I. Generation
8379,Estonia,1997,male,35-54 years,193,176261,109.5,Estonia1997,,"5,066,240,419",3806,Boomers
8380,Estonia,1997,male,55-74 years,117,119232,98.13,Estonia1997,,"5,066,240,419",3806,Silent
8381,Estonia,1997,male,25-34 years,60,92544,64.83,Estonia1997,,"5,066,240,419",3806,Generation X
8382,Estonia,1997,male,15-24 years,36,98971,36.37,Estonia1997,,"5,066,240,419",3806,Generation X
8383,Estonia,1997,female,75+ years,15,51893,28.91,Estonia1997,,"5,066,240,419",3806,G.I. Generation
8384,Estonia,1997,female,55-74 years,34,179234,18.97,Estonia1997,,"5,066,240,419",3806,Silent
8385,Estonia,1997,female,35-54 years,29,196914,14.73,Estonia1997,,"5,066,240,419",3806,Boomers
8386,Estonia,1997,female,25-34 years,7,94741,7.39,Estonia1997,,"5,066,240,419",3806,Generation X
8387,Estonia,1997,female,15-24 years,6,95553,6.28,Estonia1997,,"5,066,240,419",3806,Generation X
8388,Estonia,1997,male,5-14 years,5,106361,4.7,Estonia1997,,"5,066,240,419",3806,Millenials
8389,Estonia,1997,female,5-14 years,0,101713,0.0,Estonia1997,,"5,066,240,419",3806,Millenials
8390,Estonia,1998,male,55-74 years,123,118242,104.02,Estonia1998,,"5,617,109,245",4250,Silent
8391,Estonia,1998,male,35-54 years,166,176185,94.22,Estonia1998,,"5,617,109,245",4250,Boomers
8392,Estonia,1998,male,75+ years,11,18044,60.96,Estonia1998,,"5,617,109,245",4250,G.I. Generation
8393,Estonia,1998,male,25-34 years,55,91671,60.0,Estonia1998,,"5,617,109,245",4250,Generation X
8394,Estonia,1998,male,15-24 years,36,99239,36.28,Estonia1998,,"5,617,109,245",4250,Generation X
8395,Estonia,1998,female,75+ years,14,53166,26.33,Estonia1998,,"5,617,109,245",4250,G.I. Generation
8396,Estonia,1998,female,35-54 years,32,197231,16.22,Estonia1998,,"5,617,109,245",4250,Boomers
8397,Estonia,1998,female,55-74 years,25,176820,14.14,Estonia1998,,"5,617,109,245",4250,Silent
8398,Estonia,1998,female,15-24 years,5,95878,5.21,Estonia1998,,"5,617,109,245",4250,Generation X
8399,Estonia,1998,male,5-14 years,5,103157,4.85,Estonia1998,,"5,617,109,245",4250,Millenials
8400,Estonia,1998,female,25-34 years,4,93664,4.27,Estonia1998,,"5,617,109,245",4250,Generation X
8401,Estonia,1998,female,5-14 years,1,98422,1.02,Estonia1998,,"5,617,109,245",4250,Millenials
8402,Estonia,1999,male,75+ years,23,18414,124.9,Estonia1999,,"5,726,897,998",4361,G.I. Generation
8403,Estonia,1999,male,55-74 years,101,116703,86.54,Estonia1999,,"5,726,897,998",4361,Silent
8404,Estonia,1999,male,35-54 years,148,176841,83.69,Estonia1999,,"5,726,897,998",4361,Boomers
8405,Estonia,1999,male,25-34 years,54,91164,59.23,Estonia1999,,"5,726,897,998",4361,Generation X
8406,Estonia,1999,male,15-24 years,47,100216,46.9,Estonia1999,,"5,726,897,998",4361,Generation X
8407,Estonia,1999,female,75+ years,22,54852,40.11,Estonia1999,,"5,726,897,998",4361,G.I. Generation
8408,Estonia,1999,female,35-54 years,35,198278,17.65,Estonia1999,,"5,726,897,998",4361,Boomers
8409,Estonia,1999,female,55-74 years,26,173742,14.96,Estonia1999,,"5,726,897,998",4361,Silent
8410,Estonia,1999,female,15-24 years,7,96708,7.24,Estonia1999,,"5,726,897,998",4361,Generation X
8411,Estonia,1999,female,25-34 years,3,92980,3.23,Estonia1999,,"5,726,897,998",4361,Generation X
8412,Estonia,1999,male,5-14 years,2,99045,2.02,Estonia1999,,"5,726,897,998",4361,Millenials
8413,Estonia,1999,female,5-14 years,0,94255,0.0,Estonia1999,,"5,726,897,998",4361,Millenials
8414,Estonia,2000,male,75+ years,19,19265,98.62,Estonia2000,0.78,"5,685,774,809",4262,G.I. Generation
8415,Estonia,2000,male,35-54 years,136,185960,73.13,Estonia2000,0.78,"5,685,774,809",4262,Boomers
8416,Estonia,2000,male,55-74 years,66,118085,55.89,Estonia2000,0.78,"5,685,774,809",4262,Silent
8417,Estonia,2000,male,25-34 years,38,97425,39.0,Estonia2000,0.78,"5,685,774,809",4262,Generation X
8418,Estonia,2000,male,15-24 years,30,103020,29.12,Estonia2000,0.78,"5,685,774,809",4262,Generation X
8419,Estonia,2000,female,55-74 years,38,173775,21.87,Estonia2000,0.78,"5,685,774,809",4262,Silent
8420,Estonia,2000,female,75+ years,10,57680,17.34,Estonia2000,0.78,"5,685,774,809",4262,G.I. Generation
