,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
8606,Fiji,2001,male,55-74 years,4,31764,12.59,Fiji2001,,"1,660,102,346",2307,Silent
8607,Fiji,2001,male,35-54 years,10,90519,11.05,Fiji2001,,"1,660,102,346",2307,Boomers
8608,Fiji,2001,male,15-24 years,8,85026,9.41,Fiji2001,,"1,660,102,346",2307,Millenials
8609,Fiji,2001,male,25-34 years,5,60698,8.24,Fiji2001,,"1,660,102,346",2307,Generation X
8610,Fiji,2001,female,15-24 years,5,80653,6.2,Fiji2001,,"1,660,102,346",2307,Millenials
8611,Fiji,2001,female,25-34 years,2,58030,3.45,Fiji2001,,"1,660,102,346",2307,Generation X
8612,Fiji,2001,female,55-74 years,1,34038,2.94,Fiji2001,,"1,660,102,346",2307,Silent
8613,Fiji,2001,male,5-14 years,1,93629,1.07,Fiji2001,,"1,660,102,346",2307,Millenials
8614,Fiji,2001,female,35-54 years,0,89055,0.0,Fiji2001,,"1,660,102,346",2307,Boomers
8615,Fiji,2001,female,5-14 years,0,88212,0.0,Fiji2001,,"1,660,102,346",2307,Millenials
8616,Fiji,2001,female,75+ years,0,4489,0.0,Fiji2001,,"1,660,102,346",2307,Silent
8617,Fiji,2001,male,75+ years,0,3346,0.0,Fiji2001,,"1,660,102,346",2307,Silent
8618,Fiji,2002,male,75+ years,1,3507,28.51,Fiji2002,,"1,842,691,481",2548,Silent
8619,Fiji,2002,female,75+ years,1,4593,21.77,Fiji2002,,"1,842,691,481",2548,Silent
8620,Fiji,2002,male,55-74 years,5,33136,15.09,Fiji2002,,"1,842,691,481",2548,Silent
8621,Fiji,2002,male,15-24 years,9,84154,10.69,Fiji2002,,"1,842,691,481",2548,Millenials
8622,Fiji,2002,female,25-34 years,5,58817,8.5,Fiji2002,,"1,842,691,481",2548,Generation X
8623,Fiji,2002,female,15-24 years,6,79795,7.52,Fiji2002,,"1,842,691,481",2548,Millenials
8624,Fiji,2002,male,25-34 years,4,61525,6.5,Fiji2002,,"1,842,691,481",2548,Generation X
8625,Fiji,2002,male,35-54 years,5,93636,5.34,Fiji2002,,"1,842,691,481",2548,Boomers
8626,Fiji,2002,female,35-54 years,3,91724,3.27,Fiji2002,,"1,842,691,481",2548,Boomers
8627,Fiji,2002,male,5-14 years,2,91230,2.19,Fiji2002,,"1,842,691,481",2548,Millenials
8628,Fiji,2002,female,5-14 years,1,85867,1.16,Fiji2002,,"1,842,691,481",2548,Millenials
8629,Fiji,2002,female,55-74 years,0,35203,0.0,Fiji2002,,"1,842,691,481",2548,Silent
8630,Fiji,2003,male,55-74 years,2,34619,5.78,Fiji2003,,"2,315,935,753",3192,Silent
8631,Fiji,2003,male,15-24 years,3,82852,3.62,Fiji2003,,"2,315,935,753",3192,Millenials
8632,Fiji,2003,female,25-34 years,2,59592,3.36,Fiji2003,,"2,315,935,753",3192,Generation X
8633,Fiji,2003,female,15-24 years,1,78498,1.27,Fiji2003,,"2,315,935,753",3192,Millenials
8634,Fiji,2003,female,35-54 years,1,94332,1.06,Fiji2003,,"2,315,935,753",3192,Boomers
8635,Fiji,2003,male,35-54 years,1,96710,1.03,Fiji2003,,"2,315,935,753",3192,Boomers
8636,Fiji,2003,female,5-14 years,0,83271,0.0,Fiji2003,,"2,315,935,753",3192,Millenials
8637,Fiji,2003,female,55-74 years,0,36443,0.0,Fiji2003,,"2,315,935,753",3192,Silent
8638,Fiji,2003,female,75+ years,0,4675,0.0,Fiji2003,,"2,315,935,753",3192,Silent
8639,Fiji,2003,male,25-34 years,0,62295,0.0,Fiji2003,,"2,315,935,753",3192,Generation X
8640,Fiji,2003,male,5-14 years,0,88650,0.0,Fiji2003,,"2,315,935,753",3192,Millenials
