,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
8738,Finland,1987,male,75+ years,57,80200,71.07,Finland1987,,"91,642,093,873",19861,G.I. Generation
8739,Finland,1987,male,35-54 years,422,687900,61.35,Finland1987,,"91,642,093,873",19861,Silent
8740,Finland,1987,male,55-74 years,225,380700,59.1,Finland1987,,"91,642,093,873",19861,G.I. Generation
8741,Finland,1987,male,25-34 years,222,397800,55.81,Finland1987,,"91,642,093,873",19861,Boomers
8742,Finland,1987,male,15-24 years,135,355900,37.93,Finland1987,,"91,642,093,873",19861,Generation X
8743,Finland,1987,female,55-74 years,99,506400,19.55,Finland1987,,"91,642,093,873",19861,G.I. Generation
8744,Finland,1987,female,35-54 years,122,667400,18.28,Finland1987,,"91,642,093,873",19861,Silent
8745,Finland,1987,female,25-34 years,44,379700,11.59,Finland1987,,"91,642,093,873",19861,Boomers
8746,Finland,1987,female,15-24 years,26,341900,7.6,Finland1987,,"91,642,093,873",19861,Generation X
8747,Finland,1987,female,75+ years,7,182100,3.84,Finland1987,,"91,642,093,873",19861,G.I. Generation
8748,Finland,1987,male,5-14 years,4,324400,1.23,Finland1987,,"91,642,093,873",19861,Generation X
8749,Finland,1987,female,5-14 years,0,309700,0.0,Finland1987,,"91,642,093,873",19861,Generation X
8750,Finland,1988,male,75+ years,54,82300,65.61,Finland1988,,"109,103,056,148",23546,G.I. Generation
8751,Finland,1988,male,35-54 years,458,702100,65.23,Finland1988,,"109,103,056,148",23546,Silent
8752,Finland,1988,male,25-34 years,238,394200,60.38,Finland1988,,"109,103,056,148",23546,Boomers
8753,Finland,1988,male,55-74 years,218,383500,56.84,Finland1988,,"109,103,056,148",23546,G.I. Generation
8754,Finland,1988,male,15-24 years,137,346100,39.58,Finland1988,,"109,103,056,148",23546,Generation X
8755,Finland,1988,female,35-54 years,124,680500,18.22,Finland1988,,"109,103,056,148",23546,Silent
8756,Finland,1988,female,55-74 years,89,504600,17.64,Finland1988,,"109,103,056,148",23546,G.I. Generation
8757,Finland,1988,female,75+ years,27,187500,14.4,Finland1988,,"109,103,056,148",23546,G.I. Generation
8758,Finland,1988,female,25-34 years,29,377000,7.69,Finland1988,,"109,103,056,148",23546,Boomers
8759,Finland,1988,female,15-24 years,25,332300,7.52,Finland1988,,"109,103,056,148",23546,Generation X
8760,Finland,1988,male,5-14 years,2,329100,0.61,Finland1988,,"109,103,056,148",23546,Generation X
8761,Finland,1988,female,5-14 years,1,314400,0.32,Finland1988,,"109,103,056,148",23546,Generation X
8762,Finland,1989,male,75+ years,72,84000,85.71,Finland1989,,"119,064,708,328",25582,G.I. Generation
8763,Finland,1989,male,35-54 years,439,715700,61.34,Finland1989,,"119,064,708,328",25582,Silent
8764,Finland,1989,male,55-74 years,231,386700,59.74,Finland1989,,"119,064,708,328",25582,G.I. Generation
8765,Finland,1989,male,25-34 years,203,392000,51.79,Finland1989,,"119,064,708,328",25582,Boomers
8766,Finland,1989,male,15-24 years,170,337400,50.39,Finland1989,,"119,064,708,328",25582,Generation X
8767,Finland,1989,female,35-54 years,127,693900,18.3,Finland1989,,"119,064,708,328",25582,Silent
8768,Finland,1989,female,55-74 years,86,502900,17.1,Finland1989,,"119,064,708,328",25582,G.I. Generation
8769,Finland,1989,female,75+ years,21,192000,10.94,Finland1989,,"119,064,708,328",25582,G.I. Generation
8770,Finland,1989,female,25-34 years,40,374900,10.67,Finland1989,,"119,064,708,328",25582,Boomers
8771,Finland,1989,female,15-24 years,21,323900,6.48,Finland1989,,"119,064,708,328",25582,Generation X
8772,Finland,1989,male,5-14 years,3,332800,0.9,Finland1989,,"119,064,708,328",25582,Generation X
8773,Finland,1989,female,5-14 years,0,318100,0.0,Finland1989,,"119,064,708,328",25582,Generation X
8774,Finland,1990,male,75+ years,77,85500,90.06,Finland1990,0.7829999999999999,"141,517,648,888",30271,G.I. Generation
8775,Finland,1990,male,35-54 years,483,728500,66.3,Finland1990,0.7829999999999999,"141,517,648,888",30271,Silent
8776,Finland,1990,male,25-34 years,250,389800,64.14,Finland1990,0.7829999999999999,"141,517,648,888",30271,Boomers
8777,Finland,1990,male,55-74 years,210,391100,53.69,Finland1990,0.7829999999999999,"141,517,648,888",30271,G.I. Generation
8778,Finland,1990,male,15-24 years,169,332100,50.89,Finland1990,0.7829999999999999,"141,517,648,888",30271,Generation X
8779,Finland,1990,female,55-74 years,92,502700,18.3,Finland1990,0.7829999999999999,"141,517,648,888",30271,G.I. Generation
8780,Finland,1990,female,35-54 years,124,706200,17.56,Finland1990,0.7829999999999999,"141,517,648,888",30271,Silent
8781,Finland,1990,female,25-34 years,48,372600,12.88,Finland1990,0.7829999999999999,"141,517,648,888",30271,Boomers
8782,Finland,1990,female,15-24 years,35,318800,10.98,Finland1990,0.7829999999999999,"141,517,648,888",30271,Generation X
8783,Finland,1990,female,75+ years,20,195600,10.22,Finland1990,0.7829999999999999,"141,517,648,888",30271,G.I. Generation
8784,Finland,1990,male,5-14 years,4,333400,1.2,Finland1990,0.7829999999999999,"141,517,648,888",30271,Generation X
8785,Finland,1990,female,5-14 years,0,318800,0.0,Finland1990,0.7829999999999999,"141,517,648,888",30271,Generation X
8786,Finland,1991,male,75+ years,67,86300,77.64,Finland1991,,"127,866,490,222",27214,G.I. Generation
8787,Finland,1991,male,25-34 years,257,387500,66.32,Finland1991,,"127,866,490,222",27214,Boomers
8788,Finland,1991,male,35-54 years,489,741700,65.93,Finland1991,,"127,866,490,222",27214,Boomers
8789,Finland,1991,male,55-74 years,235,396600,59.25,Finland1991,,"127,866,490,222",27214,Silent
8790,Finland,1991,male,15-24 years,139,329300,42.21,Finland1991,,"127,866,490,222",27214,Generation X
8791,Finland,1991,female,35-54 years,134,718800,18.64,Finland1991,,"127,866,490,222",27214,Boomers
8792,Finland,1991,female,55-74 years,82,504100,16.27,Finland1991,,"127,866,490,222",27214,Silent
