,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
9086,France,1985,male,75+ years,1522,1263200,120.49,France1985,0.741,"553,138,414,367",10765,G.I. Generation
9087,France,1985,male,55-74 years,2363,4471600,52.84,France1985,0.741,"553,138,414,367",10765,G.I. Generation
9088,France,1985,male,35-54 years,2752,6799400,40.47,France1985,0.741,"553,138,414,367",10765,Silent
9089,France,1985,male,25-34 years,1492,4240100,35.19,France1985,0.741,"553,138,414,367",10765,Boomers
9090,France,1985,female,75+ years,670,2434600,27.52,France1985,0.741,"553,138,414,367",10765,G.I. Generation
9091,France,1985,female,55-74 years,1218,5255800,23.17,France1985,0.741,"553,138,414,367",10765,G.I. Generation
9092,France,1985,male,15-24 years,740,4349200,17.01,France1985,0.741,"553,138,414,367",10765,Generation X
9093,France,1985,female,35-54 years,1065,6652100,16.01,France1985,0.741,"553,138,414,367",10765,Silent
9094,France,1985,female,25-34 years,447,4213300,10.61,France1985,0.741,"553,138,414,367",10765,Boomers
9095,France,1985,female,15-24 years,197,4220700,4.67,France1985,0.741,"553,138,414,367",10765,Generation X
9096,France,1985,male,5-14 years,29,3837000,0.76,France1985,0.741,"553,138,414,367",10765,Generation X
9097,France,1985,female,5-14 years,6,3645600,0.16,France1985,0.741,"553,138,414,367",10765,Generation X
9098,France,1986,male,75+ years,1465,1207600,121.32,France1986,,"771,470,783,218",14940,G.I. Generation
9099,France,1986,male,55-74 years,2382,4450700,53.52,France1986,,"771,470,783,218",14940,G.I. Generation
9100,France,1986,male,35-54 years,2847,6825300,41.71,France1986,,"771,470,783,218",14940,Silent
9101,France,1986,male,25-34 years,1448,4231000,34.22,France1986,,"771,470,783,218",14940,Boomers
9102,France,1986,female,75+ years,694,2356000,29.46,France1986,,"771,470,783,218",14940,G.I. Generation
9103,France,1986,female,55-74 years,1203,5253800,22.9,France1986,,"771,470,783,218",14940,G.I. Generation
9104,France,1986,female,35-54 years,1137,6692000,16.99,France1986,,"771,470,783,218",14940,Silent
9105,France,1986,male,15-24 years,695,4343700,16.0,France1986,,"771,470,783,218",14940,Generation X
9106,France,1986,female,25-34 years,424,4218000,10.05,France1986,,"771,470,783,218",14940,Boomers
9107,France,1986,female,15-24 years,193,4219700,4.57,France1986,,"771,470,783,218",14940,Generation X
9108,France,1986,male,5-14 years,35,4020800,0.87,France1986,,"771,470,783,218",14940,Generation X
9109,France,1986,female,5-14 years,6,3819000,0.16,France1986,,"771,470,783,218",14940,Generation X
9110,France,1987,male,75+ years,1491,1314800,113.4,France1987,,"934,173,305,686",17999,G.I. Generation
9111,France,1987,male,55-74 years,2198,4576100,48.03,France1987,,"934,173,305,686",17999,G.I. Generation
9112,France,1987,male,35-54 years,2855,6973100,40.94,France1987,,"934,173,305,686",17999,Silent
9113,France,1987,male,25-34 years,1369,4211300,32.51,France1987,,"934,173,305,686",17999,Boomers
9114,France,1987,female,75+ years,730,2524500,28.92,France1987,,"934,173,305,686",17999,G.I. Generation
9115,France,1987,female,55-74 years,1122,5333200,21.04,France1987,,"934,173,305,686",17999,G.I. Generation
9116,France,1987,female,35-54 years,1124,6839200,16.43,France1987,,"934,173,305,686",17999,Silent
9117,France,1987,male,15-24 years,641,4370700,14.67,France1987,,"934,173,305,686",17999,Generation X
9118,France,1987,female,25-34 years,414,4214400,9.82,France1987,,"934,173,305,686",17999,Boomers
9119,France,1987,female,15-24 years,175,4228600,4.14,France1987,,"934,173,305,686",17999,Generation X
9120,France,1987,male,5-14 years,33,3752400,0.88,France1987,,"934,173,305,686",17999,Generation X
9121,France,1987,female,5-14 years,9,3562500,0.25,France1987,,"934,173,305,686",17999,Generation X
9122,France,1988,male,75+ years,1470,1348100,109.04,France1988,,"1,018,847,043,277",19534,G.I. Generation
9123,France,1988,male,55-74 years,2012,4614700,43.6,France1988,,"1,018,847,043,277",19534,G.I. Generation
9124,France,1988,male,35-54 years,2752,7066300,38.95,France1988,,"1,018,847,043,277",19534,Silent
9125,France,1988,male,25-34 years,1371,4219800,32.49,France1988,,"1,018,847,043,277",19534,Boomers
9126,France,1988,female,75+ years,652,2579800,25.27,France1988,,"1,018,847,043,277",19534,G.I. Generation
9127,France,1988,female,55-74 years,1063,5354800,19.85,France1988,,"1,018,847,043,277",19534,G.I. Generation
9128,France,1988,female,35-54 years,1087,6943200,15.66,France1988,,"1,018,847,043,277",19534,Silent
9129,France,1988,male,15-24 years,606,4362100,13.89,France1988,,"1,018,847,043,277",19534,Generation X
9130,France,1988,female,25-34 years,380,4229400,8.98,France1988,,"1,018,847,043,277",19534,Boomers
9131,France,1988,female,15-24 years,178,4212400,4.23,France1988,,"1,018,847,043,277",19534,Generation X
9132,France,1988,male,5-14 years,23,3707800,0.62,France1988,,"1,018,847,043,277",19534,Generation X
9133,France,1988,female,5-14 years,5,3519200,0.14,France1988,,"1,018,847,043,277",19534,Generation X
9134,France,1989,male,75+ years,1476,1376800,107.21,France1989,,"1,025,211,803,414",19558,G.I. Generation
9135,France,1989,male,55-74 years,2066,4663000,44.31,France1989,,"1,025,211,803,414",19558,G.I. Generation
9136,France,1989,male,35-54 years,2731,7163600,38.12,France1989,,"1,025,211,803,414",19558,Silent
9137,France,1989,male,25-34 years,1366,4238300,32.23,France1989,,"1,025,211,803,414",19558,Boomers
9138,France,1989,female,75+ years,677,2631300,25.73,France1989,,"1,025,211,803,414",19558,G.I. Generation
9139,France,1989,female,55-74 years,1063,5381700,19.75,France1989,,"1,025,211,803,414",19558,G.I. Generation
9140,France,1989,male,15-24 years,681,4323100,15.75,France1989,,"1,025,211,803,414",19558,Generation X
9141,France,1989,female,35-54 years,1043,7049300,14.8,France1989,,"1,025,211,803,414",19558,Silent
9142,France,1989,female,25-34 years,391,4242400,9.22,France1989,,"1,025,211,803,414",19558,Boomers
9143,France,1989,female,15-24 years,190,4167800,4.56,France1989,,"1,025,211,803,414",19558,Generation X
9144,France,1989,male,5-14 years,23,3684000,0.62,France1989,,"1,025,211,803,414",19558,Generation X
9145,France,1989,female,5-14 years,8,3496600,0.23,France1989,,"1,025,211,803,414",19558,Generation X
9146,France,1990,male,75+ years,1441,1360900,105.89,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
9147,France,1990,male,55-74 years,1986,4746800,41.84,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
9148,France,1990,male,35-54 years,2816,7267500,38.75,France1990,0.779,"1,269,179,616,914",23968,Silent
9149,France,1990,male,25-34 years,1314,4289900,30.63,France1990,0.779,"1,269,179,616,914",23968,Boomers
9150,France,1990,female,75+ years,661,2583600,25.58,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
9151,France,1990,female,55-74 years,1002,5482800,18.28,France1990,0.779,"1,269,179,616,914",23968,G.I. Generation
9152,France,1990,male,15-24 years,607,4318400,14.06,France1990,0.779,"1,269,179,616,914",23968,Generation X
9153,France,1990,female,35-54 years,981,7178300,13.67,France1990,0.779,"1,269,179,616,914",23968,Silent
9154,France,1990,female,25-34 years,392,4308400,9.1,France1990,0.779,"1,269,179,616,914",23968,Boomers
9155,France,1990,female,15-24 years,184,4175200,4.41,France1990,0.779,"1,269,179,616,914",23968,Generation X
9156,France,1990,male,5-14 years,14,3705600,0.38,France1990,0.779,"1,269,179,616,914",23968,Generation X
9157,France,1990,female,5-14 years,5,3535500,0.14,France1990,0.779,"1,269,179,616,914",23968,Generation X
9158,France,1991,male,75+ years,1309,1318500,99.28,France1991,,"1,269,276,828,276",23821,G.I. Generation
9159,France,1991,male,55-74 years,2048,4856900,42.17,France1991,,"1,269,276,828,276",23821,Silent
9160,France,1991,male,35-54 years,2870,7380300,38.89,France1991,,"1,269,276,828,276",23821,Boomers
9161,France,1991,male,25-34 years,1346,4308800,31.24,France1991,,"1,269,276,828,276",23821,Boomers
