,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
9446,Georgia,1990,male,75+ years,14,62200,22.51,Georgia1990,,"7,753,501,868",1555,G.I. Generation
9447,Georgia,1990,male,55-74 years,36,377250,9.54,Georgia1990,,"7,753,501,868",1555,G.I. Generation
9448,Georgia,1990,male,35-54 years,44,616350,7.14,Georgia1990,,"7,753,501,868",1555,Silent
9449,Georgia,1990,female,75+ years,8,136200,5.87,Georgia1990,,"7,753,501,868",1555,G.I. Generation
9450,Georgia,1990,male,25-34 years,23,422400,5.45,Georgia1990,,"7,753,501,868",1555,Boomers
9451,Georgia,1990,male,15-24 years,23,424000,5.42,Georgia1990,,"7,753,501,868",1555,Generation X
9452,Georgia,1990,female,55-74 years,18,525250,3.43,Georgia1990,,"7,753,501,868",1555,G.I. Generation
9453,Georgia,1990,female,35-54 years,22,682450,3.22,Georgia1990,,"7,753,501,868",1555,Silent
9454,Georgia,1990,female,15-24 years,4,415850,0.96,Georgia1990,,"7,753,501,868",1555,Generation X
9455,Georgia,1990,female,25-34 years,4,451450,0.89,Georgia1990,,"7,753,501,868",1555,Boomers
9456,Georgia,1990,female,5-14 years,0,428500,0.0,Georgia1990,,"7,753,501,868",1555,Generation X
9457,Georgia,1990,male,5-14 years,0,444500,0.0,Georgia1990,,"7,753,501,868",1555,Generation X
9458,Georgia,1991,male,75+ years,9,62950,14.3,Georgia1991,,"6,357,615,894",1267,G.I. Generation
9459,Georgia,1991,male,55-74 years,44,382950,11.49,Georgia1991,,"6,357,615,894",1267,Silent
9460,Georgia,1991,male,35-54 years,38,626000,6.07,Georgia1991,,"6,357,615,894",1267,Boomers
9461,Georgia,1991,female,75+ years,8,138300,5.78,Georgia1991,,"6,357,615,894",1267,G.I. Generation
9462,Georgia,1991,male,25-34 years,20,418850,4.77,Georgia1991,,"6,357,615,894",1267,Boomers
9463,Georgia,1991,female,55-74 years,19,530000,3.58,Georgia1991,,"6,357,615,894",1267,Silent
9464,Georgia,1991,male,15-24 years,12,425700,2.82,Georgia1991,,"6,357,615,894",1267,Generation X
9465,Georgia,1991,female,35-54 years,15,695100,2.16,Georgia1991,,"6,357,615,894",1267,Boomers
9466,Georgia,1991,female,15-24 years,4,418300,0.96,Georgia1991,,"6,357,615,894",1267,Generation X
9467,Georgia,1991,female,25-34 years,4,447700,0.89,Georgia1991,,"6,357,615,894",1267,Boomers
9468,Georgia,1991,female,5-14 years,1,428250,0.23,Georgia1991,,"6,357,615,894",1267,Millenials
9469,Georgia,1991,male,5-14 years,0,444450,0.0,Georgia1991,,"6,357,615,894",1267,Millenials
9470,Georgia,1992,male,75+ years,10,63000,15.87,Georgia1992,,"3,690,328,964",740,G.I. Generation
9471,Georgia,1992,male,55-74 years,51,383700,13.29,Georgia1992,,"3,690,328,964",740,Silent
9472,Georgia,1992,male,35-54 years,46,628000,7.32,Georgia1992,,"3,690,328,964",740,Boomers
9473,Georgia,1992,male,25-34 years,26,410250,6.34,Georgia1992,,"3,690,328,964",740,Boomers
9474,Georgia,1992,female,75+ years,6,138750,4.32,Georgia1992,,"3,690,328,964",740,G.I. Generation
9475,Georgia,1992,male,15-24 years,18,422250,4.26,Georgia1992,,"3,690,328,964",740,Generation X
9476,Georgia,1992,female,55-74 years,17,528300,3.22,Georgia1992,,"3,690,328,964",740,Silent
9477,Georgia,1992,female,15-24 years,9,415550,2.17,Georgia1992,,"3,690,328,964",740,Generation X
9478,Georgia,1992,female,35-54 years,13,699000,1.86,Georgia1992,,"3,690,328,964",740,Boomers
9479,Georgia,1992,female,25-34 years,8,438250,1.83,Georgia1992,,"3,690,328,964",740,Boomers
9480,Georgia,1992,female,5-14 years,0,422700,0.0,Georgia1992,,"3,690,328,964",740,Millenials
9481,Georgia,1992,male,5-14 years,0,438950,0.0,Georgia1992,,"3,690,328,964",740,Millenials
9482,Georgia,1994,male,55-74 years,38,370200,10.26,Georgia1994,,"2,513,870,587",556,Silent
9483,Georgia,1994,female,75+ years,7,127950,5.47,Georgia1994,,"2,513,870,587",556,G.I. Generation
