,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
9710,Germany,1990,male,75+ years,1516,1717700,88.26,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,G.I. Generation
9711,Germany,1990,male,55-74 years,2406,6593100,36.49,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,G.I. Generation
9712,Germany,1990,male,35-54 years,3302,11127100,29.68,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,Silent
9713,Germany,1990,female,75+ years,1174,3978800,29.51,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,G.I. Generation
9714,Germany,1990,male,25-34 years,1488,6721200,22.14,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,Boomers
9715,Germany,1990,female,55-74 years,1417,8537700,16.6,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,G.I. Generation
9716,Germany,1990,male,15-24 years,800,5565400,14.37,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,Generation X
9717,Germany,1990,female,35-54 years,1128,10742900,10.5,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,Silent
9718,Germany,1990,female,25-34 years,434,6328000,6.86,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,Boomers
9719,Germany,1990,female,15-24 years,228,5288600,4.31,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,Generation X
9720,Germany,1990,male,5-14 years,22,4290400,0.51,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,Generation X
9721,Germany,1990,female,5-14 years,9,4067900,0.22,Germany1990,0.8009999999999999,"1,764,967,948,917",23546,Generation X
9722,Germany,1991,male,75+ years,1459,1660100,87.89,Germany1991,,"1,861,873,895,109",24662,G.I. Generation
9723,Germany,1991,male,55-74 years,2445,6843000,35.73,Germany1991,,"1,861,873,895,109",24662,Silent
9724,Germany,1991,male,35-54 years,3427,11178200,30.66,Germany1991,,"1,861,873,895,109",24662,Boomers
9725,Germany,1991,female,75+ years,1153,3906500,29.51,Germany1991,,"1,861,873,895,109",24662,G.I. Generation
9726,Germany,1991,male,25-34 years,1523,6923800,22.0,Germany1991,,"1,861,873,895,109",24662,Boomers
9727,Germany,1991,female,55-74 years,1400,8711800,16.07,Germany1991,,"1,861,873,895,109",24662,Silent
9728,Germany,1991,male,15-24 years,775,5374900,14.42,Germany1991,,"1,861,873,895,109",24662,Generation X
9729,Germany,1991,female,35-54 years,1200,10784200,11.13,Germany1991,,"1,861,873,895,109",24662,Boomers
9730,Germany,1991,female,25-34 years,411,6488800,6.33,Germany1991,,"1,861,873,895,109",24662,Boomers
9731,Germany,1991,female,15-24 years,185,5100000,3.63,Germany1991,,"1,861,873,895,109",24662,Generation X
9732,Germany,1991,male,5-14 years,27,4374100,0.62,Germany1991,,"1,861,873,895,109",24662,Millenials
9733,Germany,1991,female,5-14 years,5,4150500,0.12,Germany1991,,"1,861,873,895,109",24662,Millenials
9734,Germany,1992,male,75+ years,1395,1587600,87.87,Germany1992,,"2,123,130,870,382",27888,G.I. Generation
9735,Germany,1992,male,55-74 years,2405,7149100,33.64,Germany1992,,"2,123,130,870,382",27888,Silent
9736,Germany,1992,female,75+ years,1105,3796100,29.11,Germany1992,,"2,123,130,870,382",27888,G.I. Generation
9737,Germany,1992,male,35-54 years,3250,11253500,28.88,Germany1992,,"2,123,130,870,382",27888,Boomers
9738,Germany,1992,male,25-34 years,1576,7109900,22.17,Germany1992,,"2,123,130,870,382",27888,Boomers
9739,Germany,1992,female,55-74 years,1375,8957600,15.35,Germany1992,,"2,123,130,870,382",27888,Silent
9740,Germany,1992,male,15-24 years,674,5203300,12.95,Germany1992,,"2,123,130,870,382",27888,Generation X
9741,Germany,1992,female,35-54 years,1093,10830700,10.09,Germany1992,,"2,123,130,870,382",27888,Boomers
9742,Germany,1992,female,25-34 years,384,6626000,5.8,Germany1992,,"2,123,130,870,382",27888,Boomers
9743,Germany,1992,female,15-24 years,163,4914400,3.32,Germany1992,,"2,123,130,870,382",27888,Generation X
9744,Germany,1992,male,5-14 years,26,4466700,0.58,Germany1992,,"2,123,130,870,382",27888,Millenials
9745,Germany,1992,female,5-14 years,12,4236800,0.28,Germany1992,,"2,123,130,870,382",27888,Millenials
9746,Germany,1993,male,75+ years,1296,1519500,85.29,Germany1993,,"2,068,555,542,411",26937,G.I. Generation
9747,Germany,1993,male,55-74 years,2485,7481800,33.21,Germany1993,,"2,068,555,542,411",26937,Silent
9748,Germany,1993,male,35-54 years,3033,11313100,26.81,Germany1993,,"2,068,555,542,411",26937,Boomers
9749,Germany,1993,female,75+ years,884,3684600,23.99,Germany1993,,"2,068,555,542,411",26937,G.I. Generation
9750,Germany,1993,male,25-34 years,1467,7256700,20.22,Germany1993,,"2,068,555,542,411",26937,Boomers
9751,Germany,1993,female,55-74 years,1296,9235200,14.03,Germany1993,,"2,068,555,542,411",26937,Silent
9752,Germany,1993,male,15-24 years,632,5047700,12.52,Germany1993,,"2,068,555,542,411",26937,Generation X
9753,Germany,1993,female,35-54 years,1009,10876700,9.28,Germany1993,,"2,068,555,542,411",26937,Boomers
9754,Germany,1993,female,25-34 years,371,6736600,5.51,Germany1993,,"2,068,555,542,411",26937,Boomers
9755,Germany,1993,female,15-24 years,157,4748600,3.31,Germany1993,,"2,068,555,542,411",26937,Generation X
9756,Germany,1993,male,5-14 years,47,4564700,1.03,Germany1993,,"2,068,555,542,411",26937,Millenials
9757,Germany,1993,female,5-14 years,13,4328200,0.3,Germany1993,,"2,068,555,542,411",26937,Millenials
9758,Germany,1994,male,75+ years,1196,1482300,80.69,Germany1994,,"2,205,966,011,812",28588,G.I. Generation
9759,Germany,1994,male,55-74 years,2527,7799100,32.4,Germany1994,,"2,205,966,011,812",28588,Silent
9760,Germany,1994,male,35-54 years,3154,11313100,27.88,Germany1994,,"2,205,966,011,812",28588,Boomers
9761,Germany,1994,female,75+ years,819,3631600,22.55,Germany1994,,"2,205,966,011,812",28588,G.I. Generation
9762,Germany,1994,male,25-34 years,1541,7293700,21.13,Germany1994,,"2,205,966,011,812",28588,Boomers
9763,Germany,1994,male,15-24 years,682,4865000,14.02,Germany1994,,"2,205,966,011,812",28588,Generation X
9764,Germany,1994,female,55-74 years,1261,9477200,13.31,Germany1994,,"2,205,966,011,812",28588,Silent
9765,Germany,1994,female,35-54 years,971,10893100,8.91,Germany1994,,"2,205,966,011,812",28588,Boomers
9766,Germany,1994,female,25-34 years,350,6777700,5.16,Germany1994,,"2,205,966,011,812",28588,Boomers
9767,Germany,1994,female,15-24 years,170,4591200,3.7,Germany1994,,"2,205,966,011,812",28588,Generation X
9768,Germany,1994,male,5-14 years,30,4637800,0.65,Germany1994,,"2,205,966,011,812",28588,Millenials
9769,Germany,1994,female,5-14 years,17,4401600,0.39,Germany1994,,"2,205,966,011,812",28588,Millenials
9770,Germany,1995,male,75+ years,1254,1506200,83.26,Germany1995,0.83,"2,591,620,035,485",33420,G.I. Generation
9771,Germany,1995,male,55-74 years,2597,8085300,32.12,Germany1995,0.83,"2,591,620,035,485",33420,Silent
9772,Germany,1995,male,35-54 years,3251,11336900,28.68,Germany1995,0.83,"2,591,620,035,485",33420,Boomers
9773,Germany,1995,female,75+ years,884,3692800,23.94,Germany1995,0.83,"2,591,620,035,485",33420,G.I. Generation
9774,Germany,1995,male,25-34 years,1452,7257600,20.01,Germany1995,0.83,"2,591,620,035,485",33420,Generation X
9775,Germany,1995,male,15-24 years,630,4738700,13.29,Germany1995,0.83,"2,591,620,035,485",33420,Generation X
9776,Germany,1995,female,55-74 years,1266,9630800,13.15,Germany1995,0.83,"2,591,620,035,485",33420,Silent
9777,Germany,1995,female,35-54 years,983,10912900,9.01,Germany1995,0.83,"2,591,620,035,485",33420,Boomers
9778,Germany,1995,female,25-34 years,343,6749100,5.08,Germany1995,0.83,"2,591,620,035,485",33420,Generation X
9779,Germany,1995,female,15-24 years,176,4487000,3.92,Germany1995,0.83,"2,591,620,035,485",33420,Generation X
9780,Germany,1995,male,5-14 years,38,4695200,0.81,Germany1995,0.83,"2,591,620,035,485",33420,Millenials
9781,Germany,1995,female,5-14 years,14,4455000,0.31,Germany1995,0.83,"2,591,620,035,485",33420,Millenials
9782,Germany,1996,male,75+ years,1176,1557200,75.52,Germany1996,,"2,503,665,193,657",32147,G.I. Generation
9783,Germany,1996,male,55-74 years,2463,8320900,29.6,Germany1996,,"2,503,665,193,657",32147,Silent
9784,Germany,1996,male,35-54 years,3023,11396300,26.53,Germany1996,,"2,503,665,193,657",32147,Boomers
9785,Germany,1996,female,75+ years,790,3802500,20.78,Germany1996,,"2,503,665,193,657",32147,G.I. Generation
9786,Germany,1996,male,25-34 years,1441,7162600,20.12,Germany1996,,"2,503,665,193,657",32147,Generation X
9787,Germany,1996,female,55-74 years,1249,9712700,12.86,Germany1996,,"2,503,665,193,657",32147,Silent
9788,Germany,1996,male,15-24 years,589,4670600,12.61,Germany1996,,"2,503,665,193,657",32147,Generation X
9789,Germany,1996,female,35-54 years,937,10969800,8.54,Germany1996,,"2,503,665,193,657",32147,Boomers
9790,Germany,1996,female,25-34 years,351,6663000,5.27,Germany1996,,"2,503,665,193,657",32147,Generation X
9791,Germany,1996,female,15-24 years,157,4430800,3.54,Germany1996,,"2,503,665,193,657",32147,Generation X
9792,Germany,1996,male,5-14 years,36,4720200,0.76,Germany1996,,"2,503,665,193,657",32147,Millenials
