,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
10022,Greece,1985,male,75+ years,35,233300,15.0,Greece1985,0.741,"47,820,850,975",5156,G.I. Generation
10023,Greece,1985,male,55-74 years,85,874300,9.72,Greece1985,0.741,"47,820,850,975",5156,G.I. Generation
10024,Greece,1985,male,35-54 years,82,1248900,6.57,Greece1985,0.741,"47,820,850,975",5156,Silent
10025,Greece,1985,male,25-34 years,40,682900,5.86,Greece1985,0.741,"47,820,850,975",5156,Boomers
10026,Greece,1985,female,75+ years,15,317900,4.72,Greece1985,0.741,"47,820,850,975",5156,G.I. Generation
10027,Greece,1985,female,55-74 years,47,1000100,4.7,Greece1985,0.741,"47,820,850,975",5156,G.I. Generation
10028,Greece,1985,male,15-24 years,35,775900,4.51,Greece1985,0.741,"47,820,850,975",5156,Generation X
10029,Greece,1985,female,25-34 years,18,679100,2.65,Greece1985,0.741,"47,820,850,975",5156,Boomers
10030,Greece,1985,female,35-54 years,35,1326900,2.64,Greece1985,0.741,"47,820,850,975",5156,Silent
10031,Greece,1985,female,15-24 years,13,720500,1.8,Greece1985,0.741,"47,820,850,975",5156,Generation X
10032,Greece,1985,female,5-14 years,0,684600,0.0,Greece1985,0.741,"47,820,850,975",5156,Generation X
10033,Greece,1985,male,5-14 years,0,731000,0.0,Greece1985,0.741,"47,820,850,975",5156,Generation X
10034,Greece,1986,male,75+ years,47,240900,19.51,Greece1986,,"56,379,593,720",6040,G.I. Generation
10035,Greece,1986,male,55-74 years,86,889600,9.67,Greece1986,,"56,379,593,720",6040,G.I. Generation
10036,Greece,1986,male,25-34 years,53,695900,7.62,Greece1986,,"56,379,593,720",6040,Boomers
10037,Greece,1986,male,15-24 years,43,773400,5.56,Greece1986,,"56,379,593,720",6040,Generation X
10038,Greece,1986,female,75+ years,17,328000,5.18,Greece1986,,"56,379,593,720",6040,G.I. Generation
10039,Greece,1986,male,35-54 years,63,1246900,5.05,Greece1986,,"56,379,593,720",6040,Silent
10040,Greece,1986,female,55-74 years,33,1018800,3.24,Greece1986,,"56,379,593,720",6040,G.I. Generation
10041,Greece,1986,female,35-54 years,28,1321900,2.12,Greece1986,,"56,379,593,720",6040,Silent
10042,Greece,1986,female,15-24 years,13,723300,1.8,Greece1986,,"56,379,593,720",6040,Generation X
10043,Greece,1986,female,25-34 years,10,683900,1.46,Greece1986,,"56,379,593,720",6040,Boomers
10044,Greece,1986,female,5-14 years,0,681800,0.0,Greece1986,,"56,379,593,720",6040,Generation X
10045,Greece,1986,male,5-14 years,0,729600,0.0,Greece1986,,"56,379,593,720",6040,Generation X
10046,Greece,1987,male,75+ years,54,243200,22.2,Greece1987,,"65,652,751,132",6994,G.I. Generation
10047,Greece,1987,male,55-74 years,78,917400,8.5,Greece1987,,"65,652,751,132",6994,G.I. Generation
10048,Greece,1987,male,25-34 years,46,684500,6.72,Greece1987,,"65,652,751,132",6994,Boomers
10049,Greece,1987,male,35-54 years,81,1253400,6.46,Greece1987,,"65,652,751,132",6994,Silent
10050,Greece,1987,male,15-24 years,34,754200,4.51,Greece1987,,"65,652,751,132",6994,Generation X
10051,Greece,1987,female,75+ years,14,326300,4.29,Greece1987,,"65,652,751,132",6994,G.I. Generation
10052,Greece,1987,female,55-74 years,43,1027900,4.18,Greece1987,,"65,652,751,132",6994,G.I. Generation
10053,Greece,1987,female,35-54 years,35,1282300,2.73,Greece1987,,"65,652,751,132",6994,Silent
10054,Greece,1987,female,15-24 years,12,738200,1.63,Greece1987,,"65,652,751,132",6994,Generation X
10055,Greece,1987,female,25-34 years,9,692400,1.3,Greece1987,,"65,652,751,132",6994,Boomers
10056,Greece,1987,male,5-14 years,3,753600,0.4,Greece1987,,"65,652,751,132",6994,Generation X
10057,Greece,1987,female,5-14 years,1,714000,0.14,Greece1987,,"65,652,751,132",6994,Generation X
10058,Greece,1988,male,75+ years,44,248600,17.7,Greece1988,,"76,261,278,405",8070,G.I. Generation
10059,Greece,1988,male,55-74 years,83,936100,8.87,Greece1988,,"76,261,278,405",8070,G.I. Generation
10060,Greece,1988,male,25-34 years,52,689400,7.54,Greece1988,,"76,261,278,405",8070,Boomers
10061,Greece,1988,female,75+ years,21,334500,6.28,Greece1988,,"76,261,278,405",8070,G.I. Generation
10062,Greece,1988,male,35-54 years,72,1253500,5.74,Greece1988,,"76,261,278,405",8070,Silent
10063,Greece,1988,male,15-24 years,37,762700,4.85,Greece1988,,"76,261,278,405",8070,Generation X
10064,Greece,1988,female,55-74 years,50,1047200,4.77,Greece1988,,"76,261,278,405",8070,G.I. Generation
10065,Greece,1988,female,35-54 years,29,1281800,2.26,Greece1988,,"76,261,278,405",8070,Silent
10066,Greece,1988,female,25-34 years,11,699600,1.57,Greece1988,,"76,261,278,405",8070,Boomers
10067,Greece,1988,female,15-24 years,4,742800,0.54,Greece1988,,"76,261,278,405",8070,Generation X
10068,Greece,1988,female,5-14 years,0,707100,0.0,Greece1988,,"76,261,278,405",8070,Generation X
10069,Greece,1988,male,5-14 years,0,746700,0.0,Greece1988,,"76,261,278,405",8070,Generation X
10070,Greece,1989,male,75+ years,39,253900,15.36,Greece1989,,"79,169,043,642",8310,G.I. Generation
10071,Greece,1989,male,25-34 years,53,697700,7.6,Greece1989,,"79,169,043,642",8310,Boomers
10072,Greece,1989,male,55-74 years,70,956800,7.32,Greece1989,,"79,169,043,642",8310,G.I. Generation
10073,Greece,1989,male,35-54 years,80,1257600,6.36,Greece1989,,"79,169,043,642",8310,Silent
10074,Greece,1989,male,15-24 years,32,772200,4.14,Greece1989,,"79,169,043,642",8310,Generation X
10075,Greece,1989,female,75+ years,14,342500,4.09,Greece1989,,"79,169,043,642",8310,G.I. Generation
10076,Greece,1989,female,55-74 years,40,1068200,3.74,Greece1989,,"79,169,043,642",8310,G.I. Generation
10077,Greece,1989,female,25-34 years,16,709100,2.26,Greece1989,,"79,169,043,642",8310,Boomers
10078,Greece,1989,female,35-54 years,28,1284000,2.18,Greece1989,,"79,169,043,642",8310,Silent
10079,Greece,1989,female,15-24 years,7,748500,0.94,Greece1989,,"79,169,043,642",8310,Generation X
10080,Greece,1989,male,5-14 years,4,738300,0.54,Greece1989,,"79,169,043,642",8310,Generation X
10081,Greece,1989,female,5-14 years,0,698700,0.0,Greece1989,,"79,169,043,642",8310,Generation X
10082,Greece,1990,male,75+ years,46,258700,17.78,Greece1990,0.759,"97,891,090,929",10179,G.I. Generation
10083,Greece,1990,male,55-74 years,68,979100,6.95,Greece1990,0.759,"97,891,090,929",10179,G.I. Generation
10084,Greece,1990,male,25-34 years,46,709800,6.48,Greece1990,0.759,"97,891,090,929",10179,Boomers
10085,Greece,1990,male,35-54 years,68,1265600,5.37,Greece1990,0.759,"97,891,090,929",10179,Silent
10086,Greece,1990,male,15-24 years,40,782500,5.11,Greece1990,0.759,"97,891,090,929",10179,Generation X
10087,Greece,1990,female,75+ years,9,349600,2.57,Greece1990,0.759,"97,891,090,929",10179,G.I. Generation
10088,Greece,1990,female,55-74 years,25,1091300,2.29,Greece1990,0.759,"97,891,090,929",10179,G.I. Generation
10089,Greece,1990,female,35-54 years,25,1288000,1.94,Greece1990,0.759,"97,891,090,929",10179,Silent
10090,Greece,1990,female,25-34 years,11,720200,1.53,Greece1990,0.759,"97,891,090,929",10179,Boomers
10091,Greece,1990,female,15-24 years,8,754700,1.06,Greece1990,0.759,"97,891,090,929",10179,Generation X
10092,Greece,1990,male,5-14 years,3,728500,0.41,Greece1990,0.759,"97,891,090,929",10179,Generation X
10093,Greece,1990,female,5-14 years,0,689000,0.0,Greece1990,0.759,"97,891,090,929",10179,Generation X
10094,Greece,1991,male,75+ years,48,263204,18.24,Greece1991,,"105,143,232,380",10816,G.I. Generation
10095,Greece,1991,male,55-74 years,95,997515,9.52,Greece1991,,"105,143,232,380",10816,Silent
10096,Greece,1991,male,35-54 years,81,1278307,6.34,Greece1991,,"105,143,232,380",10816,Boomers
10097,Greece,1991,male,25-34 years,38,720355,5.28,Greece1991,,"105,143,232,380",10816,Boomers
10098,Greece,1991,female,75+ years,15,357053,4.2,Greece1991,,"105,143,232,380",10816,G.I. Generation
10099,Greece,1991,male,15-24 years,31,793787,3.91,Greece1991,,"105,143,232,380",10816,Generation X
10100,Greece,1991,female,55-74 years,26,1112085,2.34,Greece1991,,"105,143,232,380",10816,Silent
10101,Greece,1991,female,35-54 years,28,1298187,2.16,Greece1991,,"105,143,232,380",10816,Boomers
10102,Greece,1991,female,25-34 years,10,730253,1.37,Greece1991,,"105,143,232,380",10816,Boomers
10103,Greece,1991,female,15-24 years,5,760527,0.66,Greece1991,,"105,143,232,380",10816,Generation X
10104,Greece,1991,male,5-14 years,4,725045,0.55,Greece1991,,"105,143,232,380",10816,Millenials
10105,Greece,1991,female,5-14 years,0,684826,0.0,Greece1991,,"105,143,232,380",10816,Millenials
10106,Greece,1992,male,75+ years,44,266980,16.48,Greece1992,,"116,224,673,043",11818,G.I. Generation
10107,Greece,1992,male,55-74 years,90,1011947,8.89,Greece1992,,"116,224,673,043",11818,Silent
10108,Greece,1992,male,35-54 years,83,1302187,6.37,Greece1992,,"116,224,673,043",11818,Boomers
10109,Greece,1992,male,25-34 years,39,740417,5.27,Greece1992,,"116,224,673,043",11818,Boomers
10110,Greece,1992,female,75+ years,12,360940,3.32,Greece1992,,"116,224,673,043",11818,G.I. Generation
10111,Greece,1992,male,15-24 years,21,805482,2.61,Greece1992,,"116,224,673,043",11818,Generation X
10112,Greece,1992,female,55-74 years,28,1130657,2.48,Greece1992,,"116,224,673,043",11818,Silent
10113,Greece,1992,female,35-54 years,18,1320640,1.36,Greece1992,,"116,224,673,043",11818,Boomers
10114,Greece,1992,female,25-34 years,10,743433,1.35,Greece1992,,"116,224,673,043",11818,Boomers
10115,Greece,1992,female,15-24 years,4,762442,0.52,Greece1992,,"116,224,673,043",11818,Generation X
10116,Greece,1992,male,5-14 years,2,715506,0.28,Greece1992,,"116,224,673,043",11818,Millenials
10117,Greece,1992,female,5-14 years,0,673524,0.0,Greece1992,,"116,224,673,043",11818,Millenials
10118,Greece,1993,male,75+ years,36,269414,13.36,Greece1993,,"108,809,058,859",10957,G.I. Generation
10119,Greece,1993,male,55-74 years,95,1025017,9.27,Greece1993,,"108,809,058,859",10957,Silent
10120,Greece,1993,male,35-54 years,97,1323751,7.33,Greece1993,,"108,809,058,859",10957,Boomers
10121,Greece,1993,male,25-34 years,49,759078,6.46,Greece1993,,"108,809,058,859",10957,Boomers
10122,Greece,1993,female,75+ years,17,364407,4.67,Greece1993,,"108,809,058,859",10957,G.I. Generation
10123,Greece,1993,male,15-24 years,29,815259,3.56,Greece1993,,"108,809,058,859",10957,Generation X
10124,Greece,1993,female,55-74 years,37,1147442,3.22,Greece1993,,"108,809,058,859",10957,Silent
10125,Greece,1993,female,35-54 years,29,1341283,2.16,Greece1993,,"108,809,058,859",10957,Boomers
10126,Greece,1993,female,25-34 years,14,756053,1.85,Greece1993,,"108,809,058,859",10957,Boomers
10127,Greece,1993,female,15-24 years,6,763342,0.79,Greece1993,,"108,809,058,859",10957,Generation X
10128,Greece,1993,male,5-14 years,2,704342,0.28,Greece1993,,"108,809,058,859",10957,Millenials
10129,Greece,1993,female,5-14 years,1,661017,0.15,Greece1993,,"108,809,058,859",10957,Millenials
10130,Greece,1994,male,75+ years,38,270654,14.04,Greece1994,,"116,601,802,107",11638,G.I. Generation
10131,Greece,1994,male,55-74 years,88,1037789,8.48,Greece1994,,"116,601,802,107",11638,Silent
