,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
10394,Grenada,1985,male,55-74 years,1,3987,25.08,Grenada1985,,"167,728,444",1965,G.I. Generation
10395,Grenada,1985,female,15-24 years,0,11725,0.0,Grenada1985,,"167,728,444",1965,Generation X
10396,Grenada,1985,female,25-34 years,0,7124,0.0,Grenada1985,,"167,728,444",1965,Boomers
10397,Grenada,1985,female,35-54 years,0,6880,0.0,Grenada1985,,"167,728,444",1965,Silent
10398,Grenada,1985,female,5-14 years,0,11584,0.0,Grenada1985,,"167,728,444",1965,Generation X
10399,Grenada,1985,female,55-74 years,0,5254,0.0,Grenada1985,,"167,728,444",1965,G.I. Generation
10400,Grenada,1985,female,75+ years,0,1510,0.0,Grenada1985,,"167,728,444",1965,G.I. Generation
10401,Grenada,1985,male,15-24 years,0,11604,0.0,Grenada1985,,"167,728,444",1965,Generation X
10402,Grenada,1985,male,25-34 years,0,6933,0.0,Grenada1985,,"167,728,444",1965,Boomers
10403,Grenada,1985,male,35-54 years,0,5919,0.0,Grenada1985,,"167,728,444",1965,Silent
10404,Grenada,1985,male,5-14 years,0,11950,0.0,Grenada1985,,"167,728,444",1965,Generation X
10405,Grenada,1985,male,75+ years,0,905,0.0,Grenada1985,,"167,728,444",1965,G.I. Generation
10406,Grenada,1988,male,25-34 years,2,6700,29.85,Grenada1988,,"236,357,519",2707,Boomers
10407,Grenada,1988,female,15-24 years,1,11700,8.55,Grenada1988,,"236,357,519",2707,Generation X
10408,Grenada,1988,male,15-24 years,1,11900,8.4,Grenada1988,,"236,357,519",2707,Generation X
10409,Grenada,1988,female,25-34 years,0,6700,0.0,Grenada1988,,"236,357,519",2707,Boomers
10410,Grenada,1988,female,35-54 years,0,6400,0.0,Grenada1988,,"236,357,519",2707,Silent
10411,Grenada,1988,female,5-14 years,0,12300,0.0,Grenada1988,,"236,357,519",2707,Generation X
10412,Grenada,1988,female,55-74 years,0,5200,0.0,Grenada1988,,"236,357,519",2707,G.I. Generation
10413,Grenada,1988,female,75+ years,0,2000,0.0,Grenada1988,,"236,357,519",2707,G.I. Generation
10414,Grenada,1988,male,35-54 years,0,5900,0.0,Grenada1988,,"236,357,519",2707,Silent
10415,Grenada,1988,male,5-14 years,0,12800,0.0,Grenada1988,,"236,357,519",2707,Generation X
10416,Grenada,1988,male,55-74 years,0,4500,0.0,Grenada1988,,"236,357,519",2707,G.I. Generation
10417,Grenada,1988,male,75+ years,0,1200,0.0,Grenada1988,,"236,357,519",2707,G.I. Generation
10418,Grenada,1989,male,25-34 years,2,7029,28.45,Grenada1989,,"267,327,630",3268,Boomers
10419,Grenada,1989,male,55-74 years,1,4485,22.3,Grenada1989,,"267,327,630",3268,G.I. Generation
10420,Grenada,1989,male,35-54 years,1,6973,14.34,Grenada1989,,"267,327,630",3268,Silent
10421,Grenada,1989,female,15-24 years,0,9000,0.0,Grenada1989,,"267,327,630",3268,Generation X
10422,Grenada,1989,female,25-34 years,0,7050,0.0,Grenada1989,,"267,327,630",3268,Boomers
10423,Grenada,1989,female,35-54 years,0,7261,0.0,Grenada1989,,"267,327,630",3268,Silent
10424,Grenada,1989,female,5-14 years,0,11045,0.0,Grenada1989,,"267,327,630",3268,Generation X
10425,Grenada,1989,female,55-74 years,0,5946,0.0,Grenada1989,,"267,327,630",3268,G.I. Generation
10426,Grenada,1989,female,75+ years,0,1490,0.0,Grenada1989,,"267,327,630",3268,G.I. Generation
10427,Grenada,1989,male,15-24 years,0,9251,0.0,Grenada1989,,"267,327,630",3268,Generation X
10428,Grenada,1989,male,5-14 years,0,11332,0.0,Grenada1989,,"267,327,630",3268,Generation X
10429,Grenada,1989,male,75+ years,0,943,0.0,Grenada1989,,"267,327,630",3268,G.I. Generation
10430,Grenada,1990,male,35-54 years,1,6200,16.13,Grenada1990,,"278,098,778",3391,Silent
10431,Grenada,1990,male,15-24 years,1,11600,8.62,Grenada1990,,"278,098,778",3391,Generation X
10432,Grenada,1990,female,15-24 years,0,10500,0.0,Grenada1990,,"278,098,778",3391,Generation X
10433,Grenada,1990,female,25-34 years,0,4900,0.0,Grenada1990,,"278,098,778",3391,Boomers
10434,Grenada,1990,female,35-54 years,0,6600,0.0,Grenada1990,,"278,098,778",3391,Silent
10435,Grenada,1990,female,5-14 years,0,11500,0.0,Grenada1990,,"278,098,778",3391,Generation X
10436,Grenada,1990,female,55-74 years,0,5000,0.0,Grenada1990,,"278,098,778",3391,G.I. Generation
10437,Grenada,1990,female,75+ years,0,1700,0.0,Grenada1990,,"278,098,778",3391,G.I. Generation
10438,Grenada,1990,male,25-34 years,0,5500,0.0,Grenada1990,,"278,098,778",3391,Boomers
10439,Grenada,1990,male,5-14 years,0,13200,0.0,Grenada1990,,"278,098,778",3391,Generation X
10440,Grenada,1990,male,55-74 years,0,4400,0.0,Grenada1990,,"278,098,778",3391,G.I. Generation
10441,Grenada,1990,male,75+ years,0,900,0.0,Grenada1990,,"278,098,778",3391,G.I. Generation
10442,Grenada,1991,female,15-24 years,0,8300,0.0,Grenada1991,,"300,757,889",3650,Generation X
10443,Grenada,1991,female,25-34 years,0,7100,0.0,Grenada1991,,"300,757,889",3650,Boomers
10444,Grenada,1991,female,35-54 years,0,7300,0.0,Grenada1991,,"300,757,889",3650,Boomers
10445,Grenada,1991,female,5-14 years,0,11800,0.0,Grenada1991,,"300,757,889",3650,Millenials
