,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
10704,Guatemala,1986,male,25-34 years,46,522775,8.8,Guatemala1986,,"7,231,963,516",1044,Boomers
10705,Guatemala,1986,male,75+ years,3,36473,8.23,Guatemala1986,,"7,231,963,516",1044,G.I. Generation
10706,Guatemala,1986,male,15-24 years,65,804664,8.08,Guatemala1986,,"7,231,963,516",1044,Generation X
10707,Guatemala,1986,male,55-74 years,19,278407,6.82,Guatemala1986,,"7,231,963,516",1044,G.I. Generation
10708,Guatemala,1986,male,35-54 years,32,577043,5.55,Guatemala1986,,"7,231,963,516",1044,Silent
10709,Guatemala,1986,female,15-24 years,17,807507,2.11,Guatemala1986,,"7,231,963,516",1044,Generation X
10710,Guatemala,1986,female,35-54 years,9,608676,1.48,Guatemala1986,,"7,231,963,516",1044,Silent
10711,Guatemala,1986,female,25-34 years,8,554851,1.44,Guatemala1986,,"7,231,963,516",1044,Boomers
10712,Guatemala,1986,female,5-14 years,2,1184961,0.17,Guatemala1986,,"7,231,963,516",1044,Generation X
10713,Guatemala,1986,male,5-14 years,2,1221857,0.16,Guatemala1986,,"7,231,963,516",1044,Generation X
10714,Guatemala,1986,female,55-74 years,0,284393,0.0,Guatemala1986,,"7,231,963,516",1044,G.I. Generation
10715,Guatemala,1986,female,75+ years,0,42581,0.0,Guatemala1986,,"7,231,963,516",1044,G.I. Generation
10716,Guatemala,1987,male,75+ years,5,38144,13.11,Guatemala1987,,"7,084,399,840",997,G.I. Generation
10717,Guatemala,1987,male,25-34 years,63,531366,11.86,Guatemala1987,,"7,084,399,840",997,Boomers
10718,Guatemala,1987,male,35-54 years,49,588914,8.32,Guatemala1987,,"7,084,399,840",997,Silent
10719,Guatemala,1987,male,55-74 years,16,286727,5.58,Guatemala1987,,"7,084,399,840",997,G.I. Generation
10720,Guatemala,1987,male,15-24 years,45,826321,5.45,Guatemala1987,,"7,084,399,840",997,Generation X
10721,Guatemala,1987,female,75+ years,2,44390,4.51,Guatemala1987,,"7,084,399,840",997,G.I. Generation
10722,Guatemala,1987,female,25-34 years,16,567102,2.82,Guatemala1987,,"7,084,399,840",997,Boomers
