,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
11064,Guyana,1988,male,25-34 years,15,60519,24.79,Guyana1988,,"413,799,990",632,Boomers
11065,Guyana,1988,male,35-54 years,12,58974,20.35,Guyana1988,,"413,799,990",632,Silent
11066,Guyana,1988,male,15-24 years,12,84290,14.24,Guyana1988,,"413,799,990",632,Generation X
11067,Guyana,1988,male,55-74 years,3,24469,12.26,Guyana1988,,"413,799,990",632,G.I. Generation
11068,Guyana,1988,female,15-24 years,10,87955,11.37,Guyana1988,,"413,799,990",632,Generation X
11069,Guyana,1988,female,55-74 years,1,25128,3.98,Guyana1988,,"413,799,990",632,G.I. Generation
11070,Guyana,1988,female,25-34 years,2,62428,3.2,Guyana1988,,"413,799,990",632,Boomers
11071,Guyana,1988,female,35-54 years,1,57863,1.73,Guyana1988,,"413,799,990",632,Silent
11072,Guyana,1988,female,5-14 years,0,91613,0.0,Guyana1988,,"413,799,990",632,Generation X
11073,Guyana,1988,female,75+ years,0,5258,0.0,Guyana1988,,"413,799,990",632,G.I. Generation
11074,Guyana,1988,male,5-14 years,0,91875,0.0,Guyana1988,,"413,799,990",632,Generation X
11075,Guyana,1988,male,75+ years,0,4522,0.0,Guyana1988,,"413,799,990",632,G.I. Generation
11076,Guyana,1989,male,25-34 years,20,61007,32.78,Guyana1989,,"379,779,390",581,Boomers
11077,Guyana,1989,male,55-74 years,8,24423,32.76,Guyana1989,,"379,779,390",581,G.I. Generation
11078,Guyana,1989,male,35-54 years,17,60728,27.99,Guyana1989,,"379,779,390",581,Silent
11079,Guyana,1989,male,15-24 years,20,82060,24.37,Guyana1989,,"379,779,390",581,Generation X
11080,Guyana,1989,male,75+ years,1,4304,23.23,Guyana1989,,"379,779,390",581,G.I. Generation
11081,Guyana,1989,female,15-24 years,15,86230,17.4,Guyana1989,,"379,779,390",581,Generation X
11082,Guyana,1989,female,55-74 years,3,25362,11.83,Guyana1989,,"379,779,390",581,G.I. Generation
11083,Guyana,1989,female,25-34 years,5,63276,7.9,Guyana1989,,"379,779,390",581,Boomers
11084,Guyana,1989,female,35-54 years,2,60363,3.31,Guyana1989,,"379,779,390",581,Silent
11085,Guyana,1989,male,5-14 years,2,90510,2.21,Guyana1989,,"379,779,390",581,Generation X
11086,Guyana,1989,female,5-14 years,1,90585,1.1,Guyana1989,,"379,779,390",581,Generation X
11087,Guyana,1989,female,75+ years,0,5256,0.0,Guyana1989,,"379,779,390",581,G.I. Generation
11088,Guyana,1990,male,25-34 years,23,61238,37.56,Guyana1990,0.542,"396,582,263",607,Boomers
11089,Guyana,1990,male,55-74 years,7,24349,28.75,Guyana1990,0.542,"396,582,263",607,G.I. Generation
11090,Guyana,1990,male,75+ years,1,4090,24.45,Guyana1990,0.542,"396,582,263",607,G.I. Generation
11091,Guyana,1990,male,15-24 years,18,79963,22.51,Guyana1990,0.542,"396,582,263",607,Generation X
11092,Guyana,1990,male,35-54 years,13,62629,20.76,Guyana1990,0.542,"396,582,263",607,Silent
11093,Guyana,1990,female,15-24 years,12,84613,14.18,Guyana1990,0.542,"396,582,263",607,Generation X
11094,Guyana,1990,female,55-74 years,3,25481,11.77,Guyana1990,0.542,"396,582,263",607,G.I. Generation
11095,Guyana,1990,female,35-54 years,4,63070,6.34,Guyana1990,0.542,"396,582,263",607,Silent
11096,Guyana,1990,female,25-34 years,4,63874,6.26,Guyana1990,0.542,"396,582,263",607,Boomers
11097,Guyana,1990,male,5-14 years,2,89344,2.24,Guyana1990,0.542,"396,582,263",607,Generation X
11098,Guyana,1990,female,5-14 years,2,89480,2.24,Guyana1990,0.542,"396,582,263",607,Generation X
11099,Guyana,1990,female,75+ years,0,5295,0.0,Guyana1990,0.542,"396,582,263",607,G.I. Generation
11100,Guyana,1991,male,75+ years,3,4103,73.12,Guyana1991,,"336,708,419",514,G.I. Generation
11101,Guyana,1991,male,35-54 years,22,63902,34.43,Guyana1991,,"336,708,419",514,Boomers
11102,Guyana,1991,male,25-34 years,20,61639,32.45,Guyana1991,,"336,708,419",514,Boomers
11103,Guyana,1991,male,15-24 years,25,78590,31.81,Guyana1991,,"336,708,419",514,Generation X
11104,Guyana,1991,female,15-24 years,20,83288,24.01,Guyana1991,,"336,708,419",514,Generation X
11105,Guyana,1991,male,55-74 years,4,24589,16.27,Guyana1991,,"336,708,419",514,Silent
11106,Guyana,1991,female,55-74 years,2,25913,7.72,Guyana1991,,"336,708,419",514,Silent
11107,Guyana,1991,female,35-54 years,4,64883,6.16,Guyana1991,,"336,708,419",514,Boomers
11108,Guyana,1991,female,25-34 years,3,64963,4.62,Guyana1991,,"336,708,419",514,Boomers
11109,Guyana,1991,male,5-14 years,2,88752,2.25,Guyana1991,,"336,708,419",514,Millenials
11110,Guyana,1991,female,5-14 years,0,88747,0.0,Guyana1991,,"336,708,419",514,Millenials
11111,Guyana,1991,female,75+ years,0,5251,0.0,Guyana1991,,"336,708,419",514,G.I. Generation
11112,Guyana,1992,male,55-74 years,10,24947,40.08,Guyana1992,,"368,281,379",561,Silent
11113,Guyana,1992,male,35-54 years,20,65227,30.66,Guyana1992,,"368,281,379",561,Boomers
11114,Guyana,1992,male,25-34 years,16,61900,25.85,Guyana1992,,"368,281,379",561,Boomers
11115,Guyana,1992,male,75+ years,1,4113,24.31,Guyana1992,,"368,281,379",561,G.I. Generation
11116,Guyana,1992,female,75+ years,1,5153,19.41,Guyana1992,,"368,281,379",561,G.I. Generation
11117,Guyana,1992,male,15-24 years,12,77451,15.49,Guyana1992,,"368,281,379",561,Generation X
11118,Guyana,1992,female,15-24 years,8,82022,9.75,Guyana1992,,"368,281,379",561,Generation X
11119,Guyana,1992,female,25-34 years,4,65856,6.07,Guyana1992,,"368,281,379",561,Boomers
11120,Guyana,1992,female,35-54 years,3,66839,4.49,Guyana1992,,"368,281,379",561,Boomers
11121,Guyana,1992,female,55-74 years,1,26480,3.78,Guyana1992,,"368,281,379",561,Silent
11122,Guyana,1992,female,5-14 years,1,88301,1.13,Guyana1992,,"368,281,379",561,Millenials
11123,Guyana,1992,male,5-14 years,1,88424,1.13,Guyana1992,,"368,281,379",561,Millenials
11124,Guyana,1993,male,25-34 years,19,61922,30.68,Guyana1993,,"442,273,433",671,Boomers
11125,Guyana,1993,male,35-54 years,16,66569,24.04,Guyana1993,,"442,273,433",671,Boomers
11126,Guyana,1993,male,15-24 years,18,76553,23.51,Guyana1993,,"442,273,433",671,Generation X
11127,Guyana,1993,male,55-74 years,4,25346,15.78,Guyana1993,,"442,273,433",671,Silent
11128,Guyana,1993,female,25-34 years,5,66401,7.53,Guyana1993,,"442,273,433",671,Boomers
11129,Guyana,1993,female,15-24 years,4,80833,4.95,Guyana1993,,"442,273,433",671,Generation X
11130,Guyana,1993,female,35-54 years,3,68847,4.36,Guyana1993,,"442,273,433",671,Boomers
11131,Guyana,1993,female,55-74 years,1,27073,3.69,Guyana1993,,"442,273,433",671,Silent
11132,Guyana,1993,female,5-14 years,2,87945,2.27,Guyana1993,,"442,273,433",671,Millenials
11133,Guyana,1993,female,75+ years,0,5036,0.0,Guyana1993,,"442,273,433",671,G.I. Generation
11134,Guyana,1993,male,5-14 years,0,88194,0.0,Guyana1993,,"442,273,433",671,Millenials
11135,Guyana,1993,male,75+ years,0,4112,0.0,Guyana1993,,"442,273,433",671,G.I. Generation
11136,Guyana,1994,male,25-34 years,19,61649,30.82,Guyana1994,,"540,874,934",819,Boomers
11137,Guyana,1994,male,15-24 years,21,75958,27.65,Guyana1994,,"540,874,934",819,Generation X
11138,Guyana,1994,male,75+ years,1,4083,24.49,Guyana1994,,"540,874,934",819,G.I. Generation
11139,Guyana,1994,male,35-54 years,14,67952,20.6,Guyana1994,,"540,874,934",819,Boomers
11140,Guyana,1994,male,55-74 years,4,25709,15.56,Guyana1994,,"540,874,934",819,Silent
11141,Guyana,1994,female,15-24 years,9,79778,11.28,Guyana1994,,"540,874,934",819,Generation X
