,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
11364,Hungary,1991,male,75+ years,333,188235,176.91,Hungary1991,,"34,748,508,332",3561,G.I. Generation
11365,Hungary,1991,male,35-54 years,1271,1420586,89.47,Hungary1991,,"34,748,508,332",3561,Boomers
11366,Hungary,1991,male,55-74 years,751,874916,85.84,Hungary1991,,"34,748,508,332",3561,Silent
11367,Hungary,1991,female,75+ years,263,363039,72.44,Hungary1991,,"34,748,508,332",3561,G.I. Generation
11368,Hungary,1991,male,25-34 years,364,663374,54.87,Hungary1991,,"34,748,508,332",3561,Boomers
11369,Hungary,1991,female,55-74 years,382,1146759,33.31,Hungary1991,,"34,748,508,332",3561,Silent
11370,Hungary,1991,female,35-54 years,341,1486414,22.94,Hungary1991,,"34,748,508,332",3561,Boomers
11371,Hungary,1991,male,15-24 years,154,785554,19.6,Hungary1991,,"34,748,508,332",3561,Generation X
11372,Hungary,1991,female,25-34 years,85,652494,13.03,Hungary1991,,"34,748,508,332",3561,Boomers
11373,Hungary,1991,female,15-24 years,40,748660,5.34,Hungary1991,,"34,748,508,332",3561,Generation X
11374,Hungary,1991,male,5-14 years,7,730241,0.96,Hungary1991,,"34,748,508,332",3561,Millenials
11375,Hungary,1991,female,5-14 years,2,697494,0.29,Hungary1991,,"34,748,508,332",3561,Millenials
11376,Hungary,1992,male,75+ years,317,178482,177.61,Hungary1992,,"38,724,945,368",3970,G.I. Generation
11377,Hungary,1992,male,35-54 years,1281,1435500,89.24,Hungary1992,,"38,724,945,368",3970,Boomers
11378,Hungary,1992,male,55-74 years,766,880216,87.02,Hungary1992,,"38,724,945,368",3970,Silent
11379,Hungary,1992,female,75+ years,212,349038,60.74,Hungary1992,,"38,724,945,368",3970,G.I. Generation
11380,Hungary,1992,male,25-34 years,364,651345,55.88,Hungary1992,,"38,724,945,368",3970,Boomers
11381,Hungary,1992,female,55-74 years,384,1167015,32.9,Hungary1992,,"38,724,945,368",3970,Silent
11382,Hungary,1992,male,15-24 years,202,804971,25.09,Hungary1992,,"38,724,945,368",3970,Generation X
11383,Hungary,1992,female,35-54 years,346,1499718,23.07,Hungary1992,,"38,724,945,368",3970,Boomers
11384,Hungary,1992,female,25-34 years,73,639938,11.41,Hungary1992,,"38,724,945,368",3970,Boomers
11385,Hungary,1992,female,15-24 years,44,767574,5.73,Hungary1992,,"38,724,945,368",3970,Generation X
11386,Hungary,1992,male,5-14 years,9,706161,1.27,Hungary1992,,"38,724,945,368",3970,Millenials
11387,Hungary,1992,female,5-14 years,2,674998,0.3,Hungary1992,,"38,724,945,368",3970,Millenials
11388,Hungary,1993,male,75+ years,300,168944,177.57,Hungary1993,,"40,119,073,326",4116,G.I. Generation
11389,Hungary,1993,male,55-74 years,736,885398,83.13,Hungary1993,,"40,119,073,326",4116,Silent
11390,Hungary,1993,male,35-54 years,1189,1441399,82.49,Hungary1993,,"40,119,073,326",4116,Boomers
11391,Hungary,1993,female,75+ years,198,335159,59.08,Hungary1993,,"40,119,073,326",4116,G.I. Generation
11392,Hungary,1993,male,25-34 years,326,650343,50.13,Hungary1993,,"40,119,073,326",4116,Boomers
11393,Hungary,1993,female,55-74 years,354,1187358,29.81,Hungary1993,,"40,119,073,326",4116,Silent
11394,Hungary,1993,female,35-54 years,320,1505289,21.26,Hungary1993,,"40,119,073,326",4116,Boomers
11395,Hungary,1993,male,15-24 years,157,816038,19.24,Hungary1993,,"40,119,073,326",4116,Generation X
11396,Hungary,1993,female,25-34 years,63,638434,9.87,Hungary1993,,"40,119,073,326",4116,Boomers
11397,Hungary,1993,female,15-24 years,43,778205,5.53,Hungary1993,,"40,119,073,326",4116,Generation X
11398,Hungary,1993,male,5-14 years,7,685836,1.02,Hungary1993,,"40,119,073,326",4116,Millenials
11399,Hungary,1993,female,5-14 years,1,655499,0.15,Hungary1993,,"40,119,073,326",4116,Millenials
11400,Hungary,1994,male,75+ years,292,165660,176.26,Hungary1994,,"43,160,392,124",4431,G.I. Generation
11401,Hungary,1994,male,55-74 years,765,885885,86.35,Hungary1994,,"43,160,392,124",4431,Silent
11402,Hungary,1994,male,35-54 years,1194,1442354,82.78,Hungary1994,,"43,160,392,124",4431,Boomers
11403,Hungary,1994,female,75+ years,217,331979,65.37,Hungary1994,,"43,160,392,124",4431,G.I. Generation
11404,Hungary,1994,male,25-34 years,302,654647,46.13,Hungary1994,,"43,160,392,124",4431,Boomers
11405,Hungary,1994,female,55-74 years,272,1197788,22.71,Hungary1994,,"43,160,392,124",4431,Silent
11406,Hungary,1994,female,35-54 years,310,1507467,20.56,Hungary1994,,"43,160,392,124",4431,Boomers
11407,Hungary,1994,male,15-24 years,167,821912,20.32,Hungary1994,,"43,160,392,124",4431,Generation X
11408,Hungary,1994,female,25-34 years,57,641114,8.89,Hungary1994,,"43,160,392,124",4431,Boomers
11409,Hungary,1994,female,15-24 years,41,783898,5.23,Hungary1994,,"43,160,392,124",4431,Generation X
11410,Hungary,1994,male,5-14 years,7,668761,1.05,Hungary1994,,"43,160,392,124",4431,Millenials
11411,Hungary,1994,female,5-14 years,1,639352,0.16,Hungary1994,,"43,160,392,124",4431,Millenials
11412,Hungary,1995,male,75+ years,282,169919,165.96,Hungary1995,0.74,"46,418,916,500",4767,G.I. Generation
11413,Hungary,1995,male,35-54 years,1114,1439373,77.39,Hungary1995,0.74,"46,418,916,500",4767,Boomers
11414,Hungary,1995,male,55-74 years,668,882335,75.71,Hungary1995,0.74,"46,418,916,500",4767,Silent
11415,Hungary,1995,female,75+ years,202,342301,59.01,Hungary1995,0.74,"46,418,916,500",4767,G.I. Generation
11416,Hungary,1995,male,25-34 years,244,661031,36.91,Hungary1995,0.74,"46,418,916,500",4767,Generation X
11417,Hungary,1995,female,55-74 years,320,1197086,26.73,Hungary1995,0.74,"46,418,916,500",4767,Silent
11418,Hungary,1995,male,15-24 years,159,823833,19.3,Hungary1995,0.74,"46,418,916,500",4767,Generation X
11419,Hungary,1995,female,35-54 years,284,1506265,18.85,Hungary1995,0.74,"46,418,916,500",4767,Boomers
11420,Hungary,1995,female,25-34 years,55,645436,8.52,Hungary1995,0.74,"46,418,916,500",4767,Generation X
11421,Hungary,1995,female,15-24 years,30,786111,3.82,Hungary1995,0.74,"46,418,916,500",4767,Generation X
11422,Hungary,1995,male,5-14 years,8,655969,1.22,Hungary1995,0.74,"46,418,916,500",4767,Millenials
