,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
11674,Iceland,1985,male,15-24 years,7,21900,31.96,Iceland1985,0.7759999999999999,"2,939,845,038",13357,Generation X
11675,Iceland,1985,male,55-74 years,5,16400,30.49,Iceland1985,0.7759999999999999,"2,939,845,038",13357,G.I. Generation
11676,Iceland,1985,male,35-54 years,7,25800,27.13,Iceland1985,0.7759999999999999,"2,939,845,038",13357,Silent
11677,Iceland,1985,male,25-34 years,5,20500,24.39,Iceland1985,0.7759999999999999,"2,939,845,038",13357,Boomers
11678,Iceland,1985,female,55-74 years,4,17500,22.86,Iceland1985,0.7759999999999999,"2,939,845,038",13357,G.I. Generation
11679,Iceland,1985,male,75+ years,1,4500,22.22,Iceland1985,0.7759999999999999,"2,939,845,038",13357,G.I. Generation
11680,Iceland,1985,female,35-54 years,3,25000,12.0,Iceland1985,0.7759999999999999,"2,939,845,038",13357,Silent
11681,Iceland,1985,female,15-24 years,0,21200,0.0,Iceland1985,0.7759999999999999,"2,939,845,038",13357,Generation X
11682,Iceland,1985,female,25-34 years,0,19400,0.0,Iceland1985,0.7759999999999999,"2,939,845,038",13357,Boomers
11683,Iceland,1985,female,5-14 years,0,20400,0.0,Iceland1985,0.7759999999999999,"2,939,845,038",13357,Generation X
11684,Iceland,1985,female,75+ years,0,6100,0.0,Iceland1985,0.7759999999999999,"2,939,845,038",13357,G.I. Generation
11685,Iceland,1985,male,5-14 years,0,21400,0.0,Iceland1985,0.7759999999999999,"2,939,845,038",13357,Generation X
11686,Iceland,1986,female,75+ years,2,6300,31.75,Iceland1986,,"3,930,518,366",17681,G.I. Generation
11687,Iceland,1986,male,35-54 years,8,26400,30.3,Iceland1986,,"3,930,518,366",17681,Silent
11688,Iceland,1986,male,25-34 years,6,20700,28.99,Iceland1986,,"3,930,518,366",17681,Boomers
11689,Iceland,1986,female,55-74 years,5,17800,28.09,Iceland1986,,"3,930,518,366",17681,G.I. Generation
11690,Iceland,1986,male,55-74 years,4,16700,23.95,Iceland1986,,"3,930,518,366",17681,G.I. Generation
11691,Iceland,1986,male,15-24 years,5,21700,23.04,Iceland1986,,"3,930,518,366",17681,Generation X
11692,Iceland,1986,male,75+ years,1,4400,22.73,Iceland1986,,"3,930,518,366",17681,G.I. Generation
11693,Iceland,1986,female,35-54 years,3,25500,11.76,Iceland1986,,"3,930,518,366",17681,Silent
11694,Iceland,1986,female,25-34 years,1,19600,5.1,Iceland1986,,"3,930,518,366",17681,Boomers
11695,Iceland,1986,female,15-24 years,1,20900,4.78,Iceland1986,,"3,930,518,366",17681,Generation X
11696,Iceland,1986,male,5-14 years,1,21700,4.61,Iceland1986,,"3,930,518,366",17681,Generation X
11697,Iceland,1986,female,5-14 years,0,20600,0.0,Iceland1986,,"3,930,518,366",17681,Generation X
11698,Iceland,1987,female,55-74 years,10,18100,55.25,Iceland1987,,"5,438,537,482",24107,G.I. Generation
11699,Iceland,1987,male,75+ years,2,4600,43.48,Iceland1987,,"5,438,537,482",24107,G.I. Generation
11700,Iceland,1987,male,55-74 years,5,17000,29.41,Iceland1987,,"5,438,537,482",24107,G.I. Generation
11701,Iceland,1987,male,35-54 years,6,27100,22.14,Iceland1987,,"5,438,537,482",24107,Silent
11702,Iceland,1987,male,25-34 years,4,21100,18.96,Iceland1987,,"5,438,537,482",24107,Boomers
11703,Iceland,1987,male,15-24 years,4,21700,18.43,Iceland1987,,"5,438,537,482",24107,Generation X
11704,Iceland,1987,female,25-34 years,2,19900,10.05,Iceland1987,,"5,438,537,482",24107,Boomers
11705,Iceland,1987,female,35-54 years,2,26200,7.63,Iceland1987,,"5,438,537,482",24107,Silent
11706,Iceland,1987,male,5-14 years,1,21800,4.59,Iceland1987,,"5,438,537,482",24107,Generation X
11707,Iceland,1987,female,15-24 years,0,21000,0.0,Iceland1987,,"5,438,537,482",24107,Generation X
11708,Iceland,1987,female,5-14 years,0,20600,0.0,Iceland1987,,"5,438,537,482",24107,Generation X
11709,Iceland,1987,female,75+ years,0,6500,0.0,Iceland1987,,"5,438,537,482",24107,G.I. Generation
11710,Iceland,1988,male,55-74 years,7,17200,40.7,Iceland1988,,"6,016,168,896",26249,G.I. Generation
11711,Iceland,1988,male,35-54 years,11,28000,39.29,Iceland1988,,"6,016,168,896",26249,Silent
11712,Iceland,1988,male,15-24 years,8,21900,36.53,Iceland1988,,"6,016,168,896",26249,Generation X
11713,Iceland,1988,male,25-34 years,4,21500,18.6,Iceland1988,,"6,016,168,896",26249,Boomers
11714,Iceland,1988,female,75+ years,1,6600,15.15,Iceland1988,,"6,016,168,896",26249,G.I. Generation
11715,Iceland,1988,female,35-54 years,2,26900,7.43,Iceland1988,,"6,016,168,896",26249,Silent
11716,Iceland,1988,female,55-74 years,1,18400,5.43,Iceland1988,,"6,016,168,896",26249,G.I. Generation
11717,Iceland,1988,female,25-34 years,1,20600,4.85,Iceland1988,,"6,016,168,896",26249,Boomers
11718,Iceland,1988,female,15-24 years,0,21200,0.0,Iceland1988,,"6,016,168,896",26249,Generation X
11719,Iceland,1988,female,5-14 years,0,20600,0.0,Iceland1988,,"6,016,168,896",26249,Generation X
11720,Iceland,1988,male,5-14 years,0,21700,0.0,Iceland1988,,"6,016,168,896",26249,Generation X
11721,Iceland,1988,male,75+ years,0,4600,0.0,Iceland1988,,"6,016,168,896",26249,G.I. Generation
11722,Iceland,1989,male,15-24 years,6,21800,27.52,Iceland1989,,"5,588,533,007",24089,Generation X
11723,Iceland,1989,female,55-74 years,4,18500,21.62,Iceland1989,,"5,588,533,007",24089,G.I. Generation
11724,Iceland,1989,male,35-54 years,6,29100,20.62,Iceland1989,,"5,588,533,007",24089,Silent
11725,Iceland,1989,female,75+ years,1,6700,14.93,Iceland1989,,"5,588,533,007",24089,G.I. Generation
11726,Iceland,1989,male,55-74 years,2,17500,11.43,Iceland1989,,"5,588,533,007",24089,G.I. Generation
11727,Iceland,1989,male,25-34 years,2,21700,9.22,Iceland1989,,"5,588,533,007",24089,Boomers
11728,Iceland,1989,female,25-34 years,1,20900,4.78,Iceland1989,,"5,588,533,007",24089,Boomers
11729,Iceland,1989,female,15-24 years,0,21000,0.0,Iceland1989,,"5,588,533,007",24089,Generation X
11730,Iceland,1989,female,35-54 years,0,27800,0.0,Iceland1989,,"5,588,533,007",24089,Silent
11731,Iceland,1989,female,5-14 years,0,20700,0.0,Iceland1989,,"5,588,533,007",24089,Generation X
11732,Iceland,1989,male,5-14 years,0,21700,0.0,Iceland1989,,"5,588,533,007",24089,Generation X
11733,Iceland,1989,male,75+ years,0,4600,0.0,Iceland1989,,"5,588,533,007",24089,G.I. Generation
11734,Iceland,1990,male,15-24 years,10,21400,46.73,Iceland1990,0.802,"6,372,905,073",27316,Generation X
11735,Iceland,1990,male,55-74 years,8,17700,45.2,Iceland1990,0.802,"6,372,905,073",27316,G.I. Generation
11736,Iceland,1990,male,25-34 years,9,21700,41.47,Iceland1990,0.802,"6,372,905,073",27316,Boomers
11737,Iceland,1990,male,35-54 years,8,29800,26.85,Iceland1990,0.802,"6,372,905,073",27316,Silent
11738,Iceland,1990,female,35-54 years,3,28600,10.49,Iceland1990,0.802,"6,372,905,073",27316,Silent
11739,Iceland,1990,female,15-24 years,1,20700,4.83,Iceland1990,0.802,"6,372,905,073",27316,Generation X
11740,Iceland,1990,female,25-34 years,1,21100,4.74,Iceland1990,0.802,"6,372,905,073",27316,Boomers
11741,Iceland,1990,female,5-14 years,0,20600,0.0,Iceland1990,0.802,"6,372,905,073",27316,Generation X
