,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
12056,Ireland,1985,male,55-74 years,65,251800,25.81,Ireland1985,0.742,"21,295,486,383",6638,G.I. Generation
12057,Ireland,1985,male,25-34 years,47,251000,18.73,Ireland1985,0.742,"21,295,486,383",6638,Boomers
12058,Ireland,1985,male,15-24 years,48,314400,15.27,Ireland1985,0.742,"21,295,486,383",6638,Generation X
12059,Ireland,1985,male,35-54 years,51,367300,13.89,Ireland1985,0.742,"21,295,486,383",6638,Silent
12060,Ireland,1985,female,55-74 years,21,274200,7.66,Ireland1985,0.742,"21,295,486,383",6638,G.I. Generation
12061,Ireland,1985,male,75+ years,4,56000,7.14,Ireland1985,0.742,"21,295,486,383",6638,G.I. Generation
12062,Ireland,1985,female,35-54 years,24,353200,6.8,Ireland1985,0.742,"21,295,486,383",6638,Silent
12063,Ireland,1985,female,25-34 years,11,248300,4.43,Ireland1985,0.742,"21,295,486,383",6638,Boomers
12064,Ireland,1985,female,75+ years,1,85900,1.16,Ireland1985,0.742,"21,295,486,383",6638,G.I. Generation
12065,Ireland,1985,female,15-24 years,3,303600,0.99,Ireland1985,0.742,"21,295,486,383",6638,Generation X
12066,Ireland,1985,male,5-14 years,1,360200,0.28,Ireland1985,0.742,"21,295,486,383",6638,Generation X
12067,Ireland,1985,female,5-14 years,0,342300,0.0,Ireland1985,0.742,"21,295,486,383",6638,Generation X
12068,Ireland,1986,male,55-74 years,62,249700,24.83,Ireland1986,,"28,748,960,471",8937,G.I. Generation
12069,Ireland,1986,male,25-34 years,47,251300,18.7,Ireland1986,,"28,748,960,471",8937,Boomers
12070,Ireland,1986,male,35-54 years,56,372400,15.04,Ireland1986,,"28,748,960,471",8937,Silent
12071,Ireland,1986,male,15-24 years,44,314000,14.01,Ireland1986,,"28,748,960,471",8937,Generation X
12072,Ireland,1986,male,75+ years,5,56700,8.82,Ireland1986,,"28,748,960,471",8937,G.I. Generation
12073,Ireland,1986,female,35-54 years,25,358500,6.97,Ireland1986,,"28,748,960,471",8937,Silent
12074,Ireland,1986,female,55-74 years,18,273000,6.59,Ireland1986,,"28,748,960,471",8937,G.I. Generation
12075,Ireland,1986,female,25-34 years,13,249900,5.2,Ireland1986,,"28,748,960,471",8937,Boomers
12076,Ireland,1986,female,15-24 years,10,303500,3.29,Ireland1986,,"28,748,960,471",8937,Generation X
12077,Ireland,1986,female,75+ years,1,87100,1.15,Ireland1986,,"28,748,960,471",8937,G.I. Generation
12078,Ireland,1986,male,5-14 years,1,359200,0.28,Ireland1986,,"28,748,960,471",8937,Generation X
