,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
12416,Israel,1985,male,75+ years,24,66600,36.04,Israel1985,0.768,"27,493,591,484",7325,G.I. Generation
12417,Israel,1985,male,55-74 years,48,249100,19.27,Israel1985,0.768,"27,493,591,484",7325,G.I. Generation
12418,Israel,1985,female,75+ years,10,75500,13.25,Israel1985,0.768,"27,493,591,484",7325,G.I. Generation
12419,Israel,1985,male,35-54 years,41,396400,10.34,Israel1985,0.768,"27,493,591,484",7325,Silent
12420,Israel,1985,female,55-74 years,28,290900,9.63,Israel1985,0.768,"27,493,591,484",7325,G.I. Generation
12421,Israel,1985,male,25-34 years,27,324000,8.33,Israel1985,0.768,"27,493,591,484",7325,Boomers
12422,Israel,1985,male,15-24 years,19,368300,5.16,Israel1985,0.768,"27,493,591,484",7325,Generation X
12423,Israel,1985,female,35-54 years,19,412800,4.6,Israel1985,0.768,"27,493,591,484",7325,Silent
12424,Israel,1985,female,25-34 years,11,324700,3.39,Israel1985,0.768,"27,493,591,484",7325,Boomers
12425,Israel,1985,female,15-24 years,7,346200,2.02,Israel1985,0.768,"27,493,591,484",7325,Generation X
12426,Israel,1985,female,5-14 years,0,437800,0.0,Israel1985,0.768,"27,493,591,484",7325,Generation X
12427,Israel,1985,male,5-14 years,0,461200,0.0,Israel1985,0.768,"27,493,591,484",7325,Generation X
12428,Israel,1986,male,75+ years,28,70300,39.83,Israel1986,,"34,083,532,195",8938,G.I. Generation
12429,Israel,1986,male,55-74 years,56,248200,22.56,Israel1986,,"34,083,532,195",8938,G.I. Generation
12430,Israel,1986,female,75+ years,14,79800,17.54,Israel1986,,"34,083,532,195",8938,G.I. Generation
12431,Israel,1986,male,35-54 years,47,411300,11.43,Israel1986,,"34,083,532,195",8938,Silent
12432,Israel,1986,female,55-74 years,32,291700,10.97,Israel1986,,"34,083,532,195",8938,G.I. Generation
12433,Israel,1986,male,25-34 years,25,323600,7.73,Israel1986,,"34,083,532,195",8938,Boomers
12434,Israel,1986,male,15-24 years,25,376700,6.64,Israel1986,,"34,083,532,195",8938,Generation X
