,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
12788,Italy,1985,male,75+ years,542,1107700,48.93,Italy1985,0.738,"450,725,816,043",8329,G.I. Generation
12789,Italy,1985,male,55-74 years,1307,4991500,26.18,Italy1985,0.738,"450,725,816,043",8329,G.I. Generation
12790,Italy,1985,male,35-54 years,902,7267900,12.41,Italy1985,0.738,"450,725,816,043",8329,Silent
12791,Italy,1985,female,75+ years,239,1961500,12.18,Italy1985,0.738,"450,725,816,043",8329,G.I. Generation
12792,Italy,1985,female,55-74 years,596,6003500,9.93,Italy1985,0.738,"450,725,816,043",8329,G.I. Generation
12793,Italy,1985,male,25-34 years,361,3973800,9.08,Italy1985,0.738,"450,725,816,043",8329,Boomers
12794,Italy,1985,male,15-24 years,249,4770000,5.22,Italy1985,0.738,"450,725,816,043",8329,Generation X
12795,Italy,1985,female,35-54 years,382,7478700,5.11,Italy1985,0.738,"450,725,816,043",8329,Silent
12796,Italy,1985,female,25-34 years,106,3946700,2.69,Italy1985,0.738,"450,725,816,043",8329,Boomers
12797,Italy,1985,female,15-24 years,60,4613300,1.3,Italy1985,0.738,"450,725,816,043",8329,Generation X
12798,Italy,1985,male,5-14 years,10,4101400,0.24,Italy1985,0.738,"450,725,816,043",8329,Generation X
12799,Italy,1985,female,5-14 years,5,3898700,0.13,Italy1985,0.738,"450,725,816,043",8329,Generation X
12800,Italy,1986,male,75+ years,568,1149900,49.4,Italy1986,,"638,273,986,102",11762,G.I. Generation
12801,Italy,1986,male,55-74 years,1164,5048400,23.06,Italy1986,,"638,273,986,102",11762,G.I. Generation
12802,Italy,1986,male,35-54 years,929,7275300,12.77,Italy1986,,"638,273,986,102",11762,Silent
12803,Italy,1986,female,75+ years,247,2035300,12.14,Italy1986,,"638,273,986,102",11762,G.I. Generation
12804,Italy,1986,female,55-74 years,582,6059000,9.61,Italy1986,,"638,273,986,102",11762,G.I. Generation
12805,Italy,1986,male,25-34 years,380,4047500,9.39,Italy1986,,"638,273,986,102",11762,Boomers
12806,Italy,1986,female,35-54 years,397,7477000,5.31,Italy1986,,"638,273,986,102",11762,Silent
12807,Italy,1986,male,15-24 years,237,4797900,4.94,Italy1986,,"638,273,986,102",11762,Generation X
12808,Italy,1986,female,25-34 years,97,4009600,2.42,Italy1986,,"638,273,986,102",11762,Boomers
12809,Italy,1986,female,15-24 years,72,4637000,1.55,Italy1986,,"638,273,986,102",11762,Generation X
