,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
13160,Jamaica,1985,male,75+ years,1,29000,3.45,Jamaica1985,0.65,"2,100,223,150",1032,G.I. Generation
13161,Jamaica,1985,female,75+ years,1,38000,2.63,Jamaica1985,0.65,"2,100,223,150",1032,G.I. Generation
13162,Jamaica,1985,male,15-24 years,3,259000,1.16,Jamaica1985,0.65,"2,100,223,150",1032,Generation X
13163,Jamaica,1985,male,25-34 years,1,156000,0.64,Jamaica1985,0.65,"2,100,223,150",1032,Boomers
13164,Jamaica,1985,male,35-54 years,1,169000,0.59,Jamaica1985,0.65,"2,100,223,150",1032,Silent
13165,Jamaica,1985,female,35-54 years,1,176000,0.57,Jamaica1985,0.65,"2,100,223,150",1032,Silent
13166,Jamaica,1985,female,15-24 years,0,263000,0.0,Jamaica1985,0.65,"2,100,223,150",1032,Generation X
13167,Jamaica,1985,female,25-34 years,0,164000,0.0,Jamaica1985,0.65,"2,100,223,150",1032,Boomers
13168,Jamaica,1985,female,5-14 years,0,279000,0.0,Jamaica1985,0.65,"2,100,223,150",1032,Generation X
13169,Jamaica,1985,female,55-74 years,0,110000,0.0,Jamaica1985,0.65,"2,100,223,150",1032,G.I. Generation
13170,Jamaica,1985,male,5-14 years,0,291000,0.0,Jamaica1985,0.65,"2,100,223,150",1032,Generation X
13171,Jamaica,1985,male,55-74 years,0,101000,0.0,Jamaica1985,0.65,"2,100,223,150",1032,G.I. Generation
13172,Jamaica,1986,male,35-54 years,1,175544,0.57,Jamaica1986,,"2,754,566,176",1342,Silent
13173,Jamaica,1986,female,15-24 years,0,255762,0.0,Jamaica1986,,"2,754,566,176",1342,Generation X
13174,Jamaica,1986,female,25-34 years,0,170678,0.0,Jamaica1986,,"2,754,566,176",1342,Boomers
13175,Jamaica,1986,female,35-54 years,0,184127,0.0,Jamaica1986,,"2,754,566,176",1342,Silent
13176,Jamaica,1986,female,5-14 years,0,272073,0.0,Jamaica1986,,"2,754,566,176",1342,Generation X
13177,Jamaica,1986,female,55-74 years,0,114989,0.0,Jamaica1986,,"2,754,566,176",1342,G.I. Generation
13178,Jamaica,1986,female,75+ years,0,40712,0.0,Jamaica1986,,"2,754,566,176",1342,G.I. Generation
13179,Jamaica,1986,male,15-24 years,0,256512,0.0,Jamaica1986,,"2,754,566,176",1342,Generation X
13180,Jamaica,1986,male,25-34 years,0,164654,0.0,Jamaica1986,,"2,754,566,176",1342,Boomers
13181,Jamaica,1986,male,5-14 years,0,281022,0.0,Jamaica1986,,"2,754,566,176",1342,Generation X
13182,Jamaica,1986,male,55-74 years,0,105230,0.0,Jamaica1986,,"2,754,566,176",1342,G.I. Generation
13183,Jamaica,1986,male,75+ years,0,31228,0.0,Jamaica1986,,"2,754,566,176",1342,G.I. Generation
13184,Jamaica,1987,male,55-74 years,4,106214,3.77,Jamaica1987,,"3,286,987,552",1587,G.I. Generation
13185,Jamaica,1987,male,15-24 years,5,255648,1.96,Jamaica1987,,"3,286,987,552",1587,Generation X
13186,Jamaica,1987,male,25-34 years,1,170248,0.59,Jamaica1987,,"3,286,987,552",1587,Boomers
13187,Jamaica,1987,female,25-34 years,1,177282,0.56,Jamaica1987,,"3,286,987,552",1587,Boomers
13188,Jamaica,1987,female,35-54 years,1,187389,0.53,Jamaica1987,,"3,286,987,552",1587,Silent
13189,Jamaica,1987,female,5-14 years,1,270343,0.37,Jamaica1987,,"3,286,987,552",1587,Generation X
13190,Jamaica,1987,female,15-24 years,0,255517,0.0,Jamaica1987,,"3,286,987,552",1587,Generation X
13191,Jamaica,1987,female,55-74 years,0,116815,0.0,Jamaica1987,,"3,286,987,552",1587,G.I. Generation
13192,Jamaica,1987,female,75+ years,0,41941,0.0,Jamaica1987,,"3,286,987,552",1587,G.I. Generation
