,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
13736,Kazakhstan,1990,male,75+ years,82,102200,80.23,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
13737,Kazakhstan,1990,male,35-54 years,925,1735100,53.31,Kazakhstan1990,0.69,"26,932,728,899",1823,Silent
13738,Kazakhstan,1990,male,55-74 years,356,706400,50.4,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
13739,Kazakhstan,1990,male,25-34 years,602,1455200,41.37,Kazakhstan1990,0.69,"26,932,728,899",1823,Boomers
13740,Kazakhstan,1990,female,75+ years,85,291100,29.2,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
13741,Kazakhstan,1990,male,15-24 years,375,1425100,26.31,Kazakhstan1990,0.69,"26,932,728,899",1823,Generation X
13742,Kazakhstan,1990,female,55-74 years,188,1060900,17.72,Kazakhstan1990,0.69,"26,932,728,899",1823,G.I. Generation
13743,Kazakhstan,1990,female,15-24 years,170,1338900,12.7,Kazakhstan1990,0.69,"26,932,728,899",1823,Generation X
13744,Kazakhstan,1990,female,35-54 years,225,1845400,12.19,Kazakhstan1990,0.69,"26,932,728,899",1823,Silent
13745,Kazakhstan,1990,female,25-34 years,104,1453700,7.15,Kazakhstan1990,0.69,"26,932,728,899",1823,Boomers
13746,Kazakhstan,1990,male,5-14 years,53,1698000,3.12,Kazakhstan1990,0.69,"26,932,728,899",1823,Generation X
13747,Kazakhstan,1990,female,5-14 years,7,1661900,0.42,Kazakhstan1990,0.69,"26,932,728,899",1823,Generation X
13748,Kazakhstan,1991,male,75+ years,74,101600,72.83,Kazakhstan1991,,"24,881,135,586",1664,G.I. Generation
13749,Kazakhstan,1991,male,35-54 years,866,1769600,48.94,Kazakhstan1991,,"24,881,135,586",1664,Boomers
13750,Kazakhstan,1991,male,55-74 years,354,741600,47.73,Kazakhstan1991,,"24,881,135,586",1664,Silent
13751,Kazakhstan,1991,male,25-34 years,621,1441200,43.09,Kazakhstan1991,,"24,881,135,586",1664,Boomers
13752,Kazakhstan,1991,female,75+ years,91,294600,30.89,Kazakhstan1991,,"24,881,135,586",1664,G.I. Generation
13753,Kazakhstan,1991,male,15-24 years,405,1438500,28.15,Kazakhstan1991,,"24,881,135,586",1664,Generation X
13754,Kazakhstan,1991,female,55-74 years,166,1093000,15.19,Kazakhstan1991,,"24,881,135,586",1664,Silent
13755,Kazakhstan,1991,female,15-24 years,139,1351900,10.28,Kazakhstan1991,,"24,881,135,586",1664,Generation X
13756,Kazakhstan,1991,female,35-54 years,185,1877800,9.85,Kazakhstan1991,,"24,881,135,586",1664,Boomers
13757,Kazakhstan,1991,female,25-34 years,104,1438900,7.23,Kazakhstan1991,,"24,881,135,586",1664,Boomers
13758,Kazakhstan,1991,male,5-14 years,66,1721900,3.83,Kazakhstan1991,,"24,881,135,586",1664,Millenials
13759,Kazakhstan,1991,female,5-14 years,11,1682200,0.65,Kazakhstan1991,,"24,881,135,586",1664,Millenials
13760,Kazakhstan,1992,male,75+ years,64,101800,62.87,Kazakhstan1992,,"24,906,939,560",1644,G.I. Generation
13761,Kazakhstan,1992,male,35-54 years,925,1794700,51.54,Kazakhstan1992,,"24,906,939,560",1644,Boomers
13762,Kazakhstan,1992,male,55-74 years,390,785400,49.66,Kazakhstan1992,,"24,906,939,560",1644,Silent
13763,Kazakhstan,1992,male,25-34 years,676,1421100,47.57,Kazakhstan1992,,"24,906,939,560",1644,Boomers
13764,Kazakhstan,1992,male,15-24 years,453,1459100,31.05,Kazakhstan1992,,"24,906,939,560",1644,Generation X
13765,Kazakhstan,1992,female,75+ years,84,298600,28.13,Kazakhstan1992,,"24,906,939,560",1644,G.I. Generation
13766,Kazakhstan,1992,female,55-74 years,194,1132100,17.14,Kazakhstan1992,,"24,906,939,560",1644,Silent
13767,Kazakhstan,1992,female,35-54 years,217,1900200,11.42,Kazakhstan1992,,"24,906,939,560",1644,Boomers
13768,Kazakhstan,1992,female,15-24 years,144,1385000,10.4,Kazakhstan1992,,"24,906,939,560",1644,Generation X
13769,Kazakhstan,1992,female,25-34 years,132,1414300,9.33,Kazakhstan1992,,"24,906,939,560",1644,Boomers
13770,Kazakhstan,1992,male,5-14 years,63,1751600,3.6,Kazakhstan1992,,"24,906,939,560",1644,Millenials
13771,Kazakhstan,1992,female,5-14 years,14,1706200,0.82,Kazakhstan1992,,"24,906,939,560",1644,Millenials
13772,Kazakhstan,1993,male,75+ years,77,103700,74.25,Kazakhstan1993,,"23,409,027,476",1527,G.I. Generation
13773,Kazakhstan,1993,male,55-74 years,545,830100,65.65,Kazakhstan1993,,"23,409,027,476",1527,Silent
13774,Kazakhstan,1993,male,35-54 years,1146,1825900,62.76,Kazakhstan1993,,"23,409,027,476",1527,Boomers
13775,Kazakhstan,1993,male,25-34 years,772,1395600,55.32,Kazakhstan1993,,"23,409,027,476",1527,Boomers
13776,Kazakhstan,1993,male,15-24 years,574,1474700,38.92,Kazakhstan1993,,"23,409,027,476",1527,Generation X
13777,Kazakhstan,1993,female,75+ years,69,308200,22.39,Kazakhstan1993,,"23,409,027,476",1527,G.I. Generation
13778,Kazakhstan,1993,female,55-74 years,229,1173100,19.52,Kazakhstan1993,,"23,409,027,476",1527,Silent
13779,Kazakhstan,1993,female,15-24 years,173,1407100,12.29,Kazakhstan1993,,"23,409,027,476",1527,Generation X
13780,Kazakhstan,1993,female,35-54 years,219,1929300,11.35,Kazakhstan1993,,"23,409,027,476",1527,Boomers
13781,Kazakhstan,1993,female,25-34 years,119,1383000,8.6,Kazakhstan1993,,"23,409,027,476",1527,Boomers
13782,Kazakhstan,1993,male,5-14 years,76,1774700,4.28,Kazakhstan1993,,"23,409,027,476",1527,Millenials
13783,Kazakhstan,1993,female,5-14 years,20,1726000,1.16,Kazakhstan1993,,"23,409,027,476",1527,Millenials
13784,Kazakhstan,1994,male,75+ years,94,90300,104.1,Kazakhstan1994,,"21,250,839,258",1395,G.I. Generation
13785,Kazakhstan,1994,male,55-74 years,599,853800,70.16,Kazakhstan1994,,"21,250,839,258",1395,Silent
13786,Kazakhstan,1994,male,35-54 years,1246,1861800,66.92,Kazakhstan1994,,"21,250,839,258",1395,Boomers
13787,Kazakhstan,1994,male,25-34 years,735,1342400,54.75,Kazakhstan1994,,"21,250,839,258",1395,Boomers
13788,Kazakhstan,1994,male,15-24 years,520,1442200,36.06,Kazakhstan1994,,"21,250,839,258",1395,Generation X
13789,Kazakhstan,1994,female,75+ years,91,288000,31.6,Kazakhstan1994,,"21,250,839,258",1395,G.I. Generation
13790,Kazakhstan,1994,female,55-74 years,198,1201100,16.48,Kazakhstan1994,,"21,250,839,258",1395,Silent
13791,Kazakhstan,1994,female,15-24 years,149,1332400,11.18,Kazakhstan1994,,"21,250,839,258",1395,Generation X
13792,Kazakhstan,1994,female,35-54 years,198,1965300,10.07,Kazakhstan1994,,"21,250,839,258",1395,Boomers
13793,Kazakhstan,1994,female,25-34 years,128,1327200,9.64,Kazakhstan1994,,"21,250,839,258",1395,Boomers
13794,Kazakhstan,1994,male,5-14 years,50,1784600,2.8,Kazakhstan1994,,"21,250,839,258",1395,Millenials
13795,Kazakhstan,1994,female,5-14 years,16,1740500,0.92,Kazakhstan1994,,"21,250,839,258",1395,Millenials
13796,Kazakhstan,1995,male,75+ years,76,86400,87.96,Kazakhstan1995,0.664,"20,374,307,047",1359,G.I. Generation
13797,Kazakhstan,1995,male,55-74 years,737,859800,85.72,Kazakhstan1995,0.664,"20,374,307,047",1359,Silent
13798,Kazakhstan,1995,male,35-54 years,1523,1791600,85.01,Kazakhstan1995,0.664,"20,374,307,047",1359,Boomers
13799,Kazakhstan,1995,male,25-34 years,887,1311800,67.62,Kazakhstan1995,0.664,"20,374,307,047",1359,Generation X
13800,Kazakhstan,1995,male,15-24 years,622,1455600,42.73,Kazakhstan1995,0.664,"20,374,307,047",1359,Generation X
13801,Kazakhstan,1995,female,75+ years,86,267600,32.14,Kazakhstan1995,0.664,"20,374,307,047",1359,G.I. Generation
13802,Kazakhstan,1995,female,55-74 years,208,1205800,17.25,Kazakhstan1995,0.664,"20,374,307,047",1359,Silent
13803,Kazakhstan,1995,female,35-54 years,216,1901900,11.36,Kazakhstan1995,0.664,"20,374,307,047",1359,Boomers
13804,Kazakhstan,1995,female,15-24 years,145,1412600,10.26,Kazakhstan1995,0.664,"20,374,307,047",1359,Generation X
13805,Kazakhstan,1995,female,25-34 years,130,1271500,10.22,Kazakhstan1995,0.664,"20,374,307,047",1359,Generation X
13806,Kazakhstan,1995,male,5-14 years,61,1736100,3.51,Kazakhstan1995,0.664,"20,374,307,047",1359,Millenials
13807,Kazakhstan,1995,female,5-14 years,15,1688900,0.89,Kazakhstan1995,0.664,"20,374,307,047",1359,Millenials
13808,Kazakhstan,1996,male,35-54 years,1630,1753600,92.95,Kazakhstan1996,,"21,035,357,833",1452,Boomers
13809,Kazakhstan,1996,male,55-74 years,731,836900,87.35,Kazakhstan1996,,"21,035,357,833",1452,Silent
13810,Kazakhstan,1996,male,75+ years,64,80400,79.6,Kazakhstan1996,,"21,035,357,833",1452,G.I. Generation
13811,Kazakhstan,1996,male,25-34 years,879,1243300,70.7,Kazakhstan1996,,"21,035,357,833",1452,Generation X
13812,Kazakhstan,1996,male,15-24 years,635,1405800,45.17,Kazakhstan1996,,"21,035,357,833",1452,Generation X
13813,Kazakhstan,1996,female,75+ years,54,251800,21.45,Kazakhstan1996,,"21,035,357,833",1452,G.I. Generation
13814,Kazakhstan,1996,female,55-74 years,211,1173100,17.99,Kazakhstan1996,,"21,035,357,833",1452,Silent
13815,Kazakhstan,1996,female,35-54 years,223,1858300,12.0,Kazakhstan1996,,"21,035,357,833",1452,Boomers
13816,Kazakhstan,1996,female,15-24 years,158,1381300,11.44,Kazakhstan1996,,"21,035,357,833",1452,Generation X
13817,Kazakhstan,1996,female,25-34 years,121,1187600,10.19,Kazakhstan1996,,"21,035,357,833",1452,Generation X
13818,Kazakhstan,1996,male,5-14 years,57,1682200,3.39,Kazakhstan1996,,"21,035,357,833",1452,Millenials
13819,Kazakhstan,1996,female,5-14 years,10,1633400,0.61,Kazakhstan1996,,"21,035,357,833",1452,Millenials
13820,Kazakhstan,1997,male,55-74 years,740,822400,89.98,Kazakhstan1997,,"22,165,932,063",1540,Silent
13821,Kazakhstan,1997,male,35-54 years,1577,1766200,89.29,Kazakhstan1997,,"22,165,932,063",1540,Boomers
13822,Kazakhstan,1997,male,25-34 years,810,1217700,66.52,Kazakhstan1997,,"22,165,932,063",1540,Generation X
13823,Kazakhstan,1997,male,75+ years,50,78400,63.78,Kazakhstan1997,,"22,165,932,063",1540,G.I. Generation
13824,Kazakhstan,1997,male,15-24 years,651,1401300,46.46,Kazakhstan1997,,"22,165,932,063",1540,Generation X
13825,Kazakhstan,1997,female,75+ years,59,247700,23.82,Kazakhstan1997,,"22,165,932,063",1540,G.I. Generation
13826,Kazakhstan,1997,female,55-74 years,164,1153000,14.22,Kazakhstan1997,,"22,165,932,063",1540,Silent
13827,Kazakhstan,1997,female,15-24 years,175,1388400,12.6,Kazakhstan1997,,"22,165,932,063",1540,Generation X
13828,Kazakhstan,1997,female,35-54 years,216,1871000,11.54,Kazakhstan1997,,"22,165,932,063",1540,Boomers
13829,Kazakhstan,1997,female,25-34 years,131,1152200,11.37,Kazakhstan1997,,"22,165,932,063",1540,Generation X
13830,Kazakhstan,1997,male,5-14 years,53,1673300,3.17,Kazakhstan1997,,"22,165,932,063",1540,Millenials
13831,Kazakhstan,1997,female,5-14 years,16,1623000,0.99,Kazakhstan1997,,"22,165,932,063",1540,Millenials
13832,Kazakhstan,1998,male,55-74 years,692,762500,90.75,Kazakhstan1998,,"22,135,245,413",1599,Silent
13833,Kazakhstan,1998,male,35-54 years,1459,1724400,84.61,Kazakhstan1998,,"22,135,245,413",1599,Boomers
13834,Kazakhstan,1998,male,75+ years,58,74500,77.85,Kazakhstan1998,,"22,135,245,413",1599,G.I. Generation
13835,Kazakhstan,1998,male,25-34 years,727,1145900,63.44,Kazakhstan1998,,"22,135,245,413",1599,Generation X
13836,Kazakhstan,1998,male,15-24 years,594,1343300,44.22,Kazakhstan1998,,"22,135,245,413",1599,Generation X
13837,Kazakhstan,1998,female,75+ years,63,241200,26.12,Kazakhstan1998,,"22,135,245,413",1599,G.I. Generation
13838,Kazakhstan,1998,female,55-74 years,160,1090300,14.67,Kazakhstan1998,,"22,135,245,413",1599,Silent
13839,Kazakhstan,1998,female,25-34 years,138,1103400,12.51,Kazakhstan1998,,"22,135,245,413",1599,Generation X
13840,Kazakhstan,1998,female,15-24 years,152,1353400,11.23,Kazakhstan1998,,"22,135,245,413",1599,Generation X
13841,Kazakhstan,1998,female,35-54 years,205,1863700,11.0,Kazakhstan1998,,"22,135,245,413",1599,Boomers
13842,Kazakhstan,1998,male,5-14 years,54,1585500,3.41,Kazakhstan1998,,"22,135,245,413",1599,Millenials
13843,Kazakhstan,1998,female,5-14 years,11,1556100,0.71,Kazakhstan1998,,"22,135,245,413",1599,Millenials
13844,Kazakhstan,1999,male,55-74 years,567,727800,77.91,Kazakhstan1999,,"16,870,817,135",1225,Silent
13845,Kazakhstan,1999,male,35-54 years,1331,1761800,75.55,Kazakhstan1999,,"16,870,817,135",1225,Boomers
13846,Kazakhstan,1999,male,75+ years,55,75400,72.94,Kazakhstan1999,,"16,870,817,135",1225,G.I. Generation
13847,Kazakhstan,1999,male,25-34 years,717,1131600,63.36,Kazakhstan1999,,"16,870,817,135",1225,Generation X
13848,Kazakhstan,1999,male,15-24 years,609,1349400,45.13,Kazakhstan1999,,"16,870,817,135",1225,Generation X
13849,Kazakhstan,1999,female,75+ years,59,246200,23.96,Kazakhstan1999,,"16,870,817,135",1225,G.I. Generation
13850,Kazakhstan,1999,female,55-74 years,152,1044200,14.56,Kazakhstan1999,,"16,870,817,135",1225,Silent
13851,Kazakhstan,1999,female,25-34 years,120,1089900,11.01,Kazakhstan1999,,"16,870,817,135",1225,Generation X
13852,Kazakhstan,1999,female,35-54 years,198,1909900,10.37,Kazakhstan1999,,"16,870,817,135",1225,Boomers
13853,Kazakhstan,1999,female,15-24 years,124,1358700,9.13,Kazakhstan1999,,"16,870,817,135",1225,Generation X
13854,Kazakhstan,1999,male,5-14 years,49,1555400,3.15,Kazakhstan1999,,"16,870,817,135",1225,Millenials
13855,Kazakhstan,1999,female,5-14 years,10,1523100,0.66,Kazakhstan1999,,"16,870,817,135",1225,Millenials
13856,Kazakhstan,2000,male,35-54 years,1527,1802430,84.72,Kazakhstan2000,0.679,"18,291,990,619",1328,Boomers
13857,Kazakhstan,2000,male,55-74 years,586,698665,83.87,Kazakhstan2000,0.679,"18,291,990,619",1328,Silent
13858,Kazakhstan,2000,male,25-34 years,852,1132418,75.24,Kazakhstan2000,0.679,"18,291,990,619",1328,Generation X
13859,Kazakhstan,2000,male,75+ years,47,77972,60.28,Kazakhstan2000,0.679,"18,291,990,619",1328,G.I. Generation
13860,Kazakhstan,2000,male,15-24 years,623,1366874,45.58,Kazakhstan2000,0.679,"18,291,990,619",1328,Generation X
13861,Kazakhstan,2000,female,75+ years,56,254407,22.01,Kazakhstan2000,0.679,"18,291,990,619",1328,G.I. Generation
13862,Kazakhstan,2000,female,55-74 years,147,1005027,14.63,Kazakhstan2000,0.679,"18,291,990,619",1328,Silent
13863,Kazakhstan,2000,female,15-24 years,169,1375343,12.29,Kazakhstan2000,0.679,"18,291,990,619",1328,Generation X
13864,Kazakhstan,2000,female,35-54 years,234,1959602,11.94,Kazakhstan2000,0.679,"18,291,990,619",1328,Boomers
13865,Kazakhstan,2000,female,25-34 years,122,1089854,11.19,Kazakhstan2000,0.679,"18,291,990,619",1328,Generation X
13866,Kazakhstan,2000,male,5-14 years,47,1523202,3.09,Kazakhstan2000,0.679,"18,291,990,619",1328,Millenials
13867,Kazakhstan,2000,female,5-14 years,18,1486628,1.21,Kazakhstan2000,0.679,"18,291,990,619",1328,Millenials
13868,Kazakhstan,2001,male,35-54 years,1519,1807120,84.06,Kazakhstan2001,,"22,152,694,162",1608,Boomers
13869,Kazakhstan,2001,male,55-74 years,582,718503,81.0,Kazakhstan2001,,"22,152,694,162",1608,Silent
13870,Kazakhstan,2001,male,25-34 years,843,1117605,75.43,Kazakhstan2001,,"22,152,694,162",1608,Generation X
13871,Kazakhstan,2001,male,75+ years,51,82044,62.16,Kazakhstan2001,,"22,152,694,162",1608,Silent
13872,Kazakhstan,2001,male,15-24 years,660,1365580,48.33,Kazakhstan2001,,"22,152,694,162",1608,Millenials
13873,Kazakhstan,2001,female,75+ years,53,233378,22.71,Kazakhstan2001,,"22,152,694,162",1608,Silent
13874,Kazakhstan,2001,female,15-24 years,158,1336586,11.82,Kazakhstan2001,,"22,152,694,162",1608,Millenials
13875,Kazakhstan,2001,female,55-74 years,119,1011423,11.77,Kazakhstan2001,,"22,152,694,162",1608,Silent
13876,Kazakhstan,2001,female,35-54 years,197,1998447,9.86,Kazakhstan2001,,"22,152,694,162",1608,Boomers
13877,Kazakhstan,2001,female,25-34 years,110,1137636,9.67,Kazakhstan2001,,"22,152,694,162",1608,Generation X
13878,Kazakhstan,2001,male,5-14 years,64,1508752,4.24,Kazakhstan2001,,"22,152,694,162",1608,Millenials
13879,Kazakhstan,2001,female,5-14 years,21,1455622,1.44,Kazakhstan2001,,"22,152,694,162",1608,Millenials
13880,Kazakhstan,2002,male,55-74 years,582,704901,82.56,Kazakhstan2002,,"24,636,593,223",1788,Silent
13881,Kazakhstan,2002,male,35-54 years,1414,1837817,76.94,Kazakhstan2002,,"24,636,593,223",1788,Boomers
13882,Kazakhstan,2002,male,25-34 years,825,1128226,73.12,Kazakhstan2002,,"24,636,593,223",1788,Generation X
13883,Kazakhstan,2002,male,75+ years,53,91887,57.68,Kazakhstan2002,,"24,636,593,223",1788,Silent
13884,Kazakhstan,2002,male,15-24 years,621,1414530,43.9,Kazakhstan2002,,"24,636,593,223",1788,Millenials
13885,Kazakhstan,2002,female,75+ years,52,247685,20.99,Kazakhstan2002,,"24,636,593,223",1788,Silent
13886,Kazakhstan,2002,female,55-74 years,119,996301,11.94,Kazakhstan2002,,"24,636,593,223",1788,Silent
13887,Kazakhstan,2002,female,15-24 years,160,1377461,11.62,Kazakhstan2002,,"24,636,593,223",1788,Millenials
13888,Kazakhstan,2002,female,25-34 years,129,1147717,11.24,Kazakhstan2002,,"24,636,593,223",1788,Generation X
13889,Kazakhstan,2002,female,35-54 years,198,2033504,9.74,Kazakhstan2002,,"24,636,593,223",1788,Boomers
13890,Kazakhstan,2002,male,5-14 years,67,1424722,4.7,Kazakhstan2002,,"24,636,593,223",1788,Millenials
13891,Kazakhstan,2002,female,5-14 years,20,1372725,1.46,Kazakhstan2002,,"24,636,593,223",1788,Millenials
13892,Kazakhstan,2003,male,25-34 years,938,1141761,82.15,Kazakhstan2003,,"30,833,699,703",2232,Generation X
13893,Kazakhstan,2003,male,55-74 years,530,702817,75.41,Kazakhstan2003,,"30,833,699,703",2232,Silent
13894,Kazakhstan,2003,male,35-54 years,1386,1855662,74.69,Kazakhstan2003,,"30,833,699,703",2232,Boomers
13895,Kazakhstan,2003,male,75+ years,60,99171,60.5,Kazakhstan2003,,"30,833,699,703",2232,Silent
13896,Kazakhstan,2003,male,15-24 years,652,1449082,44.99,Kazakhstan2003,,"30,833,699,703",2232,Millenials
13897,Kazakhstan,2003,female,75+ years,60,259838,23.09,Kazakhstan2003,,"30,833,699,703",2232,Silent
13898,Kazakhstan,2003,female,55-74 years,139,996433,13.95,Kazakhstan2003,,"30,833,699,703",2232,Silent
13899,Kazakhstan,2003,female,15-24 years,157,1408946,11.14,Kazakhstan2003,,"30,833,699,703",2232,Millenials
13900,Kazakhstan,2003,female,35-54 years,202,2053544,9.84,Kazakhstan2003,,"30,833,699,703",2232,Boomers
13901,Kazakhstan,2003,female,25-34 years,114,1159693,9.83,Kazakhstan2003,,"30,833,699,703",2232,Generation X
13902,Kazakhstan,2003,male,5-14 years,67,1368679,4.9,Kazakhstan2003,,"30,833,699,703",2232,Millenials
13903,Kazakhstan,2003,female,5-14 years,16,1316237,1.22,Kazakhstan2003,,"30,833,699,703",2232,Millenials
13904,Kazakhstan,2004,male,25-34 years,967,1159137,83.42,Kazakhstan2004,,"43,151,647,003",3110,Generation X
13905,Kazakhstan,2004,male,35-54 years,1427,1874980,76.11,Kazakhstan2004,,"43,151,647,003",3110,Boomers
13906,Kazakhstan,2004,male,75+ years,75,105970,70.77,Kazakhstan2004,,"43,151,647,003",3110,Silent
13907,Kazakhstan,2004,male,55-74 years,441,706313,62.44,Kazakhstan2004,,"43,151,647,003",3110,Silent
13908,Kazakhstan,2004,male,15-24 years,735,1480125,49.66,Kazakhstan2004,,"43,151,647,003",3110,Millenials
13909,Kazakhstan,2004,female,75+ years,61,271208,22.49,Kazakhstan2004,,"43,151,647,003",3110,Silent
13910,Kazakhstan,2004,female,15-24 years,177,1438621,12.3,Kazakhstan2004,,"43,151,647,003",3110,Millenials
13911,Kazakhstan,2004,female,25-34 years,131,1174778,11.15,Kazakhstan2004,,"43,151,647,003",3110,Generation X
13912,Kazakhstan,2004,female,55-74 years,101,1004413,10.06,Kazakhstan2004,,"43,151,647,003",3110,Silent
13913,Kazakhstan,2004,female,35-54 years,208,2076222,10.02,Kazakhstan2004,,"43,151,647,003",3110,Boomers
13914,Kazakhstan,2004,male,5-14 years,57,1317575,4.33,Kazakhstan2004,,"43,151,647,003",3110,Millenials
13915,Kazakhstan,2004,female,5-14 years,14,1263986,1.11,Kazakhstan2004,,"43,151,647,003",3110,Millenials
13916,Kazakhstan,2005,male,25-34 years,868,1174447,73.91,Kazakhstan2005,0.746,"57,123,671,734",4096,Generation X
13917,Kazakhstan,2005,male,35-54 years,1225,1893623,64.69,Kazakhstan2005,0.746,"57,123,671,734",4096,Boomers
13918,Kazakhstan,2005,male,55-74 years,402,716191,56.13,Kazakhstan2005,0.746,"57,123,671,734",4096,Silent
13919,Kazakhstan,2005,male,75+ years,61,112427,54.26,Kazakhstan2005,0.746,"57,123,671,734",4096,Silent
13920,Kazakhstan,2005,male,15-24 years,635,1507234,42.13,Kazakhstan2005,0.746,"57,123,671,734",4096,Millenials
13921,Kazakhstan,2005,female,75+ years,54,279776,19.3,Kazakhstan2005,0.746,"57,123,671,734",4096,Silent
13922,Kazakhstan,2005,female,25-34 years,126,1188857,10.6,Kazakhstan2005,0.746,"57,123,671,734",4096,Generation X
13923,Kazakhstan,2005,female,15-24 years,153,1464554,10.45,Kazakhstan2005,0.746,"57,123,671,734",4096,Millenials
13924,Kazakhstan,2005,female,55-74 years,100,1021709,9.79,Kazakhstan2005,0.746,"57,123,671,734",4096,Silent
13925,Kazakhstan,2005,female,35-54 years,177,2097655,8.44,Kazakhstan2005,0.746,"57,123,671,734",4096,Boomers
13926,Kazakhstan,2005,male,5-14 years,78,1272278,6.13,Kazakhstan2005,0.746,"57,123,671,734",4096,Millenials
13927,Kazakhstan,2005,female,5-14 years,24,1219019,1.97,Kazakhstan2005,0.746,"57,123,671,734",4096,Millenials
13928,Kazakhstan,2006,male,25-34 years,944,1189058,79.39,Kazakhstan2006,,"81,003,884,545",5770,Generation X
13929,Kazakhstan,2006,male,35-54 years,1225,1915309,63.96,Kazakhstan2006,,"81,003,884,545",5770,Boomers
13930,Kazakhstan,2006,male,75+ years,71,116133,61.14,Kazakhstan2006,,"81,003,884,545",5770,Silent
13931,Kazakhstan,2006,male,55-74 years,436,730464,59.69,Kazakhstan2006,,"81,003,884,545",5770,Silent
13932,Kazakhstan,2006,male,15-24 years,657,1530192,42.94,Kazakhstan2006,,"81,003,884,545",5770,Millenials
13933,Kazakhstan,2006,female,75+ years,53,282507,18.76,Kazakhstan2006,,"81,003,884,545",5770,Silent
13934,Kazakhstan,2006,female,15-24 years,181,1486771,12.17,Kazakhstan2006,,"81,003,884,545",5770,Millenials
13935,Kazakhstan,2006,female,55-74 years,106,1047352,10.12,Kazakhstan2006,,"81,003,884,545",5770,Silent
13936,Kazakhstan,2006,female,25-34 years,121,1202659,10.06,Kazakhstan2006,,"81,003,884,545",5770,Generation X
13937,Kazakhstan,2006,female,35-54 years,190,2121510,8.96,Kazakhstan2006,,"81,003,884,545",5770,Boomers
13938,Kazakhstan,2006,male,5-14 years,68,1234397,5.51,Kazakhstan2006,,"81,003,884,545",5770,Millenials
13939,Kazakhstan,2006,female,5-14 years,24,1181324,2.03,Kazakhstan2006,,"81,003,884,545",5770,Millenials
13940,Kazakhstan,2007,male,25-34 years,919,1208359,76.05,Kazakhstan2007,,"104,849,886,826",7423,Generation X
13941,Kazakhstan,2007,male,75+ years,77,116899,65.87,Kazakhstan2007,,"104,849,886,826",7423,Silent
13942,Kazakhstan,2007,male,35-54 years,1275,1935835,65.86,Kazakhstan2007,,"104,849,886,826",7423,Boomers
13943,Kazakhstan,2007,male,55-74 years,412,747545,55.11,Kazakhstan2007,,"104,849,886,826",7423,Silent
13944,Kazakhstan,2007,male,15-24 years,648,1542361,42.01,Kazakhstan2007,,"104,849,886,826",7423,Millenials
13945,Kazakhstan,2007,female,75+ years,50,281627,17.75,Kazakhstan2007,,"104,849,886,826",7423,Silent
13946,Kazakhstan,2007,female,15-24 years,203,1498711,13.54,Kazakhstan2007,,"104,849,886,826",7423,Millenials
13947,Kazakhstan,2007,female,25-34 years,140,1219565,11.48,Kazakhstan2007,,"104,849,886,826",7423,Generation X
13948,Kazakhstan,2007,female,35-54 years,210,2144647,9.79,Kazakhstan2007,,"104,849,886,826",7423,Boomers
13949,Kazakhstan,2007,female,55-74 years,88,1077829,8.16,Kazakhstan2007,,"104,849,886,826",7423,Silent
13950,Kazakhstan,2007,male,5-14 years,89,1202402,7.4,Kazakhstan2007,,"104,849,886,826",7423,Generation Z
13951,Kazakhstan,2007,female,5-14 years,30,1149826,2.61,Kazakhstan2007,,"104,849,886,826",7423,Generation Z
13952,Kazakhstan,2008,male,75+ years,86,116815,73.62,Kazakhstan2008,,"133,441,612,247",9387,Silent
13953,Kazakhstan,2008,male,25-34 years,860,1232084,69.8,Kazakhstan2008,,"133,441,612,247",9387,Generation X
13954,Kazakhstan,2008,male,35-54 years,1178,1954893,60.26,Kazakhstan2008,,"133,441,612,247",9387,Boomers
13955,Kazakhstan,2008,male,55-74 years,383,766809,49.95,Kazakhstan2008,,"133,441,612,247",9387,Silent
13956,Kazakhstan,2008,male,15-24 years,657,1540282,42.65,Kazakhstan2008,,"133,441,612,247",9387,Millenials
13957,Kazakhstan,2008,female,75+ years,47,280166,16.78,Kazakhstan2008,,"133,441,612,247",9387,Silent
13958,Kazakhstan,2008,female,15-24 years,239,1496633,15.97,Kazakhstan2008,,"133,441,612,247",9387,Millenials
13959,Kazakhstan,2008,female,25-34 years,152,1240283,12.26,Kazakhstan2008,,"133,441,612,247",9387,Generation X
13960,Kazakhstan,2008,female,35-54 years,217,2165507,10.02,Kazakhstan2008,,"133,441,612,247",9387,Boomers
13961,Kazakhstan,2008,female,55-74 years,93,1110519,8.37,Kazakhstan2008,,"133,441,612,247",9387,Silent
