,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
14180,Kuwait,1985,male,55-74 years,1,35200,2.84,Kuwait1985,0.732,"21,442,619,681",14607,G.I. Generation
14181,Kuwait,1985,male,35-54 years,6,235600,2.55,Kuwait1985,0.732,"21,442,619,681",14607,Silent
14182,Kuwait,1985,male,25-34 years,5,228000,2.19,Kuwait1985,0.732,"21,442,619,681",14607,Boomers
14183,Kuwait,1985,female,25-34 years,2,136200,1.47,Kuwait1985,0.732,"21,442,619,681",14607,Boomers
14184,Kuwait,1985,male,15-24 years,2,150900,1.33,Kuwait1985,0.732,"21,442,619,681",14607,Generation X
14185,Kuwait,1985,female,35-54 years,1,121900,0.82,Kuwait1985,0.732,"21,442,619,681",14607,Silent
14186,Kuwait,1985,female,15-24 years,0,145200,0.0,Kuwait1985,0.732,"21,442,619,681",14607,Generation X
14187,Kuwait,1985,female,5-14 years,0,189600,0.0,Kuwait1985,0.732,"21,442,619,681",14607,Generation X
14188,Kuwait,1985,female,55-74 years,0,22400,0.0,Kuwait1985,0.732,"21,442,619,681",14607,G.I. Generation
14189,Kuwait,1985,female,75+ years,0,3400,0.0,Kuwait1985,0.732,"21,442,619,681",14607,G.I. Generation
14190,Kuwait,1985,male,5-14 years,0,196600,0.0,Kuwait1985,0.732,"21,442,619,681",14607,Generation X
14191,Kuwait,1985,male,75+ years,0,3000,0.0,Kuwait1985,0.732,"21,442,619,681",14607,G.I. Generation
14192,Kuwait,1986,male,15-24 years,4,157400,2.54,Kuwait1986,,"17,903,681,693",11661,Generation X
14193,Kuwait,1986,female,25-34 years,3,143000,2.1,Kuwait1986,,"17,903,681,693",11661,Boomers
14194,Kuwait,1986,male,25-34 years,5,238400,2.1,Kuwait1986,,"17,903,681,693",11661,Boomers
14195,Kuwait,1986,male,35-54 years,3,246500,1.22,Kuwait1986,,"17,903,681,693",11661,Silent
14196,Kuwait,1986,female,35-54 years,1,127800,0.78,Kuwait1986,,"17,903,681,693",11661,Silent
14197,Kuwait,1986,female,15-24 years,0,152100,0.0,Kuwait1986,,"17,903,681,693",11661,Generation X
14198,Kuwait,1986,female,5-14 years,0,198400,0.0,Kuwait1986,,"17,903,681,693",11661,Generation X
14199,Kuwait,1986,female,55-74 years,0,23400,0.0,Kuwait1986,,"17,903,681,693",11661,G.I. Generation
14200,Kuwait,1986,female,75+ years,0,3400,0.0,Kuwait1986,,"17,903,681,693",11661,G.I. Generation
14201,Kuwait,1986,male,5-14 years,0,205000,0.0,Kuwait1986,,"17,903,681,693",11661,Generation X
14202,Kuwait,1986,male,55-74 years,0,36700,0.0,Kuwait1986,,"17,903,681,693",11661,G.I. Generation
14203,Kuwait,1986,male,75+ years,0,3200,0.0,Kuwait1986,,"17,903,681,693",11661,G.I. Generation
14204,Kuwait,1987,female,55-74 years,1,24300,4.12,Kuwait1987,,"22,365,734,482",13924,G.I. Generation
14205,Kuwait,1987,male,25-34 years,6,249500,2.4,Kuwait1987,,"22,365,734,482",13924,Boomers
14206,Kuwait,1987,male,35-54 years,4,257900,1.55,Kuwait1987,,"22,365,734,482",13924,Silent
14207,Kuwait,1987,female,35-54 years,2,134100,1.49,Kuwait1987,,"22,365,734,482",13924,Silent
14208,Kuwait,1987,female,25-34 years,1,150100,0.67,Kuwait1987,,"22,365,734,482",13924,Boomers
14209,Kuwait,1987,female,15-24 years,1,159300,0.63,Kuwait1987,,"22,365,734,482",13924,Generation X
14210,Kuwait,1987,male,15-24 years,1,164300,0.61,Kuwait1987,,"22,365,734,482",13924,Generation X
14211,Kuwait,1987,female,5-14 years,0,207600,0.0,Kuwait1987,,"22,365,734,482",13924,Generation X
14212,Kuwait,1987,female,75+ years,0,3700,0.0,Kuwait1987,,"22,365,734,482",13924,G.I. Generation
14213,Kuwait,1987,male,5-14 years,0,213800,0.0,Kuwait1987,,"22,365,734,482",13924,Generation X
14214,Kuwait,1987,male,55-74 years,0,38400,0.0,Kuwait1987,,"22,365,734,482",13924,G.I. Generation
14215,Kuwait,1987,male,75+ years,0,3300,0.0,Kuwait1987,,"22,365,734,482",13924,G.I. Generation
14216,Kuwait,1993,female,25-34 years,4,130800,3.06,Kuwait1993,,"23,941,391,391",18798,Boomers
14217,Kuwait,1993,male,25-34 years,6,207800,2.89,Kuwait1993,,"23,941,391,391",18798,Boomers
14218,Kuwait,1993,male,55-74 years,1,35200,2.84,Kuwait1993,,"23,941,391,391",18798,Silent
14219,Kuwait,1993,male,35-54 years,4,227100,1.76,Kuwait1993,,"23,941,391,391",18798,Boomers
14220,Kuwait,1993,female,35-54 years,2,123800,1.62,Kuwait1993,,"23,941,391,391",18798,Boomers
14221,Kuwait,1993,male,15-24 years,1,119600,0.84,Kuwait1993,,"23,941,391,391",18798,Generation X
14222,Kuwait,1993,female,15-24 years,0,112300,0.0,Kuwait1993,,"23,941,391,391",18798,Generation X
14223,Kuwait,1993,female,5-14 years,0,144300,0.0,Kuwait1993,,"23,941,391,391",18798,Millenials
14224,Kuwait,1993,female,55-74 years,0,23500,0.0,Kuwait1993,,"23,941,391,391",18798,Silent
14225,Kuwait,1993,female,75+ years,0,2800,0.0,Kuwait1993,,"23,941,391,391",18798,G.I. Generation
14226,Kuwait,1993,male,5-14 years,0,143300,0.0,Kuwait1993,,"23,941,391,391",18798,Millenials
14227,Kuwait,1993,male,75+ years,0,3100,0.0,Kuwait1993,,"23,941,391,391",18798,G.I. Generation
14228,Kuwait,1994,female,25-34 years,7,132800,5.27,Kuwait1994,,"24,848,483,838",17161,Boomers
14229,Kuwait,1994,female,35-54 years,5,123000,4.07,Kuwait1994,,"24,848,483,838",17161,Boomers
