,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
14480,Kyrgyzstan,1990,male,75+ years,14,25200,55.56,Kyrgyzstan1990,0.615,"2,674,000,000",715,G.I. Generation
14481,Kyrgyzstan,1990,male,35-54 years,149,354400,42.04,Kyrgyzstan1990,0.615,"2,674,000,000",715,Silent
14482,Kyrgyzstan,1990,male,55-74 years,68,175000,38.86,Kyrgyzstan1990,0.615,"2,674,000,000",715,G.I. Generation
14483,Kyrgyzstan,1990,male,25-34 years,99,350200,28.27,Kyrgyzstan1990,0.615,"2,674,000,000",715,Boomers
14484,Kyrgyzstan,1990,female,75+ years,15,59800,25.08,Kyrgyzstan1990,0.615,"2,674,000,000",715,G.I. Generation
14485,Kyrgyzstan,1990,female,55-74 years,38,242200,15.69,Kyrgyzstan1990,0.615,"2,674,000,000",715,G.I. Generation
14486,Kyrgyzstan,1990,male,15-24 years,54,400300,13.49,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
14487,Kyrgyzstan,1990,female,35-54 years,36,368500,9.77,Kyrgyzstan1990,0.615,"2,674,000,000",715,Silent
14488,Kyrgyzstan,1990,female,15-24 years,31,390100,7.95,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
14489,Kyrgyzstan,1990,female,25-34 years,23,357500,6.43,Kyrgyzstan1990,0.615,"2,674,000,000",715,Boomers
14490,Kyrgyzstan,1990,male,5-14 years,16,511400,3.13,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
14491,Kyrgyzstan,1990,female,5-14 years,4,502700,0.8,Kyrgyzstan1990,0.615,"2,674,000,000",715,Generation X
14492,Kyrgyzstan,1991,male,75+ years,14,24100,58.09,Kyrgyzstan1991,,"2,570,833,333",677,G.I. Generation
14493,Kyrgyzstan,1991,male,55-74 years,73,180300,40.49,Kyrgyzstan1991,,"2,570,833,333",677,Silent
14494,Kyrgyzstan,1991,male,35-54 years,138,361100,38.22,Kyrgyzstan1991,,"2,570,833,333",677,Boomers
14495,Kyrgyzstan,1991,male,25-34 years,120,351100,34.18,Kyrgyzstan1991,,"2,570,833,333",677,Boomers
14496,Kyrgyzstan,1991,female,75+ years,14,58300,24.01,Kyrgyzstan1991,,"2,570,833,333",677,G.I. Generation
14497,Kyrgyzstan,1991,female,55-74 years,38,245400,15.48,Kyrgyzstan1991,,"2,570,833,333",677,Silent
14498,Kyrgyzstan,1991,male,15-24 years,49,408100,12.01,Kyrgyzstan1991,,"2,570,833,333",677,Generation X
14499,Kyrgyzstan,1991,female,15-24 years,36,395500,9.1,Kyrgyzstan1991,,"2,570,833,333",677,Generation X
14500,Kyrgyzstan,1991,female,35-54 years,26,376100,6.91,Kyrgyzstan1991,,"2,570,833,333",677,Boomers
14501,Kyrgyzstan,1991,female,25-34 years,16,358700,4.46,Kyrgyzstan1991,,"2,570,833,333",677,Boomers
14502,Kyrgyzstan,1991,male,5-14 years,16,523400,3.06,Kyrgyzstan1991,,"2,570,833,333",677,Millenials
14503,Kyrgyzstan,1991,female,5-14 years,3,514400,0.58,Kyrgyzstan1991,,"2,570,833,333",677,Millenials
14504,Kyrgyzstan,1992,male,75+ years,14,23000,60.87,Kyrgyzstan1992,,"2,316,562,500",603,G.I. Generation
14505,Kyrgyzstan,1992,male,55-74 years,74,185900,39.81,Kyrgyzstan1992,,"2,316,562,500",603,Silent
14506,Kyrgyzstan,1992,male,35-54 years,135,366000,36.89,Kyrgyzstan1992,,"2,316,562,500",603,Boomers
14507,Kyrgyzstan,1992,male,25-34 years,86,349800,24.59,Kyrgyzstan1992,,"2,316,562,500",603,Boomers
14508,Kyrgyzstan,1992,male,15-24 years,65,414000,15.7,Kyrgyzstan1992,,"2,316,562,500",603,Generation X
14509,Kyrgyzstan,1992,female,75+ years,7,56800,12.32,Kyrgyzstan1992,,"2,316,562,500",603,G.I. Generation
14510,Kyrgyzstan,1992,female,55-74 years,25,249100,10.04,Kyrgyzstan1992,,"2,316,562,500",603,Silent
14511,Kyrgyzstan,1992,female,15-24 years,30,399700,7.51,Kyrgyzstan1992,,"2,316,562,500",603,Generation X
14512,Kyrgyzstan,1992,female,35-54 years,21,380600,5.52,Kyrgyzstan1992,,"2,316,562,500",603,Boomers
14513,Kyrgyzstan,1992,female,25-34 years,19,355300,5.35,Kyrgyzstan1992,,"2,316,562,500",603,Boomers
14514,Kyrgyzstan,1992,male,5-14 years,11,534400,2.06,Kyrgyzstan1992,,"2,316,562,500",603,Millenials
14515,Kyrgyzstan,1992,female,5-14 years,4,524700,0.76,Kyrgyzstan1992,,"2,316,562,500",603,Millenials
14516,Kyrgyzstan,1993,male,75+ years,13,21800,59.63,Kyrgyzstan1993,,"2,028,295,455",528,G.I. Generation
14517,Kyrgyzstan,1993,male,35-54 years,168,366800,45.8,Kyrgyzstan1993,,"2,028,295,455",528,Boomers
14518,Kyrgyzstan,1993,male,55-74 years,85,189100,44.95,Kyrgyzstan1993,,"2,028,295,455",528,Silent
14519,Kyrgyzstan,1993,female,75+ years,16,54100,29.57,Kyrgyzstan1993,,"2,028,295,455",528,G.I. Generation
