,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
14792,Latvia,1995,male,55-74 years,239,203600,117.39,Latvia1995,0.67,"5,788,368,511",2438,Silent
14793,Latvia,1995,male,35-54 years,339,311700,108.76,Latvia1995,0.67,"5,788,368,511",2438,Boomers
14794,Latvia,1995,male,75+ years,33,31100,106.11,Latvia1995,0.67,"5,788,368,511",2438,G.I. Generation
14795,Latvia,1995,male,25-34 years,146,183200,79.69,Latvia1995,0.67,"5,788,368,511",2438,Generation X
14796,Latvia,1995,female,75+ years,34,88400,38.46,Latvia1995,0.67,"5,788,368,511",2438,G.I. Generation
14797,Latvia,1995,male,15-24 years,65,171900,37.81,Latvia1995,0.67,"5,788,368,511",2438,Generation X
14798,Latvia,1995,female,35-54 years,81,346900,23.35,Latvia1995,0.67,"5,788,368,511",2438,Boomers
14799,Latvia,1995,female,55-74 years,61,317700,19.2,Latvia1995,0.67,"5,788,368,511",2438,Silent
14800,Latvia,1995,female,25-34 years,12,178000,6.74,Latvia1995,0.67,"5,788,368,511",2438,Generation X
14801,Latvia,1995,female,15-24 years,10,166300,6.01,Latvia1995,0.67,"5,788,368,511",2438,Generation X
14802,Latvia,1995,male,5-14 years,3,191800,1.56,Latvia1995,0.67,"5,788,368,511",2438,Millenials
14803,Latvia,1995,female,5-14 years,1,184100,0.54,Latvia1995,0.67,"5,788,368,511",2438,Millenials
14804,Latvia,1996,male,55-74 years,219,205100,106.78,Latvia1996,,"5,970,044,666",2526,Silent
14805,Latvia,1996,male,75+ years,31,30700,100.98,Latvia1996,,"5,970,044,666",2526,G.I. Generation
14806,Latvia,1996,male,35-54 years,305,310400,98.26,Latvia1996,,"5,970,044,666",2526,Boomers
14807,Latvia,1996,male,25-34 years,116,181700,63.84,Latvia1996,,"5,970,044,666",2526,Generation X
14808,Latvia,1996,male,15-24 years,66,169500,38.94,Latvia1996,,"5,970,044,666",2526,Generation X
14809,Latvia,1996,female,75+ years,24,88100,27.24,Latvia1996,,"5,970,044,666",2526,G.I. Generation
14810,Latvia,1996,female,35-54 years,72,345200,20.86,Latvia1996,,"5,970,044,666",2526,Boomers
14811,Latvia,1996,female,55-74 years,61,319600,19.09,Latvia1996,,"5,970,044,666",2526,Silent
14812,Latvia,1996,female,25-34 years,18,175500,10.26,Latvia1996,,"5,970,044,666",2526,Generation X
14813,Latvia,1996,female,15-24 years,6,164100,3.66,Latvia1996,,"5,970,044,666",2526,Generation X
14814,Latvia,1996,male,5-14 years,4,190700,2.1,Latvia1996,,"5,970,044,666",2526,Millenials
14815,Latvia,1996,female,5-14 years,0,182800,0.0,Latvia1996,,"5,970,044,666",2526,Millenials
14816,Latvia,1997,male,75+ years,35,30900,113.27,Latvia1997,,"6,525,676,264",2771,G.I. Generation
14817,Latvia,1997,male,55-74 years,201,206400,97.38,Latvia1997,,"6,525,676,264",2771,Silent
14818,Latvia,1997,male,35-54 years,295,310700,94.95,Latvia1997,,"6,525,676,264",2771,Boomers
14819,Latvia,1997,male,25-34 years,108,180100,59.97,Latvia1997,,"6,525,676,264",2771,Generation X
14820,Latvia,1997,male,15-24 years,65,168500,38.58,Latvia1997,,"6,525,676,264",2771,Generation X
14821,Latvia,1997,female,75+ years,30,89500,33.52,Latvia1997,,"6,525,676,264",2771,G.I. Generation
14822,Latvia,1997,female,55-74 years,63,320000,19.69,Latvia1997,,"6,525,676,264",2771,Silent
14823,Latvia,1997,female,35-54 years,57,344200,16.56,Latvia1997,,"6,525,676,264",2771,Boomers
14824,Latvia,1997,female,25-34 years,18,172900,10.41,Latvia1997,,"6,525,676,264",2771,Generation X
14825,Latvia,1997,female,15-24 years,9,163400,5.51,Latvia1997,,"6,525,676,264",2771,Generation X
14826,Latvia,1997,female,5-14 years,3,180100,1.67,Latvia1997,,"6,525,676,264",2771,Millenials
14827,Latvia,1997,male,5-14 years,2,188000,1.06,Latvia1997,,"6,525,676,264",2771,Millenials
14828,Latvia,1998,male,35-54 years,309,312200,98.98,Latvia1998,,"7,174,985,107",3061,Boomers
14829,Latvia,1998,male,75+ years,27,31100,86.82,Latvia1998,,"7,174,985,107",3061,G.I. Generation
14830,Latvia,1998,male,55-74 years,174,206400,84.3,Latvia1998,,"7,174,985,107",3061,Silent
14831,Latvia,1998,male,25-34 years,105,178200,58.92,Latvia1998,,"7,174,985,107",3061,Generation X
14832,Latvia,1998,male,15-24 years,58,169800,34.16,Latvia1998,,"7,174,985,107",3061,Generation X
14833,Latvia,1998,female,75+ years,24,91900,26.12,Latvia1998,,"7,174,985,107",3061,G.I. Generation
14834,Latvia,1998,female,35-54 years,61,344600,17.7,Latvia1998,,"7,174,985,107",3061,Boomers
14835,Latvia,1998,female,55-74 years,47,317300,14.81,Latvia1998,,"7,174,985,107",3061,Silent
14836,Latvia,1998,female,15-24 years,14,165000,8.48,Latvia1998,,"7,174,985,107",3061,Generation X
14837,Latvia,1998,female,25-34 years,14,169800,8.24,Latvia1998,,"7,174,985,107",3061,Generation X
14838,Latvia,1998,male,5-14 years,5,182700,2.74,Latvia1998,,"7,174,985,107",3061,Millenials
14839,Latvia,1998,female,5-14 years,1,175100,0.57,Latvia1998,,"7,174,985,107",3061,Millenials
14840,Latvia,1999,male,75+ years,31,31600,98.1,Latvia1999,,"7,533,187,605",3228,G.I. Generation
14841,Latvia,1999,male,55-74 years,172,205100,83.86,Latvia1999,,"7,533,187,605",3228,Silent
14842,Latvia,1999,male,35-54 years,255,314600,81.06,Latvia1999,,"7,533,187,605",3228,Boomers
14843,Latvia,1999,male,25-34 years,94,176600,53.23,Latvia1999,,"7,533,187,605",3228,Generation X
14844,Latvia,1999,female,75+ years,29,94900,30.56,Latvia1999,,"7,533,187,605",3228,G.I. Generation
14845,Latvia,1999,male,15-24 years,40,172300,23.22,Latvia1999,,"7,533,187,605",3228,Generation X
14846,Latvia,1999,female,55-74 years,56,313200,17.88,Latvia1999,,"7,533,187,605",3228,Silent
