,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
15044,Lithuania,1995,male,35-54 years,632,436306,144.85,Lithuania1995,0.701,"7,870,782,261",2324,Boomers
15045,Lithuania,1995,male,75+ years,67,47214,141.91,Lithuania1995,0.701,"7,870,782,261",2324,G.I. Generation
15046,Lithuania,1995,male,55-74 years,325,274196,118.53,Lithuania1995,0.701,"7,870,782,261",2324,Silent
15047,Lithuania,1995,male,25-34 years,226,284758,79.37,Lithuania1995,0.701,"7,870,782,261",2324,Generation X
15048,Lithuania,1995,male,15-24 years,134,263792,50.8,Lithuania1995,0.701,"7,870,782,261",2324,Generation X
15049,Lithuania,1995,female,75+ years,37,109609,33.76,Lithuania1995,0.701,"7,870,782,261",2324,G.I. Generation
15050,Lithuania,1995,female,55-74 years,101,408926,24.7,Lithuania1995,0.701,"7,870,782,261",2324,Silent
15051,Lithuania,1995,female,35-54 years,113,481445,23.47,Lithuania1995,0.701,"7,870,782,261",2324,Boomers
15052,Lithuania,1995,female,25-34 years,33,276055,11.95,Lithuania1995,0.701,"7,870,782,261",2324,Generation X
15053,Lithuania,1995,female,15-24 years,20,256623,7.79,Lithuania1995,0.701,"7,870,782,261",2324,Generation X
15054,Lithuania,1995,male,5-14 years,4,279260,1.43,Lithuania1995,0.701,"7,870,782,261",2324,Millenials
15055,Lithuania,1995,female,5-14 years,2,268965,0.74,Lithuania1995,0.701,"7,870,782,261",2324,Millenials
15056,Lithuania,1996,male,35-54 years,664,438770,151.33,Lithuania1996,,"8,385,109,020",2484,Boomers
15057,Lithuania,1996,male,55-74 years,336,275843,121.81,Lithuania1996,,"8,385,109,020",2484,Silent
15058,Lithuania,1996,male,75+ years,40,47319,84.53,Lithuania1996,,"8,385,109,020",2484,G.I. Generation
15059,Lithuania,1996,male,25-34 years,196,278848,70.29,Lithuania1996,,"8,385,109,020",2484,Generation X
15060,Lithuania,1996,male,15-24 years,147,257675,57.05,Lithuania1996,,"8,385,109,020",2484,Generation X
15061,Lithuania,1996,female,75+ years,39,110913,35.16,Lithuania1996,,"8,385,109,020",2484,G.I. Generation
15062,Lithuania,1996,female,55-74 years,118,410808,28.72,Lithuania1996,,"8,385,109,020",2484,Silent
15063,Lithuania,1996,female,35-54 years,129,484132,26.65,Lithuania1996,,"8,385,109,020",2484,Boomers
15064,Lithuania,1996,female,25-34 years,27,271013,9.96,Lithuania1996,,"8,385,109,020",2484,Generation X
15065,Lithuania,1996,female,15-24 years,20,251718,7.95,Lithuania1996,,"8,385,109,020",2484,Generation X
15066,Lithuania,1996,male,5-14 years,5,279323,1.79,Lithuania1996,,"8,385,109,020",2484,Millenials
15067,Lithuania,1996,female,5-14 years,1,268801,0.37,Lithuania1996,,"8,385,109,020",2484,Millenials
15068,Lithuania,1997,male,35-54 years,637,440546,144.59,Lithuania1997,,"10,120,274,493",3008,Boomers
15069,Lithuania,1997,male,55-74 years,294,277983,105.76,Lithuania1997,,"10,120,274,493",3008,Silent
15070,Lithuania,1997,male,25-34 years,231,272292,84.84,Lithuania1997,,"10,120,274,493",3008,Generation X
15071,Lithuania,1997,male,75+ years,39,47892,81.43,Lithuania1997,,"10,120,274,493",3008,G.I. Generation
