,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
15306,Luxembourg,1985,male,75+ years,6,6900,86.96,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation
15307,Luxembourg,1985,male,55-74 years,14,30200,46.36,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation
15308,Luxembourg,1985,female,75+ years,4,13500,29.63,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation
15309,Luxembourg,1985,male,35-54 years,12,50200,23.9,Luxembourg1985,0.752,"4,738,559,685",13743,Silent
15310,Luxembourg,1985,female,25-34 years,6,29800,20.13,Luxembourg1985,0.752,"4,738,559,685",13743,Boomers
15311,Luxembourg,1985,female,35-54 years,5,47900,10.44,Luxembourg1985,0.752,"4,738,559,685",13743,Silent
15312,Luxembourg,1985,male,25-34 years,3,29900,10.03,Luxembourg1985,0.752,"4,738,559,685",13743,Boomers
15313,Luxembourg,1985,male,5-14 years,2,21700,9.22,Luxembourg1985,0.752,"4,738,559,685",13743,Generation X
15314,Luxembourg,1985,male,15-24 years,2,28100,7.12,Luxembourg1985,0.752,"4,738,559,685",13743,Generation X
15315,Luxembourg,1985,female,15-24 years,1,27800,3.6,Luxembourg1985,0.752,"4,738,559,685",13743,Generation X
15316,Luxembourg,1985,female,5-14 years,0,20500,0.0,Luxembourg1985,0.752,"4,738,559,685",13743,Generation X
15317,Luxembourg,1985,female,55-74 years,0,38300,0.0,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation
15318,Luxembourg,1986,male,75+ years,3,7100,42.25,Luxembourg1986,,"6,921,264,132",20004,G.I. Generation
15319,Luxembourg,1986,male,55-74 years,13,30800,42.21,Luxembourg1986,,"6,921,264,132",20004,G.I. Generation
15320,Luxembourg,1986,male,25-34 years,7,30200,23.18,Luxembourg1986,,"6,921,264,132",20004,Boomers
15321,Luxembourg,1986,male,35-54 years,11,50300,21.87,Luxembourg1986,,"6,921,264,132",20004,Silent
15322,Luxembourg,1986,female,55-74 years,7,38600,18.13,Luxembourg1986,,"6,921,264,132",20004,G.I. Generation
15323,Luxembourg,1986,female,25-34 years,4,30200,13.25,Luxembourg1986,,"6,921,264,132",20004,Boomers
15324,Luxembourg,1986,male,15-24 years,3,27800,10.79,Luxembourg1986,,"6,921,264,132",20004,Generation X
15325,Luxembourg,1986,female,75+ years,1,13900,7.19,Luxembourg1986,,"6,921,264,132",20004,G.I. Generation
15326,Luxembourg,1986,female,35-54 years,2,47900,4.18,Luxembourg1986,,"6,921,264,132",20004,Silent
15327,Luxembourg,1986,female,15-24 years,0,27500,0.0,Luxembourg1986,,"6,921,264,132",20004,Generation X
15328,Luxembourg,1986,female,5-14 years,0,20300,0.0,Luxembourg1986,,"6,921,264,132",20004,Generation X
15329,Luxembourg,1986,male,5-14 years,0,21400,0.0,Luxembourg1986,,"6,921,264,132",20004,Generation X
15330,Luxembourg,1987,male,75+ years,3,7200,41.67,Luxembourg1987,,"8,614,215,559",24654,G.I. Generation
15331,Luxembourg,1987,male,35-54 years,19,51000,37.25,Luxembourg1987,,"8,614,215,559",24654,Silent
15332,Luxembourg,1987,male,25-34 years,10,31100,32.15,Luxembourg1987,,"8,614,215,559",24654,Boomers
15333,Luxembourg,1987,female,55-74 years,12,39000,30.77,Luxembourg1987,,"8,614,215,559",24654,G.I. Generation
15334,Luxembourg,1987,male,55-74 years,9,31500,28.57,Luxembourg1987,,"8,614,215,559",24654,G.I. Generation
15335,Luxembourg,1987,female,75+ years,3,14400,20.83,Luxembourg1987,,"8,614,215,559",24654,G.I. Generation
15336,Luxembourg,1987,female,35-54 years,8,48600,16.46,Luxembourg1987,,"8,614,215,559",24654,Silent
15337,Luxembourg,1987,male,15-24 years,4,27400,14.6,Luxembourg1987,,"8,614,215,559",24654,Generation X
15338,Luxembourg,1987,female,15-24 years,3,26500,11.32,Luxembourg1987,,"8,614,215,559",24654,Generation X
15339,Luxembourg,1987,female,25-34 years,3,31200,9.62,Luxembourg1987,,"8,614,215,559",24654,Boomers
15340,Luxembourg,1987,female,5-14 years,0,20200,0.0,Luxembourg1987,,"8,614,215,559",24654,Generation X
15341,Luxembourg,1987,male,5-14 years,0,21300,0.0,Luxembourg1987,,"8,614,215,559",24654,Generation X
15342,Luxembourg,1988,male,25-34 years,15,31700,47.32,Luxembourg1988,,"9,750,161,053",27676,Boomers
15343,Luxembourg,1988,male,55-74 years,14,31700,44.16,Luxembourg1988,,"9,750,161,053",27676,G.I. Generation
15344,Luxembourg,1988,male,35-54 years,18,51900,34.68,Luxembourg1988,,"9,750,161,053",27676,Silent
15345,Luxembourg,1988,male,75+ years,2,7300,27.4,Luxembourg1988,,"9,750,161,053",27676,G.I. Generation
15346,Luxembourg,1988,female,55-74 years,8,39000,20.51,Luxembourg1988,,"9,750,161,053",27676,G.I. Generation
15347,Luxembourg,1988,male,15-24 years,3,27000,11.11,Luxembourg1988,,"9,750,161,053",27676,Generation X
15348,Luxembourg,1988,female,35-54 years,5,49400,10.12,Luxembourg1988,,"9,750,161,053",27676,Silent
15349,Luxembourg,1988,female,25-34 years,3,31600,9.49,Luxembourg1988,,"9,750,161,053",27676,Boomers
15350,Luxembourg,1988,female,75+ years,1,14900,6.71,Luxembourg1988,,"9,750,161,053",27676,G.I. Generation
15351,Luxembourg,1988,female,15-24 years,0,25900,0.0,Luxembourg1988,,"9,750,161,053",27676,Generation X
15352,Luxembourg,1988,female,5-14 years,0,20400,0.0,Luxembourg1988,,"9,750,161,053",27676,Generation X
15353,Luxembourg,1988,male,5-14 years,0,21500,0.0,Luxembourg1988,,"9,750,161,053",27676,Generation X
15354,Luxembourg,1989,male,75+ years,5,7600,65.79,Luxembourg1989,,"10,391,504,709",29239,G.I. Generation
15355,Luxembourg,1989,male,55-74 years,13,32000,40.63,Luxembourg1989,,"10,391,504,709",29239,G.I. Generation
15356,Luxembourg,1989,male,35-54 years,20,52900,37.81,Luxembourg1989,,"10,391,504,709",29239,Silent
15357,Luxembourg,1989,male,25-34 years,9,32500,27.69,Luxembourg1989,,"10,391,504,709",29239,Boomers
15358,Luxembourg,1989,male,15-24 years,6,26300,22.81,Luxembourg1989,,"10,391,504,709",29239,Generation X
15359,Luxembourg,1989,female,75+ years,3,15300,19.61,Luxembourg1989,,"10,391,504,709",29239,G.I. Generation
15360,Luxembourg,1989,female,35-54 years,7,50200,13.94,Luxembourg1989,,"10,391,504,709",29239,Silent
15361,Luxembourg,1989,female,55-74 years,4,39100,10.23,Luxembourg1989,,"10,391,504,709",29239,G.I. Generation
15362,Luxembourg,1989,female,25-34 years,3,31900,9.4,Luxembourg1989,,"10,391,504,709",29239,Boomers
15363,Luxembourg,1989,female,5-14 years,1,20700,4.83,Luxembourg1989,,"10,391,504,709",29239,Generation X
15364,Luxembourg,1989,male,5-14 years,1,21700,4.61,Luxembourg1989,,"10,391,504,709",29239,Generation X
15365,Luxembourg,1989,female,15-24 years,1,25200,3.97,Luxembourg1989,,"10,391,504,709",29239,Generation X
15366,Luxembourg,1990,male,75+ years,4,7700,51.95,Luxembourg1990,0.779,"13,229,247,948",36871,G.I. Generation
15367,Luxembourg,1990,male,55-74 years,12,32400,37.04,Luxembourg1990,0.779,"13,229,247,948",36871,G.I. Generation
15368,Luxembourg,1990,male,35-54 years,16,53800,29.74,Luxembourg1990,0.779,"13,229,247,948",36871,Silent
15369,Luxembourg,1990,male,25-34 years,9,33200,27.11,Luxembourg1990,0.779,"13,229,247,948",36871,Boomers
15370,Luxembourg,1990,female,75+ years,4,15500,25.81,Luxembourg1990,0.779,"13,229,247,948",36871,G.I. Generation
15371,Luxembourg,1990,male,15-24 years,6,25900,23.17,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
15372,Luxembourg,1990,female,35-54 years,10,51100,19.57,Luxembourg1990,0.779,"13,229,247,948",36871,Silent
15373,Luxembourg,1990,female,55-74 years,5,39200,12.76,Luxembourg1990,0.779,"13,229,247,948",36871,G.I. Generation
15374,Luxembourg,1990,female,25-34 years,2,32300,6.19,Luxembourg1990,0.779,"13,229,247,948",36871,Boomers
15375,Luxembourg,1990,female,15-24 years,0,24700,0.0,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
15376,Luxembourg,1990,female,5-14 years,0,21000,0.0,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
15377,Luxembourg,1990,male,5-14 years,0,22000,0.0,Luxembourg1990,0.779,"13,229,247,948",36871,Generation X
15378,Luxembourg,1991,male,75+ years,8,7700,103.9,Luxembourg1991,,"14,321,878,795",39465,G.I. Generation
15379,Luxembourg,1991,male,55-74 years,16,32900,48.63,Luxembourg1991,,"14,321,878,795",39465,Silent
15380,Luxembourg,1991,male,35-54 years,17,55000,30.91,Luxembourg1991,,"14,321,878,795",39465,Boomers
15381,Luxembourg,1991,male,25-34 years,9,34000,26.47,Luxembourg1991,,"14,321,878,795",39465,Boomers
15382,Luxembourg,1991,female,35-54 years,12,52100,23.03,Luxembourg1991,,"14,321,878,795",39465,Boomers
15383,Luxembourg,1991,female,55-74 years,9,39500,22.78,Luxembourg1991,,"14,321,878,795",39465,Silent
15384,Luxembourg,1991,male,15-24 years,4,25600,15.63,Luxembourg1991,,"14,321,878,795",39465,Generation X
15385,Luxembourg,1991,female,75+ years,1,15600,6.41,Luxembourg1991,,"14,321,878,795",39465,G.I. Generation
15386,Luxembourg,1991,female,25-34 years,1,32600,3.07,Luxembourg1991,,"14,321,878,795",39465,Boomers
15387,Luxembourg,1991,female,15-24 years,0,24300,0.0,Luxembourg1991,,"14,321,878,795",39465,Generation X
15388,Luxembourg,1991,female,5-14 years,0,21200,0.0,Luxembourg1991,,"14,321,878,795",39465,Millenials
15389,Luxembourg,1991,male,5-14 years,0,22400,0.0,Luxembourg1991,,"14,321,878,795",39465,Millenials
15390,Luxembourg,1992,male,75+ years,6,7600,78.95,Luxembourg1992,,"16,065,740,778",43740,G.I. Generation
15391,Luxembourg,1992,female,75+ years,4,15500,25.81,Luxembourg1992,,"16,065,740,778",43740,G.I. Generation
15392,Luxembourg,1992,female,55-74 years,10,40100,24.94,Luxembourg1992,,"16,065,740,778",43740,Silent
15393,Luxembourg,1992,male,55-74 years,7,33400,20.96,Luxembourg1992,,"16,065,740,778",43740,Silent
15394,Luxembourg,1992,female,35-54 years,10,53200,18.8,Luxembourg1992,,"16,065,740,778",43740,Boomers
15395,Luxembourg,1992,male,35-54 years,9,56100,16.04,Luxembourg1992,,"16,065,740,778",43740,Boomers
15396,Luxembourg,1992,male,25-34 years,5,34600,14.45,Luxembourg1992,,"16,065,740,778",43740,Boomers
15397,Luxembourg,1992,female,25-34 years,4,33100,12.08,Luxembourg1992,,"16,065,740,778",43740,Boomers
15398,Luxembourg,1992,female,15-24 years,2,23800,8.4,Luxembourg1992,,"16,065,740,778",43740,Generation X
15399,Luxembourg,1992,male,15-24 years,2,25200,7.94,Luxembourg1992,,"16,065,740,778",43740,Generation X
15400,Luxembourg,1992,female,5-14 years,0,21800,0.0,Luxembourg1992,,"16,065,740,778",43740,Millenials
15401,Luxembourg,1992,male,5-14 years,0,22900,0.0,Luxembourg1992,,"16,065,740,778",43740,Millenials
15402,Luxembourg,1993,male,75+ years,4,7500,53.33,Luxembourg1993,,"16,486,900,187",44320,G.I. Generation
15403,Luxembourg,1993,male,15-24 years,10,24900,40.16,Luxembourg1993,,"16,486,900,187",44320,Generation X
15404,Luxembourg,1993,male,35-54 years,22,57300,38.39,Luxembourg1993,,"16,486,900,187",44320,Boomers
15405,Luxembourg,1993,female,55-74 years,8,40800,19.61,Luxembourg1993,,"16,486,900,187",44320,Silent
15406,Luxembourg,1993,male,55-74 years,6,34200,17.54,Luxembourg1993,,"16,486,900,187",44320,Silent
15407,Luxembourg,1993,male,25-34 years,6,34900,17.19,Luxembourg1993,,"16,486,900,187",44320,Boomers
15408,Luxembourg,1993,female,35-54 years,5,54200,9.23,Luxembourg1993,,"16,486,900,187",44320,Boomers
15409,Luxembourg,1993,female,75+ years,1,15300,6.54,Luxembourg1993,,"16,486,900,187",44320,G.I. Generation
15410,Luxembourg,1993,female,25-34 years,2,33500,5.97,Luxembourg1993,,"16,486,900,187",44320,Boomers
15411,Luxembourg,1993,female,15-24 years,0,23700,0.0,Luxembourg1993,,"16,486,900,187",44320,Generation X
15412,Luxembourg,1993,female,5-14 years,0,22300,0.0,Luxembourg1993,,"16,486,900,187",44320,Millenials
15413,Luxembourg,1993,male,5-14 years,0,23400,0.0,Luxembourg1993,,"16,486,900,187",44320,Millenials
15414,Luxembourg,1994,male,75+ years,8,7500,106.67,Luxembourg1994,,"18,325,791,415",48610,G.I. Generation
15415,Luxembourg,1994,male,55-74 years,15,35000,42.86,Luxembourg1994,,"18,325,791,415",48610,Silent
15416,Luxembourg,1994,male,35-54 years,22,58400,37.67,Luxembourg1994,,"18,325,791,415",48610,Boomers
15417,Luxembourg,1994,male,15-24 years,7,24700,28.34,Luxembourg1994,,"18,325,791,415",48610,Generation X
15418,Luxembourg,1994,male,25-34 years,9,35000,25.71,Luxembourg1994,,"18,325,791,415",48610,Boomers
15419,Luxembourg,1994,female,55-74 years,5,41300,12.11,Luxembourg1994,,"18,325,791,415",48610,Silent
15420,Luxembourg,1994,female,35-54 years,4,55400,7.22,Luxembourg1994,,"18,325,791,415",48610,Boomers
15421,Luxembourg,1994,female,75+ years,1,15300,6.54,Luxembourg1994,,"18,325,791,415",48610,G.I. Generation
15422,Luxembourg,1994,female,25-34 years,2,33900,5.9,Luxembourg1994,,"18,325,791,415",48610,Boomers
15423,Luxembourg,1994,female,15-24 years,1,23700,4.22,Luxembourg1994,,"18,325,791,415",48610,Generation X
15424,Luxembourg,1994,female,5-14 years,0,22900,0.0,Luxembourg1994,,"18,325,791,415",48610,Millenials
15425,Luxembourg,1994,male,5-14 years,0,23900,0.0,Luxembourg1994,,"18,325,791,415",48610,Millenials
15426,Luxembourg,1995,male,75+ years,4,7400,54.05,Luxembourg1995,0.805,"21,588,170,498",56499,G.I. Generation
15427,Luxembourg,1995,male,55-74 years,11,35500,30.99,Luxembourg1995,0.805,"21,588,170,498",56499,Silent
15428,Luxembourg,1995,male,35-54 years,17,59600,28.52,Luxembourg1995,0.805,"21,588,170,498",56499,Boomers
15429,Luxembourg,1995,male,25-34 years,8,35300,22.66,Luxembourg1995,0.805,"21,588,170,498",56499,Generation X
15430,Luxembourg,1995,male,15-24 years,5,24500,20.41,Luxembourg1995,0.805,"21,588,170,498",56499,Generation X
15431,Luxembourg,1995,female,75+ years,3,15700,19.11,Luxembourg1995,0.805,"21,588,170,498",56499,G.I. Generation
15432,Luxembourg,1995,female,35-54 years,8,56600,14.13,Luxembourg1995,0.805,"21,588,170,498",56499,Boomers
15433,Luxembourg,1995,female,25-34 years,3,34100,8.8,Luxembourg1995,0.805,"21,588,170,498",56499,Generation X
15434,Luxembourg,1995,female,55-74 years,3,41700,7.19,Luxembourg1995,0.805,"21,588,170,498",56499,Silent
15435,Luxembourg,1995,female,15-24 years,1,23700,4.22,Luxembourg1995,0.805,"21,588,170,498",56499,Generation X
15436,Luxembourg,1995,female,5-14 years,0,23400,0.0,Luxembourg1995,0.805,"21,588,170,498",56499,Millenials
15437,Luxembourg,1995,male,5-14 years,0,24600,0.0,Luxembourg1995,0.805,"21,588,170,498",56499,Millenials
15438,Luxembourg,1996,male,75+ years,5,7600,65.79,Luxembourg1996,,"21,776,609,772",56169,G.I. Generation
15439,Luxembourg,1996,male,55-74 years,18,36000,50.0,Luxembourg1996,,"21,776,609,772",56169,Silent
15440,Luxembourg,1996,male,35-54 years,22,61000,36.07,Luxembourg1996,,"21,776,609,772",56169,Boomers
15441,Luxembourg,1996,female,35-54 years,10,58100,17.21,Luxembourg1996,,"21,776,609,772",56169,Boomers
15442,Luxembourg,1996,male,25-34 years,5,35400,14.12,Luxembourg1996,,"21,776,609,772",56169,Generation X
15443,Luxembourg,1996,female,75+ years,2,16200,12.35,Luxembourg1996,,"21,776,609,772",56169,G.I. Generation
15444,Luxembourg,1996,male,15-24 years,3,24400,12.3,Luxembourg1996,,"21,776,609,772",56169,Generation X
15445,Luxembourg,1996,female,15-24 years,2,23800,8.4,Luxembourg1996,,"21,776,609,772",56169,Generation X
15446,Luxembourg,1996,female,55-74 years,3,41800,7.18,Luxembourg1996,,"21,776,609,772",56169,Silent
15447,Luxembourg,1996,female,25-34 years,2,34300,5.83,Luxembourg1996,,"21,776,609,772",56169,Generation X
