,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
15690,Maldives,2000,female,15-24 years,0,30505,0.0,Maldives2000,0.603,"624,337,145",2524,Generation X
15691,Maldives,2000,female,25-34 years,0,20187,0.0,Maldives2000,0.603,"624,337,145",2524,Generation X
15692,Maldives,2000,female,35-54 years,0,21530,0.0,Maldives2000,0.603,"624,337,145",2524,Boomers
15693,Maldives,2000,female,5-14 years,0,39553,0.0,Maldives2000,0.603,"624,337,145",2524,Millenials
15694,Maldives,2000,female,55-74 years,0,9708,0.0,Maldives2000,0.603,"624,337,145",2524,Silent
15695,Maldives,2000,female,75+ years,0,875,0.0,Maldives2000,0.603,"624,337,145",2524,G.I. Generation
15696,Maldives,2000,male,15-24 years,0,30141,0.0,Maldives2000,0.603,"624,337,145",2524,Generation X
15697,Maldives,2000,male,25-34 years,0,18613,0.0,Maldives2000,0.603,"624,337,145",2524,Generation X
15698,Maldives,2000,male,35-54 years,0,21191,0.0,Maldives2000,0.603,"624,337,145",2524,Boomers
15699,Maldives,2000,male,5-14 years,0,41677,0.0,Maldives2000,0.603,"624,337,145",2524,Millenials
15700,Maldives,2000,male,55-74 years,0,11950,0.0,Maldives2000,0.603,"624,337,145",2524,Silent
15701,Maldives,2000,male,75+ years,0,1457,0.0,Maldives2000,0.603,"624,337,145",2524,G.I. Generation
15702,Maldives,2001,female,75+ years,1,976,102.46,Maldives2001,,"870,179,739",3406,Silent
15703,Maldives,2001,male,25-34 years,1,19879,5.03,Maldives2001,,"870,179,739",3406,Generation X
15704,Maldives,2001,male,15-24 years,1,33293,3.0,Maldives2001,,"870,179,739",3406,Millenials
15705,Maldives,2001,female,15-24 years,0,32184,0.0,Maldives2001,,"870,179,739",3406,Millenials
15706,Maldives,2001,female,25-34 years,0,20790,0.0,Maldives2001,,"870,179,739",3406,Generation X
15707,Maldives,2001,female,35-54 years,0,22699,0.0,Maldives2001,,"870,179,739",3406,Boomers
15708,Maldives,2001,female,5-14 years,0,38833,0.0,Maldives2001,,"870,179,739",3406,Millenials
15709,Maldives,2001,female,55-74 years,0,9895,0.0,Maldives2001,,"870,179,739",3406,Silent
15710,Maldives,2001,male,35-54 years,0,22506,0.0,Maldives2001,,"870,179,739",3406,Boomers
15711,Maldives,2001,male,5-14 years,0,40987,0.0,Maldives2001,,"870,179,739",3406,Millenials
15712,Maldives,2001,male,55-74 years,0,11895,0.0,Maldives2001,,"870,179,739",3406,Silent
15713,Maldives,2001,male,75+ years,0,1566,0.0,Maldives2001,,"870,179,739",3406,Silent
15714,Maldives,2002,male,35-54 years,1,24087,4.15,Maldives2002,,"897,031,250",3401,Boomers
15715,Maldives,2002,female,15-24 years,1,33844,2.95,Maldives2002,,"897,031,250",3401,Millenials
15716,Maldives,2002,male,15-24 years,1,36435,2.74,Maldives2002,,"897,031,250",3401,Millenials
15717,Maldives,2002,female,25-34 years,0,21420,0.0,Maldives2002,,"897,031,250",3401,Generation X
15718,Maldives,2002,female,35-54 years,0,23970,0.0,Maldives2002,,"897,031,250",3401,Boomers
15719,Maldives,2002,female,5-14 years,0,37872,0.0,Maldives2002,,"897,031,250",3401,Millenials
15720,Maldives,2002,female,55-74 years,0,10045,0.0,Maldives2002,,"897,031,250",3401,Silent
15721,Maldives,2002,female,75+ years,0,1075,0.0,Maldives2002,,"897,031,250",3401,Silent
15722,Maldives,2002,male,25-34 years,0,21431,0.0,Maldives2002,,"897,031,250",3401,Generation X
15723,Maldives,2002,male,5-14 years,0,40027,0.0,Maldives2002,,"897,031,250",3401,Millenials
15724,Maldives,2002,male,55-74 years,0,11868,0.0,Maldives2002,,"897,031,250",3401,Silent
15725,Maldives,2002,male,75+ years,0,1673,0.0,Maldives2002,,"897,031,250",3401,Silent
15726,Maldives,2003,male,35-54 years,3,25926,11.57,Maldives2003,,"1,052,121,055",3867,Boomers
15727,Maldives,2003,female,35-54 years,1,25331,3.95,Maldives2003,,"1,052,121,055",3867,Boomers
15728,Maldives,2003,female,15-24 years,0,35389,0.0,Maldives2003,,"1,052,121,055",3867,Millenials
15729,Maldives,2003,female,25-34 years,0,22136,0.0,Maldives2003,,"1,052,121,055",3867,Generation X
15730,Maldives,2003,female,5-14 years,0,36749,0.0,Maldives2003,,"1,052,121,055",3867,Millenials
15731,Maldives,2003,female,55-74 years,0,10178,0.0,Maldives2003,,"1,052,121,055",3867,Silent
15732,Maldives,2003,female,75+ years,0,1172,0.0,Maldives2003,,"1,052,121,055",3867,Silent
15733,Maldives,2003,male,15-24 years,0,39360,0.0,Maldives2003,,"1,052,121,055",3867,Millenials
15734,Maldives,2003,male,25-34 years,0,23334,0.0,Maldives2003,,"1,052,121,055",3867,Generation X
15735,Maldives,2003,male,5-14 years,0,38880,0.0,Maldives2003,,"1,052,121,055",3867,Millenials
15736,Maldives,2003,male,55-74 years,0,11874,0.0,Maldives2003,,"1,052,121,055",3867,Silent
15737,Maldives,2003,male,75+ years,0,1781,0.0,Maldives2003,,"1,052,121,055",3867,Silent
15738,Maldives,2004,female,35-54 years,1,26744,3.74,Maldives2004,,"1,226,829,563",4373,Boomers
15739,Maldives,2004,female,15-24 years,0,36682,0.0,Maldives2004,,"1,226,829,563",4373,Millenials
15740,Maldives,2004,female,25-34 years,0,23017,0.0,Maldives2004,,"1,226,829,563",4373,Generation X
15741,Maldives,2004,female,5-14 years,0,35553,0.0,Maldives2004,,"1,226,829,563",4373,Millenials
15742,Maldives,2004,female,55-74 years,0,10331,0.0,Maldives2004,,"1,226,829,563",4373,Silent
15743,Maldives,2004,female,75+ years,0,1273,0.0,Maldives2004,,"1,226,829,563",4373,Silent
15744,Maldives,2004,male,15-24 years,0,41834,0.0,Maldives2004,,"1,226,829,563",4373,Millenials
15745,Maldives,2004,male,25-34 years,0,25657,0.0,Maldives2004,,"1,226,829,563",4373,Generation X
15746,Maldives,2004,male,35-54 years,0,27988,0.0,Maldives2004,,"1,226,829,563",4373,Boomers
15747,Maldives,2004,male,5-14 years,0,37626,0.0,Maldives2004,,"1,226,829,563",4373,Millenials
15748,Maldives,2004,male,55-74 years,0,11921,0.0,Maldives2004,,"1,226,829,563",4373,Silent
15749,Maldives,2004,male,75+ years,0,1900,0.0,Maldives2004,,"1,226,829,563",4373,Silent
15750,Maldives,2005,male,5-14 years,1,36354,2.75,Maldives2005,0.638,"1,163,362,438",4026,Millenials
15751,Maldives,2005,female,15-24 years,0,37646,0.0,Maldives2005,0.638,"1,163,362,438",4026,Millenials
15752,Maldives,2005,female,25-34 years,0,24094,0.0,Maldives2005,0.638,"1,163,362,438",4026,Generation X
