,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
15810,Malta,1985,male,55-74 years,1,21600,4.63,Malta1985,0.713,"1,117,835,286",3639,G.I. Generation
15811,Malta,1985,male,15-24 years,1,24200,4.13,Malta1985,0.713,"1,117,835,286",3639,Generation X
15812,Malta,1985,female,15-24 years,0,23000,0.0,Malta1985,0.713,"1,117,835,286",3639,Generation X
15813,Malta,1985,female,25-34 years,0,29600,0.0,Malta1985,0.713,"1,117,835,286",3639,Boomers
15814,Malta,1985,female,35-54 years,0,46100,0.0,Malta1985,0.713,"1,117,835,286",3639,Silent
15815,Malta,1985,female,5-14 years,0,25900,0.0,Malta1985,0.713,"1,117,835,286",3639,Generation X
15816,Malta,1985,female,55-74 years,0,26500,0.0,Malta1985,0.713,"1,117,835,286",3639,G.I. Generation
15817,Malta,1985,female,75+ years,0,7300,0.0,Malta1985,0.713,"1,117,835,286",3639,G.I. Generation
15818,Malta,1985,male,25-34 years,0,29600,0.0,Malta1985,0.713,"1,117,835,286",3639,Boomers
15819,Malta,1985,male,35-54 years,0,40800,0.0,Malta1985,0.713,"1,117,835,286",3639,Silent
15820,Malta,1985,male,5-14 years,0,27900,0.0,Malta1985,0.713,"1,117,835,286",3639,Generation X
15821,Malta,1985,male,75+ years,0,4700,0.0,Malta1985,0.713,"1,117,835,286",3639,G.I. Generation
15822,Malta,1986,female,25-34 years,1,27700,3.61,Malta1986,,"1,435,079,200",4544,Boomers
15823,Malta,1986,female,15-24 years,0,24100,0.0,Malta1986,,"1,435,079,200",4544,Generation X
15824,Malta,1986,female,35-54 years,0,46100,0.0,Malta1986,,"1,435,079,200",4544,Silent
15825,Malta,1986,female,5-14 years,0,26700,0.0,Malta1986,,"1,435,079,200",4544,Generation X
15826,Malta,1986,female,55-74 years,0,28200,0.0,Malta1986,,"1,435,079,200",4544,G.I. Generation
15827,Malta,1986,female,75+ years,0,7900,0.0,Malta1986,,"1,435,079,200",4544,G.I. Generation
15828,Malta,1986,male,15-24 years,0,25600,0.0,Malta1986,,"1,435,079,200",4544,Generation X
15829,Malta,1986,male,25-34 years,0,28400,0.0,Malta1986,,"1,435,079,200",4544,Boomers
15830,Malta,1986,male,35-54 years,0,43400,0.0,Malta1986,,"1,435,079,200",4544,Silent
15831,Malta,1986,male,5-14 years,0,28400,0.0,Malta1986,,"1,435,079,200",4544,Generation X
15832,Malta,1986,male,55-74 years,0,24000,0.0,Malta1986,,"1,435,079,200",4544,G.I. Generation
15833,Malta,1986,male,75+ years,0,5300,0.0,Malta1986,,"1,435,079,200",4544,G.I. Generation
15834,Malta,1987,male,75+ years,1,5300,18.87,Malta1987,,"1,751,247,763",5517,G.I. Generation
15835,Malta,1987,female,15-24 years,0,24000,0.0,Malta1987,,"1,751,247,763",5517,Generation X
15836,Malta,1987,female,25-34 years,0,27700,0.0,Malta1987,,"1,751,247,763",5517,Boomers
15837,Malta,1987,female,35-54 years,0,46400,0.0,Malta1987,,"1,751,247,763",5517,Silent
15838,Malta,1987,female,5-14 years,0,26900,0.0,Malta1987,,"1,751,247,763",5517,Generation X
15839,Malta,1987,female,55-74 years,0,28600,0.0,Malta1987,,"1,751,247,763",5517,G.I. Generation
15840,Malta,1987,female,75+ years,0,8000,0.0,Malta1987,,"1,751,247,763",5517,G.I. Generation
15841,Malta,1987,male,15-24 years,0,25500,0.0,Malta1987,,"1,751,247,763",5517,Generation X
15842,Malta,1987,male,25-34 years,0,28500,0.0,Malta1987,,"1,751,247,763",5517,Boomers
15843,Malta,1987,male,35-54 years,0,43900,0.0,Malta1987,,"1,751,247,763",5517,Silent
15844,Malta,1987,male,5-14 years,0,28600,0.0,Malta1987,,"1,751,247,763",5517,Generation X
15845,Malta,1987,male,55-74 years,0,24000,0.0,Malta1987,,"1,751,247,763",5517,G.I. Generation
15846,Malta,1988,male,25-34 years,3,28700,10.45,Malta1988,,"2,019,474,244",6295,Boomers
15847,Malta,1988,male,15-24 years,2,25400,7.87,Malta1988,,"2,019,474,244",6295,Generation X
15848,Malta,1988,male,35-54 years,3,44900,6.68,Malta1988,,"2,019,474,244",6295,Silent
15849,Malta,1988,female,25-34 years,1,27700,3.61,Malta1988,,"2,019,474,244",6295,Boomers
15850,Malta,1988,female,15-24 years,0,24000,0.0,Malta1988,,"2,019,474,244",6295,Generation X
15851,Malta,1988,female,35-54 years,0,47200,0.0,Malta1988,,"2,019,474,244",6295,Silent
15852,Malta,1988,female,5-14 years,0,27200,0.0,Malta1988,,"2,019,474,244",6295,Generation X
15853,Malta,1988,female,55-74 years,0,29000,0.0,Malta1988,,"2,019,474,244",6295,G.I. Generation
15854,Malta,1988,female,75+ years,0,8100,0.0,Malta1988,,"2,019,474,244",6295,G.I. Generation
15855,Malta,1988,male,5-14 years,0,28900,0.0,Malta1988,,"2,019,474,244",6295,Generation X
15856,Malta,1988,male,55-74 years,0,24300,0.0,Malta1988,,"2,019,474,244",6295,G.I. Generation
15857,Malta,1988,male,75+ years,0,5400,0.0,Malta1988,,"2,019,474,244",6295,G.I. Generation
