,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
16182,Mauritius,1985,female,75+ years,2,8800,22.73,Mauritius1985,0.575,"1,080,642,033",1223,G.I. Generation
16183,Mauritius,1985,male,25-34 years,19,88500,21.47,Mauritius1985,0.575,"1,080,642,033",1223,Boomers
16184,Mauritius,1985,male,35-54 years,18,89500,20.11,Mauritius1985,0.575,"1,080,642,033",1223,Silent
16185,Mauritius,1985,male,55-74 years,9,45300,19.87,Mauritius1985,0.575,"1,080,642,033",1223,G.I. Generation
16186,Mauritius,1985,male,15-24 years,21,109400,19.2,Mauritius1985,0.575,"1,080,642,033",1223,Generation X
16187,Mauritius,1985,female,15-24 years,18,106300,16.93,Mauritius1985,0.575,"1,080,642,033",1223,Generation X
16188,Mauritius,1985,female,55-74 years,4,47900,8.35,Mauritius1985,0.575,"1,080,642,033",1223,G.I. Generation
16189,Mauritius,1985,female,25-34 years,6,87200,6.88,Mauritius1985,0.575,"1,080,642,033",1223,Boomers
16190,Mauritius,1985,female,35-54 years,6,90500,6.63,Mauritius1985,0.575,"1,080,642,033",1223,Silent
16191,Mauritius,1985,male,5-14 years,1,104700,0.96,Mauritius1985,0.575,"1,080,642,033",1223,Generation X
16192,Mauritius,1985,female,5-14 years,0,100900,0.0,Mauritius1985,0.575,"1,080,642,033",1223,Generation X
16193,Mauritius,1985,male,75+ years,0,4400,0.0,Mauritius1985,0.575,"1,080,642,033",1223,G.I. Generation
16194,Mauritius,1986,male,25-34 years,7,88800,7.88,Mauritius1986,,"1,469,046,115",1636,Boomers
16195,Mauritius,1986,male,35-54 years,7,94900,7.38,Mauritius1986,,"1,469,046,115",1636,Silent
16196,Mauritius,1986,female,15-24 years,6,104600,5.74,Mauritius1986,,"1,469,046,115",1636,Generation X
16197,Mauritius,1986,male,15-24 years,5,108300,4.62,Mauritius1986,,"1,469,046,115",1636,Generation X
16198,Mauritius,1986,female,25-34 years,2,88500,2.26,Mauritius1986,,"1,469,046,115",1636,Boomers
16199,Mauritius,1986,male,55-74 years,1,45700,2.19,Mauritius1986,,"1,469,046,115",1636,G.I. Generation
16200,Mauritius,1986,female,35-54 years,0,96400,0.0,Mauritius1986,,"1,469,046,115",1636,Silent
16201,Mauritius,1986,female,5-14 years,0,102100,0.0,Mauritius1986,,"1,469,046,115",1636,Generation X
16202,Mauritius,1986,female,55-74 years,0,48500,0.0,Mauritius1986,,"1,469,046,115",1636,G.I. Generation
16203,Mauritius,1986,female,75+ years,0,9100,0.0,Mauritius1986,,"1,469,046,115",1636,G.I. Generation
16204,Mauritius,1986,male,5-14 years,0,106500,0.0,Mauritius1986,,"1,469,046,115",1636,Generation X
16205,Mauritius,1986,male,75+ years,0,4700,0.0,Mauritius1986,,"1,469,046,115",1636,G.I. Generation
16206,Mauritius,1987,male,35-54 years,36,98200,36.66,Mauritius1987,,"1,888,754,655",2073,Silent
16207,Mauritius,1987,female,15-24 years,28,102000,27.45,Mauritius1987,,"1,888,754,655",2073,Generation X
16208,Mauritius,1987,male,25-34 years,21,91300,23.0,Mauritius1987,,"1,888,754,655",2073,Boomers
16209,Mauritius,1987,male,15-24 years,24,105000,22.86,Mauritius1987,,"1,888,754,655",2073,Generation X
16210,Mauritius,1987,female,75+ years,2,9000,22.22,Mauritius1987,,"1,888,754,655",2073,G.I. Generation
16211,Mauritius,1987,male,55-74 years,6,45800,13.1,Mauritius1987,,"1,888,754,655",2073,G.I. Generation
16212,Mauritius,1987,female,25-34 years,10,92900,10.76,Mauritius1987,,"1,888,754,655",2073,Boomers
16213,Mauritius,1987,female,55-74 years,3,49500,6.06,Mauritius1987,,"1,888,754,655",2073,G.I. Generation
16214,Mauritius,1987,female,35-54 years,6,100300,5.98,Mauritius1987,,"1,888,754,655",2073,Silent
16215,Mauritius,1987,female,5-14 years,4,103900,3.85,Mauritius1987,,"1,888,754,655",2073,Generation X
16216,Mauritius,1987,male,5-14 years,0,108600,0.0,Mauritius1987,,"1,888,754,655",2073,Generation X
16217,Mauritius,1987,male,75+ years,0,4800,0.0,Mauritius1987,,"1,888,754,655",2073,G.I. Generation
16218,Mauritius,1988,male,75+ years,3,4800,62.5,Mauritius1988,,"2,143,484,488",2317,G.I. Generation
16219,Mauritius,1988,male,35-54 years,44,101600,43.31,Mauritius1988,,"2,143,484,488",2317,Silent
16220,Mauritius,1988,male,55-74 years,14,46800,29.91,Mauritius1988,,"2,143,484,488",2317,G.I. Generation
16221,Mauritius,1988,male,25-34 years,28,95100,29.44,Mauritius1988,,"2,143,484,488",2317,Boomers
16222,Mauritius,1988,female,15-24 years,21,99200,21.17,Mauritius1988,,"2,143,484,488",2317,Generation X
16223,Mauritius,1988,male,15-24 years,21,102000,20.59,Mauritius1988,,"2,143,484,488",2317,Generation X
16224,Mauritius,1988,female,25-34 years,19,95000,20.0,Mauritius1988,,"2,143,484,488",2317,Boomers
16225,Mauritius,1988,female,35-54 years,11,106100,10.37,Mauritius1988,,"2,143,484,488",2317,Silent
16226,Mauritius,1988,female,55-74 years,3,49900,6.01,Mauritius1988,,"2,143,484,488",2317,G.I. Generation
16227,Mauritius,1988,female,5-14 years,2,105100,1.9,Mauritius1988,,"2,143,484,488",2317,Generation X
16228,Mauritius,1988,male,5-14 years,1,109800,0.91,Mauritius1988,,"2,143,484,488",2317,Generation X
16229,Mauritius,1988,female,75+ years,0,9600,0.0,Mauritius1988,,"2,143,484,488",2317,G.I. Generation
