,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
16564,Mexico,1985,male,75+ years,44,432000,10.19,Mexico1985,0.634,"184,472,557,415",2730,G.I. Generation
16565,Mexico,1985,male,55-74 years,145,2330000,6.22,Mexico1985,0.634,"184,472,557,415",2730,G.I. Generation
16566,Mexico,1985,male,25-34 years,340,5679000,5.99,Mexico1985,0.634,"184,472,557,415",2730,Boomers
16567,Mexico,1985,male,35-54 years,327,5836000,5.6,Mexico1985,0.634,"184,472,557,415",2730,Silent
16568,Mexico,1985,male,15-24 years,375,8420000,4.45,Mexico1985,0.634,"184,472,557,415",2730,Generation X
16569,Mexico,1985,female,15-24 years,107,8211000,1.3,Mexico1985,0.634,"184,472,557,415",2730,Generation X
16570,Mexico,1985,female,75+ years,7,563000,1.24,Mexico1985,0.634,"184,472,557,415",2730,G.I. Generation
16571,Mexico,1985,female,25-34 years,61,5661000,1.08,Mexico1985,0.634,"184,472,557,415",2730,Boomers
16572,Mexico,1985,female,35-54 years,55,6100000,0.9,Mexico1985,0.634,"184,472,557,415",2730,Silent
16573,Mexico,1985,female,55-74 years,15,2651000,0.57,Mexico1985,0.634,"184,472,557,415",2730,G.I. Generation
16574,Mexico,1985,male,5-14 years,48,11029000,0.44,Mexico1985,0.634,"184,472,557,415",2730,Generation X
16575,Mexico,1985,female,5-14 years,20,10654000,0.19,Mexico1985,0.634,"184,472,557,415",2730,Generation X
16576,Mexico,1986,male,75+ years,70,442100,15.83,Mexico1986,,"129,440,993,789",1873,G.I. Generation
16577,Mexico,1986,male,55-74 years,176,2383900,7.38,Mexico1986,,"129,440,993,789",1873,G.I. Generation
16578,Mexico,1986,male,25-34 years,388,5809900,6.68,Mexico1986,,"129,440,993,789",1873,Boomers
16579,Mexico,1986,male,35-54 years,361,5971300,6.05,Mexico1986,,"129,440,993,789",1873,Silent
16580,Mexico,1986,male,15-24 years,408,8614300,4.74,Mexico1986,,"129,440,993,789",1873,Generation X
16581,Mexico,1986,female,15-24 years,117,8400500,1.39,Mexico1986,,"129,440,993,789",1873,Generation X
16582,Mexico,1986,female,25-34 years,70,5791500,1.21,Mexico1986,,"129,440,993,789",1873,Boomers
16583,Mexico,1986,female,35-54 years,51,6239700,0.82,Mexico1986,,"129,440,993,789",1873,Silent
16584,Mexico,1986,female,75+ years,4,576700,0.69,Mexico1986,,"129,440,993,789",1873,G.I. Generation
16585,Mexico,1986,female,55-74 years,12,2711700,0.44,Mexico1986,,"129,440,993,789",1873,G.I. Generation
16586,Mexico,1986,male,5-14 years,42,11282700,0.37,Mexico1986,,"129,440,993,789",1873,Generation X
16587,Mexico,1986,female,5-14 years,15,10899200,0.14,Mexico1986,,"129,440,993,789",1873,Generation X
16588,Mexico,1987,male,75+ years,54,456000,11.84,Mexico1987,,"140,263,387,027",2064,G.I. Generation
16589,Mexico,1987,male,25-34 years,382,5659000,6.75,Mexico1987,,"140,263,387,027",2064,Boomers
16590,Mexico,1987,male,55-74 years,161,2409000,6.68,Mexico1987,,"140,263,387,027",2064,G.I. Generation
16591,Mexico,1987,male,35-54 years,378,6187000,6.11,Mexico1987,,"140,263,387,027",2064,Silent
16592,Mexico,1987,male,15-24 years,405,8726000,4.64,Mexico1987,,"140,263,387,027",2064,Generation X
16593,Mexico,1987,female,15-24 years,113,8559000,1.32,Mexico1987,,"140,263,387,027",2064,Generation X
16594,Mexico,1987,female,25-34 years,64,5728000,1.12,Mexico1987,,"140,263,387,027",2064,Boomers
16595,Mexico,1987,female,35-54 years,68,6389000,1.06,Mexico1987,,"140,263,387,027",2064,Silent
16596,Mexico,1987,female,55-74 years,20,2727000,0.73,Mexico1987,,"140,263,387,027",2064,G.I. Generation
16597,Mexico,1987,female,75+ years,4,599100,0.67,Mexico1987,,"140,263,387,027",2064,G.I. Generation
16598,Mexico,1987,male,5-14 years,36,10423000,0.35,Mexico1987,,"140,263,387,027",2064,Generation X
16599,Mexico,1987,female,5-14 years,16,10086000,0.16,Mexico1987,,"140,263,387,027",2064,Generation X
16600,Mexico,1988,male,75+ years,60,467000,12.85,Mexico1988,,"183,144,164,357",2630,G.I. Generation
16601,Mexico,1988,male,55-74 years,185,2511000,7.37,Mexico1988,,"183,144,164,357",2630,G.I. Generation
16602,Mexico,1988,male,25-34 years,361,5878000,6.14,Mexico1988,,"183,144,164,357",2630,Boomers
16603,Mexico,1988,male,35-54 years,353,6379000,5.53,Mexico1988,,"183,144,164,357",2630,Silent
16604,Mexico,1988,male,15-24 years,418,9021000,4.63,Mexico1988,,"183,144,164,357",2630,Generation X
16605,Mexico,1988,female,15-24 years,118,8850000,1.33,Mexico1988,,"183,144,164,357",2630,Generation X
16606,Mexico,1988,female,75+ years,7,614000,1.14,Mexico1988,,"183,144,164,357",2630,G.I. Generation
16607,Mexico,1988,female,25-34 years,59,5953000,0.99,Mexico1988,,"183,144,164,357",2630,Boomers
16608,Mexico,1988,female,35-54 years,60,6590000,0.91,Mexico1988,,"183,144,164,357",2630,Silent
16609,Mexico,1988,female,55-74 years,21,2844000,0.74,Mexico1988,,"183,144,164,357",2630,G.I. Generation
16610,Mexico,1988,male,5-14 years,46,10438000,0.44,Mexico1988,,"183,144,164,357",2630,Generation X
16611,Mexico,1988,female,5-14 years,15,10101000,0.15,Mexico1988,,"183,144,164,357",2630,Generation X
16612,Mexico,1989,male,75+ years,83,476000,17.44,Mexico1989,,"222,977,046,516",3125,G.I. Generation
16613,Mexico,1989,male,55-74 years,212,2613000,8.11,Mexico1989,,"222,977,046,516",3125,G.I. Generation
16614,Mexico,1989,male,35-54 years,404,6586000,6.13,Mexico1989,,"222,977,046,516",3125,Silent
16615,Mexico,1989,male,25-34 years,369,6109000,6.04,Mexico1989,,"222,977,046,516",3125,Boomers
16616,Mexico,1989,male,15-24 years,472,9284000,5.08,Mexico1989,,"222,977,046,516",3125,Generation X
16617,Mexico,1989,female,35-54 years,79,6807000,1.16,Mexico1989,,"222,977,046,516",3125,Silent
16618,Mexico,1989,female,15-24 years,96,9111000,1.05,Mexico1989,,"222,977,046,516",3125,Generation X
16619,Mexico,1989,female,25-34 years,64,6186000,1.03,Mexico1989,,"222,977,046,516",3125,Boomers
16620,Mexico,1989,female,55-74 years,27,2961000,0.91,Mexico1989,,"222,977,046,516",3125,G.I. Generation
16621,Mexico,1989,female,75+ years,5,632000,0.79,Mexico1989,,"222,977,046,516",3125,G.I. Generation
16622,Mexico,1989,male,5-14 years,40,10466000,0.38,Mexico1989,,"222,977,046,516",3125,Generation X
16623,Mexico,1989,female,5-14 years,14,10128000,0.14,Mexico1989,,"222,977,046,516",3125,Generation X
16624,Mexico,1990,male,75+ years,87,489000,17.79,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
16625,Mexico,1990,male,55-74 years,224,2709000,8.27,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
16626,Mexico,1990,male,35-54 years,437,6812000,6.42,Mexico1990,0.648,"262,709,948,091",3595,Silent
16627,Mexico,1990,male,25-34 years,387,6347000,6.1,Mexico1990,0.648,"262,709,948,091",3595,Boomers
16628,Mexico,1990,male,15-24 years,472,9501000,4.97,Mexico1990,0.648,"262,709,948,091",3595,Generation X
16629,Mexico,1990,female,15-24 years,114,9327000,1.22,Mexico1990,0.648,"262,709,948,091",3595,Generation X
16630,Mexico,1990,female,55-74 years,34,3073000,1.11,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
16631,Mexico,1990,female,25-34 years,57,6426000,0.89,Mexico1990,0.648,"262,709,948,091",3595,Boomers
16632,Mexico,1990,female,35-54 years,58,7045000,0.82,Mexico1990,0.648,"262,709,948,091",3595,Silent
16633,Mexico,1990,female,75+ years,5,650900,0.77,Mexico1990,0.648,"262,709,948,091",3595,G.I. Generation
16634,Mexico,1990,male,5-14 years,41,10518000,0.39,Mexico1990,0.648,"262,709,948,091",3595,Generation X
16635,Mexico,1990,female,5-14 years,10,10179000,0.1,Mexico1990,0.648,"262,709,948,091",3595,Generation X
16636,Mexico,1991,male,75+ years,73,500300,14.59,Mexico1991,,"314,454,015,372",4204,G.I. Generation
16637,Mexico,1991,male,55-74 years,240,2799000,8.57,Mexico1991,,"314,454,015,372",4204,Silent
16638,Mexico,1991,male,25-34 years,430,6592000,6.52,Mexico1991,,"314,454,015,372",4204,Boomers
16639,Mexico,1991,male,35-54 years,440,7060000,6.23,Mexico1991,,"314,454,015,372",4204,Boomers
16640,Mexico,1991,male,15-24 years,560,9666000,5.79,Mexico1991,,"314,454,015,372",4204,Generation X
16641,Mexico,1991,female,75+ years,8,667000,1.2,Mexico1991,,"314,454,015,372",4204,G.I. Generation
16642,Mexico,1991,female,15-24 years,113,9492000,1.19,Mexico1991,,"314,454,015,372",4204,Generation X
16643,Mexico,1991,female,25-34 years,72,6672000,1.08,Mexico1991,,"314,454,015,372",4204,Boomers
16644,Mexico,1991,female,35-54 years,75,7306000,1.03,Mexico1991,,"314,454,015,372",4204,Boomers
16645,Mexico,1991,female,55-74 years,28,3182000,0.88,Mexico1991,,"314,454,015,372",4204,Silent
16646,Mexico,1991,male,5-14 years,46,10601000,0.43,Mexico1991,,"314,454,015,372",4204,Millenials
16647,Mexico,1991,female,5-14 years,18,10259000,0.18,Mexico1991,,"314,454,015,372",4204,Millenials
16648,Mexico,1992,male,75+ years,95,549600,17.29,Mexico1992,,"363,609,163,462",4830,G.I. Generation
