,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
17066,Netherlands,1985,male,75+ years,106,258800,40.96,Netherlands1985,0.799,"142,009,922,306",10428,G.I. Generation
17067,Netherlands,1985,male,55-74 years,256,1108000,23.1,Netherlands1985,0.799,"142,009,922,306",10428,G.I. Generation
17068,Netherlands,1985,male,35-54 years,333,1877900,17.73,Netherlands1985,0.799,"142,009,922,306",10428,Silent
17069,Netherlands,1985,male,25-34 years,212,1202800,17.63,Netherlands1985,0.799,"142,009,922,306",10428,Boomers
17070,Netherlands,1985,female,55-74 years,195,1297300,15.03,Netherlands1985,0.799,"142,009,922,306",10428,G.I. Generation
17071,Netherlands,1985,female,35-54 years,197,1792300,10.99,Netherlands1985,0.799,"142,009,922,306",10428,Silent
17072,Netherlands,1985,female,75+ years,51,474300,10.75,Netherlands1985,0.799,"142,009,922,306",10428,G.I. Generation
17073,Netherlands,1985,male,15-24 years,136,1278200,10.64,Netherlands1985,0.799,"142,009,922,306",10428,Generation X
17074,Netherlands,1985,female,25-34 years,107,1156600,9.25,Netherlands1985,0.799,"142,009,922,306",10428,Boomers
17075,Netherlands,1985,female,15-24 years,38,1226200,3.1,Netherlands1985,0.799,"142,009,922,306",10428,Generation X
17076,Netherlands,1985,male,5-14 years,5,995000,0.5,Netherlands1985,0.799,"142,009,922,306",10428,Generation X
17077,Netherlands,1985,female,5-14 years,2,950900,0.21,Netherlands1985,0.799,"142,009,922,306",10428,Generation X
17078,Netherlands,1986,male,75+ years,112,261600,42.81,Netherlands1986,,"198,298,498,021",14479,G.I. Generation
17079,Netherlands,1986,male,55-74 years,267,1121600,23.81,Netherlands1986,,"198,298,498,021",14479,G.I. Generation
17080,Netherlands,1986,male,35-54 years,327,1912900,17.09,Netherlands1986,,"198,298,498,021",14479,Silent
17081,Netherlands,1986,male,25-34 years,185,1217600,15.19,Netherlands1986,,"198,298,498,021",14479,Boomers
17082,Netherlands,1986,female,55-74 years,171,1308200,13.07,Netherlands1986,,"198,298,498,021",14479,G.I. Generation
17083,Netherlands,1986,female,75+ years,63,486100,12.96,Netherlands1986,,"198,298,498,021",14479,G.I. Generation
17084,Netherlands,1986,female,35-54 years,220,1825100,12.05,Netherlands1986,,"198,298,498,021",14479,Silent
17085,Netherlands,1986,female,25-34 years,107,1171300,9.14,Netherlands1986,,"198,298,498,021",14479,Boomers
17086,Netherlands,1986,male,15-24 years,104,1276700,8.15,Netherlands1986,,"198,298,498,021",14479,Generation X
17087,Netherlands,1986,female,15-24 years,44,1224400,3.59,Netherlands1986,,"198,298,498,021",14479,Generation X
17088,Netherlands,1986,male,5-14 years,3,966300,0.31,Netherlands1986,,"198,298,498,021",14479,Generation X
17089,Netherlands,1986,female,5-14 years,1,923700,0.11,Netherlands1986,,"198,298,498,021",14479,Generation X
17090,Netherlands,1987,male,75+ years,111,265500,41.81,Netherlands1987,,"241,918,791,123",17560,G.I. Generation
17091,Netherlands,1987,male,55-74 years,246,1134600,21.68,Netherlands1987,,"241,918,791,123",17560,G.I. Generation
17092,Netherlands,1987,male,35-54 years,329,1950400,16.87,Netherlands1987,,"241,918,791,123",17560,Silent
17093,Netherlands,1987,male,25-34 years,189,1233700,15.32,Netherlands1987,,"241,918,791,123",17560,Boomers
17094,Netherlands,1987,female,55-74 years,189,1318400,14.34,Netherlands1987,,"241,918,791,123",17560,G.I. Generation
17095,Netherlands,1987,female,75+ years,66,499000,13.23,Netherlands1987,,"241,918,791,123",17560,G.I. Generation
17096,Netherlands,1987,female,35-54 years,210,1860400,11.29,Netherlands1987,,"241,918,791,123",17560,Silent
17097,Netherlands,1987,female,25-34 years,111,1186400,9.36,Netherlands1987,,"241,918,791,123",17560,Boomers
17098,Netherlands,1987,male,15-24 years,117,1268600,9.22,Netherlands1987,,"241,918,791,123",17560,Generation X
17099,Netherlands,1987,female,15-24 years,44,1216200,3.62,Netherlands1987,,"241,918,791,123",17560,Generation X
17100,Netherlands,1987,male,5-14 years,3,942700,0.32,Netherlands1987,,"241,918,791,123",17560,Generation X
17101,Netherlands,1987,female,5-14 years,1,901100,0.11,Netherlands1987,,"241,918,791,123",17560,Generation X
17102,Netherlands,1988,male,75+ years,112,270900,41.34,Netherlands1988,,"258,567,751,143",18661,G.I. Generation
17103,Netherlands,1988,male,55-74 years,235,1145800,20.51,Netherlands1988,,"258,567,751,143",18661,G.I. Generation
17104,Netherlands,1988,male,25-34 years,202,1251700,16.14,Netherlands1988,,"258,567,751,143",18661,Boomers
17105,Netherlands,1988,male,35-54 years,309,1988500,15.54,Netherlands1988,,"258,567,751,143",18661,Silent
17106,Netherlands,1988,female,55-74 years,180,1325500,13.58,Netherlands1988,,"258,567,751,143",18661,G.I. Generation
17107,Netherlands,1988,female,75+ years,55,513300,10.71,Netherlands1988,,"258,567,751,143",18661,G.I. Generation
17108,Netherlands,1988,female,35-54 years,192,1897600,10.12,Netherlands1988,,"258,567,751,143",18661,Silent
17109,Netherlands,1988,female,25-34 years,100,1201900,8.32,Netherlands1988,,"258,567,751,143",18661,Boomers
17110,Netherlands,1988,male,15-24 years,102,1250800,8.15,Netherlands1988,,"258,567,751,143",18661,Generation X
17111,Netherlands,1988,female,15-24 years,29,1200100,2.42,Netherlands1988,,"258,567,751,143",18661,Generation X
17112,Netherlands,1988,male,5-14 years,5,925400,0.54,Netherlands1988,,"258,567,751,143",18661,Generation X
17113,Netherlands,1988,female,5-14 years,2,884200,0.23,Netherlands1988,,"258,567,751,143",18661,Generation X
17114,Netherlands,1989,male,75+ years,80,275900,29.0,Netherlands1989,,"255,039,560,740",18310,G.I. Generation
17115,Netherlands,1989,male,55-74 years,236,1155700,20.42,Netherlands1989,,"255,039,560,740",18310,G.I. Generation
17116,Netherlands,1989,male,35-54 years,330,2026600,16.28,Netherlands1989,,"255,039,560,740",18310,Silent
17117,Netherlands,1989,male,25-34 years,195,1269800,15.36,Netherlands1989,,"255,039,560,740",18310,Boomers
17118,Netherlands,1989,female,55-74 years,173,1330900,13.0,Netherlands1989,,"255,039,560,740",18310,G.I. Generation
17119,Netherlands,1989,female,75+ years,57,526200,10.83,Netherlands1989,,"255,039,560,740",18310,G.I. Generation
17120,Netherlands,1989,female,35-54 years,196,1935400,10.13,Netherlands1989,,"255,039,560,740",18310,Silent
17121,Netherlands,1989,male,15-24 years,109,1224000,8.91,Netherlands1989,,"255,039,560,740",18310,Generation X
17122,Netherlands,1989,female,25-34 years,88,1218500,7.22,Netherlands1989,,"255,039,560,740",18310,Boomers
17123,Netherlands,1989,female,15-24 years,52,1175200,4.42,Netherlands1989,,"255,039,560,740",18310,Generation X
17124,Netherlands,1989,male,5-14 years,3,916100,0.33,Netherlands1989,,"255,039,560,740",18310,Generation X
17125,Netherlands,1989,female,5-14 years,1,875000,0.11,Netherlands1989,,"255,039,560,740",18310,Generation X
17126,Netherlands,1990,male,75+ years,95,279100,34.04,Netherlands1990,0.8290000000000001,"314,267,667,675",22425,G.I. Generation
17127,Netherlands,1990,male,25-34 years,204,1287400,15.85,Netherlands1990,0.8290000000000001,"314,267,667,675",22425,Boomers
17128,Netherlands,1990,male,55-74 years,185,1167900,15.84,Netherlands1990,0.8290000000000001,"314,267,667,675",22425,G.I. Generation
17129,Netherlands,1990,male,35-54 years,322,2065400,15.59,Netherlands1990,0.8290000000000001,"314,267,667,675",22425,Silent
17130,Netherlands,1990,female,75+ years,80,535700,14.93,Netherlands1990,0.8290000000000001,"314,267,667,675",22425,G.I. Generation
17131,Netherlands,1990,female,55-74 years,145,1338000,10.84,Netherlands1990,0.8290000000000001,"314,267,667,675",22425,G.I. Generation
