,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
17448,New Zealand,1985,male,75+ years,18,46900,38.38,New Zealand1985,0.805,"24,950,895,141",8246,G.I. Generation
17449,New Zealand,1985,male,55-74 years,60,235700,25.46,New Zealand1985,0.805,"24,950,895,141",8246,G.I. Generation
17450,New Zealand,1985,male,25-34 years,51,255400,19.97,New Zealand1985,0.805,"24,950,895,141",8246,Boomers
17451,New Zealand,1985,male,15-24 years,60,305400,19.65,New Zealand1985,0.805,"24,950,895,141",8246,Generation X
17452,New Zealand,1985,male,35-54 years,64,371200,17.24,New Zealand1985,0.805,"24,950,895,141",8246,Silent
17453,New Zealand,1985,female,55-74 years,26,259300,10.03,New Zealand1985,0.805,"24,950,895,141",8246,G.I. Generation
17454,New Zealand,1985,female,35-54 years,22,364600,6.03,New Zealand1985,0.805,"24,950,895,141",8246,Silent
17455,New Zealand,1985,female,15-24 years,15,291600,5.14,New Zealand1985,0.805,"24,950,895,141",8246,Generation X
17456,New Zealand,1985,female,25-34 years,13,259100,5.02,New Zealand1985,0.805,"24,950,895,141",8246,Boomers
17457,New Zealand,1985,female,75+ years,4,81500,4.91,New Zealand1985,0.805,"24,950,895,141",8246,G.I. Generation
17458,New Zealand,1985,female,5-14 years,3,272300,1.1,New Zealand1985,0.805,"24,950,895,141",8246,Generation X
17459,New Zealand,1985,male,5-14 years,2,282800,0.71,New Zealand1985,0.805,"24,950,895,141",8246,Generation X
17460,New Zealand,1986,male,75+ years,18,49400,36.44,New Zealand1986,,"30,604,668,357",10114,G.I. Generation
17461,New Zealand,1986,male,35-54 years,100,376100,26.59,New Zealand1986,,"30,604,668,357",10114,Silent
17462,New Zealand,1986,male,55-74 years,60,237900,25.22,New Zealand1986,,"30,604,668,357",10114,G.I. Generation
17463,New Zealand,1986,male,15-24 years,68,296200,22.96,New Zealand1986,,"30,604,668,357",10114,Generation X
17464,New Zealand,1986,male,25-34 years,53,258000,20.54,New Zealand1986,,"30,604,668,357",10114,Boomers
17465,New Zealand,1986,female,75+ years,9,84000,10.71,New Zealand1986,,"30,604,668,357",10114,G.I. Generation
17466,New Zealand,1986,female,55-74 years,27,259200,10.42,New Zealand1986,,"30,604,668,357",10114,G.I. Generation
17467,New Zealand,1986,female,35-54 years,31,373800,8.29,New Zealand1986,,"30,604,668,357",10114,Silent
17468,New Zealand,1986,female,15-24 years,23,286900,8.02,New Zealand1986,,"30,604,668,357",10114,Generation X
17469,New Zealand,1986,female,25-34 years,21,262300,8.01,New Zealand1986,,"30,604,668,357",10114,Boomers
17470,New Zealand,1986,female,5-14 years,2,265700,0.75,New Zealand1986,,"30,604,668,357",10114,Generation X
17471,New Zealand,1986,male,5-14 years,2,276600,0.72,New Zealand1986,,"30,604,668,357",10114,Generation X
17472,New Zealand,1987,male,75+ years,28,51100,54.79,New Zealand1987,,"40,338,594,862",13238,G.I. Generation
17473,New Zealand,1987,male,15-24 years,93,295500,31.47,New Zealand1987,,"40,338,594,862",13238,Generation X
17474,New Zealand,1987,male,25-34 years,79,262900,30.05,New Zealand1987,,"40,338,594,862",13238,Boomers
17475,New Zealand,1987,male,55-74 years,64,238500,26.83,New Zealand1987,,"40,338,594,862",13238,G.I. Generation
17476,New Zealand,1987,male,35-54 years,92,384800,23.91,New Zealand1987,,"40,338,594,862",13238,Silent
17477,New Zealand,1987,female,75+ years,9,86700,10.38,New Zealand1987,,"40,338,594,862",13238,G.I. Generation
17478,New Zealand,1987,female,25-34 years,24,269900,8.89,New Zealand1987,,"40,338,594,862",13238,Boomers
17479,New Zealand,1987,female,35-54 years,28,381900,7.33,New Zealand1987,,"40,338,594,862",13238,Silent
17480,New Zealand,1987,female,15-24 years,20,286500,6.98,New Zealand1987,,"40,338,594,862",13238,Generation X
17481,New Zealand,1987,female,55-74 years,18,260500,6.91,New Zealand1987,,"40,338,594,862",13238,G.I. Generation
17482,New Zealand,1987,male,5-14 years,7,269800,2.59,New Zealand1987,,"40,338,594,862",13238,Generation X
17483,New Zealand,1987,female,5-14 years,1,259000,0.39,New Zealand1987,,"40,338,594,862",13238,Generation X
17484,New Zealand,1988,male,75+ years,20,52400,38.17,New Zealand1988,,"45,493,075,684",14890,G.I. Generation
17485,New Zealand,1988,male,15-24 years,106,291700,36.34,New Zealand1988,,"45,493,075,684",14890,Generation X
17486,New Zealand,1988,male,55-74 years,79,238700,33.1,New Zealand1988,,"45,493,075,684",14890,G.I. Generation
17487,New Zealand,1988,male,25-34 years,72,267600,26.91,New Zealand1988,,"45,493,075,684",14890,Boomers
17488,New Zealand,1988,male,35-54 years,102,390900,26.09,New Zealand1988,,"45,493,075,684",14890,Silent
17489,New Zealand,1988,female,75+ years,10,89500,11.17,New Zealand1988,,"45,493,075,684",14890,G.I. Generation
17490,New Zealand,1988,female,25-34 years,29,274400,10.57,New Zealand1988,,"45,493,075,684",14890,Boomers
17491,New Zealand,1988,female,55-74 years,25,261500,9.56,New Zealand1988,,"45,493,075,684",14890,G.I. Generation
17492,New Zealand,1988,female,15-24 years,25,285700,8.75,New Zealand1988,,"45,493,075,684",14890,Generation X
17493,New Zealand,1988,female,35-54 years,14,387600,3.61,New Zealand1988,,"45,493,075,684",14890,Silent
17494,New Zealand,1988,male,5-14 years,2,263500,0.76,New Zealand1988,,"45,493,075,684",14890,Generation X
17495,New Zealand,1988,female,5-14 years,0,251700,0.0,New Zealand1988,,"45,493,075,684",14890,Generation X
17496,New Zealand,1989,male,15-24 years,111,285400,38.89,New Zealand1989,,"44,170,562,822",14417,Generation X
17497,New Zealand,1989,male,75+ years,21,54400,38.6,New Zealand1989,,"44,170,562,822",14417,G.I. Generation
