,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
17868,Norway,1986,male,35-54 years,137,500900,27.35,Norway1986,,"78,693,253,276",20117,Silent
17869,Norway,1986,male,25-34 years,86,318200,27.03,Norway1986,,"78,693,253,276",20117,Boomers
17870,Norway,1986,male,55-74 years,101,383100,26.36,Norway1986,,"78,693,253,276",20117,G.I. Generation
17871,Norway,1986,male,15-24 years,69,336000,20.54,Norway1986,,"78,693,253,276",20117,Generation X
17872,Norway,1986,male,75+ years,19,102800,18.48,Norway1986,,"78,693,253,276",20117,G.I. Generation
17873,Norway,1986,female,35-54 years,67,480100,13.96,Norway1986,,"78,693,253,276",20117,Silent
17874,Norway,1986,female,55-74 years,56,430100,13.02,Norway1986,,"78,693,253,276",20117,G.I. Generation
17875,Norway,1986,female,75+ years,10,173700,5.76,Norway1986,,"78,693,253,276",20117,G.I. Generation
17876,Norway,1986,female,25-34 years,15,303600,4.94,Norway1986,,"78,693,253,276",20117,Boomers
17877,Norway,1986,female,15-24 years,12,320000,3.75,Norway1986,,"78,693,253,276",20117,Generation X
17878,Norway,1986,male,5-14 years,7,288100,2.43,Norway1986,,"78,693,253,276",20117,Generation X
17879,Norway,1986,female,5-14 years,0,275100,0.0,Norway1986,,"78,693,253,276",20117,Generation X
17880,Norway,1987,male,75+ years,35,105000,33.33,Norway1987,,"94,230,055,659",23980,G.I. Generation
17881,Norway,1987,male,55-74 years,125,379500,32.94,Norway1987,,"94,230,055,659",23980,G.I. Generation
17882,Norway,1987,male,25-34 years,94,321100,29.27,Norway1987,,"94,230,055,659",23980,Boomers
17883,Norway,1987,male,35-54 years,149,511400,29.14,Norway1987,,"94,230,055,659",23980,Silent
17884,Norway,1987,male,15-24 years,80,339300,23.58,Norway1987,,"94,230,055,659",23980,Generation X
17885,Norway,1987,female,55-74 years,54,426400,12.66,Norway1987,,"94,230,055,659",23980,G.I. Generation
17886,Norway,1987,female,35-54 years,60,489000,12.27,Norway1987,,"94,230,055,659",23980,Silent
17887,Norway,1987,female,25-34 years,29,305900,9.48,Norway1987,,"94,230,055,659",23980,Boomers
17888,Norway,1987,female,15-24 years,12,322900,3.72,Norway1987,,"94,230,055,659",23980,Generation X
17889,Norway,1987,female,75+ years,6,178600,3.36,Norway1987,,"94,230,055,659",23980,G.I. Generation
17890,Norway,1987,male,5-14 years,3,281600,1.07,Norway1987,,"94,230,055,659",23980,Generation X
17891,Norway,1987,female,5-14 years,2,268800,0.74,Norway1987,,"94,230,055,659",23980,Generation X
17892,Norway,1988,male,75+ years,36,106900,33.68,Norway1988,,"101,900,260,856",25820,G.I. Generation
