,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
18228,Oman,2009,male,75+ years,2,10803,18.51,Oman2009,,"48,388,296,489",18557,Silent
18229,Oman,2009,male,25-34 years,7,429691,1.63,Oman2009,,"48,388,296,489",18557,Generation X
18230,Oman,2009,male,15-24 years,3,372207,0.81,Oman2009,,"48,388,296,489",18557,Millenials
18231,Oman,2009,male,35-54 years,1,418960,0.24,Oman2009,,"48,388,296,489",18557,Boomers
18232,Oman,2009,female,15-24 years,0,272065,0.0,Oman2009,,"48,388,296,489",18557,Millenials
18233,Oman,2009,female,25-34 years,0,251089,0.0,Oman2009,,"48,388,296,489",18557,Generation X
18234,Oman,2009,female,35-54 years,0,197737,0.0,Oman2009,,"48,388,296,489",18557,Boomers
18235,Oman,2009,female,5-14 years,0,240602,0.0,Oman2009,,"48,388,296,489",18557,Generation Z
18236,Oman,2009,female,55-74 years,0,61620,0.0,Oman2009,,"48,388,296,489",18557,Silent
18237,Oman,2009,female,75+ years,0,13886,0.0,Oman2009,,"48,388,296,489",18557,Silent
18238,Oman,2009,male,5-14 years,0,248322,0.0,Oman2009,,"48,388,296,489",18557,Generation Z
18239,Oman,2009,male,55-74 years,0,90567,0.0,Oman2009,,"48,388,296,489",18557,Silent
18240,Oman,2010,male,35-54 years,6,460847,1.3,Oman2010,0.795,"58,642,392,718",21337,Generation X
18241,Oman,2010,male,15-24 years,4,372402,1.07,Oman2010,0.795,"58,642,392,718",21337,Millenials
18242,Oman,2010,male,55-74 years,1,98397,1.02,Oman2010,0.795,"58,642,392,718",21337,Silent
18243,Oman,2010,male,25-34 years,2,490613,0.41,Oman2010,0.795,"58,642,392,718",21337,Generation X
18244,Oman,2010,female,15-24 years,0,269317,0.0,Oman2010,0.795,"58,642,392,718",21337,Millenials
18245,Oman,2010,female,25-34 years,0,268046,0.0,Oman2010,0.795,"58,642,392,718",21337,Generation X
18246,Oman,2010,female,35-54 years,0,209172,0.0,Oman2010,0.795,"58,642,392,718",21337,Generation X
18247,Oman,2010,female,5-14 years,0,237859,0.0,Oman2010,0.795,"58,642,392,718",21337,Generation Z
18248,Oman,2010,female,55-74 years,0,65305,0.0,Oman2010,0.795,"58,642,392,718",21337,Silent
18249,Oman,2010,female,75+ years,0,14260,0.0,Oman2010,0.795,"58,642,392,718",21337,Silent
18250,Oman,2010,male,5-14 years,0,250444,0.0,Oman2010,0.795,"58,642,392,718",21337,Generation Z
18251,Oman,2010,male,75+ years,0,11778,0.0,Oman2010,0.795,"58,642,392,718",21337,Silent
18252,Oman,2014,male,55-74 years,1,129011,0.78,Oman2014,0.7929999999999999,"81,076,723,017",22328,Boomers
18253,Oman,2014,male,25-34 years,4,910905,0.44,Oman2014,0.7929999999999999,"81,076,723,017",22328,Millenials
18254,Oman,2014,male,35-54 years,2,700906,0.29,Oman2014,0.7929999999999999,"81,076,723,017",22328,Generation X
18255,Oman,2014,female,15-24 years,0,264178,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Millenials
18256,Oman,2014,female,25-34 years,0,333020,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Millenials
18257,Oman,2014,female,35-54 years,0,278487,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Generation X
18258,Oman,2014,female,5-14 years,0,256150,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Generation Z
18259,Oman,2014,female,55-74 years,0,85501,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Boomers
18260,Oman,2014,female,75+ years,0,18358,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Silent
18261,Oman,2014,male,15-24 years,0,366911,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Millenials
18262,Oman,2014,male,5-14 years,0,266738,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Generation Z
18263,Oman,2014,male,75+ years,0,20933,0.0,Oman2014,0.7929999999999999,"81,076,723,017",22328,Silent
