,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
18264,Panama,1985,male,75+ years,3,15000,20.0,Panama1985,0.648,"6,541,517,100",3443,G.I. Generation
18265,Panama,1985,male,25-34 years,15,168000,8.93,Panama1985,0.648,"6,541,517,100",3443,Boomers
18266,Panama,1985,male,35-54 years,14,190000,7.37,Panama1985,0.648,"6,541,517,100",3443,Silent
18267,Panama,1985,male,15-24 years,10,233200,4.29,Panama1985,0.648,"6,541,517,100",3443,Generation X
18268,Panama,1985,female,55-74 years,3,83000,3.61,Panama1985,0.648,"6,541,517,100",3443,G.I. Generation
18269,Panama,1985,male,55-74 years,2,87000,2.3,Panama1985,0.648,"6,541,517,100",3443,G.I. Generation
18270,Panama,1985,female,25-34 years,3,160000,1.88,Panama1985,0.648,"6,541,517,100",3443,Boomers
18271,Panama,1985,female,15-24 years,4,228100,1.75,Panama1985,0.648,"6,541,517,100",3443,Generation X
18272,Panama,1985,female,35-54 years,1,182000,0.55,Panama1985,0.648,"6,541,517,100",3443,Silent
18273,Panama,1985,female,5-14 years,1,263200,0.38,Panama1985,0.648,"6,541,517,100",3443,Generation X
18274,Panama,1985,female,75+ years,0,16000,0.0,Panama1985,0.648,"6,541,517,100",3443,G.I. Generation
18275,Panama,1985,male,5-14 years,0,274200,0.0,Panama1985,0.648,"6,541,517,100",3443,Generation X
18276,Panama,1986,male,55-74 years,14,88800,15.77,Panama1986,,"6,797,834,200",3504,G.I. Generation
18277,Panama,1986,male,35-54 years,18,194000,9.28,Panama1986,,"6,797,834,200",3504,Silent
18278,Panama,1986,male,25-34 years,15,171600,8.74,Panama1986,,"6,797,834,200",3504,Boomers
18279,Panama,1986,male,15-24 years,17,238100,7.14,Panama1986,,"6,797,834,200",3504,Generation X
18280,Panama,1986,male,75+ years,1,15300,6.54,Panama1986,,"6,797,834,200",3504,G.I. Generation
18281,Panama,1986,female,75+ years,1,16400,6.1,Panama1986,,"6,797,834,200",3504,G.I. Generation
18282,Panama,1986,female,15-24 years,8,232900,3.43,Panama1986,,"6,797,834,200",3504,Generation X
18283,Panama,1986,female,35-54 years,3,185800,1.61,Panama1986,,"6,797,834,200",3504,Silent
18284,Panama,1986,female,25-34 years,2,163400,1.22,Panama1986,,"6,797,834,200",3504,Boomers
18285,Panama,1986,male,5-14 years,2,280000,0.71,Panama1986,,"6,797,834,200",3504,Generation X
