,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
18564,Paraguay,1985,male,75+ years,3,19395,15.47,Paraguay1985,0.564,"2,966,234,106",964,G.I. Generation
18565,Paraguay,1985,male,55-74 years,8,128809,6.21,Paraguay1985,0.564,"2,966,234,106",964,G.I. Generation
18566,Paraguay,1985,male,35-54 years,11,288558,3.81,Paraguay1985,0.564,"2,966,234,106",964,Silent
18567,Paraguay,1985,female,55-74 years,4,139742,2.86,Paraguay1985,0.564,"2,966,234,106",964,G.I. Generation
18568,Paraguay,1985,female,15-24 years,9,362788,2.48,Paraguay1985,0.564,"2,966,234,106",964,Generation X
18569,Paraguay,1985,male,15-24 years,9,375543,2.4,Paraguay1985,0.564,"2,966,234,106",964,Generation X
18570,Paraguay,1985,female,25-34 years,6,258525,2.32,Paraguay1985,0.564,"2,966,234,106",964,Boomers
18571,Paraguay,1985,male,25-34 years,4,269355,1.49,Paraguay1985,0.564,"2,966,234,106",964,Boomers
18572,Paraguay,1985,female,5-14 years,5,457364,1.09,Paraguay1985,0.564,"2,966,234,106",964,Generation X
18573,Paraguay,1985,female,35-54 years,3,278563,1.08,Paraguay1985,0.564,"2,966,234,106",964,Silent
18574,Paraguay,1985,male,5-14 years,1,471865,0.21,Paraguay1985,0.564,"2,966,234,106",964,Generation X
18575,Paraguay,1985,female,75+ years,0,26807,0.0,Paraguay1985,0.564,"2,966,234,106",964,G.I. Generation
18576,Paraguay,1986,male,55-74 years,9,131783,6.83,Paraguay1986,,"3,439,716,562",1086,G.I. Generation
18577,Paraguay,1986,male,75+ years,1,20470,4.89,Paraguay1986,,"3,439,716,562",1086,G.I. Generation
18578,Paraguay,1986,male,25-34 years,10,278072,3.6,Paraguay1986,,"3,439,716,562",1086,Boomers
18579,Paraguay,1986,female,15-24 years,12,370579,3.24,Paraguay1986,,"3,439,716,562",1086,Generation X
18580,Paraguay,1986,male,15-24 years,10,383018,2.61,Paraguay1986,,"3,439,716,562",1086,Generation X
18581,Paraguay,1986,female,35-54 years,6,289263,2.07,Paraguay1986,,"3,439,716,562",1086,Silent
18582,Paraguay,1986,female,55-74 years,2,142637,1.4,Paraguay1986,,"3,439,716,562",1086,G.I. Generation
18583,Paraguay,1986,female,25-34 years,3,267364,1.12,Paraguay1986,,"3,439,716,562",1086,Boomers
18584,Paraguay,1986,male,35-54 years,3,300541,1.0,Paraguay1986,,"3,439,716,562",1086,Silent
18585,Paraguay,1986,female,5-14 years,0,470509,0.0,Paraguay1986,,"3,439,716,562",1086,Generation X
18586,Paraguay,1986,female,75+ years,0,28055,0.0,Paraguay1986,,"3,439,716,562",1086,G.I. Generation
18587,Paraguay,1986,male,5-14 years,0,485244,0.0,Paraguay1986,,"3,439,716,562",1086,Generation X
18588,Paraguay,1987,male,75+ years,3,21474,13.97,Paraguay1987,,"3,778,316,380",1158,G.I. Generation
18589,Paraguay,1987,male,35-54 years,15,313985,4.78,Paraguay1987,,"3,778,316,380",1158,Silent
18590,Paraguay,1987,female,75+ years,1,29224,3.42,Paraguay1987,,"3,778,316,380",1158,G.I. Generation
18591,Paraguay,1987,female,15-24 years,12,377753,3.18,Paraguay1987,,"3,778,316,380",1158,Generation X
18592,Paraguay,1987,male,55-74 years,4,134656,2.97,Paraguay1987,,"3,778,316,380",1158,G.I. Generation
18593,Paraguay,1987,male,15-24 years,11,389735,2.82,Paraguay1987,,"3,778,316,380",1158,Generation X
18594,Paraguay,1987,male,25-34 years,6,286352,2.1,Paraguay1987,,"3,778,316,380",1158,Boomers
18595,Paraguay,1987,female,35-54 years,4,301417,1.33,Paraguay1987,,"3,778,316,380",1158,Silent
18596,Paraguay,1987,female,25-34 years,2,275955,0.72,Paraguay1987,,"3,778,316,380",1158,Boomers
18597,Paraguay,1987,female,55-74 years,1,145386,0.69,Paraguay1987,,"3,778,316,380",1158,G.I. Generation
18598,Paraguay,1987,female,5-14 years,3,485452,0.62,Paraguay1987,,"3,778,316,380",1158,Generation X
18599,Paraguay,1987,male,5-14 years,0,500586,0.0,Paraguay1987,,"3,778,316,380",1158,Generation X
18600,Paraguay,1989,male,75+ years,2,23265,8.6,Paraguay1989,,"4,599,970,618",1330,G.I. Generation
18601,Paraguay,1989,female,75+ years,2,31393,6.37,Paraguay1989,,"4,599,970,618",1330,G.I. Generation
18602,Paraguay,1989,male,35-54 years,17,343125,4.95,Paraguay1989,,"4,599,970,618",1330,Silent
18603,Paraguay,1989,male,55-74 years,6,140982,4.26,Paraguay1989,,"4,599,970,618",1330,G.I. Generation
18604,Paraguay,1989,male,25-34 years,11,302327,3.64,Paraguay1989,,"4,599,970,618",1330,Boomers
18605,Paraguay,1989,female,15-24 years,13,391348,3.32,Paraguay1989,,"4,599,970,618",1330,Generation X
18606,Paraguay,1989,male,15-24 years,12,402329,2.98,Paraguay1989,,"4,599,970,618",1330,Generation X
18607,Paraguay,1989,female,25-34 years,3,292941,1.02,Paraguay1989,,"4,599,970,618",1330,Boomers
18608,Paraguay,1989,female,5-14 years,1,517971,0.19,Paraguay1989,,"4,599,970,618",1330,Generation X
18609,Paraguay,1989,female,35-54 years,0,328057,0.0,Paraguay1989,,"4,599,970,618",1330,Silent
18610,Paraguay,1989,female,55-74 years,0,151253,0.0,Paraguay1989,,"4,599,970,618",1330,G.I. Generation
18611,Paraguay,1989,male,5-14 years,0,534185,0.0,Paraguay1989,,"4,599,970,618",1330,Generation X
18612,Paraguay,1990,male,75+ years,3,24057,12.47,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
18613,Paraguay,1990,female,15-24 years,24,398531,6.02,Paraguay1990,0.579,"5,695,201,563",1600,Generation X
18614,Paraguay,1990,male,15-24 years,23,409193,5.62,Paraguay1990,0.579,"5,695,201,563",1600,Generation X
18615,Paraguay,1990,female,55-74 years,6,154872,3.87,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
18616,Paraguay,1990,male,25-34 years,10,310522,3.22,Paraguay1990,0.579,"5,695,201,563",1600,Boomers
18617,Paraguay,1990,female,75+ years,1,32425,3.08,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
18618,Paraguay,1990,male,55-74 years,4,144947,2.76,Paraguay1990,0.579,"5,695,201,563",1600,G.I. Generation
18619,Paraguay,1990,female,25-34 years,8,301682,2.65,Paraguay1990,0.579,"5,695,201,563",1600,Boomers
18620,Paraguay,1990,male,35-54 years,9,357722,2.52,Paraguay1990,0.579,"5,695,201,563",1600,Silent
18621,Paraguay,1990,female,35-54 years,7,341511,2.05,Paraguay1990,0.579,"5,695,201,563",1600,Silent
18622,Paraguay,1990,female,5-14 years,4,534004,0.75,Paraguay1990,0.579,"5,695,201,563",1600,Generation X
18623,Paraguay,1990,male,5-14 years,0,550763,0.0,Paraguay1990,0.579,"5,695,201,563",1600,Generation X
18624,Paraguay,1991,male,55-74 years,8,148800,5.38,Paraguay1991,,"6,984,367,763",1907,Silent
18625,Paraguay,1991,male,75+ years,1,25426,3.93,Paraguay1991,,"6,984,367,763",1907,G.I. Generation
18626,Paraguay,1991,male,35-54 years,14,371882,3.76,Paraguay1991,,"6,984,367,763",1907,Boomers
18627,Paraguay,1991,male,15-24 years,15,416191,3.6,Paraguay1991,,"6,984,367,763",1907,Generation X
18628,Paraguay,1991,female,15-24 years,13,405630,3.2,Paraguay1991,,"6,984,367,763",1907,Generation X
18629,Paraguay,1991,male,25-34 years,8,319155,2.51,Paraguay1991,,"6,984,367,763",1907,Boomers
18630,Paraguay,1991,female,25-34 years,4,310280,1.29,Paraguay1991,,"6,984,367,763",1907,Boomers
18631,Paraguay,1991,female,55-74 years,2,158432,1.26,Paraguay1991,,"6,984,367,763",1907,Silent
