,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
18888,Philippines,1992,male,75+ years,6,265186,2.26,Philippines1992,,"52,976,344,929",958,G.I. Generation
18889,Philippines,1992,male,55-74 years,26,1817237,1.43,Philippines1992,,"52,976,344,929",958,Silent
18890,Philippines,1992,male,25-34 years,66,5080108,1.3,Philippines1992,,"52,976,344,929",958,Boomers
18891,Philippines,1992,male,15-24 years,86,6622107,1.3,Philippines1992,,"52,976,344,929",958,Generation X
18892,Philippines,1992,male,35-54 years,60,5583152,1.07,Philippines1992,,"52,976,344,929",958,Boomers
18893,Philippines,1992,female,15-24 years,57,6366294,0.9,Philippines1992,,"52,976,344,929",958,Generation X
18894,Philippines,1992,female,75+ years,2,385751,0.52,Philippines1992,,"52,976,344,929",958,G.I. Generation
18895,Philippines,1992,female,35-54 years,21,5529627,0.38,Philippines1992,,"52,976,344,929",958,Boomers
18896,Philippines,1992,female,55-74 years,7,2109209,0.33,Philippines1992,,"52,976,344,929",958,Silent
18897,Philippines,1992,female,25-34 years,16,4932715,0.32,Philippines1992,,"52,976,344,929",958,Boomers
18898,Philippines,1992,female,5-14 years,0,8129872,0.0,Philippines1992,,"52,976,344,929",958,Millenials
18899,Philippines,1992,male,5-14 years,0,8483426,0.0,Philippines1992,,"52,976,344,929",958,Millenials
18900,Philippines,1993,male,75+ years,9,268392,3.35,Philippines1993,,"54,368,083,953",957,G.I. Generation
18901,Philippines,1993,male,25-34 years,154,5196998,2.96,Philippines1993,,"54,368,083,953",957,Boomers
18902,Philippines,1993,female,15-24 years,169,6509080,2.6,Philippines1993,,"54,368,083,953",957,Generation X
18903,Philippines,1993,male,15-24 years,175,6764969,2.59,Philippines1993,,"54,368,083,953",957,Generation X
18904,Philippines,1993,female,75+ years,10,395945,2.53,Philippines1993,,"54,368,083,953",957,G.I. Generation
18905,Philippines,1993,male,35-54 years,128,5807147,2.2,Philippines1993,,"54,368,083,953",957,Boomers
18906,Philippines,1993,male,55-74 years,40,1875192,2.13,Philippines1993,,"54,368,083,953",957,Silent
18907,Philippines,1993,female,25-34 years,86,5051261,1.7,Philippines1993,,"54,368,083,953",957,Boomers
18908,Philippines,1993,female,55-74 years,21,2175656,0.97,Philippines1993,,"54,368,083,953",957,Silent
18909,Philippines,1993,female,35-54 years,54,5754827,0.94,Philippines1993,,"54,368,083,953",957,Boomers
18910,Philippines,1993,female,5-14 years,0,8308799,0.0,Philippines1993,,"54,368,083,953",957,Millenials
18911,Philippines,1993,male,5-14 years,0,8673303,0.0,Philippines1993,,"54,368,083,953",957,Millenials
18912,Philippines,1997,male,75+ years,13,288929,4.5,Philippines1997,,"82,344,260,571",1312,G.I. Generation
18913,Philippines,1997,male,25-34 years,193,5635075,3.42,Philippines1997,,"82,344,260,571",1312,Generation X
18914,Philippines,1997,male,55-74 years,66,2136927,3.09,Philippines1997,,"82,344,260,571",1312,Silent
18915,Philippines,1997,male,15-24 years,167,7367351,2.27,Philippines1997,,"82,344,260,571",1312,Generation X
18916,Philippines,1997,male,35-54 years,146,6734331,2.17,Philippines1997,,"82,344,260,571",1312,Boomers
