,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
19068,Poland,1990,male,35-54 years,1670,4766000,35.04,Poland1990,0.713,"65,977,749,037",1876,Silent
19069,Poland,1990,male,55-74 years,890,2665000,33.4,Poland1990,0.713,"65,977,749,037",1876,G.I. Generation
19070,Poland,1990,male,25-34 years,917,3012400,30.44,Poland1990,0.713,"65,977,749,037",1876,Boomers
19071,Poland,1990,male,75+ years,141,517200,27.26,Poland1990,0.713,"65,977,749,037",1876,G.I. Generation
19072,Poland,1990,male,15-24 years,440,2720300,16.17,Poland1990,0.713,"65,977,749,037",1876,Generation X
19073,Poland,1990,female,55-74 years,277,3412300,8.12,Poland1990,0.713,"65,977,749,037",1876,G.I. Generation
19074,Poland,1990,female,75+ years,77,1041700,7.39,Poland1990,0.713,"65,977,749,037",1876,G.I. Generation
19075,Poland,1990,female,35-54 years,320,4878200,6.56,Poland1990,0.713,"65,977,749,037",1876,Silent
19076,Poland,1990,female,25-34 years,126,2933900,4.29,Poland1990,0.713,"65,977,749,037",1876,Boomers
19077,Poland,1990,female,15-24 years,72,2596300,2.77,Poland1990,0.713,"65,977,749,037",1876,Generation X
19078,Poland,1990,male,5-14 years,33,3383600,0.98,Poland1990,0.713,"65,977,749,037",1876,Generation X
19079,Poland,1990,female,5-14 years,7,3237900,0.22,Poland1990,0.713,"65,977,749,037",1876,Generation X
19080,Poland,1991,male,35-54 years,2004,4876500,41.1,Poland1991,,"85,500,935,935",2416,Boomers
19081,Poland,1991,male,55-74 years,963,2709200,35.55,Poland1991,,"85,500,935,935",2416,Silent
19082,Poland,1991,male,75+ years,152,499800,30.41,Poland1991,,"85,500,935,935",2416,G.I. Generation
19083,Poland,1991,male,25-34 years,849,2914100,29.13,Poland1991,,"85,500,935,935",2416,Boomers
19084,Poland,1991,male,15-24 years,441,2788000,15.82,Poland1991,,"85,500,935,935",2416,Generation X
19085,Poland,1991,female,55-74 years,267,3476400,7.68,Poland1991,,"85,500,935,935",2416,Silent
19086,Poland,1991,female,35-54 years,358,4987100,7.18,Poland1991,,"85,500,935,935",2416,Boomers
19087,Poland,1991,female,75+ years,57,1021800,5.58,Poland1991,,"85,500,935,935",2416,G.I. Generation
19088,Poland,1991,female,25-34 years,114,2837200,4.02,Poland1991,,"85,500,935,935",2416,Boomers
19089,Poland,1991,female,15-24 years,64,2661500,2.4,Poland1991,,"85,500,935,935",2416,Generation X
19090,Poland,1991,male,5-14 years,39,3384700,1.15,Poland1991,,"85,500,935,935",2416,Millenials
19091,Poland,1991,female,5-14 years,8,3240000,0.25,Poland1991,,"85,500,935,935",2416,Millenials
19092,Poland,1992,male,35-54 years,2137,4990200,42.82,Poland1992,,"94,337,050,693",2650,Boomers
19093,Poland,1992,male,55-74 years,1030,2752600,37.42,Poland1992,,"94,337,050,693",2650,Silent
19094,Poland,1992,male,75+ years,157,482200,32.56,Poland1992,,"94,337,050,693",2650,G.I. Generation
19095,Poland,1992,male,25-34 years,904,2816200,32.1,Poland1992,,"94,337,050,693",2650,Boomers
19096,Poland,1992,male,15-24 years,465,2862200,16.25,Poland1992,,"94,337,050,693",2650,Generation X
19097,Poland,1992,female,75+ years,83,996400,8.33,Poland1992,,"94,337,050,693",2650,G.I. Generation
19098,Poland,1992,female,55-74 years,292,3543900,8.24,Poland1992,,"94,337,050,693",2650,Silent
19099,Poland,1992,female,35-54 years,388,5099300,7.61,Poland1992,,"94,337,050,693",2650,Boomers
19100,Poland,1992,female,25-34 years,128,2739400,4.67,Poland1992,,"94,337,050,693",2650,Boomers
19101,Poland,1992,female,15-24 years,87,2734300,3.18,Poland1992,,"94,337,050,693",2650,Generation X
19102,Poland,1992,male,5-14 years,39,3366400,1.16,Poland1992,,"94,337,050,693",2650,Millenials
19103,Poland,1992,female,5-14 years,3,3222300,0.09,Poland1992,,"94,337,050,693",2650,Millenials
19104,Poland,1993,male,35-54 years,2174,5107600,42.56,Poland1993,,"96,045,645,026",2683,Boomers
19105,Poland,1993,male,55-74 years,1002,2791300,35.9,Poland1993,,"96,045,645,026",2683,Silent
19106,Poland,1993,male,75+ years,150,464400,32.3,Poland1993,,"96,045,645,026",2683,G.I. Generation
19107,Poland,1993,male,25-34 years,785,2723200,28.83,Poland1993,,"96,045,645,026",2683,Boomers
19108,Poland,1993,male,15-24 years,486,2935400,16.56,Poland1993,,"96,045,645,026",2683,Generation X
19109,Poland,1993,female,55-74 years,313,3606800,8.68,Poland1993,,"96,045,645,026",2683,Silent
19110,Poland,1993,female,35-54 years,399,5213700,7.65,Poland1993,,"96,045,645,026",2683,Boomers
19111,Poland,1993,female,75+ years,61,968700,6.3,Poland1993,,"96,045,645,026",2683,G.I. Generation
19112,Poland,1993,female,25-34 years,135,2644800,5.1,Poland1993,,"96,045,645,026",2683,Boomers
19113,Poland,1993,female,15-24 years,69,2807600,2.46,Poland1993,,"96,045,645,026",2683,Generation X
19114,Poland,1993,male,5-14 years,44,3336600,1.32,Poland1993,,"96,045,645,026",2683,Millenials
19115,Poland,1993,female,5-14 years,6,3192500,0.19,Poland1993,,"96,045,645,026",2683,Millenials
19116,Poland,1994,male,35-54 years,2184,5215300,41.88,Poland1994,,"110,803,391,517",3081,Boomers
19117,Poland,1994,male,75+ years,162,457500,35.41,Poland1994,,"110,803,391,517",3081,G.I. Generation
19118,Poland,1994,male,55-74 years,969,2818600,34.38,Poland1994,,"110,803,391,517",3081,Silent
19119,Poland,1994,male,25-34 years,739,2646100,27.93,Poland1994,,"110,803,391,517",3081,Boomers
