,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
19356,Portugal,1985,male,75+ years,89,160554,55.43,Portugal1985,0.6759999999999999,"27,118,476,174",2912,G.I. Generation
19357,Portugal,1985,male,55-74 years,245,805542,30.41,Portugal1985,0.6759999999999999,"27,118,476,174",2912,G.I. Generation
19358,Portugal,1985,male,35-54 years,185,1103803,16.76,Portugal1985,0.6759999999999999,"27,118,476,174",2912,Silent
19359,Portugal,1985,female,75+ years,39,288221,13.53,Portugal1985,0.6759999999999999,"27,118,476,174",2912,G.I. Generation
19360,Portugal,1985,male,25-34 years,87,703271,12.37,Portugal1985,0.6759999999999999,"27,118,476,174",2912,Boomers
19361,Portugal,1985,female,55-74 years,98,982911,9.97,Portugal1985,0.6759999999999999,"27,118,476,174",2912,G.I. Generation
19362,Portugal,1985,male,15-24 years,81,849013,9.54,Portugal1985,0.6759999999999999,"27,118,476,174",2912,Generation X
19363,Portugal,1985,female,35-54 years,77,1216115,6.33,Portugal1985,0.6759999999999999,"27,118,476,174",2912,Silent
19364,Portugal,1985,female,15-24 years,41,832177,4.93,Portugal1985,0.6759999999999999,"27,118,476,174",2912,Generation X
19365,Portugal,1985,female,25-34 years,31,712806,4.35,Portugal1985,0.6759999999999999,"27,118,476,174",2912,Boomers
19366,Portugal,1985,male,5-14 years,6,846549,0.71,Portugal1985,0.6759999999999999,"27,118,476,174",2912,Generation X
19367,Portugal,1985,female,5-14 years,4,812968,0.49,Portugal1985,0.6759999999999999,"27,118,476,174",2912,Generation X
19368,Portugal,1986,male,75+ years,111,167563,66.24,Portugal1986,,"38,749,715,722",4145,G.I. Generation
19369,Portugal,1986,male,55-74 years,234,815490,28.69,Portugal1986,,"38,749,715,722",4145,G.I. Generation
19370,Portugal,1986,male,35-54 years,195,1114186,17.5,Portugal1986,,"38,749,715,722",4145,Silent
19371,Portugal,1986,female,75+ years,36,298812,12.05,Portugal1986,,"38,749,715,722",4145,G.I. Generation
19372,Portugal,1986,female,55-74 years,93,992408,9.37,Portugal1986,,"38,749,715,722",4145,G.I. Generation
19373,Portugal,1986,male,25-34 years,65,713499,9.11,Portugal1986,,"38,749,715,722",4145,Boomers
19374,Portugal,1986,male,15-24 years,61,842205,7.24,Portugal1986,,"38,749,715,722",4145,Generation X
19375,Portugal,1986,female,35-54 years,74,1221937,6.06,Portugal1986,,"38,749,715,722",4145,Silent
19376,Portugal,1986,female,25-34 years,32,723861,4.42,Portugal1986,,"38,749,715,722",4145,Boomers
19377,Portugal,1986,female,15-24 years,31,825030,3.76,Portugal1986,,"38,749,715,722",4145,Generation X
19378,Portugal,1986,male,5-14 years,6,833510,0.72,Portugal1986,,"38,749,715,722",4145,Generation X
19379,Portugal,1986,female,5-14 years,3,800747,0.37,Portugal1986,,"38,749,715,722",4145,Generation X
19380,Portugal,1987,male,75+ years,121,174464,69.36,Portugal1987,,"48,187,667,853",5138,G.I. Generation
19381,Portugal,1987,male,55-74 years,225,827812,27.18,Portugal1987,,"48,187,667,853",5138,G.I. Generation
19382,Portugal,1987,male,35-54 years,190,1126680,16.86,Portugal1987,,"48,187,667,853",5138,Silent
19383,Portugal,1987,female,75+ years,44,308299,14.27,Portugal1987,,"48,187,667,853",5138,G.I. Generation
19384,Portugal,1987,male,25-34 years,90,719493,12.51,Portugal1987,,"48,187,667,853",5138,Boomers
19385,Portugal,1987,male,15-24 years,80,833470,9.6,Portugal1987,,"48,187,667,853",5138,Generation X
19386,Portugal,1987,female,55-74 years,79,1003976,7.87,Portugal1987,,"48,187,667,853",5138,G.I. Generation
19387,Portugal,1987,female,35-54 years,69,1230247,5.61,Portugal1987,,"48,187,667,853",5138,Silent
19388,Portugal,1987,female,25-34 years,33,731428,4.51,Portugal1987,,"48,187,667,853",5138,Boomers
19389,Portugal,1987,female,15-24 years,24,816075,2.94,Portugal1987,,"48,187,667,853",5138,Generation X
19390,Portugal,1987,male,5-14 years,3,819857,0.37,Portugal1987,,"48,187,667,853",5138,Generation X
19391,Portugal,1987,female,5-14 years,2,787188,0.25,Portugal1987,,"48,187,667,853",5138,Generation X
