,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
19680,Puerto Rico,1985,male,75+ years,25,46600,53.65,Puerto Rico1985,,"20,289,200,000",6582,G.I. Generation
19681,Puerto Rico,1985,male,55-74 years,66,200900,32.85,Puerto Rico1985,,"20,289,200,000",6582,G.I. Generation
19682,Puerto Rico,1985,male,35-54 years,70,322500,21.71,Puerto Rico1985,,"20,289,200,000",6582,Silent
19683,Puerto Rico,1985,male,25-34 years,43,235800,18.24,Puerto Rico1985,,"20,289,200,000",6582,Boomers
19684,Puerto Rico,1985,male,15-24 years,28,321500,8.71,Puerto Rico1985,,"20,289,200,000",6582,Generation X
19685,Puerto Rico,1985,female,75+ years,4,53900,7.42,Puerto Rico1985,,"20,289,200,000",6582,G.I. Generation
19686,Puerto Rico,1985,female,55-74 years,11,214700,5.12,Puerto Rico1985,,"20,289,200,000",6582,G.I. Generation
19687,Puerto Rico,1985,female,25-34 years,8,267500,2.99,Puerto Rico1985,,"20,289,200,000",6582,Boomers
19688,Puerto Rico,1985,female,35-54 years,8,361600,2.21,Puerto Rico1985,,"20,289,200,000",6582,Silent
19689,Puerto Rico,1985,female,15-24 years,3,336300,0.89,Puerto Rico1985,,"20,289,200,000",6582,Generation X
19690,Puerto Rico,1985,male,5-14 years,2,368000,0.54,Puerto Rico1985,,"20,289,200,000",6582,Generation X
19691,Puerto Rico,1985,female,5-14 years,1,353200,0.28,Puerto Rico1985,,"20,289,200,000",6582,Generation X
19692,Puerto Rico,1986,male,75+ years,35,49800,70.28,Puerto Rico1986,,"22,009,300,000",7002,G.I. Generation
19693,Puerto Rico,1986,male,55-74 years,64,198000,32.32,Puerto Rico1986,,"22,009,300,000",7002,G.I. Generation
19694,Puerto Rico,1986,male,35-54 years,94,342800,27.42,Puerto Rico1986,,"22,009,300,000",7002,Silent
19695,Puerto Rico,1986,male,25-34 years,60,241300,24.87,Puerto Rico1986,,"22,009,300,000",7002,Boomers
19696,Puerto Rico,1986,female,75+ years,4,58800,6.8,Puerto Rico1986,,"22,009,300,000",7002,G.I. Generation
19697,Puerto Rico,1986,male,15-24 years,18,343800,5.24,Puerto Rico1986,,"22,009,300,000",7002,Generation X
19698,Puerto Rico,1986,female,35-54 years,16,392500,4.08,Puerto Rico1986,,"22,009,300,000",7002,Silent
19699,Puerto Rico,1986,female,55-74 years,7,225300,3.11,Puerto Rico1986,,"22,009,300,000",7002,G.I. Generation
19700,Puerto Rico,1986,female,25-34 years,8,271700,2.94,Puerto Rico1986,,"22,009,300,000",7002,Boomers
19701,Puerto Rico,1986,female,15-24 years,3,339700,0.88,Puerto Rico1986,,"22,009,300,000",7002,Generation X
19702,Puerto Rico,1986,male,5-14 years,1,345800,0.29,Puerto Rico1986,,"22,009,300,000",7002,Generation X
19703,Puerto Rico,1986,female,5-14 years,0,333700,0.0,Puerto Rico1986,,"22,009,300,000",7002,Generation X
19704,Puerto Rico,1987,male,75+ years,23,50100,45.91,Puerto Rico1987,,"24,025,800,000",7533,G.I. Generation
19705,Puerto Rico,1987,male,55-74 years,67,200800,33.37,Puerto Rico1987,,"24,025,800,000",7533,G.I. Generation
19706,Puerto Rico,1987,male,35-54 years,72,348000,20.69,Puerto Rico1987,,"24,025,800,000",7533,Silent
19707,Puerto Rico,1987,male,25-34 years,46,244900,18.78,Puerto Rico1987,,"24,025,800,000",7533,Boomers
19708,Puerto Rico,1987,male,15-24 years,25,348900,7.17,Puerto Rico1987,,"24,025,800,000",7533,Generation X
19709,Puerto Rico,1987,female,75+ years,4,59700,6.7,Puerto Rico1987,,"24,025,800,000",7533,G.I. Generation
19710,Puerto Rico,1987,female,35-54 years,16,398300,4.02,Puerto Rico1987,,"24,025,800,000",7533,Silent
19711,Puerto Rico,1987,female,55-74 years,9,228600,3.94,Puerto Rico1987,,"24,025,800,000",7533,G.I. Generation
19712,Puerto Rico,1987,female,15-24 years,5,344700,1.45,Puerto Rico1987,,"24,025,800,000",7533,Generation X
19713,Puerto Rico,1987,female,25-34 years,4,275800,1.45,Puerto Rico1987,,"24,025,800,000",7533,Boomers
19714,Puerto Rico,1987,male,5-14 years,1,351000,0.28,Puerto Rico1987,,"24,025,800,000",7533,Generation X
19715,Puerto Rico,1987,female,5-14 years,0,338600,0.0,Puerto Rico1987,,"24,025,800,000",7533,Generation X
19716,Puerto Rico,1988,male,75+ years,31,51200,60.55,Puerto Rico1988,,"26,385,800,000",8155,G.I. Generation
19717,Puerto Rico,1988,male,55-74 years,61,203700,29.95,Puerto Rico1988,,"26,385,800,000",8155,G.I. Generation
19718,Puerto Rico,1988,male,35-54 years,97,352800,27.49,Puerto Rico1988,,"26,385,800,000",8155,Silent
19719,Puerto Rico,1988,male,25-34 years,60,248400,24.15,Puerto Rico1988,,"26,385,800,000",8155,Boomers
19720,Puerto Rico,1988,male,15-24 years,32,354000,9.04,Puerto Rico1988,,"26,385,800,000",8155,Generation X
19721,Puerto Rico,1988,female,55-74 years,7,232000,3.02,Puerto Rico1988,,"26,385,800,000",8155,G.I. Generation
19722,Puerto Rico,1988,female,35-54 years,11,404000,2.72,Puerto Rico1988,,"26,385,800,000",8155,Silent
19723,Puerto Rico,1988,female,25-34 years,7,279800,2.5,Puerto Rico1988,,"26,385,800,000",8155,Boomers
19724,Puerto Rico,1988,female,15-24 years,4,349700,1.14,Puerto Rico1988,,"26,385,800,000",8155,Generation X
19725,Puerto Rico,1988,male,5-14 years,3,356100,0.84,Puerto Rico1988,,"26,385,800,000",8155,Generation X
