,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
20230,Republic of Korea,1985,male,75+ years,42,154800,27.13,Republic of Korea1985,,"100,273,097,170",2731,G.I. Generation
20231,Republic of Korea,1985,male,55-74 years,393,1498300,26.23,Republic of Korea1985,,"100,273,097,170",2731,G.I. Generation
20232,Republic of Korea,1985,male,35-54 years,903,4285700,21.07,Republic of Korea1985,,"100,273,097,170",2731,Silent
20233,Republic of Korea,1985,male,25-34 years,655,3616800,18.11,Republic of Korea1985,,"100,273,097,170",2731,Boomers
20234,Republic of Korea,1985,male,15-24 years,678,4413000,15.36,Republic of Korea1985,,"100,273,097,170",2731,Generation X
20235,Republic of Korea,1985,female,75+ years,38,370700,10.25,Republic of Korea1985,,"100,273,097,170",2731,G.I. Generation
20236,Republic of Korea,1985,female,55-74 years,161,2000500,8.05,Republic of Korea1985,,"100,273,097,170",2731,G.I. Generation
20237,Republic of Korea,1985,female,15-24 years,296,4148300,7.14,Republic of Korea1985,,"100,273,097,170",2731,Generation X
20238,Republic of Korea,1985,female,25-34 years,228,3568800,6.39,Republic of Korea1985,,"100,273,097,170",2731,Boomers
20239,Republic of Korea,1985,female,35-54 years,262,4267400,6.14,Republic of Korea1985,,"100,273,097,170",2731,Silent
20240,Republic of Korea,1985,male,5-14 years,20,4336000,0.46,Republic of Korea1985,,"100,273,097,170",2731,Generation X
20241,Republic of Korea,1985,female,5-14 years,13,4056400,0.32,Republic of Korea1985,,"100,273,097,170",2731,Generation X
20242,Republic of Korea,1986,male,75+ years,59,160500,36.76,Republic of Korea1986,,"115,537,126,326",3078,G.I. Generation
20243,Republic of Korea,1986,male,55-74 years,377,1555500,24.24,Republic of Korea1986,,"115,537,126,326",3078,G.I. Generation
20244,Republic of Korea,1986,male,35-54 years,827,4507500,18.35,Republic of Korea1986,,"115,537,126,326",3078,Silent
20245,Republic of Korea,1986,male,25-34 years,671,3832600,17.51,Republic of Korea1986,,"115,537,126,326",3078,Boomers
20246,Republic of Korea,1986,male,15-24 years,616,4499600,13.69,Republic of Korea1986,,"115,537,126,326",3078,Generation X
20247,Republic of Korea,1986,female,75+ years,30,378000,7.94,Republic of Korea1986,,"115,537,126,326",3078,G.I. Generation
20248,Republic of Korea,1986,female,25-34 years,250,3656500,6.84,Republic of Korea1986,,"115,537,126,326",3078,Boomers
20249,Republic of Korea,1986,female,55-74 years,129,2039900,6.32,Republic of Korea1986,,"115,537,126,326",3078,G.I. Generation
20250,Republic of Korea,1986,female,15-24 years,237,4244400,5.58,Republic of Korea1986,,"115,537,126,326",3078,Generation X
20251,Republic of Korea,1986,female,35-54 years,236,4325800,5.46,Republic of Korea1986,,"115,537,126,326",3078,Silent
20252,Republic of Korea,1986,male,5-14 years,18,4308100,0.42,Republic of Korea1986,,"115,537,126,326",3078,Generation X
20253,Republic of Korea,1986,female,5-14 years,8,4032000,0.2,Republic of Korea1986,,"115,537,126,326",3078,Generation X
20254,Republic of Korea,1987,male,75+ years,44,163700,26.88,Republic of Korea1987,,"146,133,338,196",3834,G.I. Generation
20255,Republic of Korea,1987,male,55-74 years,380,1607800,23.63,Republic of Korea1987,,"146,133,338,196",3834,G.I. Generation
20256,Republic of Korea,1987,male,25-34 years,675,3973800,16.99,Republic of Korea1987,,"146,133,338,196",3834,Boomers
20257,Republic of Korea,1987,male,35-54 years,781,4617500,16.91,Republic of Korea1987,,"146,133,338,196",3834,Silent
20258,Republic of Korea,1987,male,15-24 years,493,4536200,10.87,Republic of Korea1987,,"146,133,338,196",3834,Generation X
20259,Republic of Korea,1987,female,75+ years,30,389400,7.7,Republic of Korea1987,,"146,133,338,196",3834,G.I. Generation
20260,Republic of Korea,1987,female,55-74 years,152,2113500,7.19,Republic of Korea1987,,"146,133,338,196",3834,G.I. Generation
20261,Republic of Korea,1987,female,25-34 years,254,3813900,6.66,Republic of Korea1987,,"146,133,338,196",3834,Boomers
20262,Republic of Korea,1987,female,35-54 years,229,4388200,5.22,Republic of Korea1987,,"146,133,338,196",3834,Silent
20263,Republic of Korea,1987,female,15-24 years,221,4265300,5.18,Republic of Korea1987,,"146,133,338,196",3834,Generation X
20264,Republic of Korea,1987,male,5-14 years,27,4259100,0.63,Republic of Korea1987,,"146,133,338,196",3834,Generation X
20265,Republic of Korea,1987,female,5-14 years,15,3986500,0.38,Republic of Korea1987,,"146,133,338,196",3834,Generation X
20266,Republic of Korea,1988,male,75+ years,44,179000,24.58,Republic of Korea1988,,"196,964,195,387",5089,G.I. Generation
20267,Republic of Korea,1988,male,55-74 years,281,1684400,16.68,Republic of Korea1988,,"196,964,195,387",5089,G.I. Generation
20268,Republic of Korea,1988,male,35-54 years,691,4699000,14.71,Republic of Korea1988,,"196,964,195,387",5089,Silent
20269,Republic of Korea,1988,male,25-34 years,575,4136900,13.9,Republic of Korea1988,,"196,964,195,387",5089,Boomers
20270,Republic of Korea,1988,female,75+ years,47,412300,11.4,Republic of Korea1988,,"196,964,195,387",5089,G.I. Generation
