,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
20602,Romania,1989,male,75+ years,138,374100,36.89,Romania1989,,"42,105,263,158",1973,G.I. Generation
20603,Romania,1989,male,35-54 years,734,2847600,25.78,Romania1989,,"42,105,263,158",1973,Silent
20604,Romania,1989,male,55-74 years,470,1824900,25.75,Romania1989,,"42,105,263,158",1973,G.I. Generation
20605,Romania,1989,male,25-34 years,333,1643900,20.26,Romania1989,,"42,105,263,158",1973,Boomers
20606,Romania,1989,female,75+ years,69,555000,12.43,Romania1989,,"42,105,263,158",1973,G.I. Generation
20607,Romania,1989,male,15-24 years,197,1907000,10.33,Romania1989,,"42,105,263,158",1973,Generation X
20608,Romania,1989,female,55-74 years,189,2162500,8.74,Romania1989,,"42,105,263,158",1973,G.I. Generation
20609,Romania,1989,female,35-54 years,237,2891300,8.2,Romania1989,,"42,105,263,158",1973,Silent
20610,Romania,1989,female,25-34 years,67,1587400,4.22,Romania1989,,"42,105,263,158",1973,Boomers
20611,Romania,1989,female,15-24 years,75,1830400,4.1,Romania1989,,"42,105,263,158",1973,Generation X
20612,Romania,1989,male,5-14 years,14,1902500,0.74,Romania1989,,"42,105,263,158",1973,Generation X
20613,Romania,1989,female,5-14 years,6,1817900,0.33,Romania1989,,"42,105,263,158",1973,Generation X
20614,Romania,1990,male,75+ years,97,377600,25.69,Romania1990,0.703,"38,995,454,545",1822,G.I. Generation
20615,Romania,1990,male,55-74 years,413,1854500,22.27,Romania1990,0.703,"38,995,454,545",1822,G.I. Generation
20616,Romania,1990,male,35-54 years,607,2875600,21.11,Romania1990,0.703,"38,995,454,545",1822,Silent
20617,Romania,1990,male,25-34 years,210,1581200,13.28,Romania1990,0.703,"38,995,454,545",1822,Boomers
20618,Romania,1990,female,75+ years,64,566300,11.3,Romania1990,0.703,"38,995,454,545",1822,G.I. Generation
20619,Romania,1990,male,15-24 years,177,1966300,9.0,Romania1990,0.703,"38,995,454,545",1822,Generation X
20620,Romania,1990,female,55-74 years,196,2188100,8.96,Romania1990,0.703,"38,995,454,545",1822,G.I. Generation
20621,Romania,1990,female,35-54 years,167,2919600,5.72,Romania1990,0.703,"38,995,454,545",1822,Silent
20622,Romania,1990,female,25-34 years,57,1521500,3.75,Romania1990,0.703,"38,995,454,545",1822,Boomers
20623,Romania,1990,female,15-24 years,69,1887200,3.66,Romania1990,0.703,"38,995,454,545",1822,Generation X
20624,Romania,1990,male,5-14 years,19,1873200,1.01,Romania1990,0.703,"38,995,454,545",1822,Generation X
20625,Romania,1990,female,5-14 years,3,1790800,0.17,Romania1990,0.703,"38,995,454,545",1822,Generation X
20626,Romania,1991,male,75+ years,110,366900,29.98,Romania1991,,"28,998,684,211",1351,G.I. Generation
20627,Romania,1991,male,55-74 years,487,1899700,25.64,Romania1991,,"28,998,684,211",1351,Silent
20628,Romania,1991,male,35-54 years,645,2894400,22.28,Romania1991,,"28,998,684,211",1351,Boomers
20629,Romania,1991,male,25-34 years,229,1523400,15.03,Romania1991,,"28,998,684,211",1351,Boomers
20630,Romania,1991,female,75+ years,65,559700,11.61,Romania1991,,"28,998,684,211",1351,G.I. Generation
20631,Romania,1991,female,55-74 years,183,2236300,8.18,Romania1991,,"28,998,684,211",1351,Silent
20632,Romania,1991,male,15-24 years,152,2028200,7.49,Romania1991,,"28,998,684,211",1351,Generation X
20633,Romania,1991,female,35-54 years,161,2938000,5.48,Romania1991,,"28,998,684,211",1351,Boomers
20634,Romania,1991,female,25-34 years,60,1462900,4.1,Romania1991,,"28,998,684,211",1351,Boomers
20635,Romania,1991,female,15-24 years,52,1946600,2.67,Romania1991,,"28,998,684,211",1351,Generation X
20636,Romania,1991,male,5-14 years,15,1841200,0.81,Romania1991,,"28,998,684,211",1351,Millenials
