,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
21296,Saint Lucia,1986,male,35-54 years,3,8300,36.14,Saint Lucia1986,,"289,689,704",2634,Silent
21297,Saint Lucia,1986,male,25-34 years,2,8400,23.81,Saint Lucia1986,,"289,689,704",2634,Boomers
21298,Saint Lucia,1986,female,15-24 years,0,14800,0.0,Saint Lucia1986,,"289,689,704",2634,Generation X
21299,Saint Lucia,1986,female,25-34 years,0,9700,0.0,Saint Lucia1986,,"289,689,704",2634,Boomers
21300,Saint Lucia,1986,female,35-54 years,0,9800,0.0,Saint Lucia1986,,"289,689,704",2634,Silent
21301,Saint Lucia,1986,female,5-14 years,0,15200,0.0,Saint Lucia1986,,"289,689,704",2634,Generation X
21302,Saint Lucia,1986,female,55-74 years,0,6300,0.0,Saint Lucia1986,,"289,689,704",2634,G.I. Generation
21303,Saint Lucia,1986,female,75+ years,0,1600,0.0,Saint Lucia1986,,"289,689,704",2634,G.I. Generation
21304,Saint Lucia,1986,male,15-24 years,0,14600,0.0,Saint Lucia1986,,"289,689,704",2634,Generation X
21305,Saint Lucia,1986,male,5-14 years,0,15400,0.0,Saint Lucia1986,,"289,689,704",2634,Generation X
21306,Saint Lucia,1986,male,55-74 years,0,4900,0.0,Saint Lucia1986,,"289,689,704",2634,G.I. Generation
21307,Saint Lucia,1986,male,75+ years,0,1000,0.0,Saint Lucia1986,,"289,689,704",2634,G.I. Generation
21308,Saint Lucia,1987,male,55-74 years,3,4900,61.22,Saint Lucia1987,,"319,998,987",2875,G.I. Generation
21309,Saint Lucia,1987,male,25-34 years,3,8900,33.71,Saint Lucia1987,,"319,998,987",2875,Boomers
21310,Saint Lucia,1987,male,35-54 years,2,8700,22.99,Saint Lucia1987,,"319,998,987",2875,Silent
21311,Saint Lucia,1987,male,15-24 years,2,14600,13.7,Saint Lucia1987,,"319,998,987",2875,Generation X
21312,Saint Lucia,1987,female,25-34 years,1,10200,9.8,Saint Lucia1987,,"319,998,987",2875,Boomers
21313,Saint Lucia,1987,female,15-24 years,0,14800,0.0,Saint Lucia1987,,"319,998,987",2875,Generation X
21314,Saint Lucia,1987,female,35-54 years,0,10000,0.0,Saint Lucia1987,,"319,998,987",2875,Silent
21315,Saint Lucia,1987,female,5-14 years,0,15000,0.0,Saint Lucia1987,,"319,998,987",2875,Generation X
21316,Saint Lucia,1987,female,55-74 years,0,6300,0.0,Saint Lucia1987,,"319,998,987",2875,G.I. Generation
21317,Saint Lucia,1987,female,75+ years,0,1600,0.0,Saint Lucia1987,,"319,998,987",2875,G.I. Generation
21318,Saint Lucia,1987,male,5-14 years,0,15300,0.0,Saint Lucia1987,,"319,998,987",2875,Generation X
21319,Saint Lucia,1987,male,75+ years,0,1000,0.0,Saint Lucia1987,,"319,998,987",2875,G.I. Generation
21320,Saint Lucia,1988,female,75+ years,1,1600,62.5,Saint Lucia1988,,"366,541,091",3244,G.I. Generation
21321,Saint Lucia,1988,male,55-74 years,2,4900,40.82,Saint Lucia1988,,"366,541,091",3244,G.I. Generation
21322,Saint Lucia,1988,female,55-74 years,2,6300,31.75,Saint Lucia1988,,"366,541,091",3244,G.I. Generation
