,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
21632,Saint Vincent and Grenadines,1985,male,35-54 years,2,6100,32.79,Saint Vincent and Grenadines1985,,"145,641,704",1622,Silent
21633,Saint Vincent and Grenadines,1985,female,15-24 years,0,11900,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,Generation X
21634,Saint Vincent and Grenadines,1985,female,25-34 years,0,9200,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,Boomers
21635,Saint Vincent and Grenadines,1985,female,35-54 years,0,7400,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,Silent
21636,Saint Vincent and Grenadines,1985,female,5-14 years,0,12300,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,Generation X
21637,Saint Vincent and Grenadines,1985,female,55-74 years,0,4100,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,G.I. Generation
21638,Saint Vincent and Grenadines,1985,female,75+ years,0,1000,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,G.I. Generation
21639,Saint Vincent and Grenadines,1985,male,15-24 years,0,12100,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,Generation X
21640,Saint Vincent and Grenadines,1985,male,25-34 years,0,9300,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,Boomers
21641,Saint Vincent and Grenadines,1985,male,5-14 years,0,12800,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,Generation X
21642,Saint Vincent and Grenadines,1985,male,55-74 years,0,2900,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,G.I. Generation
21643,Saint Vincent and Grenadines,1985,male,75+ years,0,700,0.0,Saint Vincent and Grenadines1985,,"145,641,704",1622,G.I. Generation
21644,Saint Vincent and Grenadines,1986,female,15-24 years,0,12100,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,Generation X
21645,Saint Vincent and Grenadines,1986,female,25-34 years,0,9300,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,Boomers
21646,Saint Vincent and Grenadines,1986,female,35-54 years,0,7400,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,Silent
21647,Saint Vincent and Grenadines,1986,female,5-14 years,0,12500,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,Generation X
21648,Saint Vincent and Grenadines,1986,female,55-74 years,0,4100,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,G.I. Generation
21649,Saint Vincent and Grenadines,1986,female,75+ years,0,1000,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,G.I. Generation
21650,Saint Vincent and Grenadines,1986,male,15-24 years,0,12300,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,Generation X
21651,Saint Vincent and Grenadines,1986,male,25-34 years,0,9400,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,Boomers
21652,Saint Vincent and Grenadines,1986,male,35-54 years,0,6100,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,Silent
21653,Saint Vincent and Grenadines,1986,male,5-14 years,0,13000,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,Generation X
21654,Saint Vincent and Grenadines,1986,male,55-74 years,0,2900,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,G.I. Generation
21655,Saint Vincent and Grenadines,1986,male,75+ years,0,700,0.0,Saint Vincent and Grenadines1986,,"160,846,667",1771,G.I. Generation
21656,Saint Vincent and Grenadines,1987,female,15-24 years,0,11800,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,Generation X
21657,Saint Vincent and Grenadines,1987,female,25-34 years,0,7722,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,Boomers
21658,Saint Vincent and Grenadines,1987,female,35-54 years,0,7471,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,Silent
21659,Saint Vincent and Grenadines,1987,female,5-14 years,0,13490,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,Generation X
21660,Saint Vincent and Grenadines,1987,female,55-74 years,0,4835,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,G.I. Generation
21661,Saint Vincent and Grenadines,1987,female,75+ years,0,1500,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,G.I. Generation
21662,Saint Vincent and Grenadines,1987,male,15-24 years,0,12015,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,Generation X
21663,Saint Vincent and Grenadines,1987,male,25-34 years,0,7324,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,Boomers
21664,Saint Vincent and Grenadines,1987,male,35-54 years,0,7072,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,Silent
21665,Saint Vincent and Grenadines,1987,male,5-14 years,0,13801,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,Generation X
21666,Saint Vincent and Grenadines,1987,male,55-74 years,0,4058,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,G.I. Generation
21667,Saint Vincent and Grenadines,1987,male,75+ years,0,948,0.0,Saint Vincent and Grenadines1987,,"175,580,630",1908,G.I. Generation
21668,Saint Vincent and Grenadines,1990,male,25-34 years,3,8514,35.24,Saint Vincent and Grenadines1990,,"240,365,259",2553,Boomers
21669,Saint Vincent and Grenadines,1990,male,55-74 years,1,4229,23.65,Saint Vincent and Grenadines1990,,"240,365,259",2553,G.I. Generation
21670,Saint Vincent and Grenadines,1990,male,35-54 years,1,7593,13.17,Saint Vincent and Grenadines1990,,"240,365,259",2553,Silent
21671,Saint Vincent and Grenadines,1990,female,15-24 years,0,11097,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,Generation X
21672,Saint Vincent and Grenadines,1990,female,25-34 years,0,8323,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,Boomers
21673,Saint Vincent and Grenadines,1990,female,35-54 years,0,7762,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,Silent
21674,Saint Vincent and Grenadines,1990,female,5-14 years,0,13580,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,Generation X
21675,Saint Vincent and Grenadines,1990,female,55-74 years,0,5128,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,G.I. Generation
21676,Saint Vincent and Grenadines,1990,female,75+ years,0,1532,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,G.I. Generation
21677,Saint Vincent and Grenadines,1990,male,15-24 years,0,11489,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,Generation X
21678,Saint Vincent and Grenadines,1990,male,5-14 years,0,13853,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,Generation X
21679,Saint Vincent and Grenadines,1990,male,75+ years,0,1041,0.0,Saint Vincent and Grenadines1990,,"240,365,259",2553,G.I. Generation
21680,Saint Vincent and Grenadines,1995,male,35-54 years,4,9078,44.06,Saint Vincent and Grenadines1995,,"316,008,481",3293,Boomers
21681,Saint Vincent and Grenadines,1995,male,55-74 years,1,4642,21.54,Saint Vincent and Grenadines1995,,"316,008,481",3293,Silent
21682,Saint Vincent and Grenadines,1995,male,25-34 years,1,9023,11.08,Saint Vincent and Grenadines1995,,"316,008,481",3293,Generation X
21683,Saint Vincent and Grenadines,1995,male,15-24 years,1,11449,8.73,Saint Vincent and Grenadines1995,,"316,008,481",3293,Generation X
21684,Saint Vincent and Grenadines,1995,female,15-24 years,0,11061,0.0,Saint Vincent and Grenadines1995,,"316,008,481",3293,Generation X
21685,Saint Vincent and Grenadines,1995,female,25-34 years,0,8575,0.0,Saint Vincent and Grenadines1995,,"316,008,481",3293,Generation X
21686,Saint Vincent and Grenadines,1995,female,35-54 years,0,8791,0.0,Saint Vincent and Grenadines1995,,"316,008,481",3293,Boomers
21687,Saint Vincent and Grenadines,1995,female,5-14 years,0,12450,0.0,Saint Vincent and Grenadines1995,,"316,008,481",3293,Millenials
21688,Saint Vincent and Grenadines,1995,female,55-74 years,0,5396,0.0,Saint Vincent and Grenadines1995,,"316,008,481",3293,Silent
21689,Saint Vincent and Grenadines,1995,female,75+ years,0,1681,0.0,Saint Vincent and Grenadines1995,,"316,008,481",3293,G.I. Generation
21690,Saint Vincent and Grenadines,1995,male,5-14 years,0,12625,0.0,Saint Vincent and Grenadines1995,,"316,008,481",3293,Millenials
21691,Saint Vincent and Grenadines,1995,male,75+ years,0,1203,0.0,Saint Vincent and Grenadines1995,,"316,008,481",3293,G.I. Generation
21692,Saint Vincent and Grenadines,1996,male,25-34 years,4,9020,44.35,Saint Vincent and Grenadines1996,,"331,489,704",3450,Generation X
21693,Saint Vincent and Grenadines,1996,male,35-54 years,2,9518,21.01,Saint Vincent and Grenadines1996,,"331,489,704",3450,Boomers
21694,Saint Vincent and Grenadines,1996,female,35-54 years,1,9172,10.9,Saint Vincent and Grenadines1996,,"331,489,704",3450,Boomers
21695,Saint Vincent and Grenadines,1996,male,15-24 years,1,11360,8.8,Saint Vincent and Grenadines1996,,"331,489,704",3450,Generation X
21696,Saint Vincent and Grenadines,1996,female,15-24 years,0,10978,0.0,Saint Vincent and Grenadines1996,,"331,489,704",3450,Generation X
21697,Saint Vincent and Grenadines,1996,female,25-34 years,0,8535,0.0,Saint Vincent and Grenadines1996,,"331,489,704",3450,Generation X
21698,Saint Vincent and Grenadines,1996,female,5-14 years,0,12189,0.0,Saint Vincent and Grenadines1996,,"331,489,704",3450,Millenials
21699,Saint Vincent and Grenadines,1996,female,55-74 years,0,5346,0.0,Saint Vincent and Grenadines1996,,"331,489,704",3450,Silent
21700,Saint Vincent and Grenadines,1996,female,75+ years,0,1733,0.0,Saint Vincent and Grenadines1996,,"331,489,704",3450,G.I. Generation
21701,Saint Vincent and Grenadines,1996,male,5-14 years,0,12360,0.0,Saint Vincent and Grenadines1996,,"331,489,704",3450,Millenials
21702,Saint Vincent and Grenadines,1996,male,55-74 years,0,4651,0.0,Saint Vincent and Grenadines1996,,"331,489,704",3450,Silent
21703,Saint Vincent and Grenadines,1996,male,75+ years,0,1233,0.0,Saint Vincent and Grenadines1996,,"331,489,704",3450,G.I. Generation
21704,Saint Vincent and Grenadines,1997,male,25-34 years,1,8956,11.17,Saint Vincent and Grenadines1997,,"347,770,000",3613,Generation X
21705,Saint Vincent and Grenadines,1997,male,35-54 years,1,10022,9.98,Saint Vincent and Grenadines1997,,"347,770,000",3613,Boomers
21706,Saint Vincent and Grenadines,1997,male,15-24 years,1,11269,8.87,Saint Vincent and Grenadines1997,,"347,770,000",3613,Generation X
21707,Saint Vincent and Grenadines,1997,female,15-24 years,0,10897,0.0,Saint Vincent and Grenadines1997,,"347,770,000",3613,Generation X
21708,Saint Vincent and Grenadines,1997,female,25-34 years,0,8443,0.0,Saint Vincent and Grenadines1997,,"347,770,000",3613,Generation X
21709,Saint Vincent and Grenadines,1997,female,35-54 years,0,9614,0.0,Saint Vincent and Grenadines1997,,"347,770,000",3613,Boomers
