,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
21932,San Marino,1999,male,55-74 years,1,2542,39.34,San Marino1999,,"1,215,640,315",48255,Silent
21933,San Marino,1999,male,35-54 years,1,3998,25.01,San Marino1999,,"1,215,640,315",48255,Boomers
21934,San Marino,1999,female,15-24 years,0,1453,0.0,San Marino1999,,"1,215,640,315",48255,Generation X
21935,San Marino,1999,female,25-34 years,0,2329,0.0,San Marino1999,,"1,215,640,315",48255,Generation X
21936,San Marino,1999,female,35-54 years,0,4051,0.0,San Marino1999,,"1,215,640,315",48255,Boomers
21937,San Marino,1999,female,5-14 years,0,1227,0.0,San Marino1999,,"1,215,640,315",48255,Millenials
21938,San Marino,1999,female,55-74 years,0,2738,0.0,San Marino1999,,"1,215,640,315",48255,Silent
21939,San Marino,1999,female,75+ years,0,1147,0.0,San Marino1999,,"1,215,640,315",48255,G.I. Generation
21940,San Marino,1999,male,15-24 years,0,1539,0.0,San Marino1999,,"1,215,640,315",48255,Generation X
21941,San Marino,1999,male,25-34 years,0,2138,0.0,San Marino1999,,"1,215,640,315",48255,Generation X
21942,San Marino,1999,male,5-14 years,0,1309,0.0,San Marino1999,,"1,215,640,315",48255,Millenials
21943,San Marino,1999,male,75+ years,0,721,0.0,San Marino1999,,"1,215,640,315",48255,G.I. Generation
21944,San Marino,2000,male,25-34 years,1,2116,47.26,San Marino2000,,"1,101,897,918",43435,Generation X
21945,San Marino,2000,female,15-24 years,0,1435,0.0,San Marino2000,,"1,101,897,918",43435,Generation X
21946,San Marino,2000,female,25-34 years,0,2238,0.0,San Marino2000,,"1,101,897,918",43435,Generation X
21947,San Marino,2000,female,35-54 years,0,4192,0.0,San Marino2000,,"1,101,897,918",43435,Boomers
21948,San Marino,2000,female,5-14 years,0,1225,0.0,San Marino2000,,"1,101,897,918",43435,Millenials
21949,San Marino,2000,female,55-74 years,0,2776,0.0,San Marino2000,,"1,101,897,918",43435,Silent
21950,San Marino,2000,female,75+ years,0,1194,0.0,San Marino2000,,"1,101,897,918",43435,G.I. Generation
21951,San Marino,2000,male,15-24 years,0,1412,0.0,San Marino2000,,"1,101,897,918",43435,Generation X
21952,San Marino,2000,male,35-54 years,0,4117,0.0,San Marino2000,,"1,101,897,918",43435,Boomers
21953,San Marino,2000,male,5-14 years,0,1321,0.0,San Marino2000,,"1,101,897,918",43435,Millenials
21954,San Marino,2000,male,55-74 years,0,2590,0.0,San Marino2000,,"1,101,897,918",43435,Silent
21955,San Marino,2000,male,75+ years,0,753,0.0,San Marino2000,,"1,101,897,918",43435,G.I. Generation
21956,San Marino,2005,male,55-74 years,1,2940,34.01,San Marino2005,,"1,958,711,603",69301,Silent
21957,San Marino,2005,female,15-24 years,0,1325,0.0,San Marino2005,,"1,958,711,603",69301,Millenials
21958,San Marino,2005,female,25-34 years,0,2339,0.0,San Marino2005,,"1,958,711,603",69301,Generation X
21959,San Marino,2005,female,35-54 years,0,4856,0.0,San Marino2005,,"1,958,711,603",69301,Boomers
21960,San Marino,2005,female,5-14 years,0,1414,0.0,San Marino2005,,"1,958,711,603",69301,Millenials
21961,San Marino,2005,female,55-74 years,0,3105,0.0,San Marino2005,,"1,958,711,603",69301,Silent
21962,San Marino,2005,female,75+ years,0,1423,0.0,San Marino2005,,"1,958,711,603",69301,Silent
21963,San Marino,2005,male,15-24 years,0,1440,0.0,San Marino2005,,"1,958,711,603",69301,Millenials
21964,San Marino,2005,male,25-34 years,0,2176,0.0,San Marino2005,,"1,958,711,603",69301,Generation X
21965,San Marino,2005,male,35-54 years,0,4793,0.0,San Marino2005,,"1,958,711,603",69301,Boomers
21966,San Marino,2005,male,5-14 years,0,1545,0.0,San Marino2005,,"1,958,711,603",69301,Millenials
21967,San Marino,2005,male,75+ years,0,908,0.0,San Marino2005,,"1,958,711,603",69301,Silent
