,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
21968,Serbia,1998,male,75+ years,147,123440,119.09,Serbia1998,,"18,284,194,680",2547,G.I. Generation
21969,Serbia,1998,male,55-74 years,382,817210,46.74,Serbia1998,,"18,284,194,680",2547,Silent
21970,Serbia,1998,female,75+ years,70,200874,34.85,Serbia1998,,"18,284,194,680",2547,G.I. Generation
21971,Serbia,1998,male,35-54 years,308,1082941,28.44,Serbia1998,,"18,284,194,680",2547,Boomers
21972,Serbia,1998,male,25-34 years,107,480472,22.27,Serbia1998,,"18,284,194,680",2547,Generation X
21973,Serbia,1998,female,55-74 years,197,969361,20.32,Serbia1998,,"18,284,194,680",2547,Silent
21974,Serbia,1998,male,15-24 years,68,521985,13.03,Serbia1998,,"18,284,194,680",2547,Generation X
21975,Serbia,1998,female,35-54 years,130,1097115,11.85,Serbia1998,,"18,284,194,680",2547,Boomers
21976,Serbia,1998,female,25-34 years,26,481780,5.4,Serbia1998,,"18,284,194,680",2547,Generation X
21977,Serbia,1998,female,15-24 years,21,502071,4.18,Serbia1998,,"18,284,194,680",2547,Generation X
21978,Serbia,1998,male,5-14 years,3,460897,0.65,Serbia1998,,"18,284,194,680",2547,Millenials
21979,Serbia,1998,female,5-14 years,1,440856,0.23,Serbia1998,,"18,284,194,680",2547,Millenials
21980,Serbia,1999,male,75+ years,168,129749,129.48,Serbia1999,,"18,409,364,147",2570,G.I. Generation
21981,Serbia,1999,female,75+ years,119,213084,55.85,Serbia1999,,"18,409,364,147",2570,G.I. Generation
21982,Serbia,1999,male,55-74 years,413,804692,51.32,Serbia1999,,"18,409,364,147",2570,Silent
21983,Serbia,1999,male,35-54 years,340,1085251,31.33,Serbia1999,,"18,409,364,147",2570,Boomers
21984,Serbia,1999,female,55-74 years,201,953953,21.07,Serbia1999,,"18,409,364,147",2570,Silent
21985,Serbia,1999,male,25-34 years,82,480354,17.07,Serbia1999,,"18,409,364,147",2570,Generation X
21986,Serbia,1999,male,15-24 years,85,522386,16.27,Serbia1999,,"18,409,364,147",2570,Generation X
21987,Serbia,1999,female,35-54 years,97,1102441,8.8,Serbia1999,,"18,409,364,147",2570,Boomers
21988,Serbia,1999,female,25-34 years,31,482265,6.43,Serbia1999,,"18,409,364,147",2570,Generation X
21989,Serbia,1999,female,15-24 years,29,503117,5.76,Serbia1999,,"18,409,364,147",2570,Generation X
21990,Serbia,1999,female,5-14 years,3,432529,0.69,Serbia1999,,"18,409,364,147",2570,Millenials
21991,Serbia,1999,male,5-14 years,3,453010,0.66,Serbia1999,,"18,409,364,147",2570,Millenials
21992,Serbia,2000,male,75+ years,162,135980,119.14,Serbia2000,0.71,"6,540,247,190",915,G.I. Generation
21993,Serbia,2000,male,55-74 years,417,788999,52.85,Serbia2000,0.71,"6,540,247,190",915,Silent
21994,Serbia,2000,female,75+ years,97,224751,43.16,Serbia2000,0.71,"6,540,247,190",915,G.I. Generation
21995,Serbia,2000,male,35-54 years,304,1091897,27.84,Serbia2000,0.71,"6,540,247,190",915,Boomers
21996,Serbia,2000,female,55-74 years,228,934771,24.39,Serbia2000,0.71,"6,540,247,190",915,Silent
21997,Serbia,2000,male,25-34 years,98,482971,20.29,Serbia2000,0.71,"6,540,247,190",915,Generation X
21998,Serbia,2000,male,15-24 years,83,521679,15.91,Serbia2000,0.71,"6,540,247,190",915,Generation X
21999,Serbia,2000,female,35-54 years,97,1110851,8.73,Serbia2000,0.71,"6,540,247,190",915,Boomers
22000,Serbia,2000,female,25-34 years,31,484418,6.4,Serbia2000,0.71,"6,540,247,190",915,Generation X
22001,Serbia,2000,female,15-24 years,17,502157,3.39,Serbia2000,0.71,"6,540,247,190",915,Generation X
22002,Serbia,2000,male,5-14 years,5,445855,1.12,Serbia2000,0.71,"6,540,247,190",915,Millenials
22003,Serbia,2000,female,5-14 years,4,424811,0.94,Serbia2000,0.71,"6,540,247,190",915,Millenials
22004,Serbia,2001,male,75+ years,163,143189,113.84,Serbia2001,,"12,267,175,481",1718,Silent
22005,Serbia,2001,male,55-74 years,366,776659,47.12,Serbia2001,,"12,267,175,481",1718,Silent
22006,Serbia,2001,female,75+ years,85,237291,35.82,Serbia2001,,"12,267,175,481",1718,Silent
22007,Serbia,2001,male,35-54 years,329,1097381,29.98,Serbia2001,,"12,267,175,481",1718,Boomers
22008,Serbia,2001,male,25-34 years,92,487989,18.85,Serbia2001,,"12,267,175,481",1718,Generation X
22009,Serbia,2001,female,55-74 years,173,918529,18.83,Serbia2001,,"12,267,175,481",1718,Silent
22010,Serbia,2001,male,15-24 years,71,519061,13.68,Serbia2001,,"12,267,175,481",1718,Millenials
22011,Serbia,2001,female,35-54 years,126,1117999,11.27,Serbia2001,,"12,267,175,481",1718,Boomers
22012,Serbia,2001,female,25-34 years,21,488261,4.3,Serbia2001,,"12,267,175,481",1718,Generation X
22013,Serbia,2001,female,15-24 years,12,498990,2.4,Serbia2001,,"12,267,175,481",1718,Millenials
22014,Serbia,2001,male,5-14 years,4,439347,0.91,Serbia2001,,"12,267,175,481",1718,Millenials
22015,Serbia,2001,female,5-14 years,0,417714,0.0,Serbia2001,,"12,267,175,481",1718,Millenials
22016,Serbia,2002,male,75+ years,165,151768,108.72,Serbia2002,,"16,116,843,146",2258,Silent
22017,Serbia,2002,male,55-74 years,410,772635,53.07,Serbia2002,,"16,116,843,146",2258,Silent
22018,Serbia,2002,female,75+ years,96,250502,38.32,Serbia2002,,"16,116,843,146",2258,Silent
22019,Serbia,2002,male,35-54 years,309,1094978,28.22,Serbia2002,,"16,116,843,146",2258,Boomers
22020,Serbia,2002,male,25-34 years,94,494298,19.02,Serbia2002,,"16,116,843,146",2258,Generation X
22021,Serbia,2002,female,55-74 years,169,910921,18.55,Serbia2002,,"16,116,843,146",2258,Silent
22022,Serbia,2002,male,15-24 years,69,516180,13.37,Serbia2002,,"16,116,843,146",2258,Millenials
22023,Serbia,2002,female,35-54 years,94,1116564,8.42,Serbia2002,,"16,116,843,146",2258,Boomers
22024,Serbia,2002,female,25-34 years,23,492285,4.67,Serbia2002,,"16,116,843,146",2258,Generation X
22025,Serbia,2002,female,15-24 years,13,495315,2.62,Serbia2002,,"16,116,843,146",2258,Millenials
22026,Serbia,2002,male,5-14 years,4,432109,0.93,Serbia2002,,"16,116,843,146",2258,Millenials
22027,Serbia,2002,female,5-14 years,0,410558,0.0,Serbia2002,,"16,116,843,146",2258,Millenials
22028,Serbia,2003,male,75+ years,158,160745,98.29,Serbia2003,,"21,188,704,081",2979,Silent
22029,Serbia,2003,male,55-74 years,344,770873,44.62,Serbia2003,,"21,188,704,081",2979,Silent
22030,Serbia,2003,female,75+ years,85,262606,32.37,Serbia2003,,"21,188,704,081",2979,Silent
22031,Serbia,2003,male,35-54 years,342,1083446,31.57,Serbia2003,,"21,188,704,081",2979,Boomers
22032,Serbia,2003,male,25-34 years,89,499406,17.82,Serbia2003,,"21,188,704,081",2979,Generation X
22033,Serbia,2003,female,55-74 years,155,907413,17.08,Serbia2003,,"21,188,704,081",2979,Silent
22034,Serbia,2003,male,15-24 years,64,511900,12.5,Serbia2003,,"21,188,704,081",2979,Millenials
22035,Serbia,2003,female,35-54 years,103,1106280,9.31,Serbia2003,,"21,188,704,081",2979,Boomers
22036,Serbia,2003,female,25-34 years,22,494582,4.45,Serbia2003,,"21,188,704,081",2979,Generation X
22037,Serbia,2003,female,15-24 years,16,490226,3.26,Serbia2003,,"21,188,704,081",2979,Millenials
22038,Serbia,2003,female,5-14 years,0,402011,0.0,Serbia2003,,"21,188,704,081",2979,Millenials
22039,Serbia,2003,male,5-14 years,0,422487,0.0,Serbia2003,,"21,188,704,081",2979,Millenials
22040,Serbia,2004,male,75+ years,176,170536,103.2,Serbia2004,,"24,861,483,281",3508,Silent
22041,Serbia,2004,male,55-74 years,376,770962,48.77,Serbia2004,,"24,861,483,281",3508,Silent
22042,Serbia,2004,male,35-54 years,296,1069970,27.66,Serbia2004,,"24,861,483,281",3508,Boomers
22043,Serbia,2004,female,75+ years,64,274458,23.32,Serbia2004,,"24,861,483,281",3508,Silent
22044,Serbia,2004,female,55-74 years,158,906656,17.43,Serbia2004,,"24,861,483,281",3508,Silent
22045,Serbia,2004,male,25-34 years,74,504902,14.66,Serbia2004,,"24,861,483,281",3508,Generation X
22046,Serbia,2004,male,15-24 years,55,506347,10.86,Serbia2004,,"24,861,483,281",3508,Millenials
22047,Serbia,2004,female,35-54 years,117,1093778,10.7,Serbia2004,,"24,861,483,281",3508,Boomers
22048,Serbia,2004,female,25-34 years,20,497596,4.02,Serbia2004,,"24,861,483,281",3508,Generation X
22049,Serbia,2004,female,15-24 years,8,484852,1.65,Serbia2004,,"24,861,483,281",3508,Millenials
22050,Serbia,2004,male,5-14 years,1,413105,0.24,Serbia2004,,"24,861,483,281",3508,Millenials
22051,Serbia,2004,female,5-14 years,0,393202,0.0,Serbia2004,,"24,861,483,281",3508,Millenials
22052,Serbia,2005,male,75+ years,195,180107,108.27,Serbia2005,0.741,"26,252,007,830",3719,Silent
22053,Serbia,2005,male,55-74 years,382,773127,49.41,Serbia2005,0.741,"26,252,007,830",3719,Silent
22054,Serbia,2005,female,75+ years,103,286007,36.01,Serbia2005,0.741,"26,252,007,830",3719,Silent
22055,Serbia,2005,male,35-54 years,295,1054508,27.98,Serbia2005,0.741,"26,252,007,830",3719,Boomers
22056,Serbia,2005,female,55-74 years,172,907793,18.95,Serbia2005,0.741,"26,252,007,830",3719,Silent
22057,Serbia,2005,male,25-34 years,86,509858,16.87,Serbia2005,0.741,"26,252,007,830",3719,Generation X
22058,Serbia,2005,female,35-54 years,114,1078540,10.57,Serbia2005,0.741,"26,252,007,830",3719,Boomers
22059,Serbia,2005,male,15-24 years,45,499116,9.02,Serbia2005,0.741,"26,252,007,830",3719,Millenials
22060,Serbia,2005,female,25-34 years,30,501034,5.99,Serbia2005,0.741,"26,252,007,830",3719,Generation X
22061,Serbia,2005,female,15-24 years,12,478193,2.51,Serbia2005,0.741,"26,252,007,830",3719,Millenials
22062,Serbia,2005,male,5-14 years,3,405216,0.74,Serbia2005,0.741,"26,252,007,830",3719,Millenials
22063,Serbia,2005,female,5-14 years,0,385483,0.0,Serbia2005,0.741,"26,252,007,830",3719,Millenials
22064,Serbia,2006,male,75+ years,196,189274,103.55,Serbia2006,,"30,607,991,862",4353,Silent
22065,Serbia,2006,male,55-74 years,366,774694,47.24,Serbia2006,,"30,607,991,862",4353,Silent
22066,Serbia,2006,female,75+ years,122,296792,41.11,Serbia2006,,"30,607,991,862",4353,Silent
22067,Serbia,2006,male,35-54 years,312,1040532,29.98,Serbia2006,,"30,607,991,862",4353,Boomers
22068,Serbia,2006,male,25-34 years,93,513643,18.11,Serbia2006,,"30,607,991,862",4353,Generation X
22069,Serbia,2006,female,55-74 years,158,908095,17.4,Serbia2006,,"30,607,991,862",4353,Silent
22070,Serbia,2006,male,15-24 years,52,491590,10.58,Serbia2006,,"30,607,991,862",4353,Millenials
22071,Serbia,2006,female,35-54 years,103,1064812,9.67,Serbia2006,,"30,607,991,862",4353,Boomers
22072,Serbia,2006,female,25-34 years,25,503695,4.96,Serbia2006,,"30,607,991,862",4353,Generation X
22073,Serbia,2006,female,15-24 years,14,470829,2.97,Serbia2006,,"30,607,991,862",4353,Millenials
22074,Serbia,2006,male,5-14 years,2,398605,0.5,Serbia2006,,"30,607,991,862",4353,Millenials
22075,Serbia,2006,female,5-14 years,0,379250,0.0,Serbia2006,,"30,607,991,862",4353,Millenials
22076,Serbia,2007,male,75+ years,180,196533,91.59,Serbia2007,,"40,289,556,656",5748,Silent
22077,Serbia,2007,male,55-74 years,368,779298,47.22,Serbia2007,,"40,289,556,656",5748,Silent
22078,Serbia,2007,female,75+ years,90,305647,29.45,Serbia2007,,"40,289,556,656",5748,Silent
22079,Serbia,2007,male,35-54 years,272,1026072,26.51,Serbia2007,,"40,289,556,656",5748,Boomers
22080,Serbia,2007,female,55-74 years,169,910892,18.55,Serbia2007,,"40,289,556,656",5748,Silent
22081,Serbia,2007,male,25-34 years,88,516639,17.03,Serbia2007,,"40,289,556,656",5748,Generation X
22082,Serbia,2007,male,15-24 years,60,483634,12.41,Serbia2007,,"40,289,556,656",5748,Millenials
22083,Serbia,2007,female,35-54 years,92,1051329,8.75,Serbia2007,,"40,289,556,656",5748,Boomers
22084,Serbia,2007,female,25-34 years,22,505537,4.35,Serbia2007,,"40,289,556,656",5748,Generation X
22085,Serbia,2007,female,15-24 years,12,463240,2.59,Serbia2007,,"40,289,556,656",5748,Millenials
22086,Serbia,2007,female,5-14 years,0,375598,0.0,Serbia2007,,"40,289,556,656",5748,Generation Z
22087,Serbia,2007,male,5-14 years,0,395191,0.0,Serbia2007,,"40,289,556,656",5748,Generation Z
22088,Serbia,2008,male,75+ years,175,204761,85.47,Serbia2008,,"49,259,526,053",7049,Silent
22089,Serbia,2008,male,55-74 years,296,787243,37.6,Serbia2008,,"49,259,526,053",7049,Silent
22090,Serbia,2008,male,35-54 years,296,1009044,29.33,Serbia2008,,"49,259,526,053",7049,Boomers
22091,Serbia,2008,female,75+ years,91,315905,28.81,Serbia2008,,"49,259,526,053",7049,Silent
